tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,set_tempo,952380,0,1,0,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,2,0,,
0,program_change,,0,0,1,,,,,,,0,54,,
0,control_change,,0,0,1,,,,,7,87,0,,,
0,track_name,,0,1,1,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,
0,time_signature,,0,1,0,3,8,24,8,,,,,,
384,note_on,,384,0,2,,,,,,,2,,62,29
384,note_on,,384,0,1,,,,,,,0,,71,38
384,note_on,,0,0,2,,,,,,,2,,71,26
464,note_on,,80,0,1,,,,,,,0,,73,66
466,note_off,,2,0,1,,,,,,,0,,71,6
480,note_off,,96,0,2,,,,,,,2,,71,8
480,note_off,,0,0,2,,,,,,,2,,62,7
480,note_on,,0,0,2,,,,,,,2,,64,16
480,note_on,,0,0,2,,,,,,,2,,73,46
568,note_on,,102,0,1,,,,,,,0,,74,68
574,note_off,,6,0,1,,,,,,,0,,73,8
576,note_off,,0,0,2,,,,,,,2,,64,7
576,note_on,,0,0,2,,,,,,,2,,74,27
576,note_on,,0,0,2,,,,,,,2,,47,35
576,note_on,,0,0,2,,,,,,,2,,66,43
576,note_off,,96,0,2,,,,,,,2,,73,6
672,note_off,,0,0,2,,,,,,,2,,66,7
672,note_off,,96,0,2,,,,,,,2,,74,7
672,note_on,,0,0,2,,,,,,,2,,71,28
764,note_on,,190,0,1,,,,,,,0,,73,61
768,note_on,,0,0,2,,,,,,,2,,66,37
768,note_off,,96,0,2,,,,,,,2,,71,6
772,note_off,,8,0,1,,,,,,,0,,74,7
864,note_off,,96,0,2,,,,,,,2,,66,11
864,note_off,,0,0,2,,,,,,,2,,47,5
864,note_on,,0,0,2,,,,,,,2,,62,36
942,note_off,,170,0,1,,,,,,,0,,73,11
952,note_on,,10,0,1,,,,,,,0,,71,59
960,note_off,,96,0,2,,,,,,,2,,62,10
960,note_on,,0,0,2,,,,,,,2,,59,31
1056,note_on,,0,0,2,,,,,,,2,,54,42
1056,note_off,,96,0,2,,,,,,,2,,59,7
1138,note_off,,186,0,1,,,,,,,0,,71,7
1140,note_on,,2,0,1,,,,,,,0,,70,68
1152,note_on,,0,0,2,,,,,,,2,,50,44
1152,note_off,,96,0,2,,,,,,,2,,54,8
1152,note_on,,0,0,2,,,,,,,2,,50,45
1248,note_off,,96,0,2,,,,,,,2,,50,8
1248,note_on,,0,0,2,,,,,,,2,,54,43
1248,note_off,,0,0,2,,,,,,,2,,50,0
1334,note_off,,194,0,1,,,,,,,0,,70,12
1344,note_off,,96,0,2,,,,,,,2,,54,7
1344,note_on,,0,0,2,,,,,,,2,,59,43
1344,note_on,,10,0,1,,,,,,,0,,71,62
1440,note_off,,96,0,2,,,,,,,2,,59,9
1440,note_on,,0,0,2,,,,,,,2,,62,45
1526,note_on,,182,0,1,,,,,,,0,,73,63
1536,note_off,,96,0,2,,,,,,,2,,62,9
1536,note_on,,0,0,2,,,,,,,2,,66,41
1536,note_on,,0,0,2,,,,,,,2,,73,42
1536,note_off,,10,0,1,,,,,,,0,,71,5
1626,note_on,,90,0,1,,,,,,,0,,74,71
1628,note_off,,2,0,1,,,,,,,0,,73,7
1632,note_on,,0,0,2,,,,,,,2,,71,34
1632,note_on,,0,0,2,,,,,,,2,,74,50
1632,note_off,,0,0,2,,,,,,,2,,66,6
1632,note_off,,96,0,2,,,,,,,2,,73,5
1728,note_on,,0,0,2,,,,,,,2,,49,37
1728,note_on,,0,0,2,,,,,,,2,,67,18
1728,note_on,,0,0,2,,,,,,,2,,76,36
1728,note_off,,96,0,2,,,,,,,2,,74,9
1728,note_off,,0,0,2,,,,,,,2,,71,12
1736,note_off,,108,0,1,,,,,,,0,,74,7
1736,note_on,,0,0,1,,,,,,,0,,76,64
1824,note_off,,96,0,2,,,,,,,2,,76,8
1824,note_off,,0,0,2,,,,,,,2,,67,6
1824,note_on,,0,0,2,,,,,,,2,,71,36
1916,note_off,,180,0,1,,,,,,,0,,76,8
1918,note_on,,2,0,1,,,,,,,0,,74,63
1920,note_on,,0,0,2,,,,,,,2,,67,43
1920,note_off,,96,0,2,,,,,,,2,,71,7
2016,note_on,,0,0,2,,,,,,,2,,64,44
2016,note_off,,96,0,2,,,,,,,2,,67,9
2016,note_off,,0,0,2,,,,,,,2,,49,8
2102,note_on,,184,0,1,,,,,,,0,,73,57
2112,note_on,,0,0,2,,,,,,,2,,59,48
2112,note_off,,96,0,2,,,,,,,2,,64,11
2114,note_off,,12,0,1,,,,,,,0,,74,9
2208,note_on,,0,0,2,,,,,,,2,,55,28
2208,note_off,,96,0,2,,,,,,,2,,59,6
2290,note_on,,0,0,1,,,,,,,0,,71,57
2290,note_off,,176,0,1,,,,,,,0,,73,9
2304,note_off,,96,0,2,,,,,,,2,,55,8
2304,note_on,,0,0,2,,,,,,,2,,52,28
2400,note_off,,96,0,2,,,,,,,2,,52,8
2400,note_on,,0,0,2,,,,,,,2,,55,41
2492,note_on,,202,0,1,,,,,,,0,,73,71
2496,note_on,,0,0,2,,,,,,,2,,59,36
2496,note_off,,96,0,2,,,,,,,2,,55,5
2498,note_off,,6,0,1,,,,,,,0,,71,6
2552,note_off,,54,0,1,,,,,,,0,,73,7
2576,note_on,,24,0,1,,,,,,,0,,73,51
2592,note_on,,0,0,2,,,,,,,2,,64,46
2592,note_off,,96,0,2,,,,,,,2,,59,8
2674,note_off,,98,0,1,,,,,,,0,,73,8
2682,note_on,,8,0,1,,,,,,,0,,74,67
2688,note_on,,0,0,2,,,,,,,2,,71,37
2688,note_off,,96,0,2,,,,,,,2,,64,7
2688,note_on,,0,0,2,,,,,,,2,,74,47
2774,note_off,,92,0,1,,,,,,,0,,74,12
2780,note_on,,6,0,1,,,,,,,0,,76,72
2784,note_on,,0,0,2,,,,,,,2,,76,45
2784,note_on,,0,0,2,,,,,,,2,,73,44
2784,note_off,,96,0,2,,,,,,,2,,74,8
2784,note_off,,0,0,2,,,,,,,2,,71,8
2876,note_off,,96,0,1,,,,,,,0,,76,10
2880,note_on,,4,0,1,,,,,,,0,,78,73
2880,note_on,,0,0,2,,,,,,,2,,78,45
2880,note_on,,0,0,2,,,,,,,2,,71,34
2880,note_on,,0,0,2,,,,,,,2,,50,40
2880,note_off,,0,0,2,,,,,,,2,,73,9
2880,note_off,,96,0,2,,,,,,,2,,76,10
2976,note_on,,0,0,2,,,,,,,2,,74,41
2976,note_off,,0,0,2,,,,,,,2,,71,6
2976,note_off,,96,0,2,,,,,,,2,,78,7
3070,note_off,,190,0,1,,,,,,,0,,78,7
3072,note_on,,0,0,2,,,,,,,2,,71,41
3072,note_off,,0,0,2,,,,,,,2,,50,6
3072,note_off,,96,0,2,,,,,,,2,,74,8
3076,note_on,,6,0,1,,,,,,,0,,74,67
3168,note_off,,96,0,2,,,,,,,2,,71,8
3168,note_on,,0,0,2,,,,,,,2,,66,23
3238,note_off,,162,0,1,,,,,,,0,,74,12
3254,note_on,,16,0,1,,,,,,,0,,71,55
3264,note_off,,96,0,2,,,,,,,2,,66,8
3264,note_on,,0,0,2,,,,,,,2,,62,39
3360,note_on,,0,0,2,,,,,,,2,,59,42
3360,note_off,,96,0,2,,,,,,,2,,62,6
3448,note_off,,194,0,1,,,,,,,0,,71,8
3456,note_off,,96,0,2,,,,,,,2,,59,9
3456,note_on,,8,0,1,,,,,,,0,,69,64
3456,note_on,,0,0,2,,,,,,,2,,54,54
3552,note_off,,96,0,2,,,,,,,2,,54,7
3552,note_on,,0,0,2,,,,,,,2,,57,31
3648,note_on,,0,0,2,,,,,,,2,,62,34
3648,note_off,,96,0,2,,,,,,,2,,57,9
3650,note_on,,194,0,1,,,,,,,0,,66,66
3652,note_off,,2,0,1,,,,,,,0,,69,11
3744,note_on,,0,0,2,,,,,,,2,,66,35
3744,note_off,,96,0,2,,,,,,,2,,62,7
3834,note_on,,182,0,1,,,,,,,0,,74,69
3840,note_on,,0,0,2,,,,,,,2,,69,39
3840,note_off,,96,0,2,,,,,,,2,,66,6
3844,note_off,,10,0,1,,,,,,,0,,66,8
3936,note_on,,0,0,2,,,,,,,2,,74,39
3936,note_off,,96,0,2,,,,,,,2,,69,6
4024,note_on,,180,0,1,,,,,,,0,,73,74
4032,note_on,,0,0,2,,,,,,,2,,52,30
4032,note_off,,96,0,2,,,,,,,2,,74,6
4032,note_off,,8,0,1,,,,,,,0,,74,6
4128,note_on,,0,0,2,,,,,,,2,,55,38
4128,note_off,,96,0,2,,,,,,,2,,52,6
4210,note_off,,178,0,1,,,,,,,0,,73,8
4220,note_on,,10,0,1,,,,,,,0,,71,61
4224,note_off,,96,0,2,,,,,,,2,,55,10
4224,note_on,,0,0,2,,,,,,,2,,61,46
4320,note_off,,96,0,2,,,,,,,2,,61,7
4320,note_on,,0,0,2,,,,,,,2,,64,42
4402,note_off,,182,0,1,,,,,,,0,,71,10
4410,note_on,,8,0,1,,,,,,,0,,70,68
4416,note_off,,96,0,2,,,,,,,2,,64,7
4416,note_on,,0,0,2,,,,,,,2,,67,50
4512,note_on,,0,0,2,,,,,,,2,,73,32
4512,note_off,,96,0,2,,,,,,,2,,67,7
4608,note_on,,0,0,2,,,,,,,2,,54,45
4608,note_on,,198,0,1,,,,,,,0,,73,65
4608,note_off,,96,0,2,,,,,,,2,,73,12
4616,note_off,,8,0,1,,,,,,,0,,70,9
4704,note_off,,96,0,2,,,,,,,2,,54,6
4704,note_on,,0,0,2,,,,,,,2,,58,37
4800,note_on,,0,0,2,,,,,,,2,,61,37
4800,note_off,,96,0,2,,,,,,,2,,58,7
4896,note_on,,0,0,2,,,,,,,2,,66,46
4896,note_off,,96,0,2,,,,,,,2,,61,8
4992,note_on,,0,0,2,,,,,,,2,,78,61
4992,note_off,,96,0,2,,,,,,,2,,66,10
5088,note_off,,96,0,2,,,,,,,2,,78,6
5088,note_on,,0,0,2,,,,,,,2,,79,58
5182,note_off,,566,0,1,,,,,,,0,,73,8
5184,note_off,,96,0,2,,,,,,,2,,79,15
5184,note_on,,0,0,2,,,,,,,2,,47,38
5184,note_on,,0,0,2,,,,,,,2,,69,25
5184,note_on,,0,0,2,,,,,,,2,,71,15
5184,note_on,,0,0,2,,,,,,,2,,75,55
5184,note_on,,0,0,2,,,,,,,2,,81,68
5192,note_on,,10,0,1,,,,,,,0,,71,60
5280,note_off,,96,0,2,,,,,,,2,,47,9
5280,note_on,,0,0,2,,,,,,,2,,59,44
5376,note_off,,0,0,2,,,,,,,2,,81,5
5376,note_on,,0,0,2,,,,,,,2,,78,57
5376,note_off,,96,0,2,,,,,,,2,,59,9
5376,note_on,,0,0,2,,,,,,,2,,63,33
5472,note_off,,96,0,2,,,,,,,2,,78,9
5472,note_off,,0,0,2,,,,,,,2,,63,9
5472,note_off,,0,0,2,,,,,,,2,,75,7
5472,note_off,,0,0,2,,,,,,,2,,71,3
5472,note_off,,0,0,2,,,,,,,2,,69,6
5472,note_on,,0,0,2,,,,,,,2,,66,55
5568,note_on,,0,0,2,,,,,,,2,,75,74
5568,note_off,,96,0,2,,,,,,,2,,66,11
5568,note_on,,0,0,2,,,,,,,2,,67,50
