tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
2554,note_off,,,,,17,0,0,,,0,48,64,,
2554,control_change,,,,,0,0,0,,,0,,,64,127
2560,note_on,,,,,6,0,0,,,0,63,67,,
2567,note_on,,,,,7,0,0,,,0,55,94,,
2568,note_on,,,,,1,0,0,,,0,60,74,,
2626,note_off,,,,,58,0,0,,,0,55,64,,
2638,note_off,,,,,12,0,0,,,0,60,64,,
2646,note_off,,,,,8,0,0,,,0,63,64,,
2655,note_on,,,,,9,0,0,,,0,51,88,,
2660,note_on,,,,,5,0,0,,,0,48,86,,
2711,note_off,,,,,51,0,0,,,0,51,64,,
2716,note_off,,,,,5,0,0,,,0,48,64,,
2736,note_off,,,,,20,0,0,,,0,67,64,,
2760,note_on,,,,,24,0,0,,,0,55,94,,
2765,note_on,,,,,5,0,0,,,0,57,32,,
2802,note_off,,,,,37,0,0,,,0,57,64,,
2804,note_off,,,,,2,0,0,,,0,55,64,,
2838,note_on,,,,,34,0,0,,,0,69,96,,
2838,control_change,,,,,0,0,0,,,0,,,64,0
2841,note_on,,,,,3,0,0,,,0,61,94,,
2842,note_on,,,,,1,0,0,,,0,64,98,,
2844,note_on,,,,,2,0,0,,,0,45,95,,
2845,note_on,,,,,1,0,0,,,0,33,95,,
2890,note_off,,,,,45,0,0,,,0,33,64,,
2904,note_off,,,,,14,0,0,,,0,64,64,,
2906,note_off,,,,,2,0,0,,,0,61,64,,
2922,note_off,,,,,16,0,0,,,0,45,64,,
2931,control_change,,,,,9,0,0,,,0,,,64,127
2936,note_on,,,,,5,0,0,,,0,57,80,,
2937,note_on,,,,,1,0,0,,,0,61,70,,
2938,note_on,,,,,1,0,0,,,0,64,81,,
2964,note_off,,,,,26,0,0,,,0,57,64,,
3005,note_off,,,,,41,0,0,,,0,61,64,,
3006,note_off,,,,,1,0,0,,,0,69,64,,
3017,note_on,,,,,11,0,0,,,0,45,70,,
3022,note_off,,,,,5,0,0,,,0,64,64,,
3023,note_on,,,,,1,0,0,,,0,52,92,,
3023,note_on,,,,,0,0,0,,,0,49,79,,
3047,note_off,,,,,24,0,0,,,0,45,64,,
3070,note_off,,,,,23,0,0,,,0,49,64,,
3071,note_off,,,,,1,0,0,,,0,52,64,,
3113,note_on,,,,,42,0,0,,,0,57,85,,
3114,note_on,,,,,1,0,0,,,0,52,67,,
3121,note_on,,,,,7,0,0,,,0,49,65,,
3131,note_off,,,,,10,0,0,,,0,57,64,,
3137,note_off,,,,,6,0,0,,,0,52,64,,
3142,note_off,,,,,5,0,0,,,0,49,64,,
3215,control_change,,,,,73,0,0,,,0,,,64,0
3230,note_on,,,,,15,0,0,,,0,62,105,,
3233,note_on,,,,,3,0,0,,,0,57,85,,
3233,note_on,,,,,0,0,0,,,0,54,97,,
3249,note_on,,,,,16,0,0,,,0,38,102,,
3250,note_on,,,,,1,0,0,,,0,26,95,,
3266,note_off,,,,,16,0,0,,,0,26,64,,
3274,note_off,,,,,8,0,0,,,0,38,64,,
3300,note_off,,,,,26,0,0,,,0,54,64,,
3301,note_off,,,,,1,0,0,,,0,57,64,,
3323,control_change,,,,,22,0,0,,,0,,,64,127
3329,note_on,,,,,6,0,0,,,0,57,80,,
3332,note_on,,,,,3,0,0,,,0,54,77,,
3334,note_on,,,,,2,0,0,,,0,50,87,,
3381,note_off,,,,,47,0,0,,,0,50,64,,
3416,note_off,,,,,35,0,0,,,0,54,64,,
3445,note_on,,,,,29,0,0,,,0,38,79,,
3452,note_on,,,,,7,0,0,,,0,45,56,,
3470,note_off,,,,,18,0,0,,,0,57,64,,
3480,note_off,,,,,10,0,0,,,0,45,64,,
3486,note_off,,,,,6,0,0,,,0,38,64,,
3525,note_on,,,,,39,0,0,,,0,45,44,,
3525,note_on,,,,,0,0,0,,,0,50,91,,
3528,note_on,,,,,3,0,0,,,0,38,73,,
3548,note_off,,,,,20,0,0,,,0,38,64,,
3555,note_off,,,,,7,0,0,,,0,62,64,,
3557,note_off,,,,,2,0,0,,,0,45,64,,
3572,note_off,,,,,15,0,0,,,0,50,64,,
3609,note_on,,,,,37,0,0,,,0,54,105,,
3612,note_on,,,,,3,0,0,,,0,50,72,,
3650,note_off,,,,,38,0,0,,,0,50,64,,
3663,note_off,,,,,13,0,0,,,0,54,64,,
3699,note_on,,,,,36,0,0,,,0,50,73,,
3700,note_on,,,,,1,0,0,,,0,54,57,,
3702,note_on,,,,,2,0,0,,,0,57,91,,
3724,note_off,,,,,22,0,0,,,0,54,64,,
3749,note_off,,,,,25,0,0,,,0,50,64,,
3758,note_off,,,,,9,0,0,,,0,57,64,,
3809,note_on,,,,,51,0,0,,,0,57,58,,
3810,note_on,,,,,1,0,0,,,0,60,94,,
3815,note_on,,,,,5,0,0,,,0,50,93,,
3823,note_on,,,,,8,0,0,,,0,76,101,,
3824,note_on,,,,,1,0,0,,,0,67,105,,
3871,note_off,,,,,47,0,0,,,0,67,64,,
3872,note_off,,,,,1,0,0,,,0,60,64,,
3882,note_off,,,,,10,0,0,,,0,57,64,,
3888,note_off,,,,,6,0,0,,,0,50,64,,
3892,note_off,,,,,4,0,0,,,0,76,64,,
3914,control_change,,,,,22,0,0,,,0,,,64,0
3924,note_on,,,,,10,0,0,,,0,69,89,,
3924,note_on,,,,,0,0,0,,,0,72,93,,
3924,note_on,,,,,0,0,0,,,0,78,100,,
3977,note_off,,,,,53,0,0,,,0,72,64,,
3986,note_off,,,,,9,0,0,,,0,69,64,,
4012,note_off,,,,,26,0,0,,,0,78,64,,
4045,note_on,,,,,33,0,0,,,0,79,113,,
4046,note_on,,,,,1,0,0,,,0,70,90,,
4049,note_on,,,,,3,0,0,,,0,74,95,,
4051,note_on,,,,,2,0,0,,,0,31,113,,
4051,note_on,,,,,0,0,0,,,0,43,107,,
4099,note_off,,,,,48,0,0,,,0,31,64,,
4107,note_off,,,,,8,0,0,,,0,74,64,,
4121,note_off,,,,,14,0,0,,,0,70,64,,
4129,note_off,,,,,8,0,0,,,0,43,64,,
4129,control_change,,,,,0,0,0,,,0,,,64,127
4161,note_on,,,,,32,0,0,,,0,67,79,,
4165,note_on,,,,,4,0,0,,,0,74,53,,
4165,note_on,,,,,0,0,0,,,0,70,36,,
4204,note_off,,,,,39,0,0,,,0,67,64,,
4212,note_off,,,,,8,0,0,,,0,70,64,,
4244,note_off,,,,,32,0,0,,,0,74,64,,
4253,note_on,,,,,9,0,0,,,0,50,75,,
4253,note_on,,,,,0,0,0,,,0,58,77,,
4271,note_on,,,,,18,0,0,,,0,55,54,,
4298,note_off,,,,,27,0,0,,,0,55,64,,
4314,note_off,,,,,16,0,0,,,0,58,64,,
4317,note_off,,,,,3,0,0,,,0,50,64,,
4347,note_on,,,,,30,0,0,,,0,62,101,,
4347,note_on,,,,,0,0,0,,,0,55,66,,
4351,note_on,,,,,4,0,0,,,0,58,54,,
4352,note_off,,,,,1,0,0,,,0,79,64,,
4381,note_off,,,,,29,0,0,,,0,62,64,,
4393,note_off,,,,,12,0,0,,,0,55,64,,
4396,note_off,,,,,3,0,0,,,0,58,64,,
4436,note_on,,,,,40,0,0,,,0,70,88,,
4436,note_on,,,,,0,0,0,,,0,67,106,,
4439,note_on,,,,,3,0,0,,,0,74,103,,
4504,note_off,,,,,65,0,0,,,0,67,64,,
4522,note_off,,,,,18,0,0,,,0,74,64,,
4522,note_off,,,,,0,0,0,,,0,70,64,,
4616,note_on,,,,,94,0,0,,,0,77,95,,
4618,note_on,,,,,2,0,0,,,0,69,84,,
4621,note_on,,,,,3,0,0,,,0,48,91,,
4622,note_on,,,,,1,0,0,,,0,72,89,,
4624,note_on,,,,,2,0,0,,,0,36,91,,
4636,control_change,,,,,12,0,0,,,0,,,64,0
4645,note_off,,,,,9,0,0,,,0,72,64,,
4658,note_off,,,,,13,0,0,,,0,77,64,,
4661,note_off,,,,,3,0,0,,,0,69,64,,
4668,note_off,,,,,7,0,0,,,0,48,64,,
4680,note_off,,,,,12,0,0,,,0,36,64,,
4708,note_on,,,,,28,0,0,,,0,76,92,,
4708,note_on,,,,,0,0,0,,,0,70,85,,
4709,note_on,,,,,1,0,0,,,0,67,100,,
