tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,data,control,value,channel,program,key,note,velocity
5232,note_on,0,0,0,,,,,,,,,0,,,45,0
5232,note_on,0,0,0,,,,,,,,,0,,,76,0
5232,note_on,0,0,0,,,,,,,,,0,,,74,77
5244,note_on,12,0,0,,,,,,,,,0,,,50,66
5292,note_on,48,0,0,,,,,,,,,0,,,73,80
5292,note_on,0,0,0,,,,,,,,,0,,,62,66
5292,note_on,0,0,0,,,,,,,,,0,,,64,80
5352,note_on,60,0,0,,,,,,,,,0,,,74,0
5676,note_on,324,0,0,,,,,,,,,0,,,50,0
5676,note_on,0,0,0,,,,,,,,,0,,,62,0
5724,note_on,48,0,0,,,,,,,,,0,,,54,49
5760,note_on,36,0,0,,,,,,,,,0,,,57,49
5760,note_on,0,0,0,,,,,,,,,0,,,62,60
5760,note_on,0,0,0,,,,,,,,,0,,,71,60
5772,note_on,12,0,0,,,,,,,,,0,,,73,0
5772,note_on,0,0,0,,,,,,,,,0,,,64,0
6144,note_on,372,0,0,,,,,,,,,0,,,54,0
6144,note_on,0,0,0,,,,,,,,,0,,,57,0
6192,note_on,48,0,0,,,,,,,,,0,,,62,0
6192,note_on,0,0,0,,,,,,,,,0,,,71,0
6240,note_on,48,0,0,,,,,,,,,0,,,73,78
6240,note_on,0,0,0,,,,,,,,,0,,,45,69
6240,note_on,0,0,0,,,,,,,,,0,,,64,78
6672,note_on,432,0,0,,,,,,,,,0,,,45,0
6682,note_on,10,0,0,,,,,,,,,0,,,57,64
6728,note_on,46,0,0,,,,,,,,,0,,,61,64
6960,note_on,232,0,0,,,,,,,,,0,,,69,51
6982,note_on,22,0,0,,,,,,,,,0,,,73,0
6982,note_on,0,0,0,,,,,,,,,0,,,64,0
7112,note_on,130,0,0,,,,,,,,,0,,,57,0
7112,note_on,0,0,0,,,,,,,,,0,,,61,0
7162,note_on,50,0,0,,,,,,,,,0,,,61,61
7176,note_on,14,0,0,,,,,,,,,0,,,69,0
7208,note_on,32,0,0,,,,,,,,,0,,,69,85
7208,note_on,0,0,0,,,,,,,,,0,,,64,61
7424,note_on,216,0,0,,,,,,,,,0,,,69,0
7440,note_on,16,0,0,,,,,,,,,0,,,76,69
7440,note_on,0,0,0,,,,,,,,,0,,,73,69
7592,note_on,152,0,0,,,,,,,,,0,,,61,0
7592,note_on,0,0,0,,,,,,,,,0,,,64,0
7656,note_on,64,0,0,,,,,,,,,0,,,76,0
7656,note_on,0,0,0,,,,,,,,,0,,,73,0
7680,note_on,24,0,0,,,,,,,,,0,,,78,86
7680,note_on,0,0,0,,,,,,,,,0,,,54,75
7680,note_on,0,0,0,,,,,,,,,0,,,69,86
8112,note_on,432,0,0,,,,,,,,,0,,,54,0
8116,note_on,4,0,0,,,,,,,,,0,,,61,64
8160,note_on,44,0,0,,,,,,,,,0,,,66,64
8422,note_on,262,0,0,,,,,,,,,0,,,78,0
8422,note_on,0,0,0,,,,,,,,,0,,,69,0
8422,note_on,0,0,0,,,,,,,,,0,,,73,50
8536,note_on,114,0,0,,,,,,,,,0,,,61,0
8544,note_on,8,0,0,,,,,,,,,0,,,66,0
8596,note_on,52,0,0,,,,,,,,,0,,,57,61
8638,note_on,42,0,0,,,,,,,,,0,,,73,0
8640,note_on,2,0,0,,,,,,,,,0,,,69,83
8640,note_on,0,0,0,,,,,,,,,0,,,73,83
8640,note_on,0,0,0,,,,,,,,,0,,,61,61
8880,note_on,240,0,0,,,,,,,,,0,,,69,0
8880,note_on,0,0,0,,,,,,,,,0,,,73,0
8880,note_on,0,0,0,,,,,,,,,0,,,76,69
9016,note_on,136,0,0,,,,,,,,,0,,,57,0
9024,note_on,8,0,0,,,,,,,,,0,,,61,0
9120,note_on,96,0,0,,,,,,,,,0,,,76,0
9120,note_on,0,0,0,,,,,,,,,0,,,78,85
9120,note_on,0,0,0,,,,,,,,,0,,,54,75
9120,note_on,0,0,0,,,,,,,,,0,,,69,85
9552,note_on,432,0,0,,,,,,,,,0,,,54,0
9556,note_on,4,0,0,,,,,,,,,0,,,61,64
9600,note_on,44,0,0,,,,,,,,,0,,,66,64
9862,note_on,262,0,0,,,,,,,,,0,,,78,0
9862,note_on,0,0,0,,,,,,,,,0,,,69,0
9862,note_on,0,0,0,,,,,,,,,0,,,73,49
9976,note_on,114,0,0,,,,,,,,,0,,,61,0
9984,note_on,8,0,0,,,,,,,,,0,,,66,0
10036,note_on,52,0,0,,,,,,,,,0,,,57,66
10078,note_on,42,0,0,,,,,,,,,0,,,73,0
10080,note_on,2,0,0,,,,,,,,,0,,,69,86
10080,note_on,0,0,0,,,,,,,,,0,,,73,86
10080,note_on,0,0,0,,,,,,,,,0,,,61,66
10320,note_on,240,0,0,,,,,,,,,0,,,69,0
10320,note_on,0,0,0,,,,,,,,,0,,,73,0
10320,note_on,0,0,0,,,,,,,,,0,,,76,90
10456,note_on,136,0,0,,,,,,,,,0,,,57,0
10464,note_on,8,0,0,,,,,,,,,0,,,61,0
10560,note_on,96,0,0,,,,,,,,,0,,,76,0
10560,note_on,0,0,0,,,,,,,,,0,,,68,87
10560,note_on,0,0,0,,,,,,,,,0,,,80,88
10560,note_on,0,0,0,,,,,,,,,0,,,52,78
10800,note_on,240,0,0,,,,,,,,,0,,,68,0
10800,note_on,0,0,0,,,,,,,,,0,,,80,0
10800,note_on,0,0,0,,,,,,,,,0,,,78,84
10992,note_on,192,0,0,,,,,,,,,0,,,52,0
11040,note_on,48,0,0,,,,,,,,,0,,,78,0
11040,note_on,0,0,0,,,,,,,,,0,,,76,76
11040,note_on,0,0,0,,,,,,,,,0,,,61,66
11040,note_on,0,0,0,,,,,,,,,0,,,68,76
11040,note_on,0,0,0,,,,,,,,,0,,,56,66
11424,note_on,384,0,0,,,,,,,,,0,,,61,0
11460,note_on,36,0,0,,,,,,,,,0,,,56,0
11472,note_on,12,0,0,,,,,,,,,0,,,76,0
11472,note_on,0,0,0,,,,,,,,,0,,,68,0
11520,note_on,48,0,0,,,,,,,,,0,,,75,60
11520,note_on,0,0,0,,,,,,,,,0,,,60,49
11520,note_on,0,0,0,,,,,,,,,0,,,66,60
11520,note_on,0,0,0,,,,,,,,,0,,,56,49
11952,note_on,432,0,0,,,,,,,,,0,,,75,0
11952,note_on,0,0,0,,,,,,,,,0,,,60,0
11952,note_on,0,0,0,,,,,,,,,0,,,66,0
11952,note_on,0,0,0,,,,,,,,,0,,,56,0
12000,note_on,48,0,0,,,,,,,,,0,,,76,73
12000,note_on,0,0,0,,,,,,,,,0,,,49,62
12000,note_on,0,0,0,,,,,,,,,0,,,68,73
12432,note_on,432,0,0,,,,,,,,,0,,,49,0
12480,note_on,48,0,0,,,,,,,,,0,,,56,58
12480,note_on,0,0,0,,,,,,,,,0,,,61,58
12720,note_on,240,0,0,,,,,,,,,0,,,76,0
12720,note_on,0,0,0,,,,,,,,,0,,,68,0
12720,set_tempo,0,1,0,,,,,734394,,,,,,,,
12720,note_on,0,0,0,,,,,,,,,0,,,64,46
12720,note_on,0,0,0,,,,,,,,,0,,,68,46
12864,note_on,144,0,0,,,,,,,,,0,,,56,0
12864,note_on,0,0,0,,,,,,,,,0,,,61,0
12936,note_on,72,0,0,,,,,,,,,0,,,64,0
12936,note_on,0,0,0,,,,,,,,,0,,,68,0
12968,note_on,32,0,0,,,,,,,,,0,,,64,64
12968,note_on,0,0,0,,,,,,,,,0,,,56,55
12968,note_on,0,0,0,,,,,,,,,0,,,52,55
12968,note_on,0,0,0,,,,,,,,,0,,,68,64
13200,note_on,232,0,0,,,,,,,,,0,,,73,85
13208,note_on,8,0,0,,,,,,,,,0,,,64,0
13208,note_on,0,0,0,,,,,,,,,0,,,68,0
13352,note_on,144,0,0,,,,,,,,,0,,,56,0
13352,note_on,0,0,0,,,,,,,,,0,,,52,0
13440,note_on,88,0,0,,,,,,,,,0,,,73,0
13440,set_tempo,0,1,0,,,,,625325,,,,,,,,
13440,note_on,0,0,0,,,,,,,,,0,,,73,73
13440,note_on,0,0,0,,,,,,,,,0,,,45,64
13440,note_on,0,0,0,,,,,,,,,0,,,64,73
13872,note_on,432,0,0,,,,,,,,,0,,,45,0
13882,note_on,10,0,0,,,,,,,,,0,,,52,64
13928,note_on,46,0,0,,,,,,,,,0,,,61,64
14160,note_on,232,0,0,,,,,,,,,0,,,73,0
14160,note_on,0,0,0,,,,,,,,,0,,,64,0
14160,note_on,0,0,0,,,,,,,,,0,,,69,50
14312,note_on,152,0,0,,,,,,,,,0,,,52,0
14362,note_on,50,0,0,,,,,,,,,0,,,49,61
14376,note_on,14,0,0,,,,,,,,,0,,,61,0
14376,note_on,0,0,0,,,,,,,,,0,,,69,0
14408,note_on,32,0,0,,,,,,,,,0,,,69,79
14408,note_on,0,0,0,,,,,,,,,0,,,57,61
14408,note_on,0,0,0,,,,,,,,,0,,,61,79
14624,note_on,216,0,0,,,,,,,,,0,,,69,0
14624,note_on,0,0,0,,,,,,,,,0,,,61,0
14640,note_on,16,0,0,,,,,,,,,0,,,73,66
14640,note_on,0,0,0,,,,,,,,,0,,,64,66
14792,note_on,152,0,0,,,,,,,,,0,,,49,0
14792,note_on,0,0,0,,,,,,,,,0,,,57,0
14880,note_on,88,0,0,,,,,,,,,0,,,73,0
14880,note_on,0,0,0,,,,,,,,,0,,,64,0
14888,note_on,8,0,0,,,,,,,,,0,,,64,83
14888,note_on,0,0,0,,,,,,,,,0,,,73,83
14888,note_on,0,0,0,,,,,,,,,0,,,45,71
15320,note_on,432,0,0,,,,,,,,,0,,,45,0
15322,note_on,2,0,0,,,,,,,,,0,,,52,64
15368,note_on,46,0,0,,,,,,,,,0,,,61,64
15600,note_on,232,0,0,,,,,,,,,0,,,69,51
15608,note_on,8,0,0,,,,,,,,,0,,,64,0
15608,note_on,0,0,0,,,,,,,,,0,,,73,0
15752,note_on,144,0,0,,,,,,,,,0,,,52,0
15786,note_on,34,0,0,,,,,,,,,0,,,49,69
15816,note_on,30,0,0,,,,,,,,,0,,,61,0
15816,note_on,0,0,0,,,,,,,,,0,,,69,0
15832,note_on,16,0,0,,,,,,,,,0,,,69,83
15832,note_on,0,0,0,,,,,,,,,0,,,57,69
15832,note_on,0,0,0,,,,,,,,,0,,,61,83
16048,note_on,216,0,0,,,,,,,,,0,,,69,0
16048,note_on,0,0,0,,,,,,,,,0,,,61,0
16080,note_on,32,0,0,,,,,,,,,0,,,73,88
16080,note_on,0,0,0,,,,,,,,,0,,,64,88
16216,note_on,136,0,0,,,,,,,,,0,,,49,0
16216,note_on,0,0,0,,,,,,,,,0,,,57,0
16296,note_on,80,0,0,,,,,,,,,0,,,73,0
16296,note_on,0,0,0,,,,,,,,,0,,,64,0
16320,note_on,24,0,0,,,,,,,,,0,,,66,93
16320,note_on,0,0,0,,,,,,,,,0,,,74,93
16320,note_on,0,0,0,,,,,,,,,0,,,45,78
16632,note_on,312,0,0,,,,,,,,,0,,,76,82
16752,note_on,120,0,0,,,,,,,,,0,,,74,0
16752,note_on,0,0,0,,,,,,,,,0,,,45,0
16752,note_on,0,0,0,,,,,,,,,0,,,76,0
16752,note_on,0,0,0,,,,,,,,,0,,,74,77
16768,note_on,16,0,0,,,,,,,,,0,,,50,66
16800,note_on,32,0,0,,,,,,,,,0,,,66,0
16812,note_on,12,0,0,,,,,,,,,0,,,64,80
16812,note_on,0,0,0,,,,,,,,,0,,,73,80
16812,note_on,0,0,0,,,,,,,,,0,,,62,66
16872,note_on,60,0,0,,,,,,,,,0,,,74,0
17196,note_on,324,0,0,,,,,,,,,0,,,50,0
17196,note_on,0,0,0,,,,,,,,,0,,,62,0
17244,note_on,48,0,0,,,,,,,,,0,,,54,49
17280,note_on,36,0,0,,,,,,,,,0,,,57,49
17280,note_on,0,0,0,,,,,,,,,0,,,62,60
17280,note_on,0,0,0,,,,,,,,,0,,,71,60
17292,note_on,12,0,0,,,,,,,,,0,,,64,0
17292,note_on,0,0,0,,,,,,,,,0,,,73,0
17664,note_on,372,0,0,,,,,,,,,0,,,54,0
17664,note_on,0,0,0,,,,,,,,,0,,,57,0
17712,note_on,48,0,0,,,,,,,,,0,,,62,0
17712,note_on,0,0,0,,,,,,,,,0,,,71,0
17760,note_on,48,0,0,,,,,,,,,0,,,73,78
17760,note_on,0,0,0,,,,,,,,,0,,,45,69
17760,note_on,0,0,0,,,,,,,,,0,,,64,78
18192,note_on,432,0,0,,,,,,,,,0,,,45,0
18196,note_on,4,0,0,,,,,,,,,0,,,57,64
18240,note_on,44,0,0,,,,,,,,,0,,,61,64
18502,note_on,262,0,0,,,,,,,,,0,,,73,0
18502,note_on,0,0,0,,,,,,,,,0,,,64,0
18502,note_on,0,0,0,,,,,,,,,0,,,69,51
18624,note_on,122,0,0,,,,,,,,,0,,,57,0
18624,note_on,0,0,0,,,,,,,,,0,,,61,0
18684,note_on,60,0,0,,,,,,,,,0,,,61,61
18718,note_on,34,0,0,,,,,,,,,0,,,69,0
18720,note_on,2,0,0,,,,,,,,,0,,,69,82
18720,note_on,0,0,0,,,,,,,,,0,,,64,61
18960,note_on,240,0,0,,,,,,,,,0,,,69,0
18960,note_on,0,0,0,,,,,,,,,0,,,76,69
18960,note_on,0,0,0,,,,,,,,,0,,,73,69
19104,note_on,144,0,0,,,,,,,,,0,,,61,0
19104,note_on,0,0,0,,,,,,,,,0,,,64,0
19200,note_on,96,0,0,,,,,,,,,0,,,76,0
19200,note_on,0,0,0,,,,,,,,,0,,,73,0
19200,note_on,0,0,0,,,,,,,,,0,,,78,86
19200,note_on,0,0,0,,,,,,,,,0,,,54,75
19200,note_on,0,0,0,,,,,,,,,0,,,69,86
19632,note_on,432,0,0,,,,,,,,,0,,,54,0
19636,note_on,4,0,0,,,,,,,,,0,,,61,64
19680,note_on,44,0,0,,,,,,,,,0,,,66,64
19942,note_on,262,0,0,,,,,,,,,0,,,78,0
19942,note_on,0,0,0,,,,,,,,,0,,,69,0
19942,note_on,0,0,0,,,,,,,,,0,,,73,51
20064,note_on,122,0,0,,,,,,,,,0,,,61,0
20064,note_on,0,0,0,,,,,,,,,0,,,66,0
20124,note_on,60,0,0,,,,,,,,,0,,,57,61
20158,note_on,34,0,0,,,,,,,,,0,,,73,0
20160,note_on,2,0,0,,,,,,,,,0,,,73,82
20160,note_on,0,0,0,,,,,,,,,0,,,61,61
20160,note_on,0,0,0,,,,,,,,,0,,,69,82
20400,note_on,240,0,0,,,,,,,,,0,,,73,0
20400,note_on,0,0,0,,,,,,,,,0,,,69,0
20400,note_on,0,0,0,,,,,,,,,0,,,76,69
20544,note_on,144,0,0,,,,,,,,,0,,,57,0
20544,note_on,0,0,0,,,,,,,,,0,,,61,0
20640,note_on,96,0,0,,,,,,,,,0,,,76,0
20640,note_on,0,0,0,,,,,,,,,0,,,78,85
20640,note_on,0,0,0,,,,,,,,,0,,,54,75
20640,note_on,0,0,0,,,,,,,,,0,,,69,85
21072,note_on,432,0,0,,,,,,,,,0,,,54,0
21076,note_on,4,0,0,,,,,,,,,0,,,61,64
21120,note_on,44,0,0,,,,,,,,,0,,,66,64
21382,note_on,262,0,0,,,,,,,,,0,,,78,0
21382,note_on,0,0,0,,,,,,,,,0,,,69,0
21382,note_on,0,0,0,,,,,,,,,0,,,73,51
21504,note_on,122,0,0,,,,,,,,,0,,,61,0
21504,note_on,0,0,0,,,,,,,,,0,,,66,0
21564,note_on,60,0,0,,,,,,,,,0,,,57,66
21598,note_on,34,0,0,,,,,,,,,0,,,73,0
21600,note_on,2,0,0,,,,,,,,,0,,,73,86
21600,note_on,0,0,0,,,,,,,,,0,,,61,66
21600,note_on,0,0,0,,,,,,,,,0,,,69,86
21840,note_on,240,0,0,,,,,,,,,0,,,73,0
21840,note_on,0,0,0,,,,,,,,,0,,,69,0
21840,note_on,0,0,0,,,,,,,,,0,,,76,88
21984,note_on,144,0,0,,,,,,,,,0,,,57,0
21984,note_on,0,0,0,,,,,,,,,0,,,61,0
22080,note_on,96,0,0,,,,,,,,,0,,,76,0
22080,note_on,0,0,0,,,,,,,,,0,,,68,88
22080,note_on,0,0,0,,,,,,,,,0,,,80,88
22080,note_on,0,0,0,,,,,,,,,0,,,52,78
22320,note_on,240,0,0,,,,,,,,,0,,,68,0
22320,note_on,0,0,0,,,,,,,,,0,,,80,0
22320,note_on,0,0,0,,,,,,,,,0,,,78,84
22512,note_on,192,0,0,,,,,,,,,0,,,52,0
22560,note_on,48,0,0,,,,,,,,,0,,,78,0
22560,note_on,0,0,0,,,,,,,,,0,,,61,66
22560,note_on,0,0,0,,,,,,,,,0,,,68,76
22560,note_on,0,0,0,,,,,,,,,0,,,76,76
22560,note_on,0,0,0,,,,,,,,,0,,,56,66
22944,note_on,384,0,0,,,,,,,,,0,,,61,0
22944,note_on,0,0,0,,,,,,,,,0,,,56,0
22992,note_on,48,0,0,,,,,,,,,0,,,68,0
22992,note_on,0,0,0,,,,,,,,,0,,,76,0
23040,note_on,48,0,0,,,,,,,,,0,,,75,60
23040,note_on,0,0,0,,,,,,,,,0,,,60,49
23040,note_on,0,0,0,,,,,,,,,0,,,56,49
23040,note_on,0,0,0,,,,,,,,,0,,,66,60
23424,note_on,384,0,0,,,,,,,,,0,,,60,0
23424,note_on,0,0,0,,,,,,,,,0,,,56,0
23472,note_on,48,0,0,,,,,,,,,0,,,75,0
23472,note_on,0,0,0,,,,,,,,,0,,,66,0
23520,note_on,48,0,0,,,,,,,,,0,,,76,73
23520,note_on,0,0,0,,,,,,,,,0,,,49,62
23520,note_on,0,0,0,,,,,,,,,0,,,68,73
23952,note_on,432,0,0,,,,,,,,,0,,,49,0
24000,note_on,48,0,0,,,,,,,,,0,,,61,58
24000,note_on,0,0,0,,,,,,,,,0,,,56,58
24262,note_on,262,0,0,,,,,,,,,0,,,76,0
24262,note_on,0,0,0,,,,,,,,,0,,,68,0
24262,note_on,0,0,0,,,,,,,,,0,,,73,46
24262,note_on,0,0,0,,,,,,,,,0,,,64,46
24360,set_tempo,98,1,0,,,,,751879,,,,,,,,
24384,note_on,24,0,0,,,,,,,,,0,,,61,0
24384,note_on,0,0,0,,,,,,,,,0,,,56,0
24478,note_on,94,0,0,,,,,,,,,0,,,73,0
24478,note_on,0,0,0,,,,,,,,,0,,,64,0
24480,note_on,2,0,0,,,,,,,,,0,,,64,64
24480,note_on,0,0,0,,,,,,,,,0,,,73,64
24480,note_on,0,0,0,,,,,,,,,0,,,52,55
24480,note_on,0,0,0,,,,,,,,,0,,,56,55
24720,note_on,240,0,0,,,,,,,,,0,,,64,0
24720,note_on,0,0,0,,,,,,,,,0,,,73,0
24720,note_on,0,0,0,,,,,,,,,0,,,76,85
24864,note_on,144,0,0,,,,,,,,,0,,,52,0
24864,note_on,0,0,0,,,,,,,,,0,,,56,0
24960,note_on,96,0,0,,,,,,,,,0,,,76,0
24960,set_tempo,0,1,0,,,,,625325,,,,,,,,
24960,note_on,0,0,0,,,,,,,,,0,,,40,62
24960,note_on,0,0,0,,,,,,,,,0,,,68,73
24960,note_on,0,0,0,,,,,,,,,0,,,74,73
24960,note_on,0,0,0,,,,,,,,,0,,,76,73
25392,note_on,432,0,0,,,,,,,,,0,,,40,0
25440,note_on,48,0,0,,,,,,,,,0,,,59,58
25440,note_on,0,0,0,,,,,,,,,0,,,62,58
25702,note_on,262,0,0,,,,,,,,,0,,,68,0
25702,note_on,0,0,0,,,,,,,,,0,,,74,0
25702,note_on,0,0,0,,,,,,,,,0,,,76,0
25702,note_on,0,0,0,,,,,,,,,0,,,71,46
25824,note_on,122,0,0,,,,,,,,,0,,,59,0
25824,note_on,0,0,0,,,,,,,,,0,,,62,0
25918,note_on,94,0,0,,,,,,,,,0,,,71,0
25920,note_on,2,0,0,,,,,,,,,0,,,71,64
25920,note_on,0,0,0,,,,,,,,,0,,,56,55
25920,note_on,0,0,0,,,,,,,,,0,,,52,55
26160,note_on,240,0,0,,,,,,,,,0,,,71,0
26160,note_on,0,0,0,,,,,,,,,0,,,74,85
26160,note_on,0,0,0,,,,,,,,,0,,,76,85
26304,note_on,144,0,0,,,,,,,,,0,,,56,0
26304,note_on,0,0,0,,,,,,,,,0,,,52,0
26400,note_on,96,0,0,,,,,,,,,0,,,74,0
26400,note_on,0,0,0,,,,,,,,,0,,,76,0
26400,note_on,0,0,0,,,,,,,,,0,,,45,62
26400,note_on,0,0,0,,,,,,,,,0,,,69,82
26400,note_on,0,0,0,,,,,,,,,0,,,73,82
26400,note_on,0,0,0,,,,,,,,,0,,,76,82
26832,note_on,432,0,0,,,,,,,,,0,,,45,0
26880,note_on,48,0,0,,,,,,,,,0,,,61,58
26880,note_on,0,0,0,,,,,,,,,0,,,57,58
27142,note_on,262,0,0,,,,,,,,,0,,,69,0
27142,note_on,0,0,0,,,,,,,,,0,,,73,0
27142,note_on,0,0,0,,,,,,,,,0,,,76,0
27142,note_on,0,0,0,,,,,,,,,0,,,73,46
27264,note_on,122,0,0,,,,,,,,,0,,,61,0
27264,note_on,0,0,0,,,,,,,,,0,,,57,0
27358,note_on,94,0,0,,,,,,,,,0,,,73,0
27360,note_on,2,0,0,,,,,,,,,0,,,73,64
27360,note_on,0,0,0,,,,,,,,,0,,,57,55
27360,note_on,0,0,0,,,,,,,,,0,,,52,55
27600,note_on,240,0,0,,,,,,,,,0,,,73,0
27600,note_on,0,0,0,,,,,,,,,0,,,76,85
27744,note_on,144,0,0,,,,,,,,,0,,,57,0
27744,note_on,0,0,0,,,,,,,,,0,,,52,0
27840,note_on,96,0,0,,,,,,,,,0,,,76,0
27840,note_on,0,0,0,,,,,,,,,0,,,45,62
27840,note_on,0,0,0,,,,,,,,,0,,,73,76
27840,note_on,0,0,0,,,,,,,,,0,,,79,76
27840,note_on,0,0,0,,,,,,,,,0,,,81,76
28272,note_on,432,0,0,,,,,,,,,0,,,45,0
28320,note_on,48,0,0,,,,,,,,,0,,,67,58
28320,note_on,0,0,0,,,,,,,,,0,,,64,58
28582,note_on,262,0,0,,,,,,,,,0,,,73,0
28582,note_on,0,0,0,,,,,,,,,0,,,79,0
28582,note_on,0,0,0,,,,,,,,,0,,,81,0
28582,note_on,0,0,0,,,,,,,,,0,,,76,46
28704,note_on,122,0,0,,,,,,,,,0,,,67,0
28704,note_on,0,0,0,,,,,,,,,0,,,64,0
28798,note_on,94,0,0,,,,,,,,,0,,,76,0
28800,note_on,2,0,0,,,,,,,,,0,,,76,74
28800,note_on,0,0,0,,,,,,,,,0,,,57,61
28800,note_on,0,0,0,,,,,,,,,0,,,61,61
29040,note_on,240,0,0,,,,,,,,,0,,,76,0
29040,note_on,0,0,0,,,,,,,,,0,,,79,85
29040,note_on,0,0,0,,,,,,,,,0,,,81,85
29184,note_on,144,0,0,,,,,,,,,0,,,57,0
29184,note_on,0,0,0,,,,,,,,,0,,,61,0
29280,note_on,96,0,0,,,,,,,,,0,,,79,0
29280,note_on,0,0,0,,,,,,,,,0,,,81,0
29280,note_on,0,0,0,,,,,,,,,0,,,50,75
29280,note_on,0,0,0,,,,,,,,,0,,,74,93
29280,note_on,0,0,0,,,,,,,,,0,,,78,93
29280,note_on,0,0,0,,,,,,,,,0,,,81,93
29712,note_on,432,0,0,,,,,,,,,0,,,50,0
29760,note_on,48,0,0,,,,,,,,,0,,,66,76
29760,note_on,0,0,0,,,,,,,,,0,,,62,76
30022,note_on,262,0,0,,,,,,,,,0,,,74,0
