tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,14,,,,12,7,123,,
0,program_change,,,,,0,0,14,,,48,12,,,,
0,sequencer_specific,,,,,0,1,14,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,4,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,4,,,71,2,,,,
0,control_change,,,,,0,0,4,,,,2,7,87,,
0,control_change,,,,,0,0,4,,,,2,91,85,,
0,control_change,,,,,0,0,14,,,,12,91,80,,
0,control_change,,,,,0,0,4,,,,2,10,68,,
0,control_change,,,,,0,0,13,,,,11,10,40,,
0,control_change,,,,,0,0,13,,,,11,91,80,,
0,control_change,,,,,0,0,13,,,,11,7,123,,
0,program_change,,,,,0,0,13,,,48,11,,,,
0,sequencer_specific,,,,,0,1,13,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,16,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,16,,,48,14,,,,
0,program_change,,,,,0,0,7,,,70,3,,,,
0,control_change,,,,,0,0,16,,,,14,7,124,,
0,control_change,,,,,0,0,14,,,,12,10,98,,
0,control_change,,,,,0,0,3,,,,1,91,85,,
0,control_change,,,,,0,0,1,,,,0,7,88,,
0,control_change,,,,,0,0,1,,,,0,91,85,,
0,control_change,,,,,0,0,1,,,,0,10,54,,
0,control_change,,,,,0,0,15,,,,13,10,84,,
0,control_change,,,,,0,0,15,,,,13,91,85,,
0,control_change,,,,,0,0,15,,,,13,7,124,,
0,program_change,,,,,0,0,15,,,48,13,,,,
0,control_change,,,,,0,0,3,,,,1,10,64,,
0,sequencer_specific,,,,,0,1,15,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,2,,,73,0,,,,
0,control_change,,,,,0,0,2,,,,0,7,87,,
0,control_change,,,,,0,0,2,,,,0,91,85,,
0,control_change,,,,,0,0,2,,,,0,10,54,,
0,sequencer_specific,,,,,0,1,3,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,3,,,68,1,,,,
0,control_change,,,,,0,0,3,,,,1,7,89,,
0,sequencer_specific,,,,,0,1,2,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,16,,,,14,91,90,,
0,control_change,,,,,0,0,16,,,,14,10,96,,
0,control_change,,,,,0,0,12,,,,10,10,28,,
0,control_change,,,,,0,0,10,,,,6,7,124,,
0,program_change,,,,,0,0,10,,,56,6,,,,
0,sequencer_specific,,,,,0,1,10,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,9,,,,5,91,75,,
0,control_change,,,,,0,0,9,,,,5,10,38,,
0,control_change,,,,,0,0,9,,,,5,7,119,,
0,program_change,,,,,0,0,9,,,60,5,,,,
0,control_change,,,,,0,0,10,,,,6,10,92,,
0,sequencer_specific,,,,,0,1,9,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,8,,,,4,91,75,,
0,control_change,,,,,0,0,8,,,,4,7,119,,
0,program_change,,,,,0,0,8,,,60,4,,,,
0,sequencer_specific,,,,,0,1,8,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,7,,,,3,10,72,,
0,control_change,,,,,0,0,7,,,,3,91,85,,
0,control_change,,,,,0,0,7,,,,3,7,89,,
0,control_change,,,,,0,0,8,,,,4,10,36,,
0,control_change,,,,,0,0,10,,,,6,91,75,,
0,control_change,,,,,0,0,6,,,,3,10,72,,
0,control_change,,,,,0,0,6,,,,3,91,85,,
0,control_change,,,,,0,0,12,,,,10,91,75,,
0,control_change,,,,,0,0,12,,,,10,7,126,,
