tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,data,control,value,channel,program,note,velocity,pitch
4560,note_on,0,0,0,,,,,,,,,,0,,67,72,
4560,note_on,0,0,0,,,,,,,,,,0,,64,72,
4680,note_on,120,0,0,,,,,,,,,,0,,50,0,
4800,note_on,120,0,0,,,,,,,,,,0,,67,0,
4800,note_on,0,0,0,,,,,,,,,,0,,64,0,
4800,note_on,0,0,0,,,,,,,,,,0,,60,70,
4800,note_on,0,0,0,,,,,,,,,,0,,66,76,
4800,note_on,0,0,0,,,,,,,,,,0,,57,70,
4800,note_on,0,0,0,,,,,,,,,,0,,69,76,
5040,note_on,240,0,0,,,,,,,,,,0,,66,0,
5040,note_on,0,0,0,,,,,,,,,,0,,69,0,
5040,note_on,0,0,0,,,,,,,,,,0,,71,80,
5040,note_on,0,0,0,,,,,,,,,,0,,67,80,
5130,note_on,90,0,0,,,,,,,,,,0,,60,0,
5130,note_on,0,0,0,,,,,,,,,,0,,57,0,
5280,note_on,150,0,0,,,,,,,,,,0,,71,0,
5280,note_on,0,0,0,,,,,,,,,,0,,67,0,
5280,note_on,0,0,0,,,,,,,,,,0,,72,84,
5280,note_on,0,0,0,,,,,,,,,,0,,55,76,
5280,note_on,0,0,0,,,,,,,,,,0,,69,84,
5280,note_on,0,0,0,,,,,,,,,,0,,50,76,
5280,note_on,0,0,0,,,,,,,,,,0,,59,76,
5520,note_on,240,0,0,,,,,,,,,,0,,72,0,
5520,note_on,0,0,0,,,,,,,,,,0,,69,0,
5520,note_on,0,0,0,,,,,,,,,,0,,74,88,
5520,note_on,0,0,0,,,,,,,,,,0,,71,88,
5620,note_on,100,0,0,,,,,,,,,,0,,55,0,
5620,note_on,0,0,0,,,,,,,,,,0,,50,0,
5620,note_on,0,0,0,,,,,,,,,,0,,59,0,
5760,note_on,140,0,0,,,,,,,,,,0,,74,0,
5760,note_on,0,0,0,,,,,,,,,,0,,71,0,
5760,note_on,0,0,0,,,,,,,,,,0,,76,88,
5760,note_on,0,0,0,,,,,,,,,,0,,50,78,
5760,note_on,0,0,0,,,,,,,,,,0,,72,88,
6120,note_on,360,0,0,,,,,,,,,,0,,50,0,
6192,note_on,72,0,0,,,,,,,,,,0,,76,0,
6192,note_on,0,0,0,,,,,,,,,,0,,72,0,
6240,note_on,48,0,0,,,,,,,,,,0,,57,70,
6240,note_on,0,0,0,,,,,,,,,,0,,71,78,
6240,note_on,0,0,0,,,,,,,,,,0,,54,70,
6240,note_on,0,0,0,,,,,,,,,,0,,74,78,
6570,note_on,330,0,0,,,,,,,,,,0,,57,0,
6570,note_on,0,0,0,,,,,,,,,,0,,54,0,
6672,note_on,102,0,0,,,,,,,,,,0,,71,0,
6672,note_on,0,0,0,,,,,,,,,,0,,74,0,
6720,note_on,48,0,0,,,,,,,,,,0,,62,56,
6720,note_on,0,0,0,,,,,,,,,,0,,69,64,
6720,note_on,0,0,0,,,,,,,,,,0,,50,56,
6720,note_on,0,0,0,,,,,,,,,,0,,72,64,
7060,note_on,340,0,0,,,,,,,,,,0,,50,0,
7152,note_on,92,0,0,,,,,,,,,,0,,69,0,
7176,note_on,24,0,0,,,,,,,,,,0,,62,0,
7176,note_on,0,0,0,,,,,,,,,,0,,72,0,
7200,note_on,24,0,0,,,,,,,,,,0,,71,66,
7200,note_on,0,0,0,,,,,,,,,,0,,59,59,
7200,control_change,0,0,0,,,,,,,,99,1,0,,,,
7200,control_change,0,0,0,,,,,,,,98,32,0,,,,
7200,control_change,0,0,0,,,,,,,,6,45,0,,,,
7200,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7200,control_change,0,0,0,,,,,,,,1,0,0,,,,
7200,control_change,0,0,0,,,,,,,,99,1,0,,,,
7200,control_change,0,0,0,,,,,,,,98,32,0,,,,
7200,control_change,0,0,0,,,,,,,,6,45,0,,,,
7200,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7200,control_change,0,0,0,,,,,,,,1,0,0,,,,
7440,note_on,240,0,0,,,,,,,,,,0,,71,0,
7440,note_on,0,0,0,,,,,,,,,,0,,74,66,
7440,control_change,0,0,0,,,,,,,,99,1,0,,,,
7440,control_change,0,0,0,,,,,,,,98,32,0,,,,
7440,control_change,0,0,0,,,,,,,,6,45,0,,,,
7440,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7440,control_change,0,0,0,,,,,,,,1,0,0,,,,
7560,note_on,120,0,0,,,,,,,,,,0,,59,0,
7680,note_on,120,0,0,,,,,,,,,,0,,74,0,
7680,note_on,0,0,0,,,,,,,,,,0,,65,55,
7680,note_on,0,0,0,,,,,,,,,,0,,62,55,
7680,note_on,0,0,0,,,,,,,,,,0,,71,55,
7680,note_on,0,0,0,,,,,,,,,,0,,77,66,
7680,control_change,0,0,0,,,,,,,,99,1,0,,,,
7680,control_change,0,0,0,,,,,,,,98,32,0,,,,
7680,control_change,0,0,0,,,,,,,,6,45,0,,,,
7680,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7680,control_change,0,0,0,,,,,,,,1,0,0,,,,
7680,control_change,0,0,0,,,,,,,,99,1,0,,,,
7680,control_change,0,0,0,,,,,,,,98,32,0,,,,
7680,control_change,0,0,0,,,,,,,,6,45,0,,,,
7680,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7680,control_change,0,0,0,,,,,,,,1,0,0,,,,
7680,control_change,0,0,0,,,,,,,,99,1,0,,,,
7680,control_change,0,0,0,,,,,,,,98,32,0,,,,
7680,control_change,0,0,0,,,,,,,,6,45,0,,,,
7680,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7680,control_change,0,0,0,,,,,,,,1,0,0,,,,
7680,control_change,0,0,0,,,,,,,,99,1,0,,,,
7680,control_change,0,0,0,,,,,,,,98,32,0,,,,
7680,control_change,0,0,0,,,,,,,,6,45,0,,,,
7680,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7680,control_change,0,0,0,,,,,,,,1,0,0,,,,
7920,note_on,240,0,0,,,,,,,,,,0,,77,0,
7920,note_on,0,0,0,,,,,,,,,,0,,81,66,
7920,control_change,0,0,0,,,,,,,,99,1,0,,,,
7920,control_change,0,0,0,,,,,,,,98,32,0,,,,
7920,control_change,0,0,0,,,,,,,,6,45,0,,,,
7920,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
7920,control_change,0,0,0,,,,,,,,1,0,0,,,,
8010,note_on,90,0,0,,,,,,,,,,0,,65,0,
8010,note_on,0,0,0,,,,,,,,,,0,,62,0,
8010,note_on,0,0,0,,,,,,,,,,0,,71,0,
8160,note_on,150,0,0,,,,,,,,,,0,,81,0,
8160,note_on,0,0,0,,,,,,,,,,0,,65,55,
8160,note_on,0,0,0,,,,,,,,,,0,,62,55,
8160,note_on,0,0,0,,,,,,,,,,0,,71,55,
8160,note_on,0,0,0,,,,,,,,,,0,,77,66,
8160,control_change,0,0,0,,,,,,,,99,1,0,,,,
8160,control_change,0,0,0,,,,,,,,98,32,0,,,,
8160,control_change,0,0,0,,,,,,,,6,45,0,,,,
8160,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8160,control_change,0,0,0,,,,,,,,1,0,0,,,,
8160,control_change,0,0,0,,,,,,,,99,1,0,,,,
8160,control_change,0,0,0,,,,,,,,98,32,0,,,,
8160,control_change,0,0,0,,,,,,,,6,45,0,,,,
8160,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8160,control_change,0,0,0,,,,,,,,1,0,0,,,,
8160,control_change,0,0,0,,,,,,,,99,1,0,,,,
8160,control_change,0,0,0,,,,,,,,98,32,0,,,,
8160,control_change,0,0,0,,,,,,,,6,45,0,,,,
8160,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8160,control_change,0,0,0,,,,,,,,1,0,0,,,,
8160,control_change,0,0,0,,,,,,,,99,1,0,,,,
8160,control_change,0,0,0,,,,,,,,98,32,0,,,,
8160,control_change,0,0,0,,,,,,,,6,45,0,,,,
8160,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8160,control_change,0,0,0,,,,,,,,1,0,0,,,,
8400,note_on,240,0,0,,,,,,,,,,0,,77,0,
8400,note_on,0,0,0,,,,,,,,,,0,,74,66,
8400,control_change,0,0,0,,,,,,,,99,1,0,,,,
8400,control_change,0,0,0,,,,,,,,98,32,0,,,,
8400,control_change,0,0,0,,,,,,,,6,45,0,,,,
8400,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8400,control_change,0,0,0,,,,,,,,1,0,0,,,,
8500,note_on,100,0,0,,,,,,,,,,0,,65,0,
8500,note_on,0,0,0,,,,,,,,,,0,,62,0,
8500,note_on,0,0,0,,,,,,,,,,0,,71,0,
8640,note_on,140,0,0,,,,,,,,,,0,,74,0,
8640,note_on,0,0,0,,,,,,,,,,0,,71,66,
8640,note_on,0,0,0,,,,,,,,,,0,,55,59,
8640,control_change,0,0,0,,,,,,,,99,1,0,,,,
8640,control_change,0,0,0,,,,,,,,98,32,0,,,,
8640,control_change,0,0,0,,,,,,,,6,45,0,,,,
8640,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8640,control_change,0,0,0,,,,,,,,1,0,0,,,,
8640,control_change,0,0,0,,,,,,,,99,1,0,,,,
8640,control_change,0,0,0,,,,,,,,98,32,0,,,,
8640,control_change,0,0,0,,,,,,,,6,45,0,,,,
8640,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8640,control_change,0,0,0,,,,,,,,1,0,0,,,,
8880,note_on,240,0,0,,,,,,,,,,0,,71,0,
8880,note_on,0,0,0,,,,,,,,,,0,,72,66,
8880,control_change,0,0,0,,,,,,,,99,1,0,,,,
8880,control_change,0,0,0,,,,,,,,98,32,0,,,,
8880,control_change,0,0,0,,,,,,,,6,45,0,,,,
8880,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
8880,control_change,0,0,0,,,,,,,,1,0,0,,,,
9000,note_on,120,0,0,,,,,,,,,,0,,55,0,
9120,note_on,120,0,0,,,,,,,,,,0,,72,0,
9120,note_on,0,0,0,,,,,,,,,,0,,64,55,
9120,note_on,0,0,0,,,,,,,,,,0,,67,55,
9120,note_on,0,0,0,,,,,,,,,,0,,76,66,
9120,note_on,0,0,0,,,,,,,,,,0,,71,55,
9120,control_change,0,0,0,,,,,,,,99,1,0,,,,
9120,control_change,0,0,0,,,,,,,,98,32,0,,,,
9120,control_change,0,0,0,,,,,,,,6,45,0,,,,
9120,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9120,control_change,0,0,0,,,,,,,,1,0,0,,,,
9120,control_change,0,0,0,,,,,,,,99,1,0,,,,
9120,control_change,0,0,0,,,,,,,,98,32,0,,,,
9120,control_change,0,0,0,,,,,,,,6,45,0,,,,
9120,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9120,control_change,0,0,0,,,,,,,,1,0,0,,,,
9120,control_change,0,0,0,,,,,,,,99,1,0,,,,
9120,control_change,0,0,0,,,,,,,,98,32,0,,,,
9120,control_change,0,0,0,,,,,,,,6,45,0,,,,
9120,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9120,control_change,0,0,0,,,,,,,,1,0,0,,,,
9120,control_change,0,0,0,,,,,,,,99,1,0,,,,
9120,control_change,0,0,0,,,,,,,,98,32,0,,,,
9120,control_change,0,0,0,,,,,,,,6,45,0,,,,
9120,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9120,control_change,0,0,0,,,,,,,,1,0,0,,,,
9360,note_on,240,0,0,,,,,,,,,,0,,76,0,
9360,note_on,0,0,0,,,,,,,,,,0,,79,66,
9360,control_change,0,0,0,,,,,,,,99,1,0,,,,
9360,control_change,0,0,0,,,,,,,,98,32,0,,,,
9360,control_change,0,0,0,,,,,,,,6,45,0,,,,
9360,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9360,control_change,0,0,0,,,,,,,,1,0,0,,,,
9450,note_on,90,0,0,,,,,,,,,,0,,64,0,
9450,note_on,0,0,0,,,,,,,,,,0,,67,0,
9450,note_on,0,0,0,,,,,,,,,,0,,71,0,
9600,note_on,150,0,0,,,,,,,,,,0,,79,0,
9600,note_on,0,0,0,,,,,,,,,,0,,71,55,
9600,note_on,0,0,0,,,,,,,,,,0,,67,55,
9600,note_on,0,0,0,,,,,,,,,,0,,76,66,
9600,note_on,0,0,0,,,,,,,,,,0,,64,55,
9600,control_change,0,0,0,,,,,,,,99,1,0,,,,
9600,control_change,0,0,0,,,,,,,,98,32,0,,,,
9600,control_change,0,0,0,,,,,,,,6,45,0,,,,
9600,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9600,control_change,0,0,0,,,,,,,,1,0,0,,,,
9600,control_change,0,0,0,,,,,,,,99,1,0,,,,
9600,control_change,0,0,0,,,,,,,,98,32,0,,,,
9600,control_change,0,0,0,,,,,,,,6,45,0,,,,
9600,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9600,control_change,0,0,0,,,,,,,,1,0,0,,,,
9600,control_change,0,0,0,,,,,,,,99,1,0,,,,
9600,control_change,0,0,0,,,,,,,,98,32,0,,,,
9600,control_change,0,0,0,,,,,,,,6,45,0,,,,
9600,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9600,control_change,0,0,0,,,,,,,,1,0,0,,,,
9600,control_change,0,0,0,,,,,,,,99,1,0,,,,
9600,control_change,0,0,0,,,,,,,,98,32,0,,,,
9600,control_change,0,0,0,,,,,,,,6,45,0,,,,
9600,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9600,control_change,0,0,0,,,,,,,,1,0,0,,,,
9840,note_on,240,0,0,,,,,,,,,,0,,76,0,
9840,note_on,0,0,0,,,,,,,,,,0,,72,66,
9840,control_change,0,0,0,,,,,,,,99,1,0,,,,
9840,control_change,0,0,0,,,,,,,,98,32,0,,,,
9840,control_change,0,0,0,,,,,,,,6,45,0,,,,
9840,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
9840,control_change,0,0,0,,,,,,,,1,0,0,,,,
9940,note_on,100,0,0,,,,,,,,,,0,,71,0,
9940,note_on,0,0,0,,,,,,,,,,0,,67,0,
9940,note_on,0,0,0,,,,,,,,,,0,,64,0,
10080,note_on,140,0,0,,,,,,,,,,0,,72,0,
10080,note_on,0,0,0,,,,,,,,,,0,,70,66,
10080,note_on,0,0,0,,,,,,,,,,0,,55,59,
10080,control_change,0,0,0,,,,,,,,99,1,0,,,,
10080,control_change,0,0,0,,,,,,,,98,32,0,,,,
10080,control_change,0,0,0,,,,,,,,6,45,0,,,,
10080,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10080,control_change,0,0,0,,,,,,,,1,0,0,,,,
10080,control_change,0,0,0,,,,,,,,99,1,0,,,,
10080,control_change,0,0,0,,,,,,,,98,32,0,,,,
10080,control_change,0,0,0,,,,,,,,6,45,0,,,,
10080,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10080,control_change,0,0,0,,,,,,,,1,0,0,,,,
10320,note_on,240,0,0,,,,,,,,,,0,,70,0,
10320,note_on,0,0,0,,,,,,,,,,0,,71,66,
10320,control_change,0,0,0,,,,,,,,99,1,0,,,,
10320,control_change,0,0,0,,,,,,,,98,32,0,,,,
10320,control_change,0,0,0,,,,,,,,6,45,0,,,,
10320,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10320,control_change,0,0,0,,,,,,,,1,0,0,,,,
10440,note_on,120,0,0,,,,,,,,,,0,,55,0,
10560,note_on,120,0,0,,,,,,,,,,0,,71,0,
10560,note_on,0,0,0,,,,,,,,,,0,,74,66,
10560,note_on,0,0,0,,,,,,,,,,0,,62,55,
10560,note_on,0,0,0,,,,,,,,,,0,,67,55,
10560,note_on,0,0,0,,,,,,,,,,0,,70,55,
10560,control_change,0,0,0,,,,,,,,99,1,0,,,,
10560,control_change,0,0,0,,,,,,,,98,32,0,,,,
10560,control_change,0,0,0,,,,,,,,6,45,0,,,,
10560,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10560,control_change,0,0,0,,,,,,,,1,0,0,,,,
10560,control_change,0,0,0,,,,,,,,99,1,0,,,,
10560,control_change,0,0,0,,,,,,,,98,32,0,,,,
10560,control_change,0,0,0,,,,,,,,6,45,0,,,,
10560,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10560,control_change,0,0,0,,,,,,,,1,0,0,,,,
10560,control_change,0,0,0,,,,,,,,99,1,0,,,,
10560,control_change,0,0,0,,,,,,,,98,32,0,,,,
10560,control_change,0,0,0,,,,,,,,6,45,0,,,,
10560,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10560,control_change,0,0,0,,,,,,,,1,0,0,,,,
10560,control_change,0,0,0,,,,,,,,99,1,0,,,,
10560,control_change,0,0,0,,,,,,,,98,32,0,,,,
10560,control_change,0,0,0,,,,,,,,6,45,0,,,,
10560,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10560,control_change,0,0,0,,,,,,,,1,0,0,,,,
10776,note_on,216,0,0,,,,,,,,,,0,,67,0,
10800,note_on,24,0,0,,,,,,,,,,0,,74,0,
10800,note_on,0,0,0,,,,,,,,,,0,,79,66,
10800,control_change,0,0,0,,,,,,,,99,1,0,,,,
10800,control_change,0,0,0,,,,,,,,98,32,0,,,,
10800,control_change,0,0,0,,,,,,,,6,45,0,,,,
10800,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
10800,control_change,0,0,0,,,,,,,,1,0,0,,,,
10890,note_on,90,0,0,,,,,,,,,,0,,62,0,
10890,note_on,0,0,0,,,,,,,,,,0,,70,0,
11040,note_on,150,0,0,,,,,,,,,,0,,79,0,
11040,note_on,0,0,0,,,,,,,,,,0,,70,55,
11040,note_on,0,0,0,,,,,,,,,,0,,74,66,
11040,note_on,0,0,0,,,,,,,,,,0,,67,55,
11040,note_on,0,0,0,,,,,,,,,,0,,62,55,
11040,control_change,0,0,0,,,,,,,,99,1,0,,,,
11040,control_change,0,0,0,,,,,,,,98,32,0,,,,
11040,control_change,0,0,0,,,,,,,,6,45,0,,,,
11040,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11040,control_change,0,0,0,,,,,,,,1,0,0,,,,
11040,control_change,0,0,0,,,,,,,,99,1,0,,,,
11040,control_change,0,0,0,,,,,,,,98,32,0,,,,
11040,control_change,0,0,0,,,,,,,,6,45,0,,,,
11040,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11040,control_change,0,0,0,,,,,,,,1,0,0,,,,
11040,control_change,0,0,0,,,,,,,,99,1,0,,,,
11040,control_change,0,0,0,,,,,,,,98,32,0,,,,
11040,control_change,0,0,0,,,,,,,,6,45,0,,,,
11040,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11040,control_change,0,0,0,,,,,,,,1,0,0,,,,
11040,control_change,0,0,0,,,,,,,,99,1,0,,,,
11040,control_change,0,0,0,,,,,,,,98,32,0,,,,
11040,control_change,0,0,0,,,,,,,,6,45,0,,,,
11040,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11040,control_change,0,0,0,,,,,,,,1,0,0,,,,
11256,note_on,216,0,0,,,,,,,,,,0,,70,0,
11256,note_on,0,0,0,,,,,,,,,,0,,67,0,
11280,note_on,24,0,0,,,,,,,,,,0,,74,0,
11280,note_on,0,0,0,,,,,,,,,,0,,71,66,
11280,control_change,0,0,0,,,,,,,,99,1,0,,,,
11280,control_change,0,0,0,,,,,,,,98,32,0,,,,
11280,control_change,0,0,0,,,,,,,,6,45,0,,,,
11280,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11280,control_change,0,0,0,,,,,,,,1,0,0,,,,
11380,note_on,100,0,0,,,,,,,,,,0,,62,0,
11520,note_on,140,0,0,,,,,,,,,,0,,71,0,
11520,set_tempo,0,1,0,,,,,,355029,,,,,,,,
11520,note_on,0,0,0,,,,,,,,,,0,,50,62,
11520,note_on,0,0,0,,,,,,,,,,0,,68,70,
11520,control_change,0,0,0,,,,,,,,99,1,0,,,,
11520,control_change,0,0,0,,,,,,,,98,32,0,,,,
11520,control_change,0,0,0,,,,,,,,6,45,0,,,,
11520,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11520,control_change,0,0,0,,,,,,,,1,0,0,,,,
11520,control_change,0,0,0,,,,,,,,99,1,0,,,,
11520,control_change,0,0,0,,,,,,,,98,32,0,,,,
11520,control_change,0,0,0,,,,,,,,6,45,0,,,,
11520,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11520,control_change,0,0,0,,,,,,,,1,0,0,,,,
11760,note_on,240,0,0,,,,,,,,,,0,,68,0,
11760,note_on,0,0,0,,,,,,,,,,0,,69,79,
11760,control_change,0,0,0,,,,,,,,99,1,0,,,,
11760,control_change,0,0,0,,,,,,,,98,32,0,,,,
11760,control_change,0,0,0,,,,,,,,6,45,0,,,,
11760,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
11760,control_change,0,0,0,,,,,,,,1,0,0,,,,
11880,note_on,120,0,0,,,,,,,,,,0,,50,0,
12000,note_on,120,0,0,,,,,,,,,,0,,69,0,
12000,note_on,0,0,0,,,,,,,,,,0,,72,89,
12000,note_on,0,0,0,,,,,,,,,,0,,66,73,
12000,note_on,0,0,0,,,,,,,,,,0,,60,73,
12000,control_change,0,0,0,,,,,,,,99,1,0,,,,
12000,control_change,0,0,0,,,,,,,,98,32,0,,,,
12000,control_change,0,0,0,,,,,,,,6,45,0,,,,
12000,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
12000,control_change,0,0,0,,,,,,,,1,0,0,,,,
12000,control_change,0,0,0,,,,,,,,99,1,0,,,,
12000,control_change,0,0,0,,,,,,,,98,32,0,,,,
12000,control_change,0,0,0,,,,,,,,6,45,0,,,,
12000,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
12000,control_change,0,0,0,,,,,,,,1,0,0,,,,
12000,control_change,0,0,0,,,,,,,,99,1,0,,,,
12000,control_change,0,0,0,,,,,,,,98,32,0,,,,
12000,control_change,0,0,0,,,,,,,,6,45,0,,,,
12000,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
12000,control_change,0,0,0,,,,,,,,1,0,0,,,,
12240,note_on,240,0,0,,,,,,,,,,0,,72,0,
12240,note_on,0,0,0,,,,,,,,,,0,,69,79,
12240,control_change,0,0,0,,,,,,,,99,1,0,,,,
12240,control_change,0,0,0,,,,,,,,98,32,0,,,,
12240,control_change,0,0,0,,,,,,,,6,45,0,,,,
12240,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
12240,control_change,0,0,0,,,,,,,,1,0,0,,,,
12330,note_on,90,0,0,,,,,,,,,,0,,66,0,
12330,note_on,0,0,0,,,,,,,,,,0,,60,0,
12480,note_on,150,0,0,,,,,,,,,,0,,69,0,
12480,note_on,0,0,0,,,,,,,,,,0,,67,70,
12480,note_on,0,0,0,,,,,,,,,,0,,60,60,
12480,note_on,0,0,0,,,,,,,,,,0,,57,60,
12480,control_change,0,0,0,,,,,,,,99,1,0,,,,
12480,control_change,0,0,0,,,,,,,,98,32,0,,,,
12480,control_change,0,0,0,,,,,,,,6,45,0,,,,
12480,pitchwheel,0,0,0,,,,,,,,,,0,,,,0
12480,control_change,0,0,0,,,,,,,,1,0,0,,,,
12480,control_change,0,0,0,,,,,,,,99,1,0,,,,
12480,control_change,0,0,0,,,,,,,,98,32,0,,,,
12480,control_change,0,0,0,,,,,,,,6,45,0,,,,
