tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,note,velocity
17126,note_on,,,,,,,26,0,0,,,,,,,,,0,46,41
17136,note_on,,,,,,,10,0,0,,,,,,,,,0,67,42
17160,note_on,,,,,,,24,0,0,,,,,,,,,0,43,28
17286,note_off,,,,,,,126,0,0,,,,,,,,,0,43,64
17306,note_off,,,,,,,20,0,0,,,,,,,,,0,58,64
17354,note_off,,,,,,,48,0,0,,,,,,,,,0,70,64
17354,note_off,,,,,,,0,0,0,,,,,,,,,0,46,64
17468,note_off,,,,,,,114,0,0,,,,,,,,,0,67,64
17510,note_on,,,,,,,42,0,0,,,,,,,,,0,72,59
17518,note_on,,,,,,,8,0,0,,,,,,,,,0,60,49
17526,note_on,,,,,,,8,0,0,,,,,,,,,0,69,36
17528,note_on,,,,,,,2,0,0,,,,,,,,,0,48,32
17530,note_on,,,,,,,2,0,0,,,,,,,,,0,45,36
17550,control_change,,,,,,,20,0,0,,,,,,,64,0,0,,
17558,note_on,,,,,,,8,0,0,,,,,,,,,0,43,17
17714,note_off,,,,,,,156,0,0,,,,,,,,,0,43,64
17736,control_change,,,,,,,22,0,0,,,,,,,64,127,0,,
17770,note_off,,,,,,,34,0,0,,,,,,,,,0,48,64
17782,note_off,,,,,,,12,0,0,,,,,,,,,0,60,64
17785,note_off,,,,,,,3,0,0,,,,,,,,,0,45,64
17788,note_off,,,,,,,3,0,0,,,,,,,,,0,69,64
17802,note_off,,,,,,,14,0,0,,,,,,,,,0,72,64
18046,note_on,,,,,,,244,0,0,,,,,,,,,0,70,27
18060,note_on,,,,,,,14,0,0,,,,,,,,,0,74,56
18062,note_on,,,,,,,2,0,0,,,,,,,,,0,62,35
18070,note_on,,,,,,,8,0,0,,,,,,,,,0,46,13
18070,note_on,,,,,,,0,0,0,,,,,,,,,0,50,27
18100,note_on,,,,,,,30,0,0,,,,,,,,,0,43,15
18104,control_change,,,,,,,4,0,0,,,,,,,64,0,0,,
18412,control_change,,,,,,,308,0,0,,,,,,,64,127,0,,
18448,note_off,,,,,,,36,0,0,,,,,,,,,0,74,64
18466,note_off,,,,,,,18,0,0,,,,,,,,,0,50,64
18474,note_off,,,,,,,8,0,0,,,,,,,,,0,43,64
18506,note_off,,,,,,,32,0,0,,,,,,,,,0,70,64
18524,note_off,,,,,,,18,0,0,,,,,,,,,0,46,64
18526,note_off,,,,,,,2,0,0,,,,,,,,,0,62,64
19036,note_on,,,,,,,510,0,0,,,,,,,,,0,67,59
19046,note_on,,,,,,,10,0,0,,,,,,,,,0,55,48
19052,note_on,,,,,,,6,0,0,,,,,,,,,0,51,35
19054,note_on,,,,,,,2,0,0,,,,,,,,,0,39,27
19272,control_change,,,,,,,218,0,0,,,,,,,64,0,0,,
19548,control_change,,,,,,,276,0,0,,,,,,,64,127,0,,
19886,note_on,,,,,,,338,0,0,,,,,,,,,0,61,60
19896,note_off,,,,,,,10,0,0,,,,,,,,,0,67,64
20210,control_change,,,,,,,314,0,0,,,,,,,64,0,0,,
20502,control_change,,,,,,,292,0,0,,,,,,,64,127,0,,
20750,note_on,,,,,,,248,0,0,,,,,,,,,0,46,26
21004,note_off,,,,,,,254,0,0,,,,,,,,,0,51,64
21070,control_change,,,,,,,66,0,0,,,,,,,64,0,0,,
21346,control_change,,,,,,,276,0,0,,,,,,,64,127,0,,
21410,note_off,,,,,,,64,0,0,,,,,,,,,0,55,64
21660,note_off,,,,,,,250,0,0,,,,,,,,,0,46,64
21662,note_off,,,,,,,2,0,0,,,,,,,,,0,61,64
22148,note_on,,,,,,,486,0,0,,,,,,,,,0,61,64
22150,note_off,,,,,,,2,0,0,,,,,,,,,0,39,64
22154,note_on,,,,,,,4,0,0,,,,,,,,,0,46,24
22166,note_on,,,,,,,12,0,0,,,,,,,,,0,49,30
22168,note_on,,,,,,,2,0,0,,,,,,,,,0,34,20
22730,note_off,,,,,,,562,0,0,,,,,,,,,0,49,64
22898,note_off,,,,,,,168,0,0,,,,,,,,,0,61,64
23002,note_on,,,,,,,104,0,0,,,,,,,,,0,62,59
23028,note_on,,,,,,,26,0,0,,,,,,,,,0,50,25
23360,control_change,,,,,,,332,0,0,,,,,,,64,0,0,,
23790,control_change,,,,,,,430,0,0,,,,,,,64,127,0,,
24090,note_on,,,,,,,300,0,0,,,,,,,,,0,41,30
24308,note_off,,,,,,,218,0,0,,,,,,,,,0,46,64
25814,note_on,,,,,,,1506,0,0,,,,,,,,,0,56,22
25904,note_off,,,,,,,90,0,0,,,,,,,,,0,62,64
25956,control_change,,,,,,,52,0,0,,,,,,,64,0,0,,
26232,control_change,,,,,,,276,0,0,,,,,,,64,127,0,,
26432,note_off,,,,,,,200,0,0,,,,,,,,,0,34,64
26454,note_off,,,,,,,22,0,0,,,,,,,,,0,41,64
26490,note_off,,,,,,,36,0,0,,,,,,,,,0,50,64
27300,note_on,,,,,,,810,0,0,,,,,,,,,0,57,24
27303,note_on,,,,,,,3,0,0,,,,,,,,,0,49,16
27314,note_on,,,,,,,11,0,0,,,,,,,,,0,45,10
27336,note_on,,,,,,,22,0,0,,,,,,,,,0,33,16
27374,note_off,,,,,,,38,0,0,,,,,,,,,0,56,64
27738,control_change,,,,,,,364,0,0,,,,,,,64,0,0,,
28352,control_change,,,,,,,614,0,0,,,,,,,64,127,0,,
29382,note_off,,,,,,,1030,0,0,,,,,,,,,0,49,64
29672,note_off,,,,,,,290,0,0,,,,,,,,,0,45,64
29684,note_off,,,,,,,12,0,0,,,,,,,,,0,57,64
29724,note_off,,,,,,,40,0,0,,,,,,,,,0,33,64
30590,note_on,,,,,,,866,0,0,,,,,,,,,0,74,42
30593,note_on,,,,,,,3,0,0,,,,,,,,,0,70,20
30600,note_on,,,,,,,7,0,0,,,,,,,,,0,46,16
30604,note_on,,,,,,,4,0,0,,,,,,,,,0,65,22
30606,note_on,,,,,,,2,0,0,,,,,,,,,0,34,17
30612,control_change,,,,,,,6,0,0,,,,,,,64,0,0,,
30888,control_change,,,,,,,276,0,0,,,,,,,64,127,0,,
30912,note_off,,,,,,,24,0,0,,,,,,,,,0,65,64
30926,note_off,,,,,,,14,0,0,,,,,,,,,0,46,64
30938,note_off,,,,,,,12,0,0,,,,,,,,,0,34,64
31088,note_off,,,,,,,150,0,0,,,,,,,,,0,70,64
31222,note_on,,,,,,,134,0,0,,,,,,,,,0,63,29
31230,note_off,,,,,,,8,0,0,,,,,,,,,0,74,64
31233,note_on,,,,,,,3,0,0,,,,,,,,,0,72,49
31246,note_on,,,,,,,13,0,0,,,,,,,,,0,48,22
31258,note_on,,,,,,,12,0,0,,,,,,,,,0,36,27
31274,note_on,,,,,,,16,0,0,,,,,,,,,0,69,12
31288,control_change,,,,,,,14,0,0,,,,,,,64,0,0,,
31564,control_change,,,,,,,276,0,0,,,,,,,64,127,0,,
31586,note_off,,,,,,,22,0,0,,,,,,,,,0,69,64
31616,note_off,,,,,,,30,0,0,,,,,,,,,0,48,64
31662,note_off,,,,,,,46,0,0,,,,,,,,,0,36,64
31680,note_off,,,,,,,18,0,0,,,,,,,,,0,63,64
31846,note_on,,,,,,,166,0,0,,,,,,,,,0,70,49
31854,note_on,,,,,,,8,0,0,,,,,,,,,0,50,42
31866,note_on,,,,,,,12,0,0,,,,,,,,,0,62,28
31872,note_on,,,,,,,6,0,0,,,,,,,,,0,65,25
31884,note_on,,,,,,,12,0,0,,,,,,,,,0,38,26
31888,note_off,,,,,,,4,0,0,,,,,,,,,0,72,64
31902,control_change,,,,,,,14,0,0,,,,,,,64,0,0,,
32044,note_off,,,,,,,142,0,0,,,,,,,,,0,50,64
32050,note_off,,,,,,,6,0,0,,,,,,,,,0,62,64
32056,control_change,,,,,,,6,0,0,,,,,,,64,127,0,,
32064,note_off,,,,,,,8,0,0,,,,,,,,,0,65,64
32142,note_off,,,,,,,78,0,0,,,,,,,,,0,38,64
32176,note_on,,,,,,,34,0,0,,,,,,,,,0,72,63
32186,note_on,,,,,,,10,0,0,,,,,,,,,0,63,55
32186,note_on,,,,,,,0,0,0,,,,,,,,,0,48,42
32196,note_on,,,,,,,10,0,0,,,,,,,,,0,36,32
32210,control_change,,,,,,,14,0,0,,,,,,,64,0,0,,
32224,note_on,,,,,,,14,0,0,,,,,,,,,0,69,13
32238,note_off,,,,,,,14,0,0,,,,,,,,,0,70,64
32298,note_off,,,,,,,60,0,0,,,,,,,,,0,69,64
32364,note_off,,,,,,,66,0,0,,,,,,,,,0,63,64
32364,note_off,,,,,,,0,0,0,,,,,,,,,0,36,64
32364,control_change,,,,,,,0,0,0,,,,,,,64,127,0,,
32384,note_off,,,,,,,20,0,0,,,,,,,,,0,48,64
32500,note_on,,,,,,,116,0,0,,,,,,,,,0,69,58
32518,note_off,,,,,,,18,0,0,,,,,,,,,0,72,64
32518,note_on,,,,,,,0,0,0,,,,,,,,,0,66,36
32518,note_on,,,,,,,0,0,0,,,,,,,,,0,60,38
32532,note_on,,,,,,,14,0,0,,,,,,,,,0,50,41
32542,note_on,,,,,,,10,0,0,,,,,,,,,0,38,29
32578,control_change,,,,,,,36,0,0,,,,,,,64,0,0,,
32794,control_change,,,,,,,216,0,0,,,,,,,64,127,0,,
32816,note_off,,,,,,,22,0,0,,,,,,,,,0,38,64
