tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,333333,,,,,,,
0,sysex,0,0,0,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
360,control_change,360,0,0,,,,,,,0,0,0,,,
360,control_change,0,0,0,,,,,,,32,0,0,,,
360,program_change,0,0,0,,,,,,,,,0,0,,
360,control_change,0,0,0,,,,,,,7,127,0,,,
360,control_change,0,0,0,,,,,,,11,120,0,,,
360,control_change,0,0,0,,,,,,,91,40,0,,,
960,note_on,600,0,0,,,,,,,,,0,,43,82
960,note_on,0,0,0,,,,,,,,,0,,67,82
1120,note_on,160,0,0,,,,,,,,,0,,43,0
1120,note_on,0,0,0,,,,,,,,,0,,67,0
1120,note_on,0,0,0,,,,,,,,,0,,69,90
1120,note_on,0,0,0,,,,,,,,,0,,45,90
1280,note_on,160,0,0,,,,,,,,,0,,69,0
1280,note_on,0,0,0,,,,,,,,,0,,45,0
1280,note_on,0,0,0,,,,,,,,,0,,71,90
1280,note_on,0,0,0,,,,,,,,,0,,47,90
1440,note_on,160,0,0,,,,,,,,,0,,71,0
1440,note_on,0,0,0,,,,,,,,,0,,47,0
1440,note_on,0,0,0,,,,,,,,,0,,67,90
1440,note_on,0,0,0,,,,,,,,,0,,48,90
1440,note_on,0,0,0,,,,,,,,,0,,72,90
1440,note_on,0,0,0,,,,,,,,,0,,36,90
1440,note_on,0,0,0,,,,,,,,,0,,64,90
1500,control_change,60,0,0,,,,,,,64,100,0,,,
1920,control_change,420,0,0,,,,,,,64,0,0,,,
2160,control_change,240,0,0,,,,,,,64,0,0,,,
2400,note_on,240,0,0,,,,,,,,,0,,67,0
2400,note_on,0,0,0,,,,,,,,,0,,48,0
2400,note_on,0,0,0,,,,,,,,,0,,72,0
2400,note_on,0,0,0,,,,,,,,,0,,36,0
2400,note_on,0,0,0,,,,,,,,,0,,64,0
2400,note_on,0,0,0,,,,,,,,,0,,72,90
2400,note_on,0,0,0,,,,,,,,,0,,55,90
2400,note_on,0,0,0,,,,,,,,,0,,84,90
2400,note_on,0,0,0,,,,,,,,,0,,52,90
2400,note_on,0,0,0,,,,,,,,,0,,60,90
2600,note_on,200,0,0,,,,,,,,,0,,72,0
2600,note_on,0,0,0,,,,,,,,,0,,55,0
2600,note_on,0,0,0,,,,,,,,,0,,84,0
2600,note_on,0,0,0,,,,,,,,,0,,52,0
2600,note_on,0,0,0,,,,,,,,,0,,60,0
2752,note_on,152,0,0,,,,,,,,,0,,76,80
2832,note_on,80,0,0,,,,,,,,,0,,76,0
2832,note_on,0,0,0,,,,,,,,,0,,77,90
2912,note_on,80,0,0,,,,,,,,,0,,77,0
2912,note_on,0,0,0,,,,,,,,,0,,79,84
2992,note_on,80,0,0,,,,,,,,,0,,79,0
3060,note_on,68,0,0,,,,,,,,,0,,77,90
3060,note_on,0,0,0,,,,,,,,,0,,41,90
3060,note_on,0,0,0,,,,,,,,,0,,81,90
3060,note_on,0,0,0,,,,,,,,,0,,53,90
3060,note_on,0,0,0,,,,,,,,,0,,72,90
3120,control_change,60,0,0,,,,,,,64,120,0,,,
3540,control_change,420,0,0,,,,,,,64,0,0,,,
3960,note_on,420,0,0,,,,,,,,,0,,77,0
3960,note_on,0,0,0,,,,,,,,,0,,41,0
3960,note_on,0,0,0,,,,,,,,,0,,81,0
3960,note_on,0,0,0,,,,,,,,,0,,53,0
3960,note_on,0,0,0,,,,,,,,,0,,72,0
3960,note_on,0,0,0,,,,,,,,,0,,81,90
3960,note_on,0,0,0,,,,,,,,,0,,57,90
3960,note_on,0,0,0,,,,,,,,,0,,93,90
3960,note_on,0,0,0,,,,,,,,,0,,53,90
3960,note_on,0,0,0,,,,,,,,,0,,60,90
4160,note_on,200,0,0,,,,,,,,,0,,81,0
4160,note_on,0,0,0,,,,,,,,,0,,57,0
4160,note_on,0,0,0,,,,,,,,,0,,93,0
4160,note_on,0,0,0,,,,,,,,,0,,53,0
4160,note_on,0,0,0,,,,,,,,,0,,60,0
4192,note_on,32,0,0,,,,,,,,,0,,86,80
4272,note_on,80,0,0,,,,,,,,,0,,86,0
