tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,G#m,,,,,,,,
0,set_tempo,0,1,0,,,,,,315789,,,,,,,
0,sysex,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
0,control_change,0,0,0,,,,,,,,10,64,2,,,
0,control_change,0,0,0,,,,,,,,91,40,2,,,
0,control_change,0,0,0,,,,,,,,93,0,2,,,
0,control_change,0,0,0,,,,,,,,0,0,2,,,
0,control_change,0,0,0,,,,,,,,7,100,2,,,
0,program_change,0,0,0,,,,,,,,,,2,0,,
0,control_change,0,0,0,,,,,,,,10,64,3,,,
0,control_change,0,0,0,,,,,,,,91,40,3,,,
0,control_change,0,0,0,,,,,,,,93,0,3,,,
0,control_change,0,0,0,,,,,,,,0,0,3,,,
0,control_change,0,0,0,,,,,,,,7,100,3,,,
0,program_change,0,0,0,,,,,,,,,,3,0,,
0,control_change,0,0,0,,,,,,,,10,64,4,,,
0,control_change,0,0,0,,,,,,,,91,40,4,,,
0,control_change,0,0,0,,,,,,,,93,0,4,,,
0,control_change,0,0,0,,,,,,,,0,0,4,,,
0,control_change,0,0,0,,,,,,,,7,100,4,,,
0,program_change,0,0,0,,,,,,,,,,4,0,,
0,control_change,0,0,0,,,,,,,,10,64,5,,,
0,control_change,0,0,0,,,,,,,,91,40,5,,,
0,control_change,0,0,0,,,,,,,,93,0,5,,,
0,control_change,0,0,0,,,,,,,,0,0,5,,,
0,control_change,0,0,0,,,,,,,,7,100,5,,,
0,program_change,0,0,0,,,,,,,,,,5,0,,
0,control_change,0,0,0,,,,,,,,10,64,6,,,
0,control_change,0,0,0,,,,,,,,91,40,6,,,
0,control_change,0,0,0,,,,,,,,93,0,6,,,
0,control_change,0,0,0,,,,,,,,0,0,6,,,
0,control_change,0,0,0,,,,,,,,7,100,6,,,
0,program_change,0,0,0,,,,,,,,,,6,0,,
0,control_change,0,0,0,,,,,,,,10,64,7,,,
0,control_change,0,0,0,,,,,,,,91,40,7,,,
0,control_change,0,0,0,,,,,,,,93,0,7,,,
0,control_change,0,0,0,,,,,,,,0,0,7,,,
0,control_change,0,0,0,,,,,,,,7,100,7,,,
0,program_change,0,0,0,,,,,,,,,,7,0,,
0,control_change,0,0,0,,,,,,,,10,64,8,,,
0,control_change,0,0,0,,,,,,,,91,40,8,,,
0,control_change,0,0,0,,,,,,,,93,0,8,,,
0,control_change,0,0,0,,,,,,,,0,0,8,,,
0,control_change,0,0,0,,,,,,,,7,100,8,,,
0,program_change,0,0,0,,,,,,,,,,8,0,,
0,control_change,0,0,0,,,,,,,,10,64,9,,,
0,control_change,0,0,0,,,,,,,,91,40,9,,,
0,control_change,0,0,0,,,,,,,,93,0,9,,,
0,control_change,0,0,0,,,,,,,,0,0,9,,,
0,control_change,0,0,0,,,,,,,,7,100,9,,,
0,program_change,0,0,0,,,,,,,,,,9,0,,
0,control_change,0,0,0,,,,,,,,10,64,10,,,
0,control_change,0,0,0,,,,,,,,91,40,10,,,
0,control_change,0,0,0,,,,,,,,93,0,10,,,
0,control_change,0,0,0,,,,,,,,0,0,10,,,
0,control_change,0,0,0,,,,,,,,7,100,10,,,
0,program_change,0,0,0,,,,,,,,,,10,0,,
0,control_change,0,0,0,,,,,,,,10,64,11,,,
0,control_change,0,0,0,,,,,,,,91,40,11,,,
0,control_change,0,0,0,,,,,,,,93,0,11,,,
0,control_change,0,0,0,,,,,,,,0,0,11,,,
0,control_change,0,0,0,,,,,,,,7,100,11,,,
0,program_change,0,0,0,,,,,,,,,,11,0,,
0,control_change,0,0,0,,,,,,,,10,64,12,,,
0,control_change,0,0,0,,,,,,,,91,40,12,,,
0,control_change,0,0,0,,,,,,,,93,0,12,,,
0,control_change,0,0,0,,,,,,,,0,0,12,,,
0,control_change,0,0,0,,,,,,,,7,100,12,,,
0,program_change,0,0,0,,,,,,,,,,12,0,,
0,control_change,0,0,0,,,,,,,,10,64,13,,,
0,control_change,0,0,0,,,,,,,,91,40,13,,,
0,control_change,0,0,0,,,,,,,,93,0,13,,,
0,control_change,0,0,0,,,,,,,,0,0,13,,,
