tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,,
0,set_tempo,0,1,0,,,,,,375000,,,,,,,
0,sysex,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
480,control_change,480,0,0,,,,,,,,0,0,0,,,
480,control_change,0,0,0,,,,,,,,32,0,0,,,
480,program_change,0,0,0,,,,,,,,,,0,0,,
720,control_change,240,0,0,,,,,,,,7,127,0,,,
960,control_change,240,0,0,,,,,,,,11,127,0,,,
960,control_change,0,0,0,,,,,,,,91,80,0,,,
992,note_on,32,0,0,,,,,,,,,,0,,74,70
1440,note_on,448,0,0,,,,,,,,,,0,,74,0
1440,note_on,0,0,0,,,,,,,,,,0,,50,58
1440,note_on,0,0,0,,,,,,,,,,0,,69,70
1680,control_change,240,0,0,,,,,,,,64,127,0,,,
1920,note_on,240,0,0,,,,,,,,,,0,,50,0
1920,note_on,0,0,0,,,,,,,,,,0,,69,0
1920,note_on,0,0,0,,,,,,,,,,0,,53,58
1920,note_on,0,0,0,,,,,,,,,,0,,62,58
1920,control_change,0,0,0,,,,,,,,64,0,0,,,
1920,note_on,0,0,0,,,,,,,,,,0,,57,58
2400,note_on,480,0,0,,,,,,,,,,0,,53,0
2400,note_on,0,0,0,,,,,,,,,,0,,62,0
2400,note_on,0,0,0,,,,,,,,,,0,,57,0
2432,note_on,32,0,0,,,,,,,,,,0,,77,70
2880,note_on,448,0,0,,,,,,,,,,0,,77,0
2880,note_on,0,0,0,,,,,,,,,,0,,52,58
2880,note_on,0,0,0,,,,,,,,,,0,,73,70
3120,control_change,240,0,0,,,,,,,,64,127,0,,,
3360,note_on,240,0,0,,,,,,,,,,0,,52,0
3360,note_on,0,0,0,,,,,,,,,,0,,73,0
3360,note_on,0,0,0,,,,,,,,,,0,,55,58
3360,note_on,0,0,0,,,,,,,,,,0,,58,58
3360,control_change,0,0,0,,,,,,,,7,127,0,,,
3360,note_on,0,0,0,,,,,,,,,,0,,61,58
3480,control_change,120,0,0,,,,,,,,64,0,0,,,
3840,note_on,360,0,0,,,,,,,,,,0,,55,0
3840,note_on,0,0,0,,,,,,,,,,0,,58,0
3840,note_on,0,0,0,,,,,,,,,,0,,61,0
3872,note_on,32,0,0,,,,,,,,,,0,,76,70
4320,note_on,448,0,0,,,,,,,,,,0,,76,0
4320,note_on,0,0,0,,,,,,,,,,0,,53,58
4320,note_on,0,0,0,,,,,,,,,,0,,69,70
4560,control_change,240,0,0,,,,,,,,64,127,0,,,
4800,note_on,240,0,0,,,,,,,,,,0,,53,0
4800,note_on,0,0,0,,,,,,,,,,0,,69,0
4800,note_on,0,0,0,,,,,,,,,,0,,62,63
4800,control_change,0,0,0,,,,,,,,64,0,0,,,
4800,note_on,0,0,0,,,,,,,,,,0,,57,58
5280,note_on,480,0,0,,,,,,,,,,0,,62,0
5280,note_on,0,0,0,,,,,,,,,,0,,57,0
5312,note_on,32,0,0,,,,,,,,,,0,,81,76
5760,note_on,448,0,0,,,,,,,,,,0,,81,0
5760,note_on,0,0,0,,,,,,,,,,0,,55,70
5760,note_on,0,0,0,,,,,,,,,,0,,74,74
6000,control_change,240,0,0,,,,,,,,64,127,0,,,
6192,note_on,192,0,0,,,,,,,,,,0,,55,0
6240,note_on,48,0,0,,,,,,,,,,0,,74,0
6240,note_on,0,0,0,,,,,,,,,,0,,62,70
6240,note_on,0,0,0,,,,,,,,,,0,,58,70
6360,control_change,120,0,0,,,,,,,,64,0,0,,,
6720,note_on,360,0,0,,,,,,,,,,0,,62,0
6720,note_on,0,0,0,,,,,,,,,,0,,58,0
6752,note_on,32,0,0,,,,,,,,,,0,,82,78
7200,note_on,448,0,0,,,,,,,,,,0,,82,0
7200,note_on,0,0,0,,,,,,,,,,0,,55,70
7200,note_on,0,0,0,,,,,,,,,,0,,73,76
7440,control_change,240,0,0,,,,,,,,64,127,0,,,
7632,note_on,192,0,0,,,,,,,,,,0,,55,0
7680,note_on,48,0,0,,,,,,,,,,0,,73,0
7680,note_on,0,0,0,,,,,,,,,,0,,64,70
