tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
127350,control_change,24,0,6,,,,,,,,,5,11,54,,,
127360,note_on,40,0,12,,,,,,,,,10,,,,69,0
127360,note_on,0,0,12,,,,,,,,,10,,,,68,73
127369,control_change,24,0,1,,,,,,,,,0,11,56,,,
127372,control_change,24,0,2,,,,,,,,,1,11,56,,,
127374,control_change,24,0,3,,,,,,,,,2,11,56,,,
127374,control_change,24,0,6,,,,,,,,,5,11,56,,,
127382,note_on,60,0,13,,,,,,,,,11,,,,63,0
127387,note_on,60,0,14,,,,,,,,,12,,,,60,0
127390,note_on,60,0,15,,,,,,,,,13,,,,56,0
127393,control_change,24,0,1,,,,,,,,,0,11,58,,,
127396,control_change,24,0,2,,,,,,,,,1,11,58,,,
127398,control_change,24,0,3,,,,,,,,,2,11,58,,,
127398,control_change,24,0,6,,,,,,,,,5,11,58,,,
127400,note_on,40,0,12,,,,,,,,,10,,,,68,0
127400,note_on,0,0,12,,,,,,,,,10,,,,69,73
127417,control_change,24,0,1,,,,,,,,,0,11,60,,,
127420,control_change,24,0,2,,,,,,,,,1,11,60,,,
127422,control_change,24,0,3,,,,,,,,,2,11,60,,,
127422,control_change,24,0,6,,,,,,,,,5,11,60,,,
127430,note_on,30,0,12,,,,,,,,,10,,,,69,0
127440,note_on,10,0,12,,,,,,,,,10,,,,69,73
127440,set_tempo,240,1,0,,,,,,547945,,,,,,,,
127441,control_change,24,0,1,,,,,,,,,0,11,62,,,
127444,control_change,24,0,2,,,,,,,,,1,11,62,,,
127446,control_change,24,0,3,,,,,,,,,2,11,62,,,
127446,control_change,24,0,6,,,,,,,,,5,11,62,,,
127450,note_on,60,0,15,,,,,,,,,13,,,,56,77
127455,note_on,0,0,16,,,,,,,,,14,,,,44,40
127455,note_on,120,0,16,,,,,,,,,14,,,,44,0
127465,control_change,24,0,1,,,,,,,,,0,11,60,,,
127468,control_change,24,0,2,,,,,,,,,1,11,60,,,
127470,control_change,24,0,6,,,,,,,,,5,11,60,,,
127470,control_change,24,0,3,,,,,,,,,2,11,60,,,
127480,note_on,40,0,12,,,,,,,,,10,,,,69,0
127480,note_on,0,0,12,,,,,,,,,10,,,,68,73
127489,control_change,24,0,1,,,,,,,,,0,11,58,,,
127492,control_change,24,0,2,,,,,,,,,1,11,58,,,
127494,control_change,24,0,6,,,,,,,,,5,11,58,,,
127494,control_change,24,0,3,,,,,,,,,2,11,58,,,
127510,note_on,60,0,15,,,,,,,,,13,,,,56,0
127513,control_change,24,0,1,,,,,,,,,0,11,56,,,
127516,control_change,24,0,2,,,,,,,,,1,11,56,,,
127518,control_change,24,0,6,,,,,,,,,5,11,56,,,
127518,control_change,24,0,3,,,,,,,,,2,11,56,,,
127520,note_on,40,0,12,,,,,,,,,10,,,,68,0
127520,note_on,0,0,12,,,,,,,,,10,,,,69,73
127537,control_change,24,0,1,,,,,,,,,0,11,54,,,
127540,control_change,24,0,2,,,,,,,,,1,11,54,,,
127542,control_change,24,0,3,,,,,,,,,2,11,54,,,
127542,control_change,24,0,6,,,,,,,,,5,11,54,,,
127560,note_on,0,0,12,,,,,,,,,10,,,,68,73
127560,set_tempo,120,1,0,,,,,,533333,,,,,,,,
127560,note_on,40,0,12,,,,,,,,,10,,,,69,0
127561,control_change,0,0,1,,,,,,,,,0,11,52,,,
127561,note_on,0,0,1,,,,,,,,,0,,,,90,0
127561,note_on,24,0,1,,,,,,,,,0,,,,84,0
127561,note_on,0,0,1,,,,,,,,,0,,,,89,50
127561,note_on,0,0,1,,,,,,,,,0,,,,85,57
127562,note_on,0,0,13,,,,,,,,,11,,,,65,77
127562,control_change,180,0,13,,,,,,,,,11,11,42,,,
127564,control_change,0,0,2,,,,,,,,,1,11,52,,,
127564,note_on,24,0,2,,,,,,,,,1,,,,78,0
127564,note_on,0,0,2,,,,,,,,,1,,,,77,89
127566,note_on,0,0,6,,,,,,,,,5,,,,68,102
127566,control_change,0,0,3,,,,,,,,,2,11,52,,,
127566,control_change,0,0,6,,,,,,,,,5,11,52,,,
127566,note_on,24,0,6,,,,,,,,,5,,,,69,0
127566,note_on,24,0,3,,,,,,,,,2,,,,75,0
127566,note_on,0,0,3,,,,,,,,,2,,,,77,90
127566,note_on,0,0,3,,,,,,,,,2,,,,72,0
127566,note_on,0,0,3,,,,,,,,,2,,,,73,90
127567,control_change,180,0,14,,,,,,,,,12,11,42,,,
127567,note_on,0,0,14,,,,,,,,,12,,,,61,77
127575,note_on,120,0,16,,,,,,,,,14,,,,44,0
127586,control_change,24,0,13,,,,,,,,,11,11,41,,,
127591,control_change,24,0,14,,,,,,,,,12,11,41,,,
127600,note_on,40,0,12,,,,,,,,,10,,,,68,0
127600,note_on,0,0,12,,,,,,,,,10,,,,69,73
127610,control_change,24,0,13,,,,,,,,,11,11,40,,,
127615,control_change,24,0,14,,,,,,,,,12,11,40,,,
127622,note_on,12,0,13,,,,,,,,,11,,,,65,0
127627,note_on,12,0,14,,,,,,,,,12,,,,61,0
127634,control_change,12,0,13,,,,,,,,,11,11,39,,,
127639,control_change,12,0,14,,,,,,,,,12,11,39,,,
127640,note_on,40,0,12,,,,,,,,,10,,,,69,0
127640,note_on,0,0,12,,,,,,,,,10,,,,68,73
127658,control_change,24,0,13,,,,,,,,,11,11,38,,,
127663,control_change,24,0,14,,,,,,,,,12,11,38,,,
127670,note_on,30,0,12,,,,,,,,,10,,,,68,0
127671,note_on,0,0,1,,,,,,,,,0,,,,85,0
127671,note_on,110,0,1,,,,,,,,,0,,,,89,0
127674,note_on,110,0,2,,,,,,,,,1,,,,77,0
127676,note_on,110,0,3,,,,,,,,,2,,,,77,0
127676,note_on,110,0,6,,,,,,,,,5,,,,68,0
127676,note_on,0,0,3,,,,,,,,,2,,,,73,0
127680,note_on,0,0,12,,,,,,,,,10,,,,69,73
127680,set_tempo,120,1,0,,,,,,542986,,,,,,,,
127680,control_change,10,0,12,,,,,,,,,10,11,47,,,
127681,control_change,10,0,1,,,,,,,,,0,11,52,,,
127681,note_on,0,0,1,,,,,,,,,0,,,,90,50
127681,note_on,0,0,1,,,,,,,,,0,,,,81,57
127682,control_change,24,0,13,,,,,,,,,11,11,37,,,
127682,note_on,0,0,13,,,,,,,,,11,,,,63,77
127684,control_change,10,0,2,,,,,,,,,1,11,52,,,
127684,note_on,0,0,2,,,,,,,,,1,,,,78,89
127686,control_change,10,0,3,,,,,,,,,2,11,52,,,
127686,note_on,0,0,3,,,,,,,,,2,,,,72,90
127686,note_on,0,0,6,,,,,,,,,5,,,,69,102
127686,control_change,10,0,6,,,,,,,,,5,11,52,,,
127686,note_on,0,0,3,,,,,,,,,2,,,,75,90
127687,note_on,0,0,14,,,,,,,,,12,,,,60,77
127687,control_change,24,0,14,,,,,,,,,12,11,37,,,
127690,note_on,180,0,15,,,,,,,,,13,,,,56,77
127694,control_change,1920,0,4,,,,,,,,,3,11,52,,,
127695,note_on,120,0,16,,,,,,,,,14,,,,44,40
127713,control_change,32,0,1,,,,,,,,,0,11,51,,,
127716,control_change,32,0,2,,,,,,,,,1,11,51,,,
127716,control_change,36,0,12,,,,,,,,,10,11,46,,,
127718,control_change,32,0,6,,,,,,,,,5,11,51,,,
127718,control_change,32,0,3,,,,,,,,,2,11,51,,,
127720,note_on,4,0,12,,,,,,,,,10,,,,69,0
127720,note_on,0,0,12,,,,,,,,,10,,,,68,73
127726,control_change,32,0,4,,,,,,,,,3,11,51,,,
127742,note_on,60,0,13,,,,,,,,,11,,,,63,0
127745,control_change,32,0,1,,,,,,,,,0,11,50,,,
127747,note_on,60,0,14,,,,,,,,,12,,,,60,0
127748,control_change,32,0,2,,,,,,,,,1,11,50,,,
127750,control_change,32,0,6,,,,,,,,,5,11,50,,,
127750,note_on,60,0,15,,,,,,,,,13,,,,56,0
127750,control_change,32,0,3,,,,,,,,,2,11,50,,,
127752,control_change,32,0,12,,,,,,,,,10,11,45,,,
127758,control_change,32,0,4,,,,,,,,,3,11,50,,,
127760,note_on,8,0,12,,,,,,,,,10,,,,68,0
127760,note_on,0,0,12,,,,,,,,,10,,,,69,73
127777,control_change,32,0,1,,,,,,,,,0,11,49,,,
127780,control_change,32,0,2,,,,,,,,,1,11,49,,,
127782,control_change,32,0,6,,,,,,,,,5,11,49,,,
127782,control_change,32,0,3,,,,,,,,,2,11,49,,,
127788,control_change,28,0,12,,,,,,,,,10,11,44,,,
127790,control_change,32,0,4,,,,,,,,,3,11,49,,,
127800,note_on,12,0,12,,,,,,,,,10,,,,69,0
127800,set_tempo,120,1,0,,,,,,566038,,,,,,,,
127800,note_on,0,0,12,,,,,,,,,10,,,,68,73
127809,control_change,32,0,1,,,,,,,,,0,11,48,,,
127812,control_change,32,0,2,,,,,,,,,1,11,48,,,
127814,control_change,32,0,6,,,,,,,,,5,11,48,,,
127814,control_change,32,0,3,,,,,,,,,2,11,48,,,
127815,note_on,120,0,16,,,,,,,,,14,,,,44,0
127822,control_change,32,0,4,,,,,,,,,3,11,48,,,
127824,control_change,24,0,12,,,,,,,,,10,11,43,,,
127840,note_on,0,0,12,,,,,,,,,10,,,,69,73
127840,note_on,16,0,12,,,,,,,,,10,,,,68,0
127841,control_change,32,0,1,,,,,,,,,0,11,47,,,
127844,control_change,32,0,2,,,,,,,,,1,11,47,,,
127846,control_change,32,0,3,,,,,,,,,2,11,47,,,
127846,control_change,32,0,6,,,,,,,,,5,11,47,,,
127854,control_change,32,0,4,,,,,,,,,3,11,47,,,
127860,control_change,20,0,12,,,,,,,,,10,11,42,,,
127873,control_change,32,0,1,,,,,,,,,0,11,46,,,
127876,control_change,32,0,2,,,,,,,,,1,11,46,,,
127878,control_change,32,0,3,,,,,,,,,2,11,46,,,
127878,control_change,32,0,6,,,,,,,,,5,11,46,,,
127880,note_on,0,0,12,,,,,,,,,10,,,,68,73
127880,note_on,20,0,12,,,,,,,,,10,,,,69,0
127886,control_change,32,0,4,,,,,,,,,3,11,46,,,
127896,control_change,16,0,12,,,,,,,,,10,11,41,,,
127905,control_change,32,0,1,,,,,,,,,0,11,45,,,
