tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
8831,note_off,,,,,39,0,0,,35,64,0,,
8839,note_off,,,,,8,0,0,,47,64,0,,
8851,note_off,,,,,12,0,0,,59,64,0,,
8860,control_change,,,,,9,0,0,,,,0,64,127
8884,note_off,,,,,24,0,0,,71,64,0,,
9053,note_on,,,,,169,0,0,,76,106,0,,
9056,note_on,,,,,3,0,0,,67,88,0,,
9056,note_on,,,,,0,0,0,,71,103,0,,
9058,note_on,,,,,2,0,0,,64,105,0,,
9058,note_on,,,,,0,0,0,,28,100,0,,
9059,note_on,,,,,1,0,0,,40,114,0,,
9083,note_off,,,,,24,0,0,,28,64,0,,
9098,note_off,,,,,15,0,0,,40,64,0,,
9117,note_off,,,,,19,0,0,,64,64,0,,
9129,note_off,,,,,12,0,0,,76,64,0,,
9165,note_off,,,,,36,0,0,,67,64,0,,
9166,note_off,,,,,1,0,0,,71,64,0,,
9252,control_change,,,,,86,0,0,,,,0,64,0
9384,note_on,,,,,132,0,0,,74,108,0,,
9385,note_on,,,,,1,0,0,,62,104,0,,
9385,note_on,,,,,0,0,0,,42,100,0,,
9387,note_on,,,,,2,0,0,,69,89,0,,
9388,note_on,,,,,1,0,0,,30,97,0,,
9390,control_change,,,,,2,0,0,,,,0,64,127
9536,control_change,,,,,146,0,0,,,,0,64,0
9635,control_change,,,,,99,0,0,,,,0,64,127
9642,note_off,,,,,7,0,0,,74,64,0,,
9644,note_off,,,,,2,0,0,,69,64,0,,
9650,note_off,,,,,6,0,0,,30,64,0,,
9677,note_off,,,,,27,0,0,,42,64,0,,
9686,note_off,,,,,9,0,0,,62,64,0,,
9758,note_on,,,,,72,0,0,,69,83,0,,
9759,note_on,,,,,1,0,0,,62,81,0,,
9774,control_change,,,,,15,0,0,,,,0,64,0
9781,note_off,,,,,7,0,0,,62,64,0,,
9786,note_off,,,,,5,0,0,,69,64,0,,
9833,note_on,,,,,47,0,0,,71,101,0,,
9834,note_on,,,,,1,0,0,,67,90,0,,
9835,note_on,,,,,1,0,0,,31,95,0,,
9836,note_on,,,,,1,0,0,,62,80,0,,
9837,note_on,,,,,1,0,0,,43,94,0,,
9852,note_off,,,,,15,0,0,,31,64,0,,
9863,note_off,,,,,11,0,0,,43,64,0,,
9864,note_off,,,,,1,0,0,,62,64,0,,
9874,note_off,,,,,10,0,0,,67,64,0,,
9891,note_off,,,,,17,0,0,,71,64,0,,
9917,note_on,,,,,26,0,0,,35,97,0,,
9917,note_on,,,,,0,0,0,,47,82,0,,
9960,note_off,,,,,43,0,0,,35,64,0,,
9969,note_off,,,,,9,0,0,,47,64,0,,
9992,note_on,,,,,23,0,0,,67,74,0,,
9993,note_on,,,,,1,0,0,,62,74,0,,
10015,note_off,,,,,22,0,0,,62,64,0,,
10018,note_off,,,,,3,0,0,,67,64,0,,
10065,note_on,,,,,47,0,0,,69,74,0,,
10065,note_on,,,,,0,0,0,,50,92,0,,
10066,note_on,,,,,1,0,0,,38,87,0,,
10068,note_on,,,,,2,0,0,,62,59,0,,
10068,note_on,,,,,0,0,0,,66,58,0,,
10085,note_off,,,,,17,0,0,,38,64,0,,
10086,note_off,,,,,1,0,0,,50,64,0,,
10098,note_off,,,,,12,0,0,,66,64,0,,
10106,note_off,,,,,8,0,0,,62,64,0,,
10113,note_off,,,,,7,0,0,,69,64,0,,
10127,control_change,,,,,14,0,0,,,,0,64,127
10149,note_on,,,,,22,0,0,,54,96,0,,
10151,note_on,,,,,2,0,0,,42,83,0,,
10166,control_change,,,,,15,0,0,,,,0,64,0
10186,note_off,,,,,20,0,0,,42,64,0,,
10186,note_off,,,,,0,0,0,,54,64,0,,
10217,note_on,,,,,31,0,0,,62,84,0,,
10249,note_off,,,,,32,0,0,,62,64,0,,
10292,note_on,,,,,43,0,0,,71,94,0,,
10292,note_on,,,,,0,0,0,,67,83,0,,
10293,note_on,,,,,1,0,0,,55,100,0,,
10293,note_on,,,,,0,0,0,,62,79,0,,
10297,note_on,,,,,4,0,0,,43,91,0,,
10315,note_off,,,,,18,0,0,,43,64,0,,
10322,note_off,,,,,7,0,0,,55,64,0,,
10332,note_off,,,,,10,0,0,,62,64,0,,
10341,note_off,,,,,9,0,0,,67,64,0,,
10351,note_off,,,,,10,0,0,,71,64,0,,
10372,note_on,,,,,21,0,0,,59,95,0,,
10374,note_on,,,,,2,0,0,,47,88,0,,
10414,note_off,,,,,40,0,0,,47,64,0,,
10419,note_off,,,,,5,0,0,,59,64,0,,
10436,note_on,,,,,17,0,0,,67,85,0,,
10442,note_on,,,,,6,0,0,,62,72,0,,
10464,note_off,,,,,22,0,0,,62,64,0,,
10484,note_off,,,,,20,0,0,,67,64,0,,
10515,note_on,,,,,31,0,0,,69,85,0,,
10515,note_on,,,,,0,0,0,,62,95,0,,
10516,note_on,,,,,1,0,0,,50,102,0,,
10518,note_on,,,,,2,0,0,,66,73,0,,
10541,note_off,,,,,23,0,0,,50,64,0,,
10551,note_off,,,,,10,0,0,,62,64,0,,
10586,note_off,,,,,35,0,0,,66,64,0,,
10596,control_change,,,,,10,0,0,,,,0,64,127
10603,note_on,,,,,7,0,0,,38,95,0,,
10605,note_on,,,,,2,0,0,,50,100,0,,
10613,note_off,,,,,8,0,0,,69,64,0,,
10619,note_off,,,,,6,0,0,,38,64,0,,
10623,note_off,,,,,4,0,0,,50,64,0,,
10626,control_change,,,,,3,0,0,,,,0,64,0
10662,note_on,,,,,36,0,0,,62,89,0,,
10717,note_off,,,,,55,0,0,,62,64,0,,
10740,note_on,,,,,23,0,0,,55,85,0,,
10740,note_on,,,,,0,0,0,,71,98,0,,
10740,note_on,,,,,0,0,0,,67,91,0,,
10741,note_on,,,,,1,0,0,,62,106,0,,
10741,note_on,,,,,0,0,0,,43,89,0,,
10758,note_off,,,,,17,0,0,,55,64,0,,
10762,note_off,,,,,4,0,0,,62,64,0,,
10768,note_off,,,,,6,0,0,,67,64,0,,
10772,note_off,,,,,4,0,0,,43,64,0,,
10780,control_change,,,,,8,0,0,,,,0,64,127
10794,note_off,,,,,14,0,0,,71,64,0,,
10825,note_on,,,,,31,0,0,,43,86,0,,
10827,note_on,,,,,2,0,0,,31,98,0,,
10842,note_off,,,,,15,0,0,,31,64,0,,
10842,note_off,,,,,0,0,0,,43,64,0,,
10888,note_on,,,,,46,0,0,,67,97,0,,
10934,control_change,,,,,46,0,0,,,,0,64,0
10949,note_off,,,,,15,0,0,,67,64,0,,
10991,note_on,,,,,42,0,0,,67,104,0,,
10992,note_on,,,,,1,0,0,,79,110,0,,
10992,note_on,,,,,0,0,0,,75,96,0,,
10994,note_on,,,,,2,0,0,,72,98,0,,
10994,note_on,,,,,0,0,0,,36,107,0,,
10994,note_on,,,,,0,0,0,,24,109,0,,
11017,note_off,,,,,23,0,0,,24,64,0,,
11042,note_off,,,,,25,0,0,,36,64,0,,
11057,control_change,,,,,15,0,0,,,,0,64,127
11060,note_off,,,,,3,0,0,,79,64,0,,
11067,note_off,,,,,7,0,0,,67,64,0,,
11087,note_off,,,,,20,0,0,,72,64,0,,
11087,note_off,,,,,0,0,0,,75,64,0,,
11187,control_change,,,,,100,0,0,,,,0,64,0
11317,note_on,,,,,130,0,0,,78,103,0,,
11319,note_on,,,,,2,0,0,,66,96,0,,
11321,note_on,,,,,2,0,0,,74,97,0,,
