tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C#m,,,,,,,,
0,set_tempo,0,1,0,,,,,,512820,,,,,,,
0,sysex,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
480,control_change,480,0,0,,,,,,,,0,0,0,,,
480,control_change,0,0,0,,,,,,,,32,0,0,,,
480,program_change,0,0,0,,,,,,,,,,0,0,,
480,control_change,0,0,0,,,,,,,,7,127,0,,,
480,control_change,0,0,0,,,,,,,,11,92,0,,,
480,control_change,0,0,0,,,,,,,,67,70,0,,,
480,control_change,0,0,0,,,,,,,,91,30,0,,,
928,note_on,448,0,0,,,,,,,,,,0,,71,66
928,note_on,0,0,0,,,,,,,,,,0,,83,66
1408,note_on,480,0,0,,,,,,,,,,0,,71,0
1408,note_on,0,0,0,,,,,,,,,,0,,83,0
1440,set_tempo,32,1,0,,,,,,500000,,,,,,,
1440,note_on,0,0,0,,,,,,,,,,0,,80,79
1440,note_on,0,0,0,,,,,,,,,,0,,59,0
1440,note_on,0,0,0,,,,,,,,,,0,,71,79
1440,note_on,0,0,0,,,,,,,,,,0,,52,72
1440,note_on,0,0,0,,,,,,,,,,0,,76,79
1656,note_on,216,0,0,,,,,,,,,,0,,59,0
1680,note_on,24,0,0,,,,,,,,,,0,,56,58
1680,note_on,0,0,0,,,,,,,,,,0,,59,58
1920,note_on,240,0,0,,,,,,,,,,0,,56,0
1920,note_on,0,0,0,,,,,,,,,,0,,59,0
1920,note_on,0,0,0,,,,,,,,,,0,,56,62
1920,note_on,0,0,0,,,,,,,,,,0,,59,62
2160,note_on,240,0,0,,,,,,,,,,0,,80,0
2160,note_on,0,0,0,,,,,,,,,,0,,71,0
2160,note_on,0,0,0,,,,,,,,,,0,,76,0
2160,set_tempo,0,1,0,,,,,,512820,,,,,,,
2160,note_on,0,0,0,,,,,,,,,,0,,83,62
2376,note_on,216,0,0,,,,,,,,,,0,,83,0
2400,note_on,24,0,0,,,,,,,,,,0,,56,0
2400,note_on,0,0,0,,,,,,,,,,0,,59,0
2400,note_on,0,0,0,,,,,,,,,,0,,64,58
2400,note_on,0,0,0,,,,,,,,,,0,,71,74
2400,note_on,0,0,0,,,,,,,,,,0,,56,58
2400,note_on,0,0,0,,,,,,,,,,0,,83,74
2736,note_on,336,0,0,,,,,,,,,,0,,52,0
2832,note_on,96,0,0,,,,,,,,,,0,,64,0
2832,note_on,0,0,0,,,,,,,,,,0,,71,0
2832,note_on,0,0,0,,,,,,,,,,0,,56,0
2832,note_on,0,0,0,,,,,,,,,,0,,83,0
2880,set_tempo,48,1,0,,,,,,500000,,,,,,,
2880,note_on,0,0,0,,,,,,,,,,0,,75,79
2880,note_on,0,0,0,,,,,,,,,,0,,54,72
2880,note_on,0,0,0,,,,,,,,,,0,,81,79
2880,note_on,0,0,0,,,,,,,,,,0,,59,0
2880,note_on,0,0,0,,,,,,,,,,0,,71,79
3096,note_on,216,0,0,,,,,,,,,,0,,59,0
3120,note_on,24,0,0,,,,,,,,,,0,,57,58
3120,note_on,0,0,0,,,,,,,,,,0,,59,58
3360,note_on,240,0,0,,,,,,,,,,0,,57,0
3360,note_on,0,0,0,,,,,,,,,,0,,59,0
3360,note_on,0,0,0,,,,,,,,,,0,,57,58
3360,note_on,0,0,0,,,,,,,,,,0,,59,58
3600,note_on,240,0,0,,,,,,,,,,0,,75,0
3600,note_on,0,0,0,,,,,,,,,,0,,81,0
3600,note_on,0,0,0,,,,,,,,,,0,,71,0
3600,set_tempo,0,1,0,,,,,,512820,,,,,,,
3600,note_on,0,0,0,,,,,,,,,,0,,83,62
3816,note_on,216,0,0,,,,,,,,,,0,,83,0
3840,note_on,24,0,0,,,,,,,,,,0,,57,0
3840,note_on,0,0,0,,,,,,,,,,0,,59,0
3840,note_on,0,0,0,,,,,,,,,,0,,63,58
3840,note_on,0,0,0,,,,,,,,,,0,,71,74
3840,note_on,0,0,0,,,,,,,,,,0,,57,58
3840,note_on,0,0,0,,,,,,,,,,0,,83,74
4176,note_on,336,0,0,,,,,,,,,,0,,54,0
