tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,983606,,,,,,,
0,sysex,0,0,0,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
480,control_change,480,0,0,,,,,,,0,0,0,,,
480,control_change,0,0,0,,,,,,,32,0,0,,,
480,program_change,0,0,0,,,,,,,,,0,0,,
1440,set_tempo,960,1,0,,,,,276497,,,,,,,
1440,control_change,0,0,0,,,,,,,7,100,0,,,
1440,control_change,0,0,0,,,,,,,11,127,0,,,
1440,note_on,0,0,0,,,,,,,,,0,,48,62
1440,note_on,0,0,0,,,,,,,,,0,,91,79
1600,note_on,160,0,0,,,,,,,,,0,,91,0
1680,note_on,80,0,0,,,,,,,,,0,,76,46
1820,note_on,140,0,0,,,,,,,,,0,,48,0
1840,note_on,20,0,0,,,,,,,,,0,,76,0
1920,note_on,80,0,0,,,,,,,,,0,,64,56
1920,note_on,0,0,0,,,,,,,,,0,,60,56
1920,note_on,0,0,0,,,,,,,,,0,,79,46
2080,note_on,160,0,0,,,,,,,,,0,,79,0
2165,note_on,85,0,0,,,,,,,,,0,,88,77
2300,note_on,135,0,0,,,,,,,,,0,,64,0
2300,note_on,0,0,0,,,,,,,,,0,,60,0
2325,note_on,25,0,0,,,,,,,,,0,,88,0
2405,note_on,80,0,0,,,,,,,,,0,,84,77
2405,note_on,0,0,0,,,,,,,,,0,,52,57
2565,note_on,160,0,0,,,,,,,,,0,,84,0
2640,note_on,75,0,0,,,,,,,,,0,,72,46
2785,note_on,145,0,0,,,,,,,,,0,,52,0
2800,note_on,15,0,0,,,,,,,,,0,,72,0
2880,note_on,80,0,0,,,,,,,,,0,,55,62
2880,note_on,0,0,0,,,,,,,,,0,,60,60
2880,note_on,0,0,0,,,,,,,,,0,,76,46
3040,note_on,160,0,0,,,,,,,,,0,,76,0
3136,note_on,96,0,0,,,,,,,,,0,,79,77
3260,note_on,124,0,0,,,,,,,,,0,,55,0
3260,note_on,0,0,0,,,,,,,,,0,,60,0
3296,note_on,36,0,0,,,,,,,,,0,,79,0
3365,note_on,69,0,0,,,,,,,,,0,,81,77
3365,note_on,0,0,0,,,,,,,,,0,,53,57
3525,note_on,160,0,0,,,,,,,,,0,,81,0
3600,note_on,75,0,0,,,,,,,,,0,,65,46
3745,note_on,145,0,0,,,,,,,,,0,,53,0
3760,note_on,15,0,0,,,,,,,,,0,,65,0
3840,note_on,80,0,0,,,,,,,,,0,,62,56
3840,note_on,0,0,0,,,,,,,,,0,,57,57
3840,note_on,0,0,0,,,,,,,,,0,,69,46
4000,note_on,160,0,0,,,,,,,,,0,,69,0
4080,note_on,80,0,0,,,,,,,,,0,,77,77
4220,note_on,140,0,0,,,,,,,,,0,,62,0
4220,note_on,0,0,0,,,,,,,,,0,,57,0
4240,note_on,20,0,0,,,,,,,,,0,,77,0
4305,note_on,65,0,0,,,,,,,,,0,,74,77
4320,note_on,15,0,0,,,,,,,,,0,,71,77
4320,note_on,0,0,0,,,,,,,,,0,,55,62
4465,note_on,145,0,0,,,,,,,,,0,,74,0
4480,note_on,15,0,0,,,,,,,,,0,,71,0
4560,note_on,80,0,0,,,,,,,,,0,,67,46
4700,note_on,140,0,0,,,,,,,,,0,,55,0
4720,note_on,20,0,0,,,,,,,,,0,,67,0
4805,note_on,85,0,0,,,,,,,,,0,,62,58
4805,note_on,0,0,0,,,,,,,,,0,,65,58
4805,note_on,0,0,0,,,,,,,,,0,,79,77
4965,note_on,160,0,0,,,,,,,,,0,,79,0
5040,note_on,75,0,0,,,,,,,,,0,,69,46
5185,note_on,145,0,0,,,,,,,,,0,,62,0
5185,note_on,0,0,0,,,,,,,,,0,,65,0
5200,note_on,15,0,0,,,,,,,,,0,,69,0
5264,note_on,64,0,0,,,,,,,,,0,,77,77
5280,note_on,16,0,0,,,,,,,,,0,,62,58
5280,note_on,0,0,0,,,,,,,,,0,,74,77
5280,note_on,0,0,0,,,,,,,,,0,,55,57
5424,note_on,144,0,0,,,,,,,,,0,,77,0
5440,note_on,16,0,0,,,,,,,,,0,,74,0
5520,note_on,80,0,0,,,,,,,,,0,,71,46
