tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,data,control,value,channel,program,note,velocity
4320,note_on,17,0,0,,,,,,,,,0,,71,0
4320,note_on,0,0,0,,,,,,,,,0,,68,0
4320,note_on,0,0,0,,,,,,,,,0,,72,100
4320,note_on,0,0,0,,,,,,,,,0,,45,94
4320,note_on,0,0,0,,,,,,,,,0,,69,100
4357,note_on,37,0,0,,,,,,,,,0,,74,0
4490,note_on,133,0,0,,,,,,,,,0,,45,0
4490,note_on,0,0,0,,,,,,,,,0,,69,0
4510,note_on,20,0,0,,,,,,,,,0,,72,0
4560,note_on,50,0,0,,,,,,,,,0,,71,100
4560,note_on,0,0,0,,,,,,,,,0,,52,90
4560,note_on,0,0,0,,,,,,,,,0,,68,100
4730,note_on,170,0,0,,,,,,,,,0,,71,0
4730,note_on,0,0,0,,,,,,,,,0,,68,0
4776,note_on,46,0,0,,,,,,,,,0,,52,0
4796,note_on,20,0,0,,,,,,,,,0,,52,90
4796,note_on,0,0,0,,,,,,,,,0,,69,100
4796,note_on,0,0,0,,,,,,,,,0,,72,100
5012,note_on,216,0,0,,,,,,,,,0,,52,0
5046,note_on,34,0,0,,,,,,,,,0,,52,90
5228,note_on,182,0,0,,,,,,,,,0,,69,0
5228,note_on,0,0,0,,,,,,,,,0,,72,0
5262,note_on,34,0,0,,,,,,,,,0,,52,0
5263,note_on,1,0,0,,,,,,,,,0,,74,112
5280,note_on,17,0,0,,,,,,,,,0,,69,112
5280,note_on,0,0,0,,,,,,,,,0,,45,105
5280,note_on,0,0,0,,,,,,,,,0,,72,112
5317,note_on,37,0,0,,,,,,,,,0,,74,0
5394,note_on,77,0,0,,,,,,,,,0,,69,0
5394,note_on,0,0,0,,,,,,,,,0,,72,0
5450,note_on,56,0,0,,,,,,,,,0,,45,0
5510,note_on,60,0,0,,,,,,,,,0,,52,105
5510,note_on,0,0,0,,,,,,,,,0,,71,112
5510,note_on,0,0,0,,,,,,,,,0,,68,112
5624,note_on,114,0,0,,,,,,,,,0,,52,0
5624,note_on,0,0,0,,,,,,,,,0,,71,0
5624,note_on,0,0,0,,,,,,,,,0,,68,0
5750,note_on,126,0,0,,,,,,,,,0,,38,105
5750,note_on,0,0,0,,,,,,,,,0,,69,112
5750,note_on,0,0,0,,,,,,,,,0,,72,112
5860,note_on,110,0,0,,,,,,,,,0,,38,0
5864,note_on,4,0,0,,,,,,,,,0,,69,0
5864,note_on,0,0,0,,,,,,,,,0,,72,0
5990,note_on,126,0,0,,,,,,,,,0,,50,105
5990,note_on,0,0,0,,,,,,,,,0,,71,112
5990,note_on,0,0,0,,,,,,,,,0,,74,112
6100,note_on,110,0,0,,,,,,,,,0,,50,0
6104,note_on,4,0,0,,,,,,,,,0,,71,0
6104,note_on,0,0,0,,,,,,,,,0,,74,0
6230,note_on,126,0,0,,,,,,,,,0,,50,105
6230,note_on,0,0,0,,,,,,,,,0,,72,112
6230,note_on,0,0,0,,,,,,,,,0,,76,112
6340,note_on,110,0,0,,,,,,,,,0,,50,0
6344,note_on,4,0,0,,,,,,,,,0,,72,0
6344,note_on,0,0,0,,,,,,,,,0,,76,0
6470,note_on,126,0,0,,,,,,,,,0,,50,105
6470,note_on,0,0,0,,,,,,,,,0,,69,112
6470,note_on,0,0,0,,,,,,,,,0,,78,112
6580,note_on,110,0,0,,,,,,,,,0,,50,0
6584,note_on,4,0,0,,,,,,,,,0,,69,0
6584,note_on,0,0,0,,,,,,,,,0,,78,0
6710,note_on,126,0,0,,,,,,,,,0,,43,100
6710,note_on,0,0,0,,,,,,,,,0,,79,112
6710,note_on,0,0,0,,,,,,,,,0,,71,112
6926,note_on,216,0,0,,,,,,,,,0,,43,0
6950,note_on,24,0,0,,,,,,,,,0,,50,100
7166,note_on,216,0,0,,,,,,,,,0,,50,0
7183,note_on,17,0,0,,,,,,,,,0,,81,100
7200,note_on,17,0,0,,,,,,,,,0,,79,0
7200,note_on,0,0,0,,,,,,,,,0,,71,0
7200,note_on,0,0,0,,,,,,,,,0,,79,100
7200,note_on,0,0,0,,,,,,,,,0,,43,94
7200,note_on,0,0,0,,,,,,,,,0,,70,100
7237,note_on,37,0,0,,,,,,,,,0,,81,0
7370,note_on,133,0,0,,,,,,,,,0,,43,0
7390,note_on,20,0,0,,,,,,,,,0,,79,0
7390,note_on,0,0,0,,,,,,,,,0,,70,0
7440,note_on,50,0,0,,,,,,,,,0,,78,100
7440,note_on,0,0,0,,,,,,,,,0,,50,90
7440,note_on,0,0,0,,,,,,,,,0,,69,100
7630,note_on,190,0,0,,,,,,,,,0,,78,0
7630,note_on,0,0,0,,,,,,,,,0,,69,0
7656,note_on,26,0,0,,,,,,,,,0,,50,0
7676,note_on,20,0,0,,,,,,,,,0,,70,100
7676,note_on,0,0,0,,,,,,,,,0,,79,100
7676,note_on,0,0,0,,,,,,,,,0,,50,90
7892,note_on,216,0,0,,,,,,,,,0,,50,0
7926,note_on,34,0,0,,,,,,,,,0,,50,90
8142,note_on,216,0,0,,,,,,,,,0,,50,0
8143,note_on,1,0,0,,,,,,,,,0,,81,100
8156,note_on,13,0,0,,,,,,,,,0,,70,0
8156,note_on,0,0,0,,,,,,,,,0,,79,0
8160,note_on,4,0,0,,,,,,,,,0,,79,100
8160,note_on,0,0,0,,,,,,,,,0,,43,94
8160,note_on,0,0,0,,,,,,,,,0,,70,100
8197,note_on,37,0,0,,,,,,,,,0,,81,0
8330,note_on,133,0,0,,,,,,,,,0,,43,0
8350,note_on,20,0,0,,,,,,,,,0,,79,0
8350,note_on,0,0,0,,,,,,,,,0,,70,0
8400,note_on,50,0,0,,,,,,,,,0,,78,100
8400,note_on,0,0,0,,,,,,,,,0,,50,90
8400,note_on,0,0,0,,,,,,,,,0,,69,100
8590,note_on,190,0,0,,,,,,,,,0,,78,0
8590,note_on,0,0,0,,,,,,,,,0,,69,0
8616,note_on,26,0,0,,,,,,,,,0,,50,0
8640,note_on,24,0,0,,,,,,,,,0,,79,100
8640,note_on,0,0,0,,,,,,,,,0,,43,94
8640,note_on,0,0,0,,,,,,,,,0,,70,100
8810,note_on,170,0,0,,,,,,,,,0,,43,0
8830,note_on,20,0,0,,,,,,,,,0,,79,0
8830,note_on,0,0,0,,,,,,,,,0,,70,0
8880,note_on,50,0,0,,,,,,,,,0,,81,100
8880,note_on,0,0,0,,,,,,,,,0,,50,90
8880,note_on,0,0,0,,,,,,,,,0,,72,100
9070,note_on,190,0,0,,,,,,,,,0,,81,0
9070,note_on,0,0,0,,,,,,,,,0,,72,0
9096,note_on,26,0,0,,,,,,,,,0,,50,0
9116,note_on,20,0,0,,,,,,,,,0,,74,100
9116,note_on,0,0,0,,,,,,,,,0,,82,100
9116,note_on,0,0,0,,,,,,,,,0,,50,90
9332,note_on,216,0,0,,,,,,,,,0,,50,0
9366,note_on,34,0,0,,,,,,,,,0,,50,90
9582,note_on,216,0,0,,,,,,,,,0,,50,0
9600,note_on,18,0,0,,,,,,,,,0,,38,90
9770,note_on,170,0,0,,,,,,,,,0,,38,0
9836,note_on,66,0,0,,,,,,,,,0,,74,0
9836,note_on,0,0,0,,,,,,,,,0,,82,0
9840,note_on,4,0,0,,,,,,,,,0,,78,100
9840,note_on,0,0,0,,,,,,,,,0,,50,90
9840,note_on,0,0,0,,,,,,,,,0,,72,100
10056,note_on,216,0,0,,,,,,,,,0,,78,0
10056,note_on,0,0,0,,,,,,,,,0,,50,0
10056,note_on,0,0,0,,,,,,,,,0,,72,0
10063,note_on,7,0,0,,,,,,,,,0,,81,110
10080,note_on,17,0,0,,,,,,,,,0,,79,110
10080,note_on,0,0,0,,,,,,,,,0,,43,94
10080,note_on,0,0,0,,,,,,,,,0,,70,110
10117,note_on,37,0,0,,,,,,,,,0,,81,0
10250,note_on,133,0,0,,,,,,,,,0,,79,0
10250,note_on,0,0,0,,,,,,,,,0,,43,0
10250,note_on,0,0,0,,,,,,,,,0,,70,0
10320,note_on,70,0,0,,,,,,,,,0,,78,110
10320,note_on,0,0,0,,,,,,,,,0,,50,90
10320,note_on,0,0,0,,,,,,,,,0,,69,110
10490,note_on,170,0,0,,,,,,,,,0,,78,0
10490,note_on,0,0,0,,,,,,,,,0,,69,0
10536,note_on,46,0,0,,,,,,,,,0,,50,0
10556,note_on,20,0,0,,,,,,,,,0,,79,110
10556,note_on,0,0,0,,,,,,,,,0,,70,110
10556,note_on,0,0,0,,,,,,,,,0,,50,90
10772,note_on,216,0,0,,,,,,,,,0,,50,0
10806,note_on,34,0,0,,,,,,,,,0,,50,90
11022,note_on,216,0,0,,,,,,,,,0,,50,0
11036,note_on,14,0,0,,,,,,,,,0,,79,0
11036,note_on,0,0,0,,,,,,,,,0,,70,0
11040,note_on,4,0,0,,,,,,,,,0,,79,110
11040,note_on,0,0,0,,,,,,,,,0,,39,90
11040,note_on,0,0,0,,,,,,,,,0,,70,110
11210,note_on,170,0,0,,,,,,,,,0,,79,0
11210,note_on,0,0,0,,,,,,,,,0,,39,0
11210,note_on,0,0,0,,,,,,,,,0,,70,0
11280,note_on,70,0,0,,,,,,,,,0,,79,110
11280,note_on,0,0,0,,,,,,,,,0,,51,90
11280,note_on,0,0,0,,,,,,,,,0,,70,110
11450,note_on,170,0,0,,,,,,,,,0,,79,0
11450,note_on,0,0,0,,,,,,,,,0,,70,0
11496,note_on,46,0,0,,,,,,,,,0,,51,0
11520,note_on,24,0,0,,,,,,,,,0,,80,110
11520,note_on,0,0,0,,,,,,,,,0,,44,94
11520,note_on,0,0,0,,,,,,,,,0,,72,110
11690,note_on,170,0,0,,,,,,,,,0,,80,0
11690,note_on,0,0,0,,,,,,,,,0,,44,0
11690,note_on,0,0,0,,,,,,,,,0,,72,0
11760,note_on,70,0,0,,,,,,,,,0,,82,110
11760,note_on,0,0,0,,,,,,,,,0,,51,90
11760,note_on,0,0,0,,,,,,,,,0,,73,110
11930,note_on,170,0,0,,,,,,,,,0,,82,0
11930,note_on,0,0,0,,,,,,,,,0,,73,0
11976,note_on,46,0,0,,,,,,,,,0,,51,0
11996,note_on,20,0,0,,,,,,,,,0,,75,110
11996,note_on,0,0,0,,,,,,,,,0,,84,110
11996,note_on,0,0,0,,,,,,,,,0,,51,90
12212,note_on,216,0,0,,,,,,,,,0,,51,0
12246,note_on,34,0,0,,,,,,,,,0,,51,90
12462,note_on,216,0,0,,,,,,,,,0,,51,0
12480,note_on,18,0,0,,,,,,,,,0,,39,90
12650,note_on,170,0,0,,,,,,,,,0,,39,0
12716,note_on,66,0,0,,,,,,,,,0,,75,0
12716,note_on,0,0,0,,,,,,,,,0,,84,0
12720,note_on,4,0,0,,,,,,,,,0,,79,110
12720,note_on,0,0,0,,,,,,,,,0,,51,90
12720,note_on,0,0,0,,,,,,,,,0,,70,110
12936,note_on,216,0,0,,,,,,,,,0,,79,0
12936,note_on,0,0,0,,,,,,,,,0,,51,0
12936,note_on,0,0,0,,,,,,,,,0,,70,0
12960,note_on,24,0,0,,,,,,,,,0,,80,100
12960,note_on,0,0,0,,,,,,,,,0,,44,95
12960,note_on,0,0,0,,,,,,,,,0,,72,100
13130,note_on,170,0,0,,,,,,,,,0,,44,0
13176,note_on,46,0,0,,,,,,,,,0,,72,0
13200,note_on,24,0,0,,,,,,,,,0,,51,90
13392,note_on,192,0,0,,,,,,,,,0,,80,0
13416,note_on,24,0,0,,,,,,,,,0,,51,0
13436,note_on,20,0,0,,,,,,,,,0,,51,90
13652,note_on,216,0,0,,,,,,,,,0,,51,0
13686,note_on,34,0,0,,,,,,,,,0,,80,100
13686,note_on,0,0,0,,,,,,,,,0,,51,90
13686,note_on,0,0,0,,,,,,,,,0,,72,100
13902,note_on,216,0,0,,,,,,,,,0,,80,0
13902,note_on,0,0,0,,,,,,,,,0,,51,0
13902,note_on,0,0,0,,,,,,,,,0,,72,0
13920,note_on,18,0,0,,,,,,,,,0,,46,90
13920,note_on,0,0,0,,,,,,,,,0,,79,92
13920,note_on,0,0,0,,,,,,,,,0,,73,92
14090,note_on,170,0,0,,,,,,,,,0,,46,0
14136,note_on,46,0,0,,,,,,,,,0,,79,0
14160,note_on,24,0,0,,,,,,,,,0,,58,90
14352,note_on,192,0,0,,,,,,,,,0,,73,0
14376,note_on,24,0,0,,,,,,,,,0,,58,0
14400,note_on,24,0,0,,,,,,,,,0,,76,90
14400,note_on,0,0,0,,,,,,,,,0,,48,84
14400,note_on,0,0,0,,,,,,,,,0,,70,90
14570,note_on,170,0,0,,,,,,,,,0,,48,0
14640,note_on,70,0,0,,,,,,,,,0,,55,80
14832,note_on,192,0,0,,,,,,,,,0,,76,0
14832,note_on,0,0,0,,,,,,,,,0,,70,0
14856,note_on,24,0,0,,,,,,,,,0,,55,0
14876,note_on,20,0,0,,,,,,,,,0,,55,80
15092,note_on,216,0,0,,,,,,,,,0,,55,0
15126,note_on,34,0,0,,,,,,,,,0,,70,85
15126,note_on,0,0,0,,,,,,,,,0,,76,85
15126,note_on,0,0,0,,,,,,,,,0,,55,80
15342,note_on,216,0,0,,,,,,,,,0,,70,0
15342,note_on,0,0,0,,,,,,,,,0,,76,0
15342,note_on,0,0,0,,,,,,,,,0,,55,0
15360,note_on,18,0,0,,,,,,,,,0,,72,80
15360,note_on,0,0,0,,,,,,,,,0,,52,80
15360,note_on,0,0,0,,,,,,,,,0,,67,80
15530,note_on,170,0,0,,,,,,,,,0,,52,0
15600,note_on,70,0,0,,,,,,,,,0,,60,80
15792,note_on,192,0,0,,,,,,,,,0,,72,0
15792,note_on,0,0,0,,,,,,,,,0,,67,0
15816,note_on,24,0,0,,,,,,,,,0,,60,0
15840,note_on,24,0,0,,,,,,,,,0,,81,100
15840,note_on,0,0,0,,,,,,,,,0,,41,94
15840,note_on,0,0,0,,,,,,,,,0,,72,100
16010,note_on,170,0,0,,,,,,,,,0,,41,0
16080,note_on,70,0,0,,,,,,,,,0,,53,88
16272,note_on,192,0,0,,,,,,,,,0,,81,0
16272,note_on,0,0,0,,,,,,,,,0,,72,0
16296,note_on,24,0,0,,,,,,,,,0,,53,0
16316,note_on,20,0,0,,,,,,,,,0,,53,88
16532,note_on,216,0,0,,,,,,,,,0,,53,0
16566,note_on,34,0,0,,,,,,,,,0,,72,97
16566,note_on,0,0,0,,,,,,,,,0,,53,88
16566,note_on,0,0,0,,,,,,,,,0,,81,97
16782,note_on,216,0,0,,,,,,,,,0,,72,0
16782,note_on,0,0,0,,,,,,,,,0,,53,0
16782,note_on,0,0,0,,,,,,,,,0,,81,0
16800,note_on,18,0,0,,,,,,,,,0,,74,92
16800,note_on,0,0,0,,,,,,,,,0,,46,88
16800,note_on,0,0,0,,,,,,,,,0,,79,92
16970,note_on,170,0,0,,,,,,,,,0,,46,0
17040,note_on,70,0,0,,,,,,,,,0,,58,88
17232,note_on,192,0,0,,,,,,,,,0,,74,0
17232,note_on,0,0,0,,,,,,,,,0,,79,0
17256,note_on,24,0,0,,,,,,,,,0,,58,0
17280,note_on,24,0,0,,,,,,,,,0,,76,85
17280,note_on,0,0,0,,,,,,,,,0,,48,83
17280,note_on,0,0,0,,,,,,,,,0,,70,85
17450,note_on,170,0,0,,,,,,,,,0,,48,0
17520,note_on,70,0,0,,,,,,,,,0,,55,79
17712,note_on,192,0,0,,,,,,,,,0,,76,0
17712,note_on,0,0,0,,,,,,,,,0,,70,0
17736,note_on,24,0,0,,,,,,,,,0,,55,0
17756,note_on,20,0,0,,,,,,,,,0,,55,79
17972,note_on,216,0,0,,,,,,,,,0,,55,0
18000,set_tempo,28,1,0,,,,,375000,,,,,,,
18006,note_on,6,0,0,,,,,,,,,0,,76,80
18006,note_on,0,0,0,,,,,,,,,0,,55,79
18006,note_on,0,0,0,,,,,,,,,0,,70,80
18222,note_on,216,0,0,,,,,,,,,0,,76,0
18222,note_on,0,0,0,,,,,,,,,0,,55,0
18222,note_on,0,0,0,,,,,,,,,0,,70,0
18240,note_on,18,0,0,,,,,,,,,0,,69,79
18240,note_on,0,0,0,,,,,,,,,0,,53,79
18240,note_on,0,0,0,,,,,,,,,0,,72,79
18410,note_on,170,0,0,,,,,,,,,0,,53,0
18480,note_on,70,0,0,,,,,,,,,0,,60,79
18480,note_on,0,0,0,,,,,,,,,0,,57,79
18672,note_on,192,0,0,,,,,,,,,0,,69,0
18672,note_on,0,0,0,,,,,,,,,0,,72,0
18696,note_on,24,0,0,,,,,,,,,0,,60,0
18696,note_on,0,0,0,,,,,,,,,0,,57,0
18703,note_on,7,0,0,,,,,,,,,0,,74,100
18720,set_tempo,17,1,0,,,,,352941,,,,,,,
18720,note_on,0,0,0,,,,,,,,,0,,69,115
18720,note_on,0,0,0,,,,,,,,,0,,72,115
18720,note_on,0,0,0,,,,,,,,,0,,45,112
18890,note_on,170,0,0,,,,,,,,,0,,69,0
18890,note_on,0,0,0,,,,,,,,,0,,72,0
18890,note_on,0,0,0,,,,,,,,,0,,45,0
18908,note_on,18,0,0,,,,,,,,,0,,74,0
18960,note_on,52,0,0,,,,,,,,,0,,71,115
18960,note_on,0,0,0,,,,,,,,,0,,52,112
18960,note_on,0,0,0,,,,,,,,,0,,68,115
19130,note_on,170,0,0,,,,,,,,,0,,71,0
19130,note_on,0,0,0,,,,,,,,,0,,68,0
19176,note_on,46,0,0,,,,,,,,,0,,52,0
19200,note_on,24,0,0,,,,,,,,,0,,69,115
19200,note_on,0,0,0,,,,,,,,,0,,72,115
19200,note_on,0,0,0,,,,,,,,,0,,52,112
19416,note_on,216,0,0,,,,,,,,,0,,52,0
19440,note_on,24,0,0,,,,,,,,,0,,52,112
19632,note_on,192,0,0,,,,,,,,,0,,69,0
19632,note_on,0,0,0,,,,,,,,,0,,72,0
19662,note_on,30,0,0,,,,,,,,,0,,52,0
19663,note_on,1,0,0,,,,,,,,,0,,74,100
19680,note_on,17,0,0,,,,,,,,,0,,72,115
19680,note_on,0,0,0,,,,,,,,,0,,69,115
19680,note_on,0,0,0,,,,,,,,,0,,45,112
19722,note_on,42,0,0,,,,,,,,,0,,74,0
19850,note_on,128,0,0,,,,,,,,,0,,72,0
19850,note_on,0,0,0,,,,,,,,,0,,69,0
19850,note_on,0,0,0,,,,,,,,,0,,45,0
19920,note_on,70,0,0,,,,,,,,,0,,52,112
19920,note_on,0,0,0,,,,,,,,,0,,68,115
19920,note_on,0,0,0,,,,,,,,,0,,71,115
20090,note_on,170,0,0,,,,,,,,,0,,68,0
20090,note_on,0,0,0,,,,,,,,,0,,71,0
20136,note_on,46,0,0,,,,,,,,,0,,52,0
20160,note_on,24,0,0,,,,,,,,,0,,72,115
20160,note_on,0,0,0,,,,,,,,,0,,45,112
20160,note_on,0,0,0,,,,,,,,,0,,69,115
20330,note_on,170,0,0,,,,,,,,,0,,72,0
20330,note_on,0,0,0,,,,,,,,,0,,45,0
20330,note_on,0,0,0,,,,,,,,,0,,69,0
20400,note_on,70,0,0,,,,,,,,,0,,74,115
20400,note_on,0,0,0,,,,,,,,,0,,52,112
20400,note_on,0,0,0,,,,,,,,,0,,71,115
20570,note_on,170,0,0,,,,,,,,,0,,74,0
20570,note_on,0,0,0,,,,,,,,,0,,71,0
20616,note_on,46,0,0,,,,,,,,,0,,52,0
20640,note_on,24,0,0,,,,,,,,,0,,76,127
20640,note_on,0,0,0,,,,,,,,,0,,52,112
20640,note_on,0,0,0,,,,,,,,,0,,72,127
20856,note_on,216,0,0,,,,,,,,,0,,52,0
20880,note_on,24,0,0,,,,,,,,,0,,52,112
21102,note_on,222,0,0,,,,,,,,,0,,52,0
21120,note_on,18,0,0,,,,,,,,,0,,40,112
21290,note_on,170,0,0,,,,,,,,,0,,40,0
21360,note_on,70,0,0,,,,,,,,,0,,76,0
21360,note_on,0,0,0,,,,,,,,,0,,72,0
21360,note_on,0,0,0,,,,,,,,,0,,71,115
21360,note_on,0,0,0,,,,,,,,,0,,52,112
21360,note_on,0,0,0,,,,,,,,,0,,68,115
21576,note_on,216,0,0,,,,,,,,,0,,52,0
21583,note_on,7,0,0,,,,,,,,,0,,74,100
21600,note_on,17,0,0,,,,,,,,,0,,71,0
21600,note_on,0,0,0,,,,,,,,,0,,68,0
21600,note_on,0,0,0,,,,,,,,,0,,72,115
21600,note_on,0,0,0,,,,,,,,,0,,69,115
21600,note_on,0,0,0,,,,,,,,,0,,45,112
21642,note_on,42,0,0,,,,,,,,,0,,74,0
21770,note_on,128,0,0,,,,,,,,,0,,69,0
21770,note_on,0,0,0,,,,,,,,,0,,45,0
21790,note_on,20,0,0,,,,,,,,,0,,72,0
21840,note_on,50,0,0,,,,,,,,,0,,71,115
21840,note_on,0,0,0,,,,,,,,,0,,52,112
21840,note_on,0,0,0,,,,,,,,,0,,68,115
22010,note_on,170,0,0,,,,,,,,,0,,71,0
22010,note_on,0,0,0,,,,,,,,,0,,68,0
22056,note_on,46,0,0,,,,,,,,,0,,52,0
22080,note_on,24,0,0,,,,,,,,,0,,69,115
22080,note_on,0,0,0,,,,,,,,,0,,72,115
22080,note_on,0,0,0,,,,,,,,,0,,52,112
22296,note_on,216,0,0,,,,,,,,,0,,52,0
22320,note_on,24,0,0,,,,,,,,,0,,52,112
22512,note_on,192,0,0,,,,,,,,,0,,69,0
22512,note_on,0,0,0,,,,,,,,,0,,72,0
22542,note_on,30,0,0,,,,,,,,,0,,52,0
22543,note_on,1,0,0,,,,,,,,,0,,74,112
22560,note_on,17,0,0,,,,,,,,,0,,72,112
22560,note_on,0,0,0,,,,,,,,,0,,69,127
22560,note_on,0,0,0,,,,,,,,,0,,45,110
22598,note_on,38,0,0,,,,,,,,,0,,74,0
22674,note_on,76,0,0,,,,,,,,,0,,72,0
22674,note_on,0,0,0,,,,,,,,,0,,69,0
22674,note_on,0,0,0,,,,,,,,,0,,45,0
22790,note_on,116,0,0,,,,,,,,,0,,52,110
22790,note_on,0,0,0,,,,,,,,,0,,71,112
22790,note_on,0,0,0,,,,,,,,,0,,68,112
22904,note_on,114,0,0,,,,,,,,,0,,52,0
22904,note_on,0,0,0,,,,,,,,,0,,71,0
22904,note_on,0,0,0,,,,,,,,,0,,68,0
23030,note_on,126,0,0,,,,,,,,,0,,38,105
23030,note_on,0,0,0,,,,,,,,,0,,69,112
23030,note_on,0,0,0,,,,,,,,,0,,72,112
23144,note_on,114,0,0,,,,,,,,,0,,38,0
23144,note_on,0,0,0,,,,,,,,,0,,69,0
23144,note_on,0,0,0,,,,,,,,,0,,72,0
23270,note_on,126,0,0,,,,,,,,,0,,50,105
23270,note_on,0,0,0,,,,,,,,,0,,71,112
23270,note_on,0,0,0,,,,,,,,,0,,74,112
23384,note_on,114,0,0,,,,,,,,,0,,50,0
23384,note_on,0,0,0,,,,,,,,,0,,71,0
23384,note_on,0,0,0,,,,,,,,,0,,74,0
23510,note_on,126,0,0,,,,,,,,,0,,50,105
23510,note_on,0,0,0,,,,,,,,,0,,72,112
23510,note_on,0,0,0,,,,,,,,,0,,76,112
23624,note_on,114,0,0,,,,,,,,,0,,50,0
23624,note_on,0,0,0,,,,,,,,,0,,72,0
23624,note_on,0,0,0,,,,,,,,,0,,76,0
23750,note_on,126,0,0,,,,,,,,,0,,50,105
23750,note_on,0,0,0,,,,,,,,,0,,69,112
23750,note_on,0,0,0,,,,,,,,,0,,78,112
23864,note_on,114,0,0,,,,,,,,,0,,50,0
23864,note_on,0,0,0,,,,,,,,,0,,69,0
