tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,B,,,,,,,,
0,set_tempo,0,1,0,,,,,,441176,,,,,,,
0,sysex,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
480,control_change,480,0,0,,,,,,,,0,0,0,,,
480,control_change,0,0,0,,,,,,,,32,0,0,,,
480,program_change,0,0,0,,,,,,,,,,0,0,,
1440,control_change,960,0,0,,,,,,,,7,127,0,,,
1440,control_change,0,0,0,,,,,,,,11,127,0,,,
1440,note_on,0,0,0,,,,,,,,,,0,,44,60
1440,note_on,0,0,0,,,,,,,,,,0,,80,71
1942,note_on,502,0,0,,,,,,,,,,0,,44,0
1942,note_on,0,0,0,,,,,,,,,,0,,51,54
1942,note_on,0,0,0,,,,,,,,,,0,,56,54
1942,note_on,0,0,0,,,,,,,,,,0,,59,54
2200,note_on,258,0,0,,,,,,,,,,0,,80,0
2200,note_on,0,0,0,,,,,,,,,,0,,75,70
2400,note_on,200,0,0,,,,,,,,,,0,,51,0
2400,note_on,0,0,0,,,,,,,,,,0,,56,0
2400,note_on,0,0,0,,,,,,,,,,0,,59,0
2400,note_on,0,0,0,,,,,,,,,,0,,75,0
2400,note_on,0,0,0,,,,,,,,,,0,,56,54
2400,note_on,0,0,0,,,,,,,,,,0,,59,54
2400,note_on,0,0,0,,,,,,,,,,0,,51,54
2400,note_on,0,0,0,,,,,,,,,,0,,75,70
2640,note_on,240,0,0,,,,,,,,,,0,,75,0
2640,note_on,0,0,0,,,,,,,,,,0,,76,76
2880,note_on,240,0,0,,,,,,,,,,0,,56,0
2880,note_on,0,0,0,,,,,,,,,,0,,59,0
2880,note_on,0,0,0,,,,,,,,,,0,,51,0
2880,note_on,0,0,0,,,,,,,,,,0,,76,0
2880,note_on,0,0,0,,,,,,,,,,0,,75,71
2880,note_on,0,0,0,,,,,,,,,,0,,47,60
3382,note_on,502,0,0,,,,,,,,,,0,,47,0
3382,note_on,0,0,0,,,,,,,,,,0,,59,54
3382,note_on,0,0,0,,,,,,,,,,0,,51,54
3382,note_on,0,0,0,,,,,,,,,,0,,56,54
3640,note_on,258,0,0,,,,,,,,,,0,,75,0
3640,note_on,0,0,0,,,,,,,,,,0,,68,70
3840,note_on,200,0,0,,,,,,,,,,0,,59,0
3840,note_on,0,0,0,,,,,,,,,,0,,51,0
3840,note_on,0,0,0,,,,,,,,,,0,,56,0
3840,note_on,0,0,0,,,,,,,,,,0,,68,0
3840,note_on,0,0,0,,,,,,,,,,0,,51,54
3840,note_on,0,0,0,,,,,,,,,,0,,56,54
3840,note_on,0,0,0,,,,,,,,,,0,,59,54
3840,note_on,0,0,0,,,,,,,,,,0,,68,70
4080,note_on,240,0,0,,,,,,,,,,0,,68,0
4080,note_on,0,0,0,,,,,,,,,,0,,75,76
4320,note_on,240,0,0,,,,,,,,,,0,,51,0
4320,note_on,0,0,0,,,,,,,,,,0,,56,0
4320,note_on,0,0,0,,,,,,,,,,0,,59,0
4320,note_on,0,0,0,,,,,,,,,,0,,75,0
4320,note_on,0,0,0,,,,,,,,,,0,,52,60
4320,note_on,0,0,0,,,,,,,,,,0,,80,77
4822,note_on,502,0,0,,,,,,,,,,0,,52,0
4822,note_on,0,0,0,,,,,,,,,,0,,61,54
4822,note_on,0,0,0,,,,,,,,,,0,,56,54
5080,note_on,258,0,0,,,,,,,,,,0,,80,0
5080,note_on,0,0,0,,,,,,,,,,0,,73,70
5280,note_on,200,0,0,,,,,,,,,,0,,61,0
5280,note_on,0,0,0,,,,,,,,,,0,,56,0
5280,note_on,0,0,0,,,,,,,,,,0,,73,0
5280,note_on,0,0,0,,,,,,,,,,0,,56,54
5280,note_on,0,0,0,,,,,,,,,,0,,61,54
5280,note_on,0,0,0,,,,,,,,,,0,,73,70
5520,note_on,240,0,0,,,,,,,,,,0,,73,0
5520,note_on,0,0,0,,,,,,,,,,0,,75,75
5760,note_on,240,0,0,,,,,,,,,,0,,56,0
5760,note_on,0,0,0,,,,,,,,,,0,,61,0
5760,note_on,0,0,0,,,,,,,,,,0,,75,0
