tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
37920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
37920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,25
37920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,66,29
37920,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
37920,set_tempo,480,1,0,,,,,,,,,,,,572301,,,,,,,
38160,note_on,240,0,2,,,,,,,,,,,,,,,0,,,54,0
38160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,23
38160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,66,0
38160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,27
38400,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
38400,note_on,240,0,2,,,,,,,,,,,,,,,0,,,58,0
38400,note_on,0,0,2,,,,,,,,,,,,,,,0,,,64,30
38400,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,26
38640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,28
38640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,24
38640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,0
38640,note_on,240,0,2,,,,,,,,,,,,,,,0,,,64,0
38880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,46
38880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,38
38880,set_tempo,960,1,0,,,,,,,,,,,,572301,,,,,,,
38880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,38
38880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,0
38880,note_on,1440,0,1,,,,,,,,,,,,,,,0,,,82,0
38880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
38880,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
38880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
38880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,29
38880,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
38994,control_change,114,0,2,,,,,,,,,,,,,,,0,64,127,,
39120,note_on,126,0,2,,,,,,,,,,,,,,,0,,,54,0
39120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,27
39120,set_tempo,240,1,0,,,,,,,,,,,,583942,,,,,,,
39120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,23
39360,set_tempo,240,1,0,,,,,,,,,,,,570180,,,,,,,
39360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,25
39360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,64,29
39360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
39360,note_on,240,0,2,,,,,,,,,,,,,,,0,,,63,0
39600,note_on,240,0,2,,,,,,,,,,,,,,,0,,,54,0
39600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,64,0
39600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,27
39600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,23
39840,note_on,240,0,2,,,,,,,,,,,,,,,0,,,58,0
39840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,66,30
39840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,26
39840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,0
40080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,28
40080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,24
40080,set_tempo,720,1,0,,,,,,,,,,,,600601,,,,,,,
40080,note_on,240,0,2,,,,,,,,,,,,,,,0,,,66,0
40080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,0
40320,set_tempo,240,1,0,,,,,,,,,,,,581452,,,,,,,
40320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,43
40320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,0
40320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
40320,note_on,1440,0,1,,,,,,,,,,,,,,,0,,,78,0
40320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,85,51
40320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,43
40320,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
40320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
40320,note_on,240,0,2,,,,,,,,,,,,,,,0,,,63,0
40320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,25
40320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,64,27
40389,control_change,69,0,2,,,,,,,,,,,,,,,0,64,127,,
40560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,27
40560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,23
40560,note_on,171,0,2,,,,,,,,,,,,,,,0,,,64,0
40560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,0
40800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,54,25
40800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,66,29
40800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
40800,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
41040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,23
