tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,64
15840,note_on,240,0,1,,,,,,,,,,,,,,,0,,,72,0
15840,set_tempo,240,1,0,,,,,,,,,,,,419580,,,,,,,
15840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
15840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,57,0
15840,note_on,480,0,2,,,,,,,,,,,,,,,0,,,63,0
15840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,57
15840,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
15904,control_change,64,0,2,,,,,,,,,,,,,,,0,64,127,,
15960,note_on,120,0,1,,,,,,,,,,,,,,,0,,,74,0
16080,note_on,176,0,2,,,,,,,,,,,,,,,0,,,46,0
16200,note_on,240,0,1,,,,,,,,,,,,,,,0,,,65,57
16320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,59
16320,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,0
16320,note_on,240,0,2,,,,,,,,,,,,,,,0,,,53,39
16320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,39
16320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,47
16360,set_tempo,520,1,0,,,,,,,,,,,,434783,,,,,,,
16800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
16800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
16800,note_on,480,0,2,,,,,,,,,,,,,,,0,,,62,0
16800,set_tempo,440,1,0,,,,,,,,,,,,442804,,,,,,,
16800,note_on,480,0,1,,,,,,,,,,,,,,,0,,,70,0
16800,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,64
17040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,61
17040,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,0
17040,set_tempo,240,1,0,,,,,,,,,,,,461538,,,,,,,
17280,note_on,240,0,1,,,,,,,,,,,,,,,0,,,67,0
17280,text,0,1,1,,,,,,,,,,,,,,,,,,,
17280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,70
17280,control_change,480,0,2,,,,,,,,,,,,,,,0,64,0,,
17280,set_tempo,240,1,0,,,,,,,,,,,,425532,,,,,,,
17280,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
17280,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,70
17400,control_change,120,0,2,,,,,,,,,,,,,,,0,64,127,,
17520,note_on,240,0,1,,,,,,,,,,,,,,,0,,,65,0
17520,note_on,120,0,2,,,,,,,,,,,,,,,0,,,41,0
17640,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,66
17760,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,50
17760,note_on,240,0,2,,,,,,,,,,,,,,,0,,,63,59
17760,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,50
17760,set_tempo,480,1,0,,,,,,,,,,,,405405,,,,,,,
17760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,70
17760,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,0
18240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,0
18240,note_on,480,0,1,,,,,,,,,,,,,,,0,,,67,0
18240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,70
18240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,60
18240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,51
18240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,51
18240,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
18240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
18480,set_tempo,720,1,0,,,,,,,,,,,,413793,,,,,,,
18720,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,0
18720,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,70
18720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,71
18720,note_on,480,0,1,,,,,,,,,,,,,,,0,,,69,0
