tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
0,time_signature,6,8,72,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,
0,set_tempo,,,,,0,1,0,923077,,,,,
205,control_change,,,,,205,0,1,,64,40,0,,
210,control_change,,,,,5,0,1,,64,56,0,,
215,control_change,,,,,5,0,1,,64,88,0,,
218,control_change,,,,,3,0,1,,64,104,0,,
223,control_change,,,,,5,0,1,,64,127,0,,
326,note_on,,,,,103,0,1,,,,0,72,48
328,note_on,,,,,2,0,1,,,,0,60,29
330,control_change,,,,,2,0,1,,64,88,0,,
335,control_change,,,,,5,0,1,,64,72,0,,
345,control_change,,,,,10,0,1,,64,104,0,,
350,control_change,,,,,5,0,1,,64,127,0,,
360,note_off,,,,,10,0,1,,,,0,72,64
361,note_off,,,,,1,0,1,,,,0,60,64
425,note_on,,,,,64,0,1,,,,0,72,62
428,note_on,,,,,3,0,1,,,,0,60,38
446,control_change,,,,,18,0,1,,64,72,0,,
451,control_change,,,,,5,0,1,,64,40,0,,
456,control_change,,,,,5,0,1,,64,72,0,,
461,control_change,,,,,5,0,1,,64,104,0,,
465,control_change,,,,,4,0,1,,64,127,0,,
480,note_off,,,,,15,0,1,,,,0,60,64
482,note_off,,,,,2,0,1,,,,0,72,64
580,note_on,,,,,98,0,1,,,,0,72,62
581,note_on,,,,,1,0,1,,,,0,60,36
606,note_off,,,,,25,0,1,,,,0,60,64
612,note_off,,,,,6,0,1,,,,0,72,64
667,note_on,,,,,55,0,1,,,,0,72,64
673,note_on,,,,,6,0,1,,,,0,60,50
703,note_off,,,,,30,0,1,,,,0,60,64
707,note_off,,,,,4,0,1,,,,0,72,64
825,note_on,,,,,0,0,1,,,,0,60,41
825,note_on,,,,,118,0,1,,,,0,72,67
848,note_off,,,,,23,0,1,,,,0,60,64
855,note_off,,,,,7,0,1,,,,0,72,64
916,note_on,,,,,61,0,1,,,,0,72,66
916,note_on,,,,,0,0,1,,,,0,60,38
947,note_off,,,,,31,0,1,,,,0,60,64
956,note_off,,,,,9,0,1,,,,0,72,64
1102,note_on,,,,,146,0,1,,,,0,72,56
1102,note_on,,,,,0,0,1,,,,0,60,35
1127,note_off,,,,,25,0,1,,,,0,60,64
1136,note_off,,,,,9,0,1,,,,0,72,64
1228,note_on,,,,,0,0,1,,,,0,69,44
1228,note_on,,,,,0,0,1,,,,0,60,24
1228,note_on,,,,,92,0,1,,,,0,72,60
1228,note_on,,,,,0,0,1,,,,0,53,24
1253,control_change,,,,,25,0,1,,64,56,0,,
1258,control_change,,,,,5,0,1,,64,0,0,,
1278,control_change,,,,,20,0,1,,64,56,0,,
1283,control_change,,,,,5,0,1,,64,127,0,,
1297,note_off,,,,,14,0,1,,,,0,60,64
1298,note_off,,,,,0,0,1,,,,0,53,64
1298,note_off,,,,,1,0,1,,,,0,69,64
1300,note_off,,,,,2,0,1,,,,0,72,64
1396,note_on,,,,,0,0,1,,,,0,69,43
1396,note_on,,,,,0,0,1,,,,0,53,36
1396,note_on,,,,,0,0,1,,,,0,60,28
1396,note_on,,,,,96,0,1,,,,0,72,67
1410,control_change,,,,,14,0,1,,64,72,0,,
1415,control_change,,,,,5,0,1,,64,40,0,,
1417,note_off,,,,,2,0,1,,,,0,53,64
1418,control_change,,,,,1,0,1,,64,72,0,,
1423,control_change,,,,,5,0,1,,64,104,0,,
1426,note_off,,,,,3,0,1,,,,0,69,64
1428,control_change,,,,,0,0,1,,64,127,0,,
1428,note_off,,,,,2,0,1,,,,0,60,64
1436,note_off,,,,,8,0,1,,,,0,72,64
1500,note_on,,,,,64,0,1,,,,0,72,68
1500,note_on,,,,,0,0,1,,,,0,53,44
1500,note_on,,,,,0,0,1,,,,0,60,39
1500,note_on,,,,,0,0,1,,,,0,70,54
1526,control_change,,,,,26,0,1,,64,104,0,,
1531,control_change,,,,,5,0,1,,64,40,0,,
1536,control_change,,,,,5,0,1,,64,0,0,,
1545,control_change,,,,,9,0,1,,64,24,0,,
1550,control_change,,,,,5,0,1,,64,88,0,,
1555,control_change,,,,,5,0,1,,64,127,0,,
1577,note_off,,,,,22,0,1,,,,0,53,64
1586,note_off,,,,,9,0,1,,,,0,60,64
1605,note_off,,,,,19,0,1,,,,0,70,64
1610,note_off,,,,,5,0,1,,,,0,72,64
1668,note_on,,,,,0,0,1,,,,0,53,40
1668,note_on,,,,,0,0,1,,,,0,70,50
1668,note_on,,,,,0,0,1,,,,0,60,44
1668,note_on,,,,,58,0,1,,,,0,72,73
1691,note_off,,,,,23,0,1,,,,0,53,64
1695,note_off,,,,,4,0,1,,,,0,60,64
1698,note_off,,,,,3,0,1,,,,0,70,64
1718,note_off,,,,,20,0,1,,,,0,72,64
1767,note_on,,,,,49,0,1,,,,0,76,72
1767,note_on,,,,,0,0,1,,,,0,70,43
1767,note_on,,,,,0,0,1,,,,0,60,33
1767,note_on,,,,,0,0,1,,,,0,53,36
1801,control_change,,,,,34,0,1,,64,40,0,,
1806,control_change,,,,,5,0,1,,64,0,0,,
1826,control_change,,,,,20,0,1,,64,56,0,,
1830,control_change,,,,,4,0,1,,64,127,0,,
1838,note_off,,,,,8,0,1,,,,0,53,64
1843,note_off,,,,,5,0,1,,,,0,60,64
1867,note_off,,,,,0,0,1,,,,0,76,64
1867,note_off,,,,,24,0,1,,,,0,70,64
1901,note_on,,,,,34,0,1,,,,0,74,68
1925,note_off,,,,,24,0,1,,,,0,74,64
1933,note_on,,,,,0,0,1,,,,0,70,54
1933,note_on,,,,,8,0,1,,,,0,72,69
1933,note_on,,,,,0,0,1,,,,0,53,39
1933,note_on,,,,,0,0,1,,,,0,60,33
1942,control_change,,,,,9,0,1,,64,56,0,,
1947,control_change,,,,,5,0,1,,64,0,0,,
1952,control_change,,,,,5,0,1,,64,24,0,,
1957,control_change,,,,,5,0,1,,64,88,0,,
1962,control_change,,,,,5,0,1,,64,127,0,,
1965,note_off,,,,,3,0,1,,,,0,53,64
1967,note_off,,,,,2,0,1,,,,0,60,64
1972,note_off,,,,,5,0,1,,,,0,70,64
1978,note_off,,,,,6,0,1,,,,0,72,64
2035,note_on,,,,,0,0,1,,,,0,60,43
2035,note_on,,,,,0,0,1,,,,0,69,52
2035,note_on,,,,,0,0,1,,,,0,53,44
2035,note_on,,,,,57,0,1,,,,0,77,70
2063,control_change,,,,,28,0,1,,64,56,0,,
2068,control_change,,,,,5,0,1,,64,0,0,,
2082,control_change,,,,,14,0,1,,64,24,0,,
2087,control_change,,,,,5,0,1,,64,88,0,,
2092,control_change,,,,,5,0,1,,64,127,0,,
2096,note_off,,,,,4,0,1,,,,0,77,64
2097,note_off,,,,,1,0,1,,,,0,53,64
2098,note_off,,,,,1,0,1,,,,0,69,64
2110,note_off,,,,,12,0,1,,,,0,60,64
2205,note_on,,,,,95,0,1,,,,0,74,72
2205,note_on,,,,,0,0,1,,,,0,58,39
2205,note_on,,,,,0,0,1,,,,0,65,45
2213,control_change,,,,,8,0,1,,64,56,0,,
2218,control_change,,,,,5,0,1,,64,0,0,,
2232,control_change,,,,,14,0,1,,64,56,0,,
2237,control_change,,,,,5,0,1,,64,127,0,,
2246,note_off,,,,,9,0,1,,,,0,74,64
2251,note_off,,,,,5,0,1,,,,0,65,64
2255,note_off,,,,,4,0,1,,,,0,58,64
2310,note_on,,,,,55,0,1,,,,0,72,68
2310,note_on,,,,,0,0,1,,,,0,57,28
2310,note_on,,,,,0,0,1,,,,0,65,45
2340,control_change,,,,,30,0,1,,64,40,0,,
2343,control_change,,,,,3,0,1,,64,0,0,,
2363,control_change,,,,,20,0,1,,64,56,0,,
2368,control_change,,,,,5,0,1,,64,127,0,,
2380,note_off,,,,,12,0,1,,,,0,57,64
2393,note_off,,,,,13,0,1,,,,0,72,64
2398,note_off,,,,,5,0,1,,,,0,65,64
2487,note_on,,,,,89,0,1,,,,0,64,57
2487,note_on,,,,,0,0,1,,,,0,57,42
2487,note_on,,,,,0,0,1,,,,0,48,40
2487,note_on,,,,,0,0,1,,,,0,69,68
2503,control_change,,,,,16,0,1,,64,40,0,,
2508,control_change,,,,,5,0,1,,64,0,0,,
2522,control_change,,,,,14,0,1,,64,40,0,,
2528,control_change,,,,,6,0,1,,64,104,0,,
2530,note_off,,,,,2,0,1,,,,0,57,64
2533,control_change,,,,,3,0,1,,64,127,0,,
2541,note_off,,,,,8,0,1,,,,0,48,64
2551,note_off,,,,,10,0,1,,,,0,64,64
2553,note_off,,,,,2,0,1,,,,0,69,64
2596,note_on,,,,,0,0,1,,,,0,57,41
2596,note_on,,,,,0,0,1,,,,0,60,44
2596,note_on,,,,,0,0,1,,,,0,50,43
2596,note_on,,,,,43,0,1,,,,0,65,62
2633,control_change,,,,,37,0,1,,64,104,0,,
2638,control_change,,,,,5,0,1,,64,40,0,,
2645,control_change,,,,,7,0,1,,64,0,0,,
2670,note_off,,,,,25,0,1,,,,0,57,64
2672,note_off,,,,,2,0,1,,,,0,50,64
2673,control_change,,,,,1,0,1,,64,88,0,,
2678,control_change,,,,,5,0,1,,64,127,0,,
2682,note_off,,,,,4,0,1,,,,0,60,64
2691,note_off,,,,,9,0,1,,,,0,65,64
2775,note_on,,,,,84,0,1,,,,0,67,60
2775,note_on,,,,,0,0,1,,,,0,58,42
2775,note_on,,,,,0,0,1,,,,0,65,50
2775,note_on,,,,,0,0,1,,,,0,50,43
2775,note_on,,,,,0,0,1,,,,0,43,48
2783,control_change,,,,,8,0,1,,64,104,0,,
2790,control_change,,,,,7,0,1,,64,0,0,,
