tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,key_signature,F,0,1,0,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
0,set_tempo,,0,1,0,,,,,599704,,,
0,note_on,,0,0,4,,,,,,50,88,0
192,note_on,,192,0,4,,,,,,50,0,0
192,note_on,,0,0,4,,,,,,57,88,0
384,note_on,,192,0,4,,,,,,57,0,0
384,note_on,,0,0,4,,,,,,53,88,0
576,note_on,,192,0,4,,,,,,53,0,0
576,note_on,,0,0,4,,,,,,50,88,0
768,note_on,,0,0,4,,,,,,49,88,0
768,note_on,,192,0,4,,,,,,50,0,0
960,note_on,,192,0,4,,,,,,49,0,0
960,note_on,,0,0,4,,,,,,50,88,0
1056,note_on,,96,0,4,,,,,,50,0,0
1056,note_on,,0,0,4,,,,,,52,88,0
1152,note_on,,96,0,4,,,,,,52,0,0
1152,note_on,,0,0,4,,,,,,53,88,0
1344,note_on,,0,0,4,,,,,,53,88,0
1344,note_on,,192,0,4,,,,,,53,0,0
1416,note_on,,72,0,4,,,,,,53,0,0
1416,note_on,,0,0,4,,,,,,55,88,0
1440,note_on,,0,0,4,,,,,,53,88,0
1440,note_on,,24,0,4,,,,,,55,0,0
1512,note_on,,0,0,4,,,,,,52,88,0
1512,note_on,,72,0,4,,,,,,53,0,0
1536,note_on,,1536,0,3,,,,,,57,88,0
1536,note_on,,24,0,4,,,,,,52,0,0
1536,note_on,,0,0,4,,,,,,50,88,0
1608,note_on,,72,0,4,,,,,,50,0,0
1608,note_on,,0,0,4,,,,,,52,72,0
1632,note_on,,0,0,4,,,,,,50,72,0
1632,note_on,,24,0,4,,,,,,52,0,0
1704,note_on,,0,0,4,,,,,,48,72,0
1704,note_on,,72,0,4,,,,,,50,0,0
1728,note_on,,192,0,3,,,,,,57,0,0
1728,note_on,,0,0,3,,,,,,62,88,0
1800,note_on,,0,0,4,,,,,,50,72,0
1800,note_on,,96,0,4,,,,,,48,0,0
1824,note_on,,24,0,4,,,,,,50,0,0
1824,note_on,,0,0,4,,,,,,48,72,0
1896,note_on,,0,0,4,,,,,,47,72,0
1896,note_on,,72,0,4,,,,,,48,0,0
1920,note_on,,192,0,3,,,,,,62,0,0
1920,note_on,,0,0,3,,,,,,60,88,0
1920,note_on,,24,0,4,,,,,,47,0,0
1920,note_on,,0,0,4,,,,,,47,72,0
1992,note_on,,72,0,4,,,,,,47,0,0
1992,note_on,,0,0,4,,,,,,45,72,0
2016,note_on,,24,0,4,,,,,,45,0,0
2016,note_on,,0,0,4,,,,,,47,72,0
2088,note_on,,0,0,4,,,,,,48,72,0
2088,note_on,,72,0,4,,,,,,47,0,0
2112,note_on,,24,0,4,,,,,,48,0,0
2112,note_on,,0,0,4,,,,,,50,72,0
2112,note_on,,192,0,3,,,,,,60,0,0
2112,note_on,,0,0,3,,,,,,57,88,0
2184,note_on,,72,0,4,,,,,,50,0,0
2184,note_on,,0,0,4,,,,,,52,72,0
2208,note_on,,24,0,4,,,,,,52,0,0
2208,note_on,,0,0,4,,,,,,53,72,0
2280,note_on,,0,0,4,,,,,,50,72,0
2280,note_on,,72,0,4,,,,,,53,0,0
2304,note_on,,24,0,4,,,,,,50,0,0
2304,note_on,,0,0,3,,,,,,56,88,0
2304,note_on,,192,0,3,,,,,,57,0,0
2304,note_on,,0,0,4,,,,,,52,72,0
2376,note_on,,72,0,4,,,,,,52,0,0
2376,note_on,,0,0,4,,,,,,53,72,0
2400,note_on,,0,0,4,,,,,,52,72,0
2400,note_on,,24,0,4,,,,,,53,0,0
2472,note_on,,0,0,4,,,,,,50,72,0
2472,note_on,,72,0,4,,,,,,52,0,0
2496,note_on,,0,0,3,,,,,,57,88,0
2496,note_on,,0,0,4,,,,,,48,72,0
2496,note_on,,24,0,4,,,,,,50,0,0
2496,note_on,,192,0,3,,,,,,56,0,0
2568,note_on,,0,0,4,,,,,,47,72,0
2568,note_on,,72,0,4,,,,,,48,0,0
2592,note_on,,0,0,4,,,,,,45,72,0
2592,note_on,,24,0,4,,,,,,47,0,0
2592,note_on,,96,0,3,,,,,,57,0,0
2592,note_on,,0,0,3,,,,,,59,88,0
2664,note_on,,72,0,4,,,,,,45,0,0
2664,note_on,,0,0,4,,,,,,44,72,0
2688,note_on,,24,0,4,,,,,,44,0,0
2688,note_on,,96,0,3,,,,,,59,0,0
2688,note_on,,0,0,3,,,,,,60,88,0
2688,note_on,,0,0,4,,,,,,45,72,0
2760,note_on,,72,0,4,,,,,,45,0,0
2760,note_on,,0,0,4,,,,,,57,72,0
2784,note_on,,24,0,4,,,,,,57,0,0
2784,note_on,,0,0,4,,,,,,56,72,0
2856,note_on,,72,0,4,,,,,,56,0,0
2856,note_on,,0,0,4,,,,,,57,72,0
2880,note_on,,0,0,4,,,,,,50,72,0
2880,note_on,,24,0,4,,,,,,57,0,0
2880,note_on,,0,0,3,,,,,,60,88,0
2880,note_on,,192,0,3,,,,,,60,0,0
2952,note_on,,0,0,3,,,,,,62,88,0
2952,note_on,,72,0,3,,,,,,60,0,0
2976,note_on,,0,0,4,,,,,,55,72,0
2976,note_on,,0,0,3,,,,,,60,88,0
2976,note_on,,96,0,4,,,,,,50,0,0
2976,note_on,,24,0,3,,,,,,62,0,0
3048,note_on,,0,0,3,,,,,,58,88,0
3048,note_on,,72,0,3,,,,,,60,0,0
3072,note_on,,24,0,3,,,,,,58,0,0
3072,note_on,,3072,0,2,,,,,,62,88,0
3072,note_on,,0,0,4,,,,,,55,72,0
3072,note_on,,96,0,4,,,,,,55,0,0
3072,note_on,,0,0,3,,,,,,57,88,0
3144,note_on,,72,0,4,,,,,,55,0,0
3144,note_on,,0,0,4,,,,,,53,72,0
3168,note_on,,0,0,4,,,,,,52,72,0
3168,note_on,,24,0,4,,,,,,53,0,0
3240,note_on,,0,0,4,,,,,,50,72,0
3240,note_on,,72,0,4,,,,,,52,0,0
3264,note_on,,0,0,3,,,,,,57,88,0
3264,note_on,,192,0,2,,,,,,62,0,0
3264,note_on,,0,0,2,,,,,,69,88,0
3264,note_on,,0,0,4,,,,,,49,72,0
3264,note_on,,192,0,3,,,,,,57,0,0
3264,note_on,,24,0,4,,,,,,50,0,0
3336,note_on,,72,0,3,,,,,,57,0,0
3336,note_on,,0,0,3,,,,,,67,72,0
3360,note_on,,24,0,3,,,,,,67,0,0
3360,note_on,,0,0,3,,,,,,65,72,0
3432,note_on,,72,0,3,,,,,,65,0,0
3432,note_on,,0,0,3,,,,,,64,72,0
3456,note_on,,192,0,2,,,,,,69,0,0
3456,note_on,,0,0,4,,,,,,50,72,0
3456,note_on,,192,0,4,,,,,,49,0,0
3456,note_on,,24,0,3,,,,,,64,0,0
3456,note_on,,0,0,3,,,,,,62,72,0
3456,note_on,,0,0,2,,,,,,65,88,0
3528,note_on,,72,0,3,,,,,,62,0,0
3528,note_on,,0,0,3,,,,,,60,72,0
3552,note_on,,0,0,4,,,,,,38,72,0
3552,note_on,,96,0,4,,,,,,50,0,0
3552,note_on,,0,0,3,,,,,,58,72,0
3552,note_on,,24,0,3,,,,,,60,0,0
