tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,value,channel,program,control,note,velocity
1388,note_on,0,0,0,,,,,,,,1,,,69,0
1392,note_on,4,0,0,,,,,,,,1,,,70,81
1392,note_on,0,0,0,,,,,,,,2,,,73,64
1392,note_on,0,0,0,,,,,,,,3,,,55,64
1392,note_on,0,0,0,,,,,,,,4,,,58,59
1392,note_on,0,0,0,,,,,,,,5,,,70,69
1392,note_on,0,0,0,,,,,,,,6,,,58,69
1411,note_on,19,0,0,,,,,,,,6,,,58,0
1411,note_on,0,0,0,,,,,,,,2,,,73,0
1411,note_on,0,0,0,,,,,,,,3,,,55,0
1411,note_on,0,0,0,,,,,,,,4,,,58,0
1416,note_on,5,0,0,,,,,,,,2,,,72,64
1416,note_on,0,0,0,,,,,,,,3,,,56,64
1416,note_on,0,0,0,,,,,,,,4,,,60,59
1416,note_on,0,0,0,,,,,,,,6,,,60,69
1435,note_on,19,0,0,,,,,,,,6,,,60,0
1435,note_on,0,0,0,,,,,,,,3,,,56,0
1435,note_on,0,0,0,,,,,,,,2,,,72,0
1435,note_on,0,0,0,,,,,,,,4,,,60,0
1440,note_on,5,0,0,,,,,,,,2,,,70,64
1440,note_on,0,0,0,,,,,,,,3,,,58,64
1440,note_on,0,0,0,,,,,,,,4,,,61,59
1440,note_on,0,0,0,,,,,,,,6,,,61,69
1459,note_on,19,0,0,,,,,,,,5,,,70,0
1459,note_on,0,0,0,,,,,,,,1,,,70,0
1464,note_on,5,0,0,,,,,,,,1,,,77,81
1464,note_on,0,0,0,,,,,,,,5,,,77,69
1481,note_on,17,0,0,,,,,,,,4,,,61,0
1481,note_on,0,0,0,,,,,,,,2,,,70,0
1481,note_on,0,0,0,,,,,,,,3,,,58,0
1481,note_on,0,0,0,,,,,,,,6,,,61,0
1483,note_on,2,0,0,,,,,,,,5,,,77,0
1483,note_on,0,0,0,,,,,,,,1,,,77,0
1488,note_on,5,0,0,,,,,,,,1,,,73,81
1488,note_on,0,0,0,,,,,,,,4,,,58,59
1488,note_on,0,0,0,,,,,,,,5,,,73,69
1488,note_on,0,0,0,,,,,,,,6,,,58,69
1507,note_on,19,0,0,,,,,,,,5,,,73,0
1507,note_on,0,0,0,,,,,,,,1,,,73,0
1512,note_on,5,0,0,,,,,,,,1,,,70,81
1512,note_on,0,0,0,,,,,,,,5,,,70,69
1529,note_on,17,0,0,,,,,,,,4,,,58,0
1529,note_on,0,0,0,,,,,,,,6,,,58,0
1531,note_on,2,0,0,,,,,,,,1,,,70,0
1531,note_on,0,0,0,,,,,,,,5,,,70,0
1536,note_on,5,0,0,,,,,,,,1,,,76,81
1536,note_on,0,0,0,,,,,,,,2,,,70,64
1536,note_on,0,0,0,,,,,,,,3,,,67,64
1536,note_on,0,0,0,,,,,,,,4,,,60,59
1536,note_on,0,0,0,,,,,,,,5,,,76,69
1536,note_on,0,0,0,,,,,,,,6,,,60,69
1540,note_on,4,0,0,,,,,,,,3,,,67,0
1540,note_on,0,0,0,,,,,,,,1,,,76,0
1540,note_on,0,0,0,,,,,,,,2,,,70,0
1542,note_on,2,0,0,,,,,,,,1,,,77,81
1542,note_on,0,0,0,,,,,,,,2,,,72,64
1542,note_on,0,0,0,,,,,,,,3,,,68,64
1546,note_on,4,0,0,,,,,,,,3,,,68,0
1546,note_on,0,0,0,,,,,,,,1,,,77,0
1546,note_on,0,0,0,,,,,,,,2,,,72,0
1548,note_on,2,0,0,,,,,,,,1,,,76,81
1548,note_on,0,0,0,,,,,,,,2,,,70,64
1548,note_on,0,0,0,,,,,,,,3,,,67,64
1557,note_on,9,0,0,,,,,,,,3,,,67,0
1557,note_on,0,0,0,,,,,,,,1,,,76,0
1557,note_on,0,0,0,,,,,,,,2,,,70,0
1560,note_on,3,0,0,,,,,,,,1,,,74,81
1560,note_on,0,0,0,,,,,,,,2,,,69,64
1560,note_on,0,0,0,,,,,,,,3,,,65,64
1577,note_on,17,0,0,,,,,,,,5,,,76,0
1577,note_on,0,0,0,,,,,,,,4,,,60,0
1577,note_on,0,0,0,,,,,,,,6,,,60,0
1579,note_on,2,0,0,,,,,,,,1,,,74,0
1579,note_on,0,0,0,,,,,,,,2,,,69,0
1579,note_on,0,0,0,,,,,,,,3,,,65,0
1584,note_on,5,0,0,,,,,,,,1,,,76,81
1584,note_on,0,0,0,,,,,,,,2,,,70,64
1584,note_on,0,0,0,,,,,,,,3,,,67,64
1584,note_on,0,0,0,,,,,,,,4,,,48,59
1584,note_on,0,0,0,,,,,,,,5,,,72,69
1584,note_on,0,0,0,,,,,,,,6,,,48,69
1625,note_on,41,0,0,,,,,,,,6,,,48,0
1625,note_on,0,0,0,,,,,,,,2,,,70,0
1625,note_on,0,0,0,,,,,,,,3,,,67,0
1625,note_on,0,0,0,,,,,,,,1,,,76,0
1625,note_on,0,0,0,,,,,,,,5,,,72,0
1625,note_on,0,0,0,,,,,,,,4,,,48,0
1632,note_on,7,0,0,,,,,,,,5,,,76,69
1636,note_on,4,0,0,,,,,,,,5,,,76,0
1638,note_on,2,0,0,,,,,,,,5,,,77,69
1642,note_on,4,0,0,,,,,,,,5,,,77,0
1644,note_on,2,0,0,,,,,,,,5,,,76,69
1653,note_on,9,0,0,,,,,,,,5,,,76,0
1656,note_on,3,0,0,,,,,,,,5,,,74,69
1675,note_on,19,0,0,,,,,,,,5,,,74,0
1680,note_on,5,0,0,,,,,,,,5,,,76,69
1721,note_on,41,0,0,,,,,,,,5,,,76,0
1728,note_on,7,0,0,,,,,,,,1,,,79,81
1728,note_on,0,0,0,,,,,,,,2,,,70,64
1728,note_on,0,0,0,,,,,,,,3,,,64,64
1728,note_on,0,0,0,,,,,,,,4,,,36,59
1728,note_on,0,0,0,,,,,,,,5,,,79,69
1728,note_on,0,0,0,,,,,,,,6,,,36,69
1747,note_on,19,0,0,,,,,,,,5,,,79,0
1747,note_on,0,0,0,,,,,,,,2,,,70,0
1747,note_on,0,0,0,,,,,,,,1,,,79,0
1752,note_on,5,0,0,,,,,,,,1,,,77,81
1752,note_on,0,0,0,,,,,,,,2,,,68,64
1752,note_on,0,0,0,,,,,,,,5,,,77,69
1769,note_on,17,0,0,,,,,,,,4,,,36,0
1769,note_on,0,0,0,,,,,,,,3,,,64,0
1769,note_on,0,0,0,,,,,,,,6,,,36,0
1771,note_on,2,0,0,,,,,,,,1,,,77,0
1771,note_on,0,0,0,,,,,,,,2,,,68,0
1771,note_on,0,0,0,,,,,,,,5,,,77,0
1776,note_on,5,0,0,,,,,,,,1,,,76,81
1776,note_on,0,0,0,,,,,,,,2,,,67,64
