tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,4,,,,,,,,,,,,,,
0,text,0,1,3,,,,,,,,,,,,,,
0,text,0,1,1,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,441176,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,
0,smpte_offset,0,1,0,24,32,0,0,0,0,,,,,,,,
480,note_on,480,0,1,,,,,,,,,,,,67,64,0
720,note_on,0,0,1,,,,,,,,,,,,69,64,0
720,note_off,240,0,1,,,,,,,,,,,,67,64,0
960,note_off,240,0,1,,,,,,,,,,,,69,64,0
960,note_on,0,0,1,,,,,,,,,,,,70,64,0
1200,note_on,0,0,1,,,,,,,,,,,,72,64,0
1200,note_off,240,0,1,,,,,,,,,,,,70,64,0
1440,note_off,240,0,1,,,,,,,,,,,,72,64,0
1440,note_on,0,0,1,,,,,,,,,,,,74,64,0
1680,note_on,0,0,1,,,,,,,,,,,,75,64,0
1680,note_off,240,0,1,,,,,,,,,,,,74,64,0
1920,note_off,240,0,1,,,,,,,,,,,,75,64,0
1920,note_on,0,0,1,,,,,,,,,,,,66,64,0
2400,note_off,480,0,1,,,,,,,,,,,,66,64,0
3360,note_on,960,0,1,,,,,,,,,,,,74,64,0
4080,note_off,720,0,1,,,,,,,,,,,,74,64,0
4080,note_on,0,0,1,,,,,,,,,,,,73,64,0
4320,note_off,240,0,1,,,,,,,,,,,,73,64,0
4320,note_on,0,0,1,,,,,,,,,,,,69,64,0
4560,note_on,0,0,1,,,,,,,,,,,,71,64,0
4560,note_off,240,0,1,,,,,,,,,,,,69,64,0
4800,note_off,240,0,1,,,,,,,,,,,,71,64,0
4800,note_on,0,0,1,,,,,,,,,,,,72,64,0
6000,note_off,1200,0,1,,,,,,,,,,,,72,64,0
6000,note_on,0,0,1,,,,,,,,,,,,71,64,0
