tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,
0,text,,,,,0,1,2,,,,
0,note_on,,,,,0,0,3,,57,64,0
0,note_on,,,,,0,0,1,,69,64,0
0,text,,,,,0,1,1,,,,
0,text,,,,,0,1,3,,,,
0,set_tempo,,,,,0,1,0,625000,,,
120,note_off,,,,,120,0,3,,57,64,0
120,note_off,,,,,120,0,1,,69,64,0
120,note_on,,,,,0,0,1,,68,64,0
180,note_off,,,,,60,0,1,,68,64,0
180,note_on,,,,,0,0,1,,69,64,0
240,note_on,,,,,120,0,3,,56,64,0
240,note_on,,,,,0,0,1,,71,64,0
240,note_off,,,,,60,0,1,,69,64,0
360,note_off,,,,,120,0,3,,56,64,0
360,note_on,,,,,0,0,1,,69,64,0
360,note_off,,,,,120,0,1,,71,64,0
420,note_off,,,,,60,0,1,,69,64,0
420,note_on,,,,,0,0,1,,68,64,0
480,note_on,,,,,120,0,3,,54,64,0
480,note_on,,,,,0,0,1,,69,64,0
480,note_off,,,,,60,0,1,,68,64,0
600,note_off,,,,,120,0,3,,54,64,0
720,note_on,,,,,120,0,3,,49,64,0
770,note_off,,,,,290,0,1,,69,64,0
780,note_on,,,,,10,0,1,,71,64,0
840,note_off,,,,,60,0,1,,71,64,0
840,note_on,,,,,0,0,1,,68,64,0
840,note_off,,,,,120,0,3,,49,64,0
900,note_on,,,,,0,0,1,,69,64,0
900,note_off,,,,,60,0,1,,68,64,0
960,note_off,,,,,60,0,1,,69,64,0
960,note_on,,,,,0,0,1,,71,64,0
960,note_on,,,,,120,0,3,,50,64,0
1020,note_off,,,,,60,0,1,,71,64,0
1020,note_on,,,,,0,0,1,,64,64,0
1080,note_off,,,,,120,0,3,,50,64,0
1080,note_off,,,,,60,0,1,,64,64,0
1080,note_on,,,,,0,0,1,,73,64,0
1140,note_off,,,,,60,0,1,,73,64,0
1140,note_on,,,,,0,0,1,,64,64,0
1200,note_on,,,,,120,0,3,,52,64,0
1200,note_off,,,,,60,0,1,,64,64,0
1200,note_on,,,,,0,0,1,,74,64,0
1260,note_on,,,,,0,0,1,,64,64,0
1260,note_off,,,,,60,0,1,,74,64,0
1320,note_off,,,,,120,0,3,,52,64,0
