tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,key_signature,F,0,1,0,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
0,set_tempo,,0,1,0,,,,,535450,,,
288,note_on,,288,0,2,,,,,,69,64,0
384,note_on,,96,0,2,,,,,,69,0,0
384,note_on,,0,0,2,,,,,,74,64,0
432,note_on,,48,0,2,,,,,,74,0,0
480,note_on,,48,0,2,,,,,,62,64,0
608,note_on,,128,0,2,,,,,,62,0,0
608,note_on,,0,0,2,,,,,,64,64,0
640,note_on,,32,0,2,,,,,,64,0,0
640,note_on,,0,0,2,,,,,,65,64,0
672,note_on,,0,0,2,,,,,,64,64,0
672,note_on,,32,0,2,,,,,,65,0,0
704,note_on,,0,0,2,,,,,,65,64,0
704,note_on,,32,0,2,,,,,,64,0,0
736,note_on,,32,0,2,,,,,,65,0,0
736,note_on,,0,0,2,,,,,,67,64,0
768,note_on,,32,0,2,,,,,,67,0,0
768,note_on,,0,0,2,,,,,,65,64,0
800,note_on,,32,0,2,,,,,,65,0,0
800,note_on,,0,0,2,,,,,,67,64,0
832,note_on,,32,0,2,,,,,,67,0,0
832,note_on,,0,0,2,,,,,,69,64,0
864,note_on,,32,0,2,,,,,,69,0,0
864,note_on,,0,0,2,,,,,,67,64,0
992,note_on,,0,0,2,,,,,,69,64,0
992,note_on,,128,0,2,,,,,,67,0,0
1024,note_on,,0,0,2,,,,,,70,64,0
1024,note_on,,32,0,2,,,,,,69,0,0
1056,note_on,,0,0,2,,,,,,69,64,0
1056,note_on,,32,0,2,,,,,,70,0,0
1088,note_on,,32,0,2,,,,,,69,0,0
1088,note_on,,0,0,2,,,,,,70,64,0
1120,note_on,,0,0,2,,,,,,72,64,0
1120,note_on,,32,0,2,,,,,,70,0,0
1152,note_on,,32,0,2,,,,,,72,0,0
1152,note_on,,0,0,2,,,,,,70,64,0
1184,note_on,,32,0,2,,,,,,70,0,0
1184,note_on,,0,0,2,,,,,,69,64,0
1216,note_on,,0,0,2,,,,,,67,64,0
1216,note_on,,32,0,2,,,,,,69,0,0
1248,note_on,,32,0,2,,,,,,67,0,0
1248,note_on,,0,0,2,,,,,,69,64,0
1376,note_on,,0,0,2,,,,,,67,64,0
1376,note_on,,128,0,2,,,,,,69,0,0
1408,note_on,,0,0,2,,,,,,65,64,0
1408,note_on,,32,0,2,,,,,,67,0,0
1440,note_on,,0,0,2,,,,,,67,64,0
1440,note_on,,32,0,2,,,,,,65,0,0
1472,note_on,,0,0,2,,,,,,65,64,0
1472,note_on,,32,0,2,,,,,,67,0,0
1504,note_on,,0,0,2,,,,,,64,64,0
1504,note_on,,32,0,2,,,,,,65,0,0
1536,note_on,,32,0,2,,,,,,64,0,0
1536,note_on,,0,0,2,,,,,,65,64,0
1608,note_on,,72,0,2,,,,,,65,0,0
1608,note_on,,0,0,2,,,,,,69,64,0
1632,note_on,,0,0,2,,,,,,74,64,0
1632,note_on,,24,0,2,,,,,,69,0,0
1680,note_on,,48,0,2,,,,,,74,0,0
1704,note_on,,24,0,2,,,,,,69,64,0
1728,note_on,,24,0,2,,,,,,69,0,0
1728,note_on,,0,0,2,,,,,,65,64,0
1776,note_on,,48,0,2,,,,,,65,0,0
1800,note_on,,24,0,2,,,,,,64,64,0
1824,note_on,,1824,0,3,,,,,,50,64,0
1824,note_on,,24,0,2,,,,,,64,0,0
1824,note_on,,0,0,2,,,,,,65,64,0
1872,note_on,,48,0,2,,,,,,65,0,0
1896,note_on,,24,0,2,,,,,,67,64,0
1920,note_on,,24,0,2,,,,,,67,0,0
1920,note_on,,96,0,3,,,,,,50,0,0
1920,note_on,,0,0,2,,,,,,69,64,0
1920,note_on,,0,0,3,,,,,,45,64,0
1952,note_on,,0,0,2,,,,,,64,64,0
1952,note_on,,32,0,2,,,,,,69,0,0
1968,note_on,,48,0,3,,,,,,45,0,0
1984,note_on,,0,0,2,,,,,,67,64,0
1984,note_on,,32,0,2,,,,,,64,0,0
2016,note_on,,0,0,2,,,,,,65,64,0
2016,note_on,,48,0,3,,,,,,57,64,0
2016,note_on,,32,0,2,,,,,,67,0,0
2048,note_on,,32,0,2,,,,,,65,0,0
2048,note_on,,0,0,2,,,,,,64,64,0
2080,note_on,,32,0,2,,,,,,64,0,0
2080,note_on,,0,0,2,,,,,,62,64,0
2112,note_on,,32,0,2,,,,,,62,0,0
2112,note_on,,0,0,2,,,,,,61,64,0
2144,note_on,,0,0,3,,,,,,55,64,0
2144,note_on,,128,0,3,,,,,,57,0,0
2176,note_on,,0,0,3,,,,,,53,64,0
2176,note_on,,32,0,3,,,,,,55,0,0
2208,note_on,,32,0,3,,,,,,53,0,0
2208,note_on,,0,0,3,,,,,,55,64,0
2208,note_on,,0,0,2,,,,,,70,64,0
2208,note_on,,96,0,2,,,,,,61,0,0
2240,note_on,,32,0,3,,,,,,55,0,0
2240,note_on,,0,0,3,,,,,,53,64,0
2256,note_on,,48,0,2,,,,,,70,0,0
2272,note_on,,32,0,3,,,,,,53,0,0
2272,note_on,,0,0,3,,,,,,52,64,0
2304,note_on,,32,0,3,,,,,,52,0,0
2304,note_on,,48,0,2,,,,,,69,64,0
2304,note_on,,0,0,3,,,,,,53,64,0
2336,note_on,,32,0,3,,,,,,53,0,0
2336,note_on,,0,0,3,,,,,,52,64,0
2368,note_on,,32,0,3,,,,,,52,0,0
2368,note_on,,0,0,3,,,,,,50,64,0
2400,note_on,,32,0,3,,,,,,50,0,0
2400,note_on,,0,0,3,,,,,,52,64,0
2432,note_on,,128,0,2,,,,,,69,0,0
2432,note_on,,0,0,2,,,,,,67,64,0
2464,note_on,,32,0,2,,,,,,67,0,0
2464,note_on,,0,0,2,,,,,,65,64,0
2496,note_on,,32,0,2,,,,,,65,0,0
2496,note_on,,0,0,2,,,,,,67,64,0
2528,note_on,,0,0,3,,,,,,50,64,0
2528,note_on,,128,0,3,,,,,,52,0,0
2560,note_on,,0,0,3,,,,,,49,64,0
2560,note_on,,32,0,3,,,,,,50,0,0
2592,note_on,,0,0,3,,,,,,50,64,0
2592,note_on,,32,0,3,,,,,,49,0,0
2624,note_on,,0,0,3,,,,,,49,64,0
2624,note_on,,32,0,3,,,,,,50,0,0
2656,note_on,,0,0,3,,,,,,47,64,0
2656,note_on,,32,0,3,,,,,,49,0,0
2688,note_on,,32,0,3,,,,,,47,0,0
2688,note_on,,192,0,2,,,,,,67,0,0
2688,note_on,,0,0,3,,,,,,49,64,0
2688,note_on,,0,0,2,,,,,,67,64,0
2720,note_on,,32,0,3,,,,,,49,0,0
2720,note_on,,0,0,3,,,,,,50,64,0
2752,note_on,,0,0,3,,,,,,52,64,0
2752,note_on,,32,0,3,,,,,,50,0,0
2784,note_on,,32,0,3,,,,,,52,0,0
2784,note_on,,0,0,3,,,,,,50,64,0
2816,note_on,,128,0,2,,,,,,67,0,0
2816,note_on,,0,0,2,,,,,,65,64,0
2848,note_on,,32,0,2,,,,,,65,0,0
2848,note_on,,0,0,2,,,,,,64,64,0
2880,note_on,,0,0,2,,,,,,65,64,0
2880,note_on,,32,0,2,,,,,,64,0,0
