tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
3072,note_off,,48,0,1,,,,,69,30,0
3072,note_on,,0,0,2,,,,,41,50,1
3072,note_off,,768,0,2,,,,,41,50,1
3120,note_on,,0,0,1,,,,,57,30,0
3120,note_off,,48,0,1,,,,,53,30,0
3168,note_off,,48,0,1,,,,,57,30,0
3168,note_on,,0,0,1,,,,,60,30,0
3216,note_off,,48,0,1,,,,,60,30,0
3216,note_on,,0,0,1,,,,,65,30,0
3264,note_on,,0,0,1,,,,,53,30,0
3264,note_off,,48,0,1,,,,,65,30,0
3312,note_on,,0,0,1,,,,,57,30,0
3312,note_off,,48,0,1,,,,,53,30,0
3360,note_off,,48,0,1,,,,,57,30,0
3360,note_on,,0,0,1,,,,,60,30,0
3408,note_on,,0,0,1,,,,,65,30,0
3408,note_off,,48,0,1,,,,,60,30,0
3456,note_off,,48,0,1,,,,,65,30,0
3456,note_on,,0,0,1,,,,,53,30,0
3504,note_on,,0,0,1,,,,,57,30,0
3504,note_off,,48,0,1,,,,,53,30,0
3552,note_on,,0,0,1,,,,,60,30,0
3552,note_off,,48,0,1,,,,,57,30,0
3600,note_on,,0,0,1,,,,,65,30,0
3600,note_off,,48,0,1,,,,,60,30,0
3648,note_on,,0,0,1,,,,,53,30,0
3648,note_off,,48,0,1,,,,,65,30,0
3696,note_on,,0,0,1,,,,,57,30,0
3696,note_off,,48,0,1,,,,,53,30,0
3744,note_on,,0,0,1,,,,,60,30,0
3744,note_off,,48,0,1,,,,,57,30,0
3792,note_on,,0,0,1,,,,,65,30,0
3792,note_off,,48,0,1,,,,,60,30,0
3840,note_on,,0,0,3,,,,,70,55,2
3840,note_off,,768,0,2,,,,,41,50,1
3840,note_on,,0,0,2,,,,,41,50,1
3840,note_off,,768,0,3,,,,,69,40,2
3840,note_off,,48,0,1,,,,,65,30,0
3840,note_on,,0,0,1,,,,,53,30,0
3888,note_off,,48,0,1,,,,,53,30,0
3888,note_on,,0,0,1,,,,,55,30,0
3936,note_off,,48,0,1,,,,,55,30,0
3936,note_on,,0,0,1,,,,,58,30,0
3984,note_off,,48,0,1,,,,,58,30,0
3984,note_on,,0,0,1,,,,,62,30,0
4032,note_off,,48,0,1,,,,,62,30,0
4032,note_on,,0,0,1,,,,,53,30,0
4080,note_off,,48,0,1,,,,,53,30,0
4080,note_on,,0,0,1,,,,,55,30,0
4128,note_off,,48,0,1,,,,,55,30,0
4128,note_on,,0,0,1,,,,,58,30,0
4176,note_off,,48,0,1,,,,,58,30,0
4176,note_on,,0,0,1,,,,,62,30,0
4224,note_off,,48,0,1,,,,,62,30,0
4224,note_on,,0,0,1,,,,,53,30,0
4272,note_on,,0,0,1,,,,,55,30,0
4272,note_off,,48,0,1,,,,,53,30,0
4320,note_off,,48,0,1,,,,,55,30,0
4320,note_on,,0,0,1,,,,,58,30,0
4368,note_off,,48,0,1,,,,,58,30,0
4368,note_on,,0,0,1,,,,,62,30,0
4416,note_off,,48,0,1,,,,,62,30,0
4416,note_on,,0,0,1,,,,,53,30,0
4416,note_off,,576,0,3,,,,,70,55,2
4464,note_off,,48,0,1,,,,,53,30,0
4464,note_on,,0,0,1,,,,,55,30,0
4512,note_on,,96,0,3,,,,,70,52,2
4512,note_off,,48,0,1,,,,,55,30,0
4512,note_on,,0,0,1,,,,,58,30,0
4560,note_off,,48,0,1,,,,,58,30,0
4560,note_on,,0,0,1,,,,,62,30,0
4608,note_on,,0,0,3,,,,,72,57,2
4608,note_off,,48,0,1,,,,,62,30,0
4608,note_off,,96,0,3,,,,,70,52,2
4608,note_on,,0,0,2,,,,,36,50,1
4608,note_off,,768,0,2,,,,,41,50,1
4608,note_on,,0,0,1,,,,,52,30,0
4656,note_off,,48,0,1,,,,,52,30,0
4656,note_on,,0,0,1,,,,,55,30,0
4704,note_off,,48,0,1,,,,,55,30,0
4704,note_on,,0,0,1,,,,,58,30,0
4752,note_off,,48,0,1,,,,,58,30,0
4752,note_on,,0,0,1,,,,,60,30,0
4800,note_on,,0,0,1,,,,,52,30,0
4800,note_off,,48,0,1,,,,,60,30,0
4848,note_on,,0,0,1,,,,,55,30,0
4848,note_off,,48,0,1,,,,,52,30,0
4896,note_off,,48,0,1,,,,,55,30,0
4896,note_on,,0,0,1,,,,,58,30,0
4944,note_off,,48,0,1,,,,,58,30,0
4944,note_on,,0,0,1,,,,,60,30,0
4992,note_on,,0,0,1,,,,,52,30,0
4992,note_off,,48,0,1,,,,,60,30,0
5040,note_on,,0,0,1,,,,,55,30,0
5040,note_off,,48,0,1,,,,,52,30,0
5088,note_off,,48,0,1,,,,,55,30,0
5088,note_on,,0,0,1,,,,,58,30,0
5136,note_on,,0,0,1,,,,,60,30,0
5136,note_off,,48,0,1,,,,,58,30,0
5184,note_off,,576,0,3,,,,,72,57,2
5184,note_on,,0,0,3,,,,,67,56,2
5184,note_on,,0,0,1,,,,,52,30,0
5184,note_off,,48,0,1,,,,,60,30,0
5232,note_on,,0,0,1,,,,,55,30,0
5232,note_off,,48,0,1,,,,,52,30,0
5280,note_on,,0,0,1,,,,,58,30,0
5280,note_off,,48,0,1,,,,,55,30,0
5328,note_on,,0,0,1,,,,,60,30,0
5328,note_off,,48,0,1,,,,,58,30,0
5376,note_on,,0,0,2,,,,,41,50,1
5376,note_off,,768,0,2,,,,,36,50,1
5376,note_on,,0,0,3,,,,,69,60,2
5376,note_off,,48,0,1,,,,,60,30,0
5376,note_on,,0,0,1,,,,,53,30,0
5376,note_off,,192,0,3,,,,,67,56,2
5424,note_off,,48,0,1,,,,,53,30,0
5424,note_on,,0,0,1,,,,,57,30,0
5472,note_off,,48,0,1,,,,,57,30,0
5472,note_on,,0,0,1,,,,,60,30,0
5520,note_off,,48,0,1,,,,,60,30,0
5520,note_on,,0,0,1,,,,,65,30,0
5568,note_on,,0,0,1,,,,,53,30,0
5568,note_off,,48,0,1,,,,,65,30,0
5616,note_on,,0,0,1,,,,,57,30,0
5616,note_off,,48,0,1,,,,,53,30,0
5664,note_off,,48,0,1,,,,,57,30,0
5664,note_on,,0,0,1,,,,,60,30,0
5712,note_off,,48,0,1,,,,,60,30,0
5712,note_on,,0,0,1,,,,,65,30,0
5760,note_off,,48,0,1,,,,,65,30,0
5760,note_on,,0,0,1,,,,,53,30,0
5808,note_off,,48,0,1,,,,,53,30,0
5808,note_on,,0,0,1,,,,,57,30,0
5856,note_on,,0,0,1,,,,,60,30,0
5856,note_off,,48,0,1,,,,,57,30,0
5904,note_on,,0,0,1,,,,,65,30,0
5904,note_off,,48,0,1,,,,,60,30,0
5904,note_on,,0,0,1,,,,,60,30,0
5952,note_off,,48,0,1,,,,,60,30,0
5952,note_off,,0,0,1,,,,,65,30,0
5952,note_on,,0,0,1,,,,,53,30,0
5952,note_off,,576,0,3,,,,,69,60,2
6000,note_off,,48,0,1,,,,,53,30,0
6000,note_on,,0,0,1,,,,,57,30,0
6048,note_on,,0,0,1,,,,,60,30,0
6048,note_off,,48,0,1,,,,,57,30,0
6096,note_off,,48,0,1,,,,,60,30,0
6096,note_on,,0,0,1,,,,,65,30,0
6144,note_on,,0,0,2,,,,,38,50,1
6144,note_off,,768,0,2,,,,,41,50,1
6144,note_off,,48,0,1,,,,,65,30,0
6144,note_on,,0,0,1,,,,,53,30,0
6144,note_on,,192,0,3,,,,,74,46,2
6192,note_off,,48,0,1,,,,,53,30,0
6192,note_on,,0,0,1,,,,,57,30,0
6240,note_off,,48,0,1,,,,,57,30,0
6240,note_on,,0,0,1,,,,,62,30,0
6288,note_off,,48,0,1,,,,,62,30,0
6288,note_on,,0,0,1,,,,,65,30,0
6336,note_off,,48,0,1,,,,,65,30,0
6336,note_on,,0,0,1,,,,,53,30,0
6384,note_off,,48,0,1,,,,,53,30,0
6384,note_on,,0,0,1,,,,,57,30,0
6432,note_off,,48,0,1,,,,,57,30,0
6432,note_on,,0,0,1,,,,,62,30,0
6480,note_off,,48,0,1,,,,,62,30,0
6480,note_on,,0,0,1,,,,,65,30,0
6528,note_on,,0,0,1,,,,,53,30,0
6528,note_off,,48,0,1,,,,,65,30,0
6576,note_on,,0,0,1,,,,,57,30,0
6576,note_off,,48,0,1,,,,,53,30,0
6624,note_on,,0,0,3,,,,,62,61,2
6624,note_on,,0,0,1,,,,,62,30,0
6624,note_off,,48,0,1,,,,,57,30,0
6624,note_off,,480,0,3,,,,,74,46,2
6672,note_on,,0,0,1,,,,,65,30,0
6672,note_off,,48,0,1,,,,,62,30,0
6720,note_on,,0,0,3,,,,,64,50,2
6720,note_off,,48,0,1,,,,,65,30,0
6720,note_off,,96,0,3,,,,,62,61,2
6720,note_on,,0,0,1,,,,,53,30,0
6768,note_on,,0,0,1,,,,,57,30,0
6768,note_off,,48,0,1,,,,,53,30,0
6816,note_on,,0,0,3,,,,,65,52,2
6816,note_off,,96,0,3,,,,,64,50,2
6816,note_on,,0,0,1,,,,,62,30,0
6816,note_off,,48,0,1,,,,,57,30,0
6864,note_off,,48,0,1,,,,,62,30,0
6864,note_on,,0,0,1,,,,,65,30,0
6912,note_on,,0,0,1,,,,,53,30,0
6912,note_on,,0,0,3,,,,,67,53,2
6912,note_off,,768,0,2,,,,,38,50,1
6912,note_off,,48,0,1,,,,,65,30,0
6912,note_on,,0,0,2,,,,,43,50,1
6912,note_off,,96,0,3,,,,,65,52,2
6960,note_off,,48,0,1,,,,,53,30,0
6960,note_on,,0,0,1,,,,,55,30,0
7008,note_off,,48,0,1,,,,,55,30,0
7008,note_on,,0,0,1,,,,,59,30,0
7056,note_off,,48,0,1,,,,,59,30,0
7056,note_on,,0,0,1,,,,,62,30,0
7104,note_off,,48,0,1,,,,,62,30,0
7104,note_on,,0,0,1,,,,,53,30,0
7152,note_on,,0,0,1,,,,,55,30,0
7152,note_off,,48,0,1,,,,,53,30,0
7200,note_on,,0,0,3,,,,,69,52,2
7200,note_off,,288,0,3,,,,,67,53,2
7200,note_on,,0,0,1,,,,,59,30,0
7200,note_off,,48,0,1,,,,,55,30,0
7248,note_on,,0,0,1,,,,,62,30,0
7248,note_off,,48,0,1,,,,,59,30,0
7296,note_on,,0,0,3,,,,,67,62,2
7296,note_off,,96,0,3,,,,,69,52,2
7296,note_off,,48,0,1,,,,,62,30,0
7296,note_on,,0,0,1,,,,,53,30,0
7344,note_on,,0,0,1,,,,,55,30,0
7344,note_off,,48,0,1,,,,,53,30,0
7392,note_on,,0,0,1,,,,,59,30,0
7392,note_off,,48,0,1,,,,,55,30,0
7440,note_off,,48,0,1,,,,,59,30,0
7440,note_on,,0,0,1,,,,,62,30,0
7488,note_off,,48,0,1,,,,,62,30,0
7488,note_on,,0,0,1,,,,,53,30,0
7488,note_off,,192,0,3,,,,,67,62,2
7536,note_on,,0,0,1,,,,,55,30,0
7536,note_off,,48,0,1,,,,,53,30,0
7584,note_off,,48,0,1,,,,,55,30,0
7584,note_on,,0,0,1,,,,,59,30,0
7632,note_off,,48,0,1,,,,,59,30,0
7632,note_on,,0,0,1,,,,,62,30,0
7680,note_on,,192,0,3,,,,,72,37,2
7680,note_off,,768,0,2,,,,,43,50,1
7680,note_on,,0,0,2,,,,,36,50,1
7680,note_on,,0,0,1,,,,,52,30,0
7680,note_off,,48,0,1,,,,,62,30,0
7728,note_off,,48,0,1,,,,,52,30,0
7728,note_on,,0,0,1,,,,,55,30,0
7776,note_off,,48,0,1,,,,,55,30,0
7776,note_on,,0,0,1,,,,,60,30,0
7824,note_off,,48,0,1,,,,,60,30,0
7824,note_on,,0,0,1,,,,,64,30,0
7872,note_off,,48,0,1,,,,,64,30,0
7872,note_on,,0,0,1,,,,,52,30,0
7920,note_on,,0,0,1,,,,,55,30,0
7920,note_off,,48,0,1,,,,,52,30,0
7968,note_off,,48,0,1,,,,,55,30,0
7968,note_on,,0,0,1,,,,,60,30,0
8016,note_off,,48,0,1,,,,,60,30,0
8016,note_on,,0,0,1,,,,,64,30,0
8064,note_off,,48,0,1,,,,,64,30,0
8064,note_on,,0,0,1,,,,,52,30,0
8112,note_off,,48,0,1,,,,,52,30,0
8112,note_on,,0,0,1,,,,,55,30,0
8160,note_off,,48,0,1,,,,,55,30,0
8160,note_on,,0,0,1,,,,,60,30,0
8160,note_on,,0,0,3,,,,,60,51,2
8160,note_off,,480,0,3,,,,,72,37,2
8208,note_off,,48,0,1,,,,,60,30,0
8208,note_on,,0,0,1,,,,,64,30,0
8256,note_off,,48,0,1,,,,,64,30,0
8256,note_on,,0,0,1,,,,,52,30,0
8256,note_on,,0,0,3,,,,,62,51,2
8256,note_off,,96,0,3,,,,,60,51,2
8304,note_off,,48,0,1,,,,,52,30,0
8304,note_on,,0,0,1,,,,,55,30,0
8352,note_off,,96,0,3,,,,,62,51,2
8352,note_on,,0,0,3,,,,,64,51,2
8352,note_off,,48,0,1,,,,,55,30,0
8352,note_on,,0,0,1,,,,,60,30,0
8400,note_on,,0,0,1,,,,,64,30,0
8400,note_off,,48,0,1,,,,,60,30,0
8448,note_on,,0,0,3,,,,,65,57,2
8448,note_off,,96,0,3,,,,,64,51,2
8448,note_on,,0,0,2,,,,,41,50,1
8448,note_on,,0,0,1,,,,,52,30,0
8448,note_off,,768,0,2,,,,,36,50,1
8448,note_off,,48,0,1,,,,,64,30,0
8496,note_off,,48,0,1,,,,,52,30,0
8496,note_on,,0,0,1,,,,,53,30,0
8544,note_on,,0,0,1,,,,,57,30,0
8544,note_off,,48,0,1,,,,,53,30,0
8592,note_on,,0,0,1,,,,,60,30,0
8592,note_off,,48,0,1,,,,,57,30,0
8640,note_off,,48,0,1,,,,,60,30,0
8640,note_on,,0,0,1,,,,,52,30,0
8688,note_off,,48,0,1,,,,,52,30,0
8688,note_on,,0,0,1,,,,,53,30,0
8736,note_off,,48,0,1,,,,,53,30,0
8736,note_on,,0,0,1,,,,,57,30,0
8736,note_off,,288,0,3,,,,,65,57,2
8736,note_on,,0,0,3,,,,,67,41,2
8784,note_on,,0,0,1,,,,,60,30,0
8784,note_off,,48,0,1,,,,,57,30,0
8832,note_off,,48,0,1,,,,,60,30,0
8832,note_on,,0,0,3,,,,,65,50,2
8832,note_off,,96,0,3,,,,,67,41,2
8832,note_on,,0,0,1,,,,,52,30,0
8880,note_off,,48,0,1,,,,,52,30,0
8880,note_on,,0,0,1,,,,,53,30,0
8928,note_off,,48,0,1,,,,,53,30,0
8928,note_on,,0,0,1,,,,,57,30,0
8976,note_off,,48,0,1,,,,,57,30,0
8976,note_on,,0,0,1,,,,,60,30,0
9024,note_off,,48,0,1,,,,,60,30,0
9024,note_off,,192,0,3,,,,,65,50,2
9024,note_on,,0,0,1,,,,,52,30,0
9072,note_off,,48,0,1,,,,,52,30,0
9072,note_on,,0,0,1,,,,,53,30,0
9120,note_off,,48,0,1,,,,,53,30,0
9120,note_on,,0,0,1,,,,,57,30,0
9168,note_off,,48,0,1,,,,,57,30,0
9168,note_on,,0,0,1,,,,,60,30,0
9216,note_on,,192,0,3,,,,,77,58,2
9216,note_on,,0,0,2,,,,,38,50,1
9216,note_on,,0,0,1,,,,,50,30,0
9216,note_off,,768,0,2,,,,,41,50,1
9216,note_off,,48,0,1,,,,,60,30,0
9264,note_on,,0,0,1,,,,,53,30,0
9264,note_off,,48,0,1,,,,,50,30,0
9312,note_off,,48,0,1,,,,,53,30,0
9312,note_on,,0,0,1,,,,,57,30,0
9360,note_off,,48,0,1,,,,,57,30,0
9360,note_on,,0,0,1,,,,,60,30,0
9408,note_off,,48,0,1,,,,,60,30,0
9408,note_on,,0,0,1,,,,,50,30,0
9456,note_on,,0,0,1,,,,,53,30,0
9456,note_off,,48,0,1,,,,,50,30,0
9504,note_off,,48,0,1,,,,,53,30,0
9504,note_on,,0,0,1,,,,,57,30,0
9552,note_off,,48,0,1,,,,,57,30,0
9552,note_on,,0,0,1,,,,,60,30,0
9600,note_off,,48,0,1,,,,,60,30,0
9600,note_on,,0,0,1,,,,,50,30,0
9648,note_off,,48,0,1,,,,,50,30,0
9648,note_on,,0,0,1,,,,,53,30,0
9696,note_on,,0,0,3,,,,,65,53,2
9696,note_off,,48,0,1,,,,,53,30,0
9696,note_on,,0,0,1,,,,,57,30,0
9696,note_off,,480,0,3,,,,,77,58,2
9744,note_on,,0,0,1,,,,,60,30,0
9744,note_off,,48,0,1,,,,,57,30,0
9792,note_on,,0,0,1,,,,,50,30,0
9792,note_off,,48,0,1,,,,,60,30,0
9792,note_on,,0,0,3,,,,,67,47,2
9792,note_off,,96,0,3,,,,,65,53,2
9840,note_off,,48,0,1,,,,,50,30,0
9840,note_on,,0,0,1,,,,,53,30,0
9888,note_off,,48,0,1,,,,,53,30,0
9888,note_on,,0,0,1,,,,,57,30,0
9888,note_on,,0,0,3,,,,,69,45,2
9888,note_off,,96,0,3,,,,,67,47,2
9936,note_off,,48,0,1,,,,,57,30,0
9936,note_on,,0,0,1,,,,,60,30,0
9984,note_on,,0,0,3,,,,,71,53,2
9984,note_off,,96,0,3,,,,,69,45,2
9984,note_on,,0,0,2,,,,,43,50,1
9984,note_on,,0,0,1,,,,,55,30,0
9984,note_off,,48,0,1,,,,,60,30,0
9984,note_off,,768,0,2,,,,,38,50,1
10032,note_on,,0,0,1,,,,,59,30,0
10032,note_off,,48,0,1,,,,,55,30,0
10080,note_on,,0,0,1,,,,,62,30,0
10080,note_off,,48,0,1,,,,,59,30,0
10128,note_off,,48,0,1,,,,,62,30,0
10128,note_on,,0,0,1,,,,,65,30,0
10176,note_off,,48,0,1,,,,,65,30,0
10176,note_on,,0,0,1,,,,,55,30,0
10224,note_off,,48,0,1,,,,,55,30,0
10224,note_on,,0,0,1,,,,,59,30,0
10272,note_on,,0,0,3,,,,,69,51,2
10272,note_off,,48,0,1,,,,,59,30,0
10272,note_on,,0,0,1,,,,,62,30,0
10272,note_off,,288,0,3,,,,,71,53,2
10320,note_off,,48,0,1,,,,,62,30,0
10320,note_on,,0,0,1,,,,,65,30,0
10368,note_off,,48,0,1,,,,,65,30,0
10368,note_on,,0,0,3,,,,,67,57,2
10368,note_off,,96,0,3,,,,,69,51,2
10368,note_on,,0,0,1,,,,,55,30,0
10416,note_off,,48,0,1,,,,,55,30,0
10416,note_on,,0,0,1,,,,,59,30,0
10464,note_off,,48,0,1,,,,,59,30,0
10464,note_on,,0,0,1,,,,,62,30,0
10512,note_off,,48,0,1,,,,,62,30,0
10512,note_on,,0,0,1,,,,,65,30,0
10560,note_off,,48,0,1,,,,,65,30,0
10560,note_on,,0,0,1,,,,,55,30,0
10560,note_on,,0,0,3,,,,,62,59,2
10560,note_off,,192,0,3,,,,,67,57,2
10608,note_off,,48,0,1,,,,,55,30,0
10608,note_on,,0,0,1,,,,,59,30,0
10656,note_off,,48,0,1,,,,,59,30,0
10656,note_on,,0,0,1,,,,,62,30,0
10704,note_on,,0,0,1,,,,,65,30,0
10704,note_off,,48,0,1,,,,,62,30,0
10752,note_on,,0,0,2,,,,,48,50,1
10752,note_on,,0,0,1,,,,,55,30,0
10752,note_off,,48,0,1,,,,,65,30,0
10752,note_on,,0,0,3,,,,,64,60,2
10752,note_off,,768,0,2,,,,,43,50,1
10752,note_off,,192,0,3,,,,,62,59,2
10800,note_off,,48,0,1,,,,,55,30,0
10800,note_on,,0,0,1,,,,,60,30,0
10848,note_off,,48,0,1,,,,,60,30,0
10848,note_on,,0,0,1,,,,,64,30,0
10896,note_off,,48,0,1,,,,,64,30,0
10896,note_on,,0,0,1,,,,,67,30,0
10944,note_on,,0,0,1,,,,,55,30,0
10944,note_off,,48,0,1,,,,,67,30,0
10992,note_off,,48,0,1,,,,,55,30,0
10992,note_on,,0,0,1,,,,,60,30,0
11040,note_off,,48,0,1,,,,,60,30,0
11040,note_on,,0,0,1,,,,,64,30,0
11088,note_off,,48,0,1,,,,,64,30,0
11088,note_on,,0,0,1,,,,,67,30,0
11136,note_off,,48,0,1,,,,,67,30,0
11136,note_on,,0,0,1,,,,,55,30,0
11184,note_off,,48,0,1,,,,,55,30,0
11184,note_on,,0,0,1,,,,,60,30,0
11232,note_on,,0,0,1,,,,,64,30,0
11232,note_off,,48,0,1,,,,,60,30,0
11280,note_off,,48,0,1,,,,,64,30,0
11280,note_on,,0,0,1,,,,,67,30,0
11328,note_off,,576,0,3,,,,,64,60,2
11328,note_off,,48,0,1,,,,,67,30,0
11328,note_on,,0,0,1,,,,,55,30,0
11328,note_on,,0,0,3,,,,,67,55,2
11376,note_off,,48,0,1,,,,,55,30,0
11376,note_on,,0,0,1,,,,,60,30,0
11424,note_off,,48,0,1,,,,,60,30,0
11424,note_on,,0,0,1,,,,,64,30,0
11472,note_on,,0,0,1,,,,,67,30,0
11472,note_off,,48,0,1,,,,,64,30,0
11520,note_on,,0,0,1,,,,,57,30,0
11520,note_on,,0,0,3,,,,,69,55,2
11520,note_on,,0,0,2,,,,,48,50,1
11520,note_off,,768,0,2,,,,,48,50,1
11520,note_off,,192,0,3,,,,,67,55,2
11520,note_off,,48,0,1,,,,,67,30,0
11568,note_off,,48,0,1,,,,,57,30,0
