tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
18480,note_on,0,0,1,,,,,,,,,,,,63,64,0
18720,note_off,240,0,1,,,,,,,,,,,,63,64,0
18720,note_on,0,0,1,,,,,,,,,,,,65,64,0
18960,note_on,0,0,1,,,,,,,,,,,,62,64,0
18960,note_off,240,0,1,,,,,,,,,,,,65,64,0
19200,note_off,240,0,1,,,,,,,,,,,,62,64,0
19200,note_on,0,0,1,,,,,,,,,,,,63,64,0
19440,note_off,240,0,1,,,,,,,,,,,,63,64,0
19440,note_on,0,0,1,,,,,,,,,,,,60,64,0
19680,note_off,240,0,1,,,,,,,,,,,,60,64,0
19680,note_on,0,0,1,,,,,,,,,,,,57,64,0
19920,note_off,240,0,1,,,,,,,,,,,,57,64,0
19920,note_on,0,0,1,,,,,,,,,,,,60,64,0
20160,note_off,240,0,1,,,,,,,,,,,,60,64,0
20160,note_on,0,0,1,,,,,,,,,,,,54,64,0
20640,note_off,480,0,1,,,,,,,,,,,,54,64,0
20640,note_on,0,0,1,,,,,,,,,,,,55,64,0
20880,note_off,240,0,1,,,,,,,,,,,,55,64,0
20880,note_on,0,0,1,,,,,,,,,,,,57,64,0
21120,note_on,0,0,1,,,,,,,,,,,,59,64,0
21120,note_off,240,0,1,,,,,,,,,,,,57,64,0
21360,note_off,240,0,1,,,,,,,,,,,,59,64,0
21360,note_on,0,0,1,,,,,,,,,,,,60,64,0
21600,note_off,240,0,1,,,,,,,,,,,,60,64,0
21600,note_on,0,0,1,,,,,,,,,,,,62,64,0
21840,note_off,240,0,1,,,,,,,,,,,,62,64,0
21840,note_on,0,0,1,,,,,,,,,,,,63,64,0
22080,note_off,240,0,1,,,,,,,,,,,,63,64,0
22080,note_on,0,0,1,,,,,,,,,,,,65,64,0
22560,note_off,480,0,1,,,,,,,,,,,,65,64,0
22560,note_on,0,0,1,,,,,,,,,,,,63,64,0
22800,note_off,240,0,1,,,,,,,,,,,,63,64,0
22800,note_on,0,0,1,,,,,,,,,,,,62,64,0
23040,note_off,240,0,1,,,,,,,,,,,,62,64,0
23040,note_on,0,0,1,,,,,,,,,,,,63,64,0
23280,note_off,240,0,1,,,,,,,,,,,,63,64,0
23280,note_on,0,0,1,,,,,,,,,,,,62,64,0
23520,note_off,240,0,1,,,,,,,,,,,,62,64,0
23520,note_on,0,0,1,,,,,,,,,,,,60,64,0
23760,note_off,240,0,1,,,,,,,,,,,,60,64,0
23760,note_on,0,0,1,,,,,,,,,,,,63,64,0
24000,note_off,240,0,1,,,,,,,,,,,,63,64,0
24000,note_on,0,0,1,,,,,,,,,,,,62,64,0
24480,note_off,480,0,1,,,,,,,,,,,,62,64,0
