tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,3,,,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,,,,,48,64,0
0,text,0,1,1,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,441176,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,
0,smpte_offset,0,1,0,24,32,0,0,0,0,,,,,,,,
480,note_on,480,0,1,,,,,,,,,,,,79,64,0
960,note_on,0,0,3,,,,,,,,,,,,51,64,0
960,note_on,0,0,1,,,,,,,,,,,,72,64,0
960,note_off,960,0,3,,,,,,,,,,,,48,64,0
960,note_off,480,0,1,,,,,,,,,,,,79,64,0
1680,note_off,720,0,1,,,,,,,,,,,,72,64,0
1680,note_on,0,0,1,,,,,,,,,,,,74,64,0
1800,note_on,0,0,1,,,,,,,,,,,,75,64,0
1800,note_off,120,0,1,,,,,,,,,,,,74,64,0
1920,note_on,0,0,3,,,,,,,,,,,,55,64,0
1920,note_off,120,0,1,,,,,,,,,,,,75,64,0
1920,note_off,960,0,3,,,,,,,,,,,,51,64,0
1920,note_on,0,0,1,,,,,,,,,,,,74,64,0
2040,note_off,120,0,1,,,,,,,,,,,,74,64,0
2040,note_on,0,0,1,,,,,,,,,,,,72,64,0
2160,note_on,0,0,1,,,,,,,,,,,,71,64,0
2160,note_off,120,0,1,,,,,,,,,,,,72,64,0
2280,note_off,120,0,1,,,,,,,,,,,,71,64,0
2280,note_on,0,0,1,,,,,,,,,,,,69,64,0
2400,note_on,0,0,1,,,,,,,,,,,,67,64,0
2400,note_on,2400,0,2,,,,,,,,,,,,79,64,0
2400,note_off,120,0,1,,,,,,,,,,,,69,64,0
2640,note_on,0,0,1,,,,,,,,,,,,65,64,0
2640,note_off,240,0,1,,,,,,,,,,,,67,64,0
2880,note_on,0,0,3,,,,,,,,,,,,56,64,0
2880,note_off,960,0,3,,,,,,,,,,,,55,64,0
2880,note_off,480,0,2,,,,,,,,,,,,79,64,0
2880,note_on,0,0,2,,,,,,,,,,,,72,64,0
2880,note_off,240,0,1,,,,,,,,,,,,65,64,0
2880,note_on,0,0,1,,,,,,,,,,,,63,64,0
3120,note_off,240,0,1,,,,,,,,,,,,63,64,0
3120,note_on,0,0,1,,,,,,,,,,,,62,64,0
3360,note_off,240,0,1,,,,,,,,,,,,62,64,0
3360,note_on,0,0,1,,,,,,,,,,,,62,64,0
3420,note_on,0,0,1,,,,,,,,,,,,60,64,0
3420,note_off,60,0,1,,,,,,,,,,,,62,64,0
3480,note_on,0,0,1,,,,,,,,,,,,62,64,0
3480,note_off,60,0,1,,,,,,,,,,,,60,64,0
3540,note_off,60,0,1,,,,,,,,,,,,62,64,0
3540,note_on,0,0,1,,,,,,,,,,,,60,64,0
3600,note_on,0,0,1,,,,,,,,,,,,62,64,0
3600,note_off,60,0,1,,,,,,,,,,,,60,64,0
3600,note_on,0,0,2,,,,,,,,,,,,74,64,0
3600,note_off,720,0,2,,,,,,,,,,,,72,64,0
3660,note_on,0,0,1,,,,,,,,,,,,60,64,0
3660,note_off,60,0,1,,,,,,,,,,,,62,64,0
3720,note_on,0,0,2,,,,,,,,,,,,75,64,0
3720,note_off,120,0,2,,,,,,,,,,,,74,64,0
3720,note_off,60,0,1,,,,,,,,,,,,60,64,0
3720,note_on,0,0,1,,,,,,,,,,,,59,64,0
3780,note_off,60,0,1,,,,,,,,,,,,59,64,0
3780,note_on,0,0,1,,,,,,,,,,,,60,64,0
3840,note_off,960,0,3,,,,,,,,,,,,56,64,0
3840,note_on,0,0,2,,,,,,,,,,,,74,64,0
3840,note_off,120,0,2,,,,,,,,,,,,75,64,0
3840,note_on,0,0,3,,,,,,,,,,,,47,64,0
3840,note_on,0,0,1,,,,,,,,,,,,62,64,0
3840,note_off,60,0,1,,,,,,,,,,,,60,64,0
3960,note_on,0,0,2,,,,,,,,,,,,72,64,0
3960,note_off,120,0,2,,,,,,,,,,,,74,64,0
4080,note_off,120,0,2,,,,,,,,,,,,72,64,0
4080,note_on,0,0,2,,,,,,,,,,,,71,64,0
4200,note_on,0,0,2,,,,,,,,,,,,69,64,0
4200,note_off,120,0,2,,,,,,,,,,,,71,64,0
4320,note_off,120,0,2,,,,,,,,,,,,69,64,0
4320,note_on,0,0,2,,,,,,,,,,,,67,64,0
4560,note_off,240,0,2,,,,,,,,,,,,67,64,0
4560,note_on,0,0,2,,,,,,,,,,,,65,64,0
4800,note_off,960,0,3,,,,,,,,,,,,47,64,0
4800,note_on,0,0,2,,,,,,,,,,,,63,64,0
4800,note_off,240,0,2,,,,,,,,,,,,65,64,0
5040,note_off,240,0,2,,,,,,,,,,,,63,64,0
5040,note_off,1200,0,1,,,,,,,,,,,,62,64,0
5040,note_on,0,0,2,,,,,,,,,,,,62,64,0
5040,note_on,0,0,1,,,,,,,,,,,,65,64,0
5280,note_on,0,0,1,,,,,,,,,,,,63,64,0
5280,note_off,240,0,2,,,,,,,,,,,,62,64,0
5280,note_on,0,0,2,,,,,,,,,,,,62,64,0
5280,note_off,240,0,1,,,,,,,,,,,,65,64,0
5280,note_on,480,0,3,,,,,,,,,,,,55,64,0
5340,note_off,60,0,2,,,,,,,,,,,,62,64,0
5340,note_on,0,0,2,,,,,,,,,,,,60,64,0
5400,note_off,60,0,2,,,,,,,,,,,,60,64,0
5400,note_on,0,0,2,,,,,,,,,,,,62,64,0
5460,note_off,60,0,2,,,,,,,,,,,,62,64,0
5460,note_on,0,0,2,,,,,,,,,,,,60,64,0
5520,note_off,60,0,2,,,,,,,,,,,,60,64,0
5520,note_on,0,0,2,,,,,,,,,,,,62,64,0
5520,note_off,240,0,1,,,,,,,,,,,,63,64,0
5520,note_on,0,0,1,,,,,,,,,,,,62,64,0
5580,note_off,60,0,2,,,,,,,,,,,,62,64,0
5580,note_on,0,0,2,,,,,,,,,,,,60,64,0
