tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,control,value
2564,note_on,,48,0,1,,,,,,,,,,,,71,0,0,,
2584,note_on,,20,0,1,,,,,,,,,,,,78,83,0,,
2592,control_change,,8,0,1,,,,,,,,,,,,,,0,64,127
2612,note_on,,20,0,1,,,,,,,,,,,,76,0,0,,
2648,note_on,,36,0,1,,,,,,,,,,,,76,55,0,,
2652,note_on,,4,0,1,,,,,,,,,,,,78,0,0,,
2699,note_on,,47,0,1,,,,,,,,,,,,76,0,0,,
2703,note_on,,4,0,1,,,,,,,,,,,,78,97,0,,
2783,note_on,,80,0,1,,,,,,,,,,,,76,78,0,,
2806,note_on,,23,0,1,,,,,,,,,,,,78,0,0,,
2850,note_on,,44,0,1,,,,,,,,,,,,75,77,0,,
2856,note_on,,6,0,1,,,,,,,,,,,,76,0,0,,
2911,note_on,,55,0,1,,,,,,,,,,,,76,109,0,,
2930,note_on,,19,0,1,,,,,,,,,,,,75,0,0,,
2988,note_on,,58,0,1,,,,,,,,,,,,78,100,0,,
3059,note_on,,71,0,1,,,,,,,,,,,,76,0,0,,
3200,note_on,,141,0,1,,,,,,,,,,,,80,100,0,,
3260,note_on,,60,0,1,,,,,,,,,,,,78,0,0,,
3419,note_on,,159,0,1,,,,,,,,,,,,80,0,0,,
3460,note_on,,41,0,1,,,,,,,,,,,,81,88,0,,
3465,note_on,,5,0,1,,,,,,,,,,,,61,57,0,,
3481,note_on,,16,0,1,,,,,,,,,,,,69,36,0,,
3501,note_on,,20,0,1,,,,,,,,,,,,62,0,0,,
3590,control_change,,89,0,1,,,,,,,,,,,,,,0,64,0
3897,control_change,,307,0,1,,,,,,,,,,,,,,0,64,127
3967,note_on,,70,0,1,,,,,,,,,,,,76,65,0,,
3973,note_on,,6,0,1,,,,,,,,,,,,81,0,0,,
3997,note_on,,24,0,1,,,,,,,,,,,,57,0,0,,
4061,note_on,,64,0,1,,,,,,,,,,,,61,0,0,,
4081,note_on,,20,0,1,,,,,,,,,,,,76,0,0,,
4097,note_on,,16,0,1,,,,,,,,,,,,69,0,0,,
4520,note_on,,423,0,1,,,,,,,,,,,,76,61,0,,
4524,note_on,,4,0,1,,,,,,,,,,,,68,38,0,,
4540,note_on,,16,0,1,,,,,,,,,,,,59,38,0,,
4550,note_on,,10,0,1,,,,,,,,,,,,57,35,0,,
4627,control_change,,77,0,1,,,,,,,,,,,,,,0,64,0
4831,control_change,,204,0,1,,,,,,,,,,,,,,0,64,127
4982,note_on,,151,0,1,,,,,,,,,,,,71,52,0,,
4993,note_on,,11,0,1,,,,,,,,,,,,62,50,0,,
5001,note_on,,8,0,1,,,,,,,,,,,,76,0,0,,
5010,note_on,,9,0,1,,,,,,,,,,,,68,0,0,,
5040,note_on,,30,0,1,,,,,,,,,,,,71,0,0,,
5187,note_on,,147,0,1,,,,,,,,,,,,59,0,0,,
5213,note_on,,26,0,1,,,,,,,,,,,,57,0,0,,
5292,note_on,,79,0,1,,,,,,,,,,,,62,0,0,,
5475,note_on,,183,0,1,,,,,,,,,,,,76,65,0,,
5480,note_on,,5,0,1,,,,,,,,,,,,68,41,0,,
5482,note_on,,2,0,1,,,,,,,,,,,,57,41,0,,
5490,note_on,,8,0,1,,,,,,,,,,,,59,34,0,,
5550,control_change,,60,0,1,,,,,,,,,,,,,,0,64,0
5702,control_change,,152,0,1,,,,,,,,,,,,,,0,64,127
5750,note_on,,48,0,1,,,,,,,,,,,,76,0,0,,
5772,note_on,,22,0,1,,,,,,,,,,,,68,0,0,,
5955,note_on,,183,0,1,,,,,,,,,,,,62,56,0,,
5964,note_on,,9,0,1,,,,,,,,,,,,76,83,0,,
5976,note_on,,12,0,1,,,,,,,,,,,,71,48,0,,
6019,note_on,,43,0,1,,,,,,,,,,,,71,0,0,,
6057,note_on,,38,0,1,,,,,,,,,,,,76,0,0,,
6156,note_on,,99,0,1,,,,,,,,,,,,57,0,0,,
6156,note_on,,0,0,1,,,,,,,,,,,,59,0,0,,
6465,note_on,,309,0,1,,,,,,,,,,,,62,0,0,,
6471,note_on,,6,0,1,,,,,,,,,,,,61,43,0,,
6476,note_on,,5,0,1,,,,,,,,,,,,69,39,0,,
6492,note_on,,16,0,1,,,,,,,,,,,,76,64,0,,
6496,note_on,,4,0,1,,,,,,,,,,,,57,36,0,,
6586,control_change,,90,0,1,,,,,,,,,,,,,,0,64,0
6721,note_on,,135,0,1,,,,,,,,,,,,75,74,0,,
6792,note_on,,71,0,1,,,,,,,,,,,,76,0,0,,
6948,note_on,,156,0,1,,,,,,,,,,,,76,103,0,,
6964,note_on,,16,0,1,,,,,,,,,,,,69,0,0,,
7013,note_on,,49,0,1,,,,,,,,,,,,75,0,0,,
7160,note_on,,147,0,1,,,,,,,,,,,,78,91,0,,
7212,note_on,,52,0,1,,,,,,,,,,,,76,0,0,,
7222,note_on,,10,0,1,,,,,,,,,,,,57,0,0,,
7285,note_on,,63,0,1,,,,,,,,,,,,61,0,0,,
7392,note_on,,107,0,1,,,,,,,,,,,,76,94,0,,
7475,note_on,,83,0,1,,,,,,,,,,,,78,0,0,,
7611,note_on,,136,0,1,,,,,,,,,,,,74,91,0,,
7614,note_on,,3,0,1,,,,,,,,,,,,76,0,0,,
7616,note_on,,2,0,1,,,,,,,,,,,,66,64,0,,
7823,note_on,,207,0,1,,,,,,,,,,,,73,84,0,,
7846,note_on,,23,0,1,,,,,,,,,,,,64,84,0,,
7870,note_on,,24,0,1,,,,,,,,,,,,74,0,0,,
7873,note_on,,3,0,1,,,,,,,,,,,,66,0,0,,
8041,note_on,,168,0,1,,,,,,,,,,,,62,71,0,,
8050,note_on,,9,0,1,,,,,,,,,,,,71,83,0,,
8100,note_on,,50,0,1,,,,,,,,,,,,64,0,0,,
8122,note_on,,22,0,1,,,,,,,,,,,,73,0,0,,
8347,note_on,,225,0,1,,,,,,,,,,,,61,60,0,,
8359,note_on,,12,0,1,,,,,,,,,,,,76,69,0,,
8367,note_on,,8,0,1,,,,,,,,,,,,69,61,0,,
8385,note_on,,18,0,1,,,,,,,,,,,,57,32,0,,
8387,note_on,,2,0,1,,,,,,,,,,,,71,0,0,,
8413,note_on,,26,0,1,,,,,,,,,,,,62,0,0,,
8673,control_change,,260,0,1,,,,,,,,,,,,,,0,64,127
9015,note_on,,342,0,1,,,,,,,,,,,,68,82,0,,
9020,note_on,,5,0,1,,,,,,,,,,,,59,62,0,,
9078,note_on,,58,0,1,,,,,,,,,,,,61,0,0,,
9097,note_on,,19,0,1,,,,,,,,,,,,69,0,0,,
9103,note_on,,6,0,1,,,,,,,,,,,,76,0,0,,
9261,note_on,,158,0,1,,,,,,,,,,,,59,0,0,,
9272,note_on,,11,0,1,,,,,,,,,,,,76,84,0,,
9274,note_on,,2,0,1,,,,,,,,,,,,61,59,0,,
9276,note_on,,2,0,1,,,,,,,,,,,,69,79,0,,
9294,note_on,,18,0,1,,,,,,,,,,,,68,0,0,,
9339,control_change,,45,0,1,,,,,,,,,,,,,,0,64,0
9518,control_change,,179,0,1,,,,,,,,,,,,,,0,64,127
9562,note_on,,44,0,1,,,,,,,,,,,,76,0,0,,
9708,note_on,,146,0,1,,,,,,,,,,,,76,92,0,,
9710,note_on,,2,0,1,,,,,,,,,,,,73,84,0,,
9718,note_on,,8,0,1,,,,,,,,,,,,64,72,0,,
9723,note_on,,5,0,1,,,,,,,,,,,,69,0,0,,
9793,note_on,,70,0,1,,,,,,,,,,,,61,0,0,,
9811,note_on,,18,0,1,,,,,,,,,,,,73,0,0,,
9817,note_on,,6,0,1,,,,,,,,,,,,76,0,0,,
9872,note_on,,55,0,1,,,,,,,,,,,,61,2,0,,
9895,note_on,,23,0,1,,,,,,,,,,,,57,0,0,,
9931,note_on,,36,0,1,,,,,,,,,,,,61,0,0,,
9967,note_on,,36,0,1,,,,,,,,,,,,64,0,0,,
10145,note_on,,178,0,1,,,,,,,,,,,,71,50,0,,
10165,note_on,,20,0,1,,,,,,,,,,,,57,57,0,,
10165,note_on,,0,0,1,,,,,,,,,,,,62,68,0,,
10172,control_change,,7,0,1,,,,,,,,,,,,,,0,64,0
10193,note_on,,21,0,1,,,,,,,,,,,,76,82,0,,
10237,note_on,,44,0,1,,,,,,,,,,,,71,0,0,,
10267,note_on,,30,0,1,,,,,,,,,,,,78,88,0,,
10279,note_on,,12,0,1,,,,,,,,,,,,76,0,0,,
10287,control_change,,8,0,1,,,,,,,,,,,,,,0,64,127
10335,note_on,,48,0,1,,,,,,,,,,,,76,102,0,,
10356,note_on,,21,0,1,,,,,,,,,,,,78,0,0,,
10406,note_on,,50,0,1,,,,,,,,,,,,76,0,0,,
10406,note_on,,0,0,1,,,,,,,,,,,,78,91,0,,
10463,note_on,,57,0,1,,,,,,,,,,,,76,105,0,,
10497,note_on,,34,0,1,,,,,,,,,,,,78,0,0,,
10526,note_on,,29,0,1,,,,,,,,,,,,75,94,0,,
10556,note_on,,30,0,1,,,,,,,,,,,,76,0,0,,
10577,note_on,,21,0,1,,,,,,,,,,,,76,64,0,,
10625,note_on,,48,0,1,,,,,,,,,,,,75,0,0,,
10671,note_on,,46,0,1,,,,,,,,,,,,78,105,0,,
10754,note_on,,83,0,1,,,,,,,,,,,,76,0,0,,
10894,note_on,,140,0,1,,,,,,,,,,,,80,103,0,,
10938,note_on,,44,0,1,,,,,,,,,,,,78,0,0,,
11097,note_on,,159,0,1,,,,,,,,,,,,80,0,0,,
11177,note_on,,80,0,1,,,,,,,,,,,,81,76,0,,
11190,note_on,,13,0,1,,,,,,,,,,,,61,54,0,,
11196,note_on,,6,0,1,,,,,,,,,,,,69,53,0,,
11206,note_on,,10,0,1,,,,,,,,,,,,62,0,0,,
11260,control_change,,54,0,1,,,,,,,,,,,,,,0,64,0
11554,control_change,,294,0,1,,,,,,,,,,,,,,0,64,127
11766,note_on,,212,0,1,,,,,,,,,,,,57,0,0,,
11775,note_on,,9,0,1,,,,,,,,,,,,76,74,0,,
11782,note_on,,7,0,1,,,,,,,,,,,,81,0,0,,
11810,note_on,,28,0,1,,,,,,,,,,,,61,0,0,,
11886,note_on,,76,0,1,,,,,,,,,,,,76,0,0,,
11917,note_on,,31,0,1,,,,,,,,,,,,69,0,0,,
12244,note_on,,327,0,1,,,,,,,,,,,,76,59,0,,
12244,note_on,,0,0,1,,,,,,,,,,,,68,35,0,,
12251,note_on,,7,0,1,,,,,,,,,,,,57,35,0,,
12255,note_on,,4,0,1,,,,,,,,,,,,59,36,0,,
12323,control_change,,68,0,1,,,,,,,,,,,,,,0,64,0
12526,control_change,,203,0,1,,,,,,,,,,,,,,0,64,127
12722,note_on,,196,0,1,,,,,,,,,,,,71,46,0,,
12727,note_on,,5,0,1,,,,,,,,,,,,76,0,0,,
12727,note_on,,0,0,1,,,,,,,,,,,,68,0,0,,
12732,note_on,,5,0,1,,,,,,,,,,,,62,42,0,,
12761,note_on,,29,0,1,,,,,,,,,,,,71,0,0,,
12792,note_on,,31,0,1,,,,,,,,,,,,59,0,0,,
12828,note_on,,36,0,1,,,,,,,,,,,,62,0,0,,
12937,note_on,,109,0,1,,,,,,,,,,,,57,0,0,,
13197,note_on,,260,0,1,,,,,,,,,,,,68,45,0,,
13197,note_on,,0,0,1,,,,,,,,,,,,59,49,0,,
13199,note_on,,2,0,1,,,,,,,,,,,,76,64,0,,
13201,note_on,,2,0,1,,,,,,,,,,,,57,42,0,,
13245,control_change,,44,0,1,,,,,,,,,,,,,,0,64,0
13411,control_change,,166,0,1,,,,,,,,,,,,,,0,64,127
13435,note_on,,24,0,1,,,,,,,,,,,,76,0,0,,
13447,note_on,,12,0,1,,,,,,,,,,,,68,0,0,,
13681,note_on,,234,0,1,,,,,,,,,,,,76,71,0,,
13681,note_on,,0,0,1,,,,,,,,,,,,62,43,0,,
13701,note_on,,20,0,1,,,,,,,,,,,,71,31,0,,
13718,control_change,,17,0,1,,,,,,,,,,,,,,0,64,0
13846,note_on,,128,0,1,,,,,,,,,,,,76,0,0,,
13846,control_change,,0,0,1,,,,,,,,,,,,,,0,64,127
13867,note_on,,21,0,1,,,,,,,,,,,,71,0,0,,
13888,note_on,,21,0,1,,,,,,,,,,,,59,0,0,,
13893,note_on,,5,0,1,,,,,,,,,,,,57,0,0,,
13933,note_on,,40,0,1,,,,,,,,,,,,62,0,0,,
14230,note_on,,297,0,1,,,,,,,,,,,,69,45,0,,
14241,note_on,,11,0,1,,,,,,,,,,,,61,32,0,,
14259,note_on,,18,0,1,,,,,,,,,,,,57,25,0,,
14281,control_change,,22,0,1,,,,,,,,,,,,,,0,64,0
14461,control_change,,180,0,1,,,,,,,,,,,,,,0,64,127
14643,note_on,,182,0,1,,,,,,,,,,,,69,0,0,,
14643,note_on,,0,0,1,,,,,,,,,,,,57,0,0,,
14712,note_on,,69,0,1,,,,,,,,,,,,61,0,0,,
15151,control_change,,439,0,1,,,,,,,,,,,,,,0,64,0
15976,note_on,,825,0,1,,,,,,,,,,,,64,42,0,,
16304,control_change,,328,0,1,,,,,,,,,,,,,,0,64,127
16571,note_on,,267,0,1,,,,,,,,,,,,76,57,0,,
16579,note_on,,8,0,1,,,,,,,,,,,,57,33,0,,
16583,note_on,,4,0,1,,,,,,,,,,,,64,0,0,,
16583,note_on,,0,0,1,,,,,,,,,,,,61,34,0,,
16609,note_on,,26,0,1,,,,,,,,,,,,69,31,0,,
16664,control_change,,55,0,1,,,,,,,,,,,,,,0,64,0
16817,control_change,,153,0,1,,,,,,,,,,,,,,0,64,127
16884,note_on,,67,0,1,,,,,,,,,,,,76,0,0,,
16968,note_on,,84,0,1,,,,,,,,,,,,69,0,0,,
17302,note_on,,334,0,1,,,,,,,,,,,,68,59,0,,
17311,note_on,,9,0,1,,,,,,,,,,,,59,47,0,,
17329,note_on,,18,0,1,,,,,,,,,,,,61,0,0,,
17458,note_on,,129,0,1,,,,,,,,,,,,68,0,0,,
17550,note_on,,92,0,1,,,,,,,,,,,,59,0,0,,
17554,note_on,,4,0,1,,,,,,,,,,,,61,57,0,,
17574,note_on,,20,0,1,,,,,,,,,,,,69,54,0,,
17576,note_on,,2,0,1,,,,,,,,,,,,76,67,0,,
17622,control_change,,46,0,1,,,,,,,,,,,,,,0,64,0
17802,control_change,,180,0,1,,,,,,,,,,,,,,0,64,127
17826,note_on,,24,0,1,,,,,,,,,,,,76,0,0,,
18012,note_on,,186,0,1,,,,,,,,,,,,76,88,0,,
18014,note_on,,2,0,1,,,,,,,,,,,,73,72,0,,
18017,note_on,,3,0,1,,,,,,,,,,,,64,67,0,,
18053,note_on,,36,0,1,,,,,,,,,,,,69,0,0,,
18174,note_on,,121,0,1,,,,,,,,,,,,57,0,0,,
18179,note_on,,5,0,1,,,,,,,,,,,,76,0,0,,
18193,note_on,,14,0,1,,,,,,,,,,,,73,0,0,,
18213,note_on,,20,0,1,,,,,,,,,,,,61,0,0,,
18242,note_on,,29,0,1,,,,,,,,,,,,64,0,0,,
18431,note_on,,189,0,1,,,,,,,,,,,,71,59,0,,
18442,control_change,,11,0,1,,,,,,,,,,,,,,0,64,0
18462,note_on,,20,0,1,,,,,,,,,,,,62,64,0,,
18462,note_on,,0,0,1,,,,,,,,,,,,57,65,0,,
18498,note_on,,36,0,1,,,,,,,,,,,,76,87,0,,
18560,note_on,,62,0,1,,,,,,,,,,,,71,0,0,,
18566,note_on,,6,0,1,,,,,,,,,,,,78,87,0,,
18571,control_change,,5,0,1,,,,,,,,,,,,,,0,64,127
18586,note_on,,15,0,1,,,,,,,,,,,,76,0,0,,
18642,note_on,,56,0,1,,,,,,,,,,,,76,80,0,,
18646,note_on,,4,0,1,,,,,,,,,,,,78,0,0,,
18679,note_on,,33,0,1,,,,,,,,,,,,76,0,0,,
18693,note_on,,14,0,1,,,,,,,,,,,,78,97,0,,
18749,note_on,,56,0,1,,,,,,,,,,,,76,93,0,,
18782,note_on,,33,0,1,,,,,,,,,,,,78,0,0,,
18824,note_on,,42,0,1,,,,,,,,,,,,76,0,0,,
18826,note_on,,2,0,1,,,,,,,,,,,,75,85,0,,
18878,note_on,,52,0,1,,,,,,,,,,,,76,107,0,,
18922,note_on,,44,0,1,,,,,,,,,,,,75,0,0,,
18968,note_on,,46,0,1,,,,,,,,,,,,78,98,0,,
19079,note_on,,111,0,1,,,,,,,,,,,,76,0,0,,
19189,note_on,,110,0,1,,,,,,,,,,,,80,98,0,,
19239,note_on,,50,0,1,,,,,,,,,,,,78,0,0,,
19447,note_on,,208,0,1,,,,,,,,,,,,80,0,0,,
19451,note_on,,4,0,1,,,,,,,,,,,,61,48,0,,
19451,note_on,,0,0,1,,,,,,,,,,,,81,83,0,,
19480,note_on,,29,0,1,,,,,,,,,,,,69,56,0,,
19486,note_on,,6,0,1,,,,,,,,,,,,62,0,0,,
19570,control_change,,84,0,1,,,,,,,,,,,,,,0,64,0
19825,control_change,,255,0,1,,,,,,,,,,,,,,0,64,127
19891,note_on,,66,0,1,,,,,,,,,,,,57,0,0,,
20017,note_on,,126,0,1,,,,,,,,,,,,81,0,0,,
20023,note_on,,6,0,1,,,,,,,,,,,,76,63,0,,
20157,note_on,,134,0,1,,,,,,,,,,,,69,0,0,,
20184,note_on,,27,0,1,,,,,,,,,,,,76,0,0,,
20257,note_on,,73,0,1,,,,,,,,,,,,61,0,0,,
20531,note_on,,274,0,1,,,,,,,,,,,,76,57,0,,
20542,note_on,,11,0,1,,,,,,,,,,,,59,43,0,,
20542,note_on,,0,0,1,,,,,,,,,,,,68,34,0,,
20548,note_on,,6,0,1,,,,,,,,,,,,57,36,0,,
20620,control_change,,72,0,1,,,,,,,,,,,,,,0,64,0
20836,control_change,,216,0,1,,,,,,,,,,,,,,0,64,127
21005,note_on,,169,0,1,,,,,,,,,,,,71,58,0,,
21021,note_on,,16,0,1,,,,,,,,,,,,76,0,0,,
21021,note_on,,0,0,1,,,,,,,,,,,,62,45,0,,
21041,note_on,,20,0,1,,,,,,,,,,,,68,0,0,,
21101,note_on,,60,0,1,,,,,,,,,,,,71,0,0,,
21130,note_on,,29,0,1,,,,,,,,,,,,59,0,0,,
21222,note_on,,92,0,1,,,,,,,,,,,,62,0,0,,
21240,note_on,,18,0,1,,,,,,,,,,,,57,0,0,,
21466,note_on,,226,0,1,,,,,,,,,,,,68,53,0,,
21469,note_on,,3,0,1,,,,,,,,,,,,76,69,0,,
21481,note_on,,12,0,1,,,,,,,,,,,,57,44,0,,
21485,note_on,,4,0,1,,,,,,,,,,,,59,35,0,,
21517,control_change,,32,0,1,,,,,,,,,,,,,,0,64,0
21707,control_change,,190,0,1,,,,,,,,,,,,,,0,64,127
21723,note_on,,16,0,1,,,,,,,,,,,,76,0,0,,
21758,note_on,,35,0,1,,,,,,,,,,,,68,0,0,,
21926,note_on,,168,0,1,,,,,,,,,,,,76,87,0,,
21934,note_on,,8,0,1,,,,,,,,,,,,62,50,0,,
21938,note_on,,4,0,1,,,,,,,,,,,,71,50,0,,
21981,note_on,,43,0,1,,,,,,,,,,,,71,0,0,,
22029,note_on,,48,0,1,,,,,,,,,,,,59,0,0,,
22043,note_on,,14,0,1,,,,,,,,,,,,76,0,0,,
22086,note_on,,43,0,1,,,,,,,,,,,,57,0,0,,
22242,note_on,,156,0,1,,,,,,,,,,,,62,0,0,,
22374,note_on,,132,0,1,,,,,,,,,,,,69,58,0,,
22395,note_on,,21,0,1,,,,,,,,,,,,61,47,0,,
22395,note_on,,0,0,1,,,,,,,,,,,,76,72,0,,
22402,note_on,,7,0,1,,,,,,,,,,,,57,47,0,,
22426,control_change,,24,0,1,,,,,,,,,,,,,,0,64,0
22613,note_on,,187,0,1,,,,,,,,,,,,75,83,0,,
22702,note_on,,89,0,1,,,,,,,,,,,,76,0,0,,
22833,note_on,,131,0,1,,,,,,,,,,,,76,98,0,,
22861,note_on,,28,0,1,,,,,,,,,,,,69,0,0,,
22920,note_on,,59,0,1,,,,,,,,,,,,75,0,0,,
23016,note_on,,96,0,1,,,,,,,,,,,,57,0,0,,
23043,note_on,,27,0,1,,,,,,,,,,,,78,82,0,,
23077,note_on,,34,0,1,,,,,,,,,,,,61,0,0,,
23089,note_on,,12,0,1,,,,,,,,,,,,76,0,0,,
23266,note_on,,177,0,1,,,,,,,,,,,,76,83,0,,
23326,note_on,,60,0,1,,,,,,,,,,,,78,0,0,,
23472,note_on,,146,0,1,,,,,,,,,,,,66,59,0,,
23482,note_on,,10,0,1,,,,,,,,,,,,76,0,0,,
23482,note_on,,0,0,1,,,,,,,,,,,,74,80,0,,
23681,note_on,,199,0,1,,,,,,,,,,,,73,77,0,,
23698,note_on,,17,0,1,,,,,,,,,,,,64,79,0,,
23702,note_on,,4,0,1,,,,,,,,,,,,66,0,0,,
23706,note_on,,4,0,1,,,,,,,,,,,,74,0,0,,
23902,note_on,,196,0,1,,,,,,,,,,,,71,81,0,,
23909,note_on,,7,0,1,,,,,,,,,,,,62,76,0,,
23968,note_on,,59,0,1,,,,,,,,,,,,73,0,0,,
23972,note_on,,4,0,1,,,,,,,,,,,,64,0,0,,
24179,note_on,,207,0,1,,,,,,,,,,,,61,50,0,,
24187,note_on,,8,0,1,,,,,,,,,,,,76,68,0,,
24191,note_on,,4,0,1,,,,,,,,,,,,69,57,0,,
24193,note_on,,2,0,1,,,,,,,,,,,,57,42,0,,
24201,note_on,,8,0,1,,,,,,,,,,,,71,0,0,,
24222,note_on,,21,0,1,,,,,,,,,,,,62,0,0,,
24473,control_change,,251,0,1,,,,,,,,,,,,,,0,64,127
24871,note_on,,398,0,1,,,,,,,,,,,,59,54,0,,
24871,note_on,,0,0,1,,,,,,,,,,,,68,72,0,,
24910,note_on,,39,0,1,,,,,,,,,,,,61,0,0,,
24934,note_on,,24,0,1,,,,,,,,,,,,76,0,0,,
24941,note_on,,7,0,1,,,,,,,,,,,,69,0,0,,
25029,note_on,,88,0,1,,,,,,,,,,,,68,0,0,,
25069,note_on,,40,0,1,,,,,,,,,,,,59,0,0,,
25139,note_on,,70,0,1,,,,,,,,,,,,76,80,0,,
25141,note_on,,2,0,1,,,,,,,,,,,,61,49,0,,
25151,note_on,,10,0,1,,,,,,,,,,,,69,67,0,,
25191,control_change,,40,0,1,,,,,,,,,,,,,,0,64,0
25370,control_change,,179,0,1,,,,,,,,,,,,,,0,64,127
25426,note_on,,56,0,1,,,,,,,,,,,,76,0,0,,
25607,note_on,,181,0,1,,,,,,,,,,,,76,91,0,,
25609,note_on,,2,0,1,,,,,,,,,,,,64,73,0,,
25609,note_on,,0,0,1,,,,,,,,,,,,73,74,0,,
25613,control_change,,4,0,1,,,,,,,,,,,,,,0,64,0
25645,note_on,,32,0,1,,,,,,,,,,,,69,0,0,,
25753,control_change,,108,0,1,,,,,,,,,,,,,,0,64,127
25821,note_on,,68,0,1,,,,,,,,,,,,76,0,0,,
25832,note_on,,11,0,1,,,,,,,,,,,,73,0,0,,
25838,note_on,,6,0,1,,,,,,,,,,,,57,0,0,,
25854,note_on,,16,0,1,,,,,,,,,,,,61,0,0,,
25908,note_on,,54,0,1,,,,,,,,,,,,64,0,0,,
26053,note_on,,145,0,1,,,,,,,,,,,,71,70,0,,
26074,control_change,,21,0,1,,,,,,,,,,,,,,0,64,0
26078,note_on,,4,0,1,,,,,,,,,,,,62,75,0,,
26078,note_on,,0,0,1,,,,,,,,,,,,57,76,0,,
26102,note_on,,24,0,1,,,,,,,,,,,,76,91,0,,
26148,note_on,,46,0,1,,,,,,,,,,,,71,0,0,,
26176,note_on,,28,0,1,,,,,,,,,,,,78,90,0,,
26197,note_on,,21,0,1,,,,,,,,,,,,76,0,0,,
26202,control_change,,5,0,1,,,,,,,,,,,,,,0,64,127
26234,note_on,,32,0,1,,,,,,,,,,,,76,69,0,,
26256,note_on,,22,0,1,,,,,,,,,,,,78,0,0,,
26282,note_on,,26,0,1,,,,,,,,,,,,76,0,0,,
26307,note_on,,25,0,1,,,,,,,,,,,,78,90,0,,
26352,note_on,,45,0,1,,,,,,,,,,,,76,98,0,,
26399,note_on,,47,0,1,,,,,,,,,,,,78,0,0,,
26434,note_on,,35,0,1,,,,,,,,,,,,75,89,0,,
26444,note_on,,10,0,1,,,,,,,,,,,,76,0,0,,
26485,note_on,,41,0,1,,,,,,,,,,,,76,96,0,,
26529,note_on,,44,0,1,,,,,,,,,,,,75,0,0,,
26567,note_on,,38,0,1,,,,,,,,,,,,78,99,0,,
26645,note_on,,78,0,1,,,,,,,,,,,,76,0,0,,
26785,note_on,,140,0,1,,,,,,,,,,,,80,101,0,,
26838,note_on,,53,0,1,,,,,,,,,,,,78,0,0,,
26969,note_on,,131,0,1,,,,,,,,,,,,80,0,0,,
27046,note_on,,77,0,1,,,,,,,,,,,,81,80,0,,
27059,note_on,,13,0,1,,,,,,,,,,,,61,46,0,,
27066,note_on,,7,0,1,,,,,,,,,,,,69,59,0,,
27103,note_on,,37,0,1,,,,,,,,,,,,62,0,0,,
27137,control_change,,34,0,1,,,,,,,,,,,,,,0,64,0
