tick,type,tempo,time,meta,track,program,channel,note,velocity,control,value
41026,note_off,,0,0,1,,0,81,64,,
41026,note_off,,0,0,1,,0,86,64,,
41040,note_on,,14,0,1,,0,54,116,,
41040,note_on,,0,0,1,,0,66,116,,
41040,note_on,,0,0,1,,0,57,116,,
41040,note_on,,0,0,1,,0,74,116,,
41040,note_on,,0,0,1,,0,69,116,,
41040,note_on,,0,0,1,,0,62,116,,
41746,note_off,,706,0,1,,0,74,64,,
41746,note_off,,0,0,1,,0,69,64,,
41746,note_off,,0,0,1,,0,66,64,,
41746,note_off,,0,0,1,,0,57,64,,
41746,note_off,,0,0,1,,0,54,64,,
41746,note_off,,0,0,1,,0,62,64,,
41760,note_on,,14,0,1,,0,42,116,,
41760,note_on,,0,0,1,,0,45,116,,
41760,note_on,,0,0,1,,0,50,116,,
42466,note_off,,706,0,1,,0,50,64,,
42466,note_off,,0,0,1,,0,42,64,,
42466,note_off,,0,0,1,,0,45,64,,
42480,note_on,,14,0,1,,0,30,116,,
42480,note_on,,0,0,1,,0,38,116,,
42480,note_on,,0,0,1,,0,33,116,,
43186,note_off,,706,0,1,,0,38,64,,
43186,note_off,,0,0,1,,0,30,64,,
43186,note_off,,0,0,1,,0,33,64,,
43200,note_on,,0,0,1,,0,57,72,,
43200,note_on,,0,0,1,,0,54,72,,
43200,note_on,,0,0,1,,0,81,72,,
43200,note_on,,0,0,1,,0,60,72,,
43200,control_change,,14,0,1,,0,,,64,0
43200,note_on,,0,0,1,,0,63,72,,
43318,note_off,,0,0,1,,0,63,64,,
43318,note_off,,0,0,1,,0,57,64,,
43318,note_off,,118,0,1,,0,60,64,,
43318,note_off,,0,0,1,,0,81,64,,
43318,note_off,,0,0,1,,0,54,64,,
43320,note_on,,2,0,1,,0,78,72,,
43438,note_off,,118,0,1,,0,78,64,,
43440,note_on,,0,0,1,,0,54,72,,
43440,note_on,,0,0,1,,0,63,72,,
43440,note_on,,0,0,1,,0,60,72,,
43440,note_on,,2,0,1,,0,57,72,,
43440,note_on,,0,0,1,,0,75,72,,
43558,note_off,,118,0,1,,0,75,64,,
43558,note_off,,0,0,1,,0,54,64,,
43558,note_off,,0,0,1,,0,63,64,,
43558,note_off,,0,0,1,,0,60,64,,
43558,note_off,,0,0,1,,0,57,64,,
43920,note_on,,362,0,1,,0,83,72,,
43920,note_on,,0,0,1,,0,64,72,,
43920,note_on,,0,0,1,,0,59,72,,
43920,note_on,,0,0,1,,0,55,72,,
44038,note_off,,118,0,1,,0,55,64,,
44038,note_off,,0,0,1,,0,64,64,,
44038,note_off,,0,0,1,,0,83,64,,
44038,note_off,,0,0,1,,0,59,64,,
44040,note_on,,2,0,1,,0,79,72,,
44158,note_off,,118,0,1,,0,79,64,,
44160,note_on,,0,0,1,,0,55,72,,
44160,note_on,,2,0,1,,0,76,72,,
44160,note_on,,0,0,1,,0,64,72,,
44160,note_on,,0,0,1,,0,59,72,,
44278,note_off,,0,0,1,,0,76,64,,
44278,note_off,,0,0,1,,0,64,64,,
44278,note_off,,118,0,1,,0,55,64,,
44278,note_off,,0,0,1,,0,59,64,,
44640,note_on,,0,0,1,,0,67,72,,
44640,note_on,,362,0,1,,0,64,72,,
44640,note_on,,0,0,1,,0,81,72,,
44640,note_on,,0,0,1,,0,57,72,,
44758,note_off,,118,0,1,,0,81,64,,
44758,note_off,,0,0,1,,0,57,64,,
44758,note_off,,0,0,1,,0,67,64,,
44758,note_off,,0,0,1,,0,64,64,,
44760,note_on,,2,0,1,,0,76,72,,
44878,note_off,,118,0,1,,0,76,64,,
44880,note_on,,2,0,1,,0,67,72,,
44880,note_on,,0,0,1,,0,57,72,,
44880,note_on,,0,0,1,,0,64,72,,
44880,note_on,,0,0,1,,0,73,72,,
44998,note_off,,118,0,1,,0,73,64,,
44998,note_off,,0,0,1,,0,64,64,,
44998,note_off,,0,0,1,,0,57,64,,
44998,note_off,,0,0,1,,0,67,64,,
45360,note_on,,0,0,1,,0,62,72,,
45360,note_on,,362,0,1,,0,74,72,,
45360,note_on,,0,0,1,,0,66,72,,
45478,note_off,,0,0,1,,0,66,64,,
45478,note_off,,118,0,1,,0,62,64,,
45478,note_off,,0,0,1,,0,74,64,,
45480,note_on,,2,0,1,,0,69,72,,
45598,note_off,,118,0,1,,0,69,64,,
45600,note_on,,2,0,1,,0,62,74,,
45600,note_on,,0,0,1,,0,66,74,,
45718,note_off,,118,0,1,,0,66,64,,
45718,note_off,,0,0,1,,0,62,64,,
46080,note_on,,362,0,1,,0,52,83,,
46080,note_on,,0,0,1,,0,55,83,,
46080,note_on,,0,0,1,,0,45,83,,
46080,note_on,,0,0,1,,0,69,83,,
46198,note_off,,118,0,1,,0,69,64,,
46198,note_off,,0,0,1,,0,45,64,,
46198,note_off,,0,0,1,,0,52,64,,
46198,note_off,,0,0,1,,0,55,64,,
46200,note_on,,2,0,1,,0,64,86,,
46318,note_off,,118,0,1,,0,64,64,,
46320,note_on,,0,0,1,,0,61,88,,
46320,note_on,,0,0,1,,0,52,88,,
46320,note_on,,0,0,1,,0,45,88,,
46320,note_on,,2,0,1,,0,55,88,,
46438,note_off,,0,0,1,,0,55,64,,
46438,note_off,,0,0,1,,0,45,64,,
46438,note_off,,0,0,1,,0,52,64,,
46438,note_off,,118,0,1,,0,61,64,,
46800,note_on,,0,0,1,,0,50,97,,
46800,note_on,,362,0,1,,0,62,97,,
46800,note_on,,0,0,1,,0,54,97,,
46918,note_off,,118,0,1,,0,50,64,,
46918,note_off,,0,0,1,,0,54,64,,
46918,note_off,,0,0,1,,0,62,64,,
46920,note_on,,2,0,1,,0,57,100,,
47038,note_off,,118,0,1,,0,57,64,,
47040,note_on,,2,0,1,,0,50,102,,
47040,note_on,,0,0,1,,0,54,102,,
47158,note_off,,118,0,1,,0,54,64,,
47158,note_off,,0,0,1,,0,50,64,,
47520,note_on,,362,0,1,,0,57,110,,
47520,note_on,,0,0,1,,0,33,110,,
47520,note_on,,0,0,1,,0,43,110,,
47638,note_off,,118,0,1,,0,33,64,,
47638,note_off,,0,0,1,,0,43,64,,
47638,note_off,,0,0,1,,0,57,64,,
47640,note_on,,2,0,1,,0,52,116,,
