tick,type,tempo,time,meta,track,program,channel,note,velocity,control,value
20160,note_on,,0,0,1,,0,64,81,,
20160,note_on,,0,0,1,,0,76,81,,
20278,note_off,,0,0,1,,0,49,64,,
20278,note_off,,118,0,1,,0,76,64,,
20278,note_off,,0,0,1,,0,64,64,,
20278,note_off,,0,0,1,,0,57,64,,
20278,note_off,,0,0,1,,0,52,64,,
20280,note_on,,2,0,1,,0,73,81,,
20398,note_off,,118,0,1,,0,73,64,,
20400,note_on,,2,0,1,,0,52,81,,
20400,note_on,,0,0,1,,0,57,81,,
20400,note_on,,0,0,1,,0,49,81,,
20400,note_on,,0,0,1,,0,64,81,,
20400,note_on,,0,0,1,,0,69,81,,
20518,note_off,,118,0,1,,0,69,64,,
20518,note_off,,0,0,1,,0,64,64,,
20518,note_off,,0,0,1,,0,49,64,,
20518,note_off,,0,0,1,,0,57,64,,
20518,note_off,,0,0,1,,0,52,64,,
20880,note_on,,362,0,1,,0,50,81,,
20880,note_on,,0,0,1,,0,66,81,,
20880,note_on,,0,0,1,,0,78,81,,
20880,note_on,,0,0,1,,0,54,81,,
20880,note_on,,0,0,1,,0,59,81,,
20998,note_off,,118,0,1,,0,78,64,,
20998,note_off,,0,0,1,,0,59,64,,
20998,note_off,,0,0,1,,0,54,64,,
20998,note_off,,0,0,1,,0,50,64,,
20998,note_off,,0,0,1,,0,66,64,,
21000,note_on,,2,0,1,,0,74,81,,
21118,note_off,,118,0,1,,0,74,64,,
21120,note_on,,2,0,1,,0,54,81,,
21120,note_on,,0,0,1,,0,59,81,,
21120,note_on,,0,0,1,,0,50,81,,
21120,note_on,,0,0,1,,0,71,81,,
21120,note_on,,0,0,1,,0,66,81,,
21238,note_off,,118,0,1,,0,71,64,,
21238,note_off,,0,0,1,,0,66,64,,
21238,note_off,,0,0,1,,0,50,64,,
21238,note_off,,0,0,1,,0,59,64,,
21238,note_off,,0,0,1,,0,54,64,,
21600,note_on,,0,0,1,,0,59,81,,
21600,note_on,,362,0,1,,0,52,81,,
21600,note_on,,0,0,1,,0,62,81,,
21600,note_on,,0,0,1,,0,74,81,,
21718,note_off,,118,0,1,,0,74,64,,
21718,note_off,,0,0,1,,0,62,64,,
21718,note_off,,0,0,1,,0,59,64,,
21718,note_off,,0,0,1,,0,52,64,,
21720,note_on,,2,0,1,,0,71,81,,
21838,note_off,,118,0,1,,0,71,64,,
21840,note_on,,0,0,1,,0,52,81,,
21840,note_on,,0,0,1,,0,62,81,,
21840,note_on,,0,0,1,,0,68,81,,
21840,note_on,,2,0,1,,0,59,81,,
21958,note_off,,0,0,1,,0,59,64,,
21958,note_off,,0,0,1,,0,62,64,,
21958,note_off,,118,0,1,,0,68,64,,
21958,note_off,,0,0,1,,0,52,64,,
22320,note_on,,362,0,1,,0,45,81,,
22320,note_on,,0,0,1,,0,69,81,,
22320,note_on,,0,0,1,,0,57,81,,
22320,note_on,,0,0,1,,0,61,81,,
22438,note_off,,118,0,1,,0,57,64,,
22438,note_off,,0,0,1,,0,61,64,,
22438,note_off,,0,0,1,,0,69,64,,
22438,note_off,,0,0,1,,0,45,64,,
22560,note_on,,0,0,1,,0,69,81,,
22560,note_on,,122,0,1,,0,45,81,,
22560,note_on,,0,0,1,,0,57,81,,
22560,note_on,,0,0,1,,0,61,81,,
22678,note_off,,118,0,1,,0,69,64,,
22678,note_off,,0,0,1,,0,61,64,,
22678,note_off,,0,0,1,,0,57,64,,
22678,note_off,,0,0,1,,0,45,64,,
23040,set_tempo,214286,23040,1,0,,,,,,
23040,control_change,,362,0,1,,0,,,64,127
23040,note_on,,0,0,1,,0,66,58,,
23280,note_on,,0,0,1,,0,72,58,,
23280,note_on,,240,0,1,,0,74,58,,
23280,note_on,,0,0,1,,0,69,58,,
23515,note_off,,235,0,1,,0,69,64,,
23515,note_off,,0,0,1,,0,72,64,,
23515,note_off,,0,0,1,,0,74,64,,
23520,note_on,,5,0,1,,0,72,58,,
23520,note_on,,0,0,1,,0,74,58,,
23520,note_on,,0,0,1,,0,69,58,,
23746,note_off,,226,0,1,,0,66,64,,
23755,note_off,,0,0,1,,0,72,64,,
23755,note_off,,9,0,1,,0,69,64,,
23755,note_off,,0,0,1,,0,74,64,,
23760,note_on,,5,0,1,,0,54,58,,
24000,note_on,,0,0,1,,0,72,58,,
24000,note_on,,240,0,1,,0,74,58,,
24000,note_on,,0,0,1,,0,69,58,,
24235,note_off,,235,0,1,,0,69,64,,
24235,note_off,,0,0,1,,0,72,64,,
24235,note_off,,0,0,1,,0,74,64,,
24240,note_on,,0,0,1,,0,69,58,,
24240,note_on,,5,0,1,,0,72,58,,
24240,note_on,,0,0,1,,0,74,58,,
24466,note_off,,226,0,1,,0,54,64,,
24475,note_off,,9,0,1,,0,69,64,,
24475,note_off,,0,0,1,,0,74,64,,
24475,note_off,,0,0,1,,0,72,64,,
24480,control_change,,5,0,1,,0,,,64,0
24480,note_on,,0,0,1,,0,42,58,,
24720,note_on,,240,0,1,,0,74,58,,
24720,note_on,,0,0,1,,0,70,58,,
24720,set_tempo,204778,1680,1,0,,,,,,
24838,note_off,,118,0,1,,0,70,64,,
24838,note_off,,0,0,1,,0,74,64,,
24960,note_on,,122,0,1,,0,70,58,,
24960,note_on,,0,0,1,,0,74,58,,
24960,set_tempo,195440,240,1,0,,,,,,
25078,note_off,,118,0,1,,0,74,64,,
25078,note_off,,0,0,1,,0,70,64,,
25186,note_off,,108,0,1,,0,42,64,,
25200,set_tempo,187500,240,1,0,,,,,,
25200,note_on,,14,0,1,,0,43,58,,
25440,note_on,,0,0,1,,0,74,58,,
25440,note_on,,240,0,1,,0,71,58,,
25558,note_off,,118,0,1,,0,74,64,,
25558,note_off,,0,0,1,,0,71,64,,
25680,note_on,,122,0,1,,0,71,58,,
25680,note_on,,0,0,1,,0,74,58,,
25798,note_off,,118,0,1,,0,74,64,,
25798,note_off,,0,0,1,,0,71,64,,
25906,note_off,,108,0,1,,0,43,64,,
25920,control_change,,14,0,1,,0,,,64,127
25920,note_on,,0,0,1,,0,68,58,,
25920,set_tempo,193548,720,1,0,,,,,,
26160,note_on,,240,0,1,,0,76,58,,
26160,note_on,,0,0,1,,0,74,58,,
26160,note_on,,0,0,1,,0,71,58,,
26395,note_off,,235,0,1,,0,71,64,,
26395,note_off,,0,0,1,,0,74,64,,
26395,note_off,,0,0,1,,0,76,64,,
26400,note_on,,5,0,1,,0,74,58,,
26400,note_on,,0,0,1,,0,76,58,,
26400,note_on,,0,0,1,,0,71,58,,
26626,note_off,,226,0,1,,0,68,64,,
26635,note_off,,9,0,1,,0,71,64,,
26635,note_off,,0,0,1,,0,76,64,,
26635,note_off,,0,0,1,,0,74,64,,
26640,note_on,,5,0,1,,0,56,58,,
26880,note_on,,0,0,1,,0,74,58,,
26880,note_on,,0,0,1,,0,71,58,,
26880,note_on,,240,0,1,,0,76,58,,
27115,note_off,,235,0,1,,0,71,64,,
27115,note_off,,0,0,1,,0,74,64,,
27115,note_off,,0,0,1,,0,76,64,,
27120,note_on,,5,0,1,,0,74,58,,
27120,note_on,,0,0,1,,0,76,58,,
27120,note_on,,0,0,1,,0,71,58,,
27346,note_off,,226,0,1,,0,56,64,,
27355,note_off,,0,0,1,,0,76,64,,
27355,note_off,,9,0,1,,0,71,64,,
27355,note_off,,0,0,1,,0,74,64,,
27360,control_change,,5,0,1,,0,,,64,0
27360,note_on,,0,0,1,,0,44,58,,
27480,set_tempo,185759,1560,1,0,,,,,,
27600,note_on,,240,0,1,,0,76,61,,
27600,note_on,,0,0,1,,0,72,61,,
27718,note_off,,118,0,1,,0,72,64,,
27718,note_off,,0,0,1,,0,76,64,,
27720,set_tempo,178042,240,1,0,,,,,,
27840,note_on,,122,0,1,,0,72,64,,
27840,note_on,,0,0,1,,0,76,64,,
27958,note_off,,118,0,1,,0,76,64,,
27958,note_off,,0,0,1,,0,72,64,,
28066,note_off,,108,0,1,,0,44,64,,
28080,set_tempo,171429,360,1,0,,,,,,
28080,note_on,,14,0,1,,0,45,67,,
28320,note_on,,240,0,1,,0,73,71,,
28320,note_on,,0,0,1,,0,76,71,,
28438,note_off,,118,0,1,,0,76,64,,
28438,note_off,,0,0,1,,0,73,64,,
28560,note_on,,0,0,1,,0,76,74,,
28560,note_on,,122,0,1,,0,73,74,,
28678,note_off,,118,0,1,,0,76,64,,
28678,note_off,,0,0,1,,0,73,64,,
28786,note_off,,108,0,1,,0,45,64,,
28800,control_change,,14,0,1,,0,,,64,127
28800,note_on,,0,0,1,,0,70,77,,
29040,note_on,,240,0,1,,0,73,80,,
29040,note_on,,0,0,1,,0,76,80,,
29040,note_on,,0,0,1,,0,78,80,,
29275,note_off,,0,0,1,,0,76,64,,
29275,note_off,,0,0,1,,0,73,64,,
29275,note_off,,235,0,1,,0,78,64,,
29280,note_on,,5,0,1,,0,78,84,,
29280,note_on,,0,0,1,,0,76,84,,
29280,note_on,,0,0,1,,0,73,84,,
29506,note_off,,226,0,1,,0,70,64,,
29515,note_off,,0,0,1,,0,76,64,,
29515,note_off,,0,0,1,,0,78,64,,
29515,note_off,,9,0,1,,0,73,64,,
29520,note_on,,5,0,1,,0,58,87,,
29760,note_on,,240,0,1,,0,76,90,,
29760,note_on,,0,0,1,,0,78,90,,
29760,note_on,,0,0,1,,0,73,90,,
29995,note_off,,235,0,1,,0,73,64,,
29995,note_off,,0,0,1,,0,78,64,,
29995,note_off,,0,0,1,,0,76,64,,
30000,note_on,,5,0,1,,0,76,94,,
30000,note_on,,0,0,1,,0,78,94,,
30000,note_on,,0,0,1,,0,73,94,,
30226,note_off,,226,0,1,,0,58,64,,
30235,note_off,,9,0,1,,0,78,64,,
30235,note_off,,0,0,1,,0,73,64,,
30235,note_off,,0,0,1,,0,76,64,,
30240,note_on,,5,0,1,,0,46,96,,
30480,control_change,,240,0,1,,0,,,64,0
30480,note_on,,0,0,1,,0,73,96,,
30480,note_on,,0,0,1,,0,78,96,,
30715,note_off,,235,0,1,,0,78,64,,
30715,note_off,,0,0,1,,0,73,64,,
30720,note_on,,5,0,1,,0,73,104,,
30720,note_on,,0,0,1,,0,78,104,,
30946,note_off,,226,0,1,,0,46,64,,
30955,note_off,,9,0,1,,0,78,64,,
