tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel
0,time_signature,3,4,24,8,0,1,0,,,,
0,note_on,,,,,0,0,1,,65,64,0
0,note_on,,,,,0,0,2,,53,64,0
0,set_tempo,,,,,0,1,0,571429,,,
54,note_off,,,,,54,0,1,,65,64,0
120,note_on,,,,,66,0,1,,65,64,0
174,note_off,,,,,54,0,1,,65,64,0
192,note_off,,,,,192,0,2,,53,64,0
240,note_on,,,,,48,0,2,,57,64,0
240,note_on,,,,,66,0,1,,67,64,0
264,note_off,,,,,24,0,1,,67,64,0
270,note_on,,,,,6,0,1,,65,64,0
294,note_off,,,,,24,0,1,,65,64,0
300,note_on,,,,,6,0,1,,67,64,0
324,note_off,,,,,24,0,1,,67,64,0
330,note_on,,,,,6,0,1,,65,64,0
348,note_off,,,,,108,0,2,,57,64,0
354,note_off,,,,,24,0,1,,65,64,0
360,note_on,,,,,6,0,1,,67,64,0
384,note_off,,,,,24,0,1,,67,64,0
390,note_on,,,,,6,0,1,,65,64,0
414,note_off,,,,,24,0,1,,65,64,0
420,note_on,,,,,6,0,1,,67,64,0
444,note_off,,,,,24,0,1,,67,64,0
450,note_on,,,,,6,0,1,,65,64,0
474,note_off,,,,,24,0,1,,65,64,0
480,note_on,,,,,132,0,2,,53,64,0
480,note_on,,,,,6,0,1,,67,64,0
504,note_off,,,,,24,0,1,,67,64,0
510,note_on,,,,,6,0,1,,65,64,0
534,note_off,,,,,24,0,1,,65,64,0
540,note_on,,,,,6,0,1,,67,64,0
564,note_off,,,,,24,0,1,,67,64,0
570,note_on,,,,,6,0,1,,65,64,0
588,note_off,,,,,108,0,2,,53,64,0
594,note_off,,,,,24,0,1,,65,64,0
600,note_on,,,,,6,0,1,,64,64,0
648,note_off,,,,,48,0,1,,64,64,0
660,note_on,,,,,12,0,1,,65,64,0
708,note_off,,,,,48,0,1,,65,64,0
720,note_on,,,,,132,0,2,,52,64,0
720,note_on,,,,,12,0,1,,67,64,0
912,note_off,,,,,192,0,2,,52,64,0
960,note_on,,,,,48,0,2,,48,64,0
1008,note_off,,,,,288,0,1,,67,64,0
