tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
29565,note_on,8,0,9,,,,,,,,,12,,,,48,101
29565,note_on,2,0,5,,,,,,,,,4,,,,60,82
29566,control_change,3,0,6,,,,,,,,,5,11,88,,,
29567,control_change,2,0,9,,,,,,,,,12,11,90,,,
29568,note_on,2,0,6,,,,,,,,,5,,,,48,82
29569,control_change,19,0,4,,,,,,,,,3,11,84,,,
29570,note_on,8,0,10,,,,,,,,,13,,,,36,100
29572,control_change,2,0,10,,,,,,,,,13,11,90,,,
29572,note_on,8,0,11,,,,,,,,,14,,,,36,96
29574,control_change,2,0,11,,,,,,,,,14,11,90,,,
29577,control_change,19,0,1,,,,,,,,,0,11,84,,,
29578,control_change,19,0,2,,,,,,,,,1,11,84,,,
29580,note_on,18,0,7,,,,,,,,,10,,,,79,83
29580,set_tempo,60,1,0,,,,,,576923,,,,,,,,
29581,control_change,19,0,3,,,,,,,,,2,11,84,,,
29582,control_change,17,0,5,,,,,,,,,4,11,87,,,
29582,note_on,18,0,8,,,,,,,,,11,,,,67,82
29584,control_change,4,0,7,,,,,,,,,10,11,89,,,
29585,control_change,17,0,6,,,,,,,,,5,11,87,,,
29586,control_change,4,0,8,,,,,,,,,11,11,89,,,
29588,control_change,19,0,4,,,,,,,,,3,11,84,,,
29589,control_change,22,0,9,,,,,,,,,12,11,89,,,
29594,control_change,22,0,10,,,,,,,,,13,11,89,,,
29596,control_change,22,0,11,,,,,,,,,14,11,89,,,
29596,control_change,19,0,1,,,,,,,,,0,11,83,,,
29597,note_on,8,0,9,,,,,,,,,12,,,,48,0
29597,control_change,19,0,2,,,,,,,,,1,11,83,,,
29600,note_on,18,0,5,,,,,,,,,4,,,,60,0
29600,control_change,19,0,3,,,,,,,,,2,11,83,,,
29601,control_change,1,0,5,,,,,,,,,4,11,86,,,
29602,note_on,8,0,10,,,,,,,,,13,,,,36,0
29603,note_on,18,0,6,,,,,,,,,5,,,,48,0
29604,note_on,8,0,11,,,,,,,,,14,,,,36,0
29604,control_change,1,0,6,,,,,,,,,5,11,86,,,
29605,note_on,4,0,5,,,,,,,,,4,,,,60,82
29605,control_change,21,0,7,,,,,,,,,10,11,88,,,
29605,note_on,8,0,9,,,,,,,,,12,,,,48,101
29607,control_change,19,0,4,,,,,,,,,3,11,83,,,
29607,control_change,21,0,8,,,,,,,,,11,11,88,,,
29608,note_on,4,0,6,,,,,,,,,5,,,,48,82
29610,note_on,0,0,7,,,,,,,,,10,,,,77,83
29610,note_on,5,0,7,,,,,,,,,10,,,,79,0
29610,control_change,5,0,9,,,,,,,,,12,11,88,,,
29610,note_on,8,0,10,,,,,,,,,13,,,,36,100
29612,note_on,0,0,8,,,,,,,,,11,,,,65,82
29612,note_on,5,0,8,,,,,,,,,11,,,,67,0
29612,note_on,8,0,11,,,,,,,,,14,,,,36,96
