tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity,program
3456,note_off,,,,,96,0,2,,,,0,83,64,
3456,note_on,,,,,0,0,2,,,,0,84,80,
3456,note_off,,,,,96,0,1,,,,0,86,64,
3456,note_on,,,,,0,0,1,,,,0,88,92,
3552,note_on,,,,,0,0,1,,,,0,86,83,
3552,note_off,,,,,96,0,2,,,,0,84,64,
3552,note_on,,,,,0,0,2,,,,0,83,75,
3552,note_off,,,,,96,0,1,,,,0,88,64,
3648,note_off,,,,,96,0,2,,,,0,83,64,
3648,note_on,,,,,0,0,2,,,,0,84,76,
3648,note_off,,,,,96,0,1,,,,0,86,64,
3648,note_on,,,,,0,0,1,,,,0,88,84,
3744,note_off,,,,,96,0,1,,,,0,88,64,
3744,note_on,,,,,0,0,1,,,,0,89,85,
3744,set_tempo,,,,,3744,1,0,612644,,,,,,
3744,note_off,,,,,96,0,2,,,,0,84,64,
3744,note_on,,,,,0,0,2,,,,0,86,77,
3840,note_off,,,,,96,0,2,,,,0,86,64,
3840,note_on,,,,,0,0,2,,,,0,88,86,
3840,note_off,,,,,96,0,1,,,,0,89,64,
3840,note_on,,,,,0,0,1,,,,0,91,96,
3936,note_on,,,,,96,0,1,,,,0,90,87,
3936,note_on,,,,,96,0,2,,,,0,87,79,
3936,set_tempo,,,,,192,1,0,612644,,,,,,
3971,note_off,,,,,35,0,1,,,,0,91,64,
3971,note_off,,,,,35,0,2,,,,0,88,64,
4032,note_on,,,,,61,0,1,,,,0,91,88,
4032,note_on,,,,,61,0,2,,,,0,88,80,
4067,note_off,,,,,35,0,1,,,,0,90,64,
4067,note_off,,,,,35,0,2,,,,0,87,64,
4128,note_on,,,,,61,0,2,,,,0,87,81,
4128,note_on,,,,,61,0,1,,,,0,90,89,
4163,note_off,,,,,35,0,1,,,,0,91,64,
4163,note_off,,,,,35,0,2,,,,0,88,64,
4224,note_on,,,,,61,0,1,,,,0,91,98,
4224,note_on,,,,,61,0,2,,,,0,88,88,
4259,note_off,,,,,35,0,2,,,,0,87,64,
4259,note_off,,,,,35,0,1,,,,0,90,64,
4320,note_on,,,,,61,0,1,,,,0,90,91,
4320,note_on,,,,,61,0,2,,,,0,87,83,
4355,note_off,,,,,35,0,1,,,,0,91,64,
4355,note_off,,,,,35,0,2,,,,0,88,64,
4416,set_tempo,,,,,480,1,0,609844,,,,,,
4416,note_on,,,,,61,0,2,,,,0,88,84,
4416,note_on,,,,,61,0,1,,,,0,91,92,
4451,note_off,,,,,35,0,2,,,,0,87,64,
4451,note_off,,,,,35,0,1,,,,0,90,64,
4512,note_on,,,,,61,0,1,,,,0,90,93,
4512,set_tempo,,,,,96,1,0,609844,,,,,,
4512,note_on,,,,,61,0,2,,,,0,87,85,
4547,note_off,,,,,35,0,1,,,,0,91,64,
4547,note_off,,,,,35,0,2,,,,0,88,64,
4608,set_tempo,,,,,0,1,0,1114200,,,,,,
4608,note_on,,,,,61,0,1,,,,0,91,86,
4608,time_signature,5,4,24,8,96,1,0,,,,,,,
4608,note_on,,,,,61,0,2,,,,0,79,86,
4632,note_on,,,,,24,0,1,,,,0,93,92,
4632,note_on,,,,,24,0,2,,,,0,81,99,
4643,note_off,,,,,11,0,2,,,,0,87,64,
4643,note_off,,,,,11,0,1,,,,0,90,64,
4647,note_off,,,,,4,0,2,,,,0,79,64,
4647,note_off,,,,,4,0,1,,,,0,91,64,
4656,note_on,,,,,9,0,2,,,,0,79,84,
4656,note_on,,,,,9,0,1,,,,0,91,84,
4671,note_off,,,,,15,0,1,,,,0,93,64,
4671,note_off,,,,,15,0,2,,,,0,81,64,
4680,note_on,,,,,9,0,1,,,,0,93,90,
4680,note_on,,,,,9,0,2,,,,0,81,97,
4695,note_off,,,,,15,0,1,,,,0,91,64,
4695,note_off,,,,,15,0,2,,,,0,79,64,
4704,note_on,,,,,9,0,2,,,,0,79,82,
4704,set_tempo,,,,,96,1,0,1125678,,,,,,
4704,note_on,,,,,9,0,1,,,,0,91,82,
4719,note_off,,,,,15,0,2,,,,0,81,64,
4719,note_off,,,,,15,0,1,,,,0,93,64,
4728,note_on,,,,,9,0,1,,,,0,93,88,
4728,note_on,,,,,9,0,2,,,,0,81,88,
4743,note_off,,,,,15,0,2,,,,0,79,64,
4743,note_off,,,,,15,0,1,,,,0,91,64,
4752,note_on,,,,,9,0,2,,,,0,79,80,
4752,note_on,,,,,9,0,1,,,,0,91,80,
4767,note_off,,,,,15,0,1,,,,0,93,64,
4767,note_off,,,,,15,0,2,,,,0,81,64,
4776,note_on,,,,,9,0,2,,,,0,81,86,
4776,note_on,,,,,9,0,1,,,,0,93,86,
4791,note_off,,,,,15,0,1,,,,0,91,64,
4791,note_off,,,,,15,0,2,,,,0,79,64,
4800,set_tempo,,,,,96,1,0,1137198,,,,,,
4800,note_on,,,,,9,0,1,,,,0,91,78,
4800,note_on,,,,,9,0,2,,,,0,79,78,
4815,note_off,,,,,15,0,1,,,,0,93,64,
4815,note_off,,,,,15,0,2,,,,0,81,64,
4824,note_on,,,,,9,0,1,,,,0,93,84,
4824,note_on,,,,,9,0,2,,,,0,81,84,
4839,note_off,,,,,15,0,1,,,,0,91,64,
4839,note_off,,,,,15,0,2,,,,0,79,64,
4848,note_on,,,,,9,0,1,,,,0,91,76,
4848,note_on,,,,,9,0,2,,,,0,79,76,
4863,note_off,,,,,15,0,1,,,,0,93,64,
4863,note_off,,,,,15,0,2,,,,0,81,64,
4872,note_on,,,,,9,0,1,,,,0,93,82,
4872,note_on,,,,,9,0,2,,,,0,81,82,
4887,note_off,,,,,15,0,1,,,,0,91,64,
4887,note_off,,,,,15,0,2,,,,0,79,64,
4896,set_tempo,,,,,96,1,0,1149166,,,,,,
4896,note_on,,,,,9,0,2,,,,0,79,74,
4896,note_on,,,,,9,0,1,,,,0,91,74,
4911,note_off,,,,,15,0,2,,,,0,81,64,
4911,note_off,,,,,15,0,1,,,,0,93,64,
4920,note_on,,,,,9,0,2,,,,0,81,80,
4920,note_on,,,,,9,0,1,,,,0,93,80,
4935,note_off,,,,,15,0,2,,,,0,79,64,
4935,note_off,,,,,15,0,1,,,,0,91,64,
4944,note_on,,,,,9,0,1,,,,0,91,72,
4944,note_on,,,,,9,0,2,,,,0,79,72,
4959,note_off,,,,,15,0,1,,,,0,93,64,
4959,note_off,,,,,15,0,2,,,,0,81,64,
4968,note_on,,,,,9,0,2,,,,0,81,78,
4968,note_on,,,,,9,0,1,,,,0,93,78,
4983,note_off,,,,,15,0,2,,,,0,79,64,
4983,note_off,,,,,15,0,1,,,,0,91,64,
4992,note_on,,,,,9,0,2,,,,0,79,70,
4992,set_tempo,,,,,96,1,0,1161187,,,,,,
4992,note_on,,,,,9,0,1,,,,0,91,70,
5007,note_off,,,,,15,0,2,,,,0,81,64,
5007,note_off,,,,,15,0,1,,,,0,93,64,
5016,note_on,,,,,9,0,1,,,,0,93,76,
5016,note_on,,,,,9,0,2,,,,0,81,76,
5031,note_off,,,,,15,0,1,,,,0,91,64,
5031,note_off,,,,,15,0,2,,,,0,79,64,
5040,note_on,,,,,9,0,1,,,,0,91,68,
5040,note_on,,,,,9,0,2,,,,0,79,68,
5055,note_off,,,,,15,0,2,,,,0,81,64,
5055,note_off,,,,,15,0,1,,,,0,93,64,
5064,note_on,,,,,9,0,1,,,,0,93,74,
5064,note_on,,,,,9,0,2,,,,0,81,74,
5079,note_off,,,,,15,0,1,,,,0,91,64,
5079,note_off,,,,,15,0,2,,,,0,79,64,
5088,note_on,,,,,9,0,1,,,,0,91,66,
5088,note_on,,,,,9,0,2,,,,0,79,66,
5088,set_tempo,,,,,96,1,0,1173459,,,,,,
5103,note_off,,,,,15,0,2,,,,0,81,64,
5103,note_off,,,,,15,0,1,,,,0,93,64,
5112,note_on,,,,,9,0,2,,,,0,81,72,
5112,note_on,,,,,9,0,1,,,,0,93,72,
5127,note_off,,,,,15,0,2,,,,0,79,64,
5127,note_off,,,,,15,0,1,,,,0,91,64,
5136,note_on,,,,,9,0,2,,,,0,79,64,
5136,note_on,,,,,9,0,1,,,,0,91,64,
5151,note_off,,,,,15,0,1,,,,0,93,64,
5151,note_off,,,,,15,0,2,,,,0,81,64,
5160,note_on,,,,,9,0,2,,,,0,81,70,
5160,note_on,,,,,9,0,1,,,,0,93,70,
5175,note_off,,,,,15,0,2,,,,0,79,64,
5175,note_off,,,,,15,0,1,,,,0,91,64,
5184,note_on,,,,,9,0,2,,,,0,79,62,
5184,set_tempo,,,,,96,1,0,1186195,,,,,,
5184,note_on,,,,,9,0,1,,,,0,91,62,
5199,note_off,,,,,15,0,1,,,,0,93,64,
5199,note_off,,,,,15,0,2,,,,0,81,64,
5208,note_on,,,,,9,0,1,,,,0,93,68,
5208,note_on,,,,,9,0,2,,,,0,81,68,
5223,note_off,,,,,15,0,1,,,,0,91,64,
5223,note_off,,,,,15,0,2,,,,0,79,64,
5232,note_on,,,,,9,0,1,,,,0,91,60,
5232,note_on,,,,,9,0,2,,,,0,79,60,
5247,note_off,,,,,15,0,2,,,,0,81,64,
5247,note_off,,,,,15,0,1,,,,0,93,64,
5256,note_on,,,,,9,0,1,,,,0,93,66,
5256,note_on,,,,,9,0,2,,,,0,81,66,
5271,note_off,,,,,15,0,2,,,,0,79,64,
5271,note_off,,,,,15,0,1,,,,0,91,64,
5280,note_on,,,,,9,0,1,,,,0,91,58,
5280,set_tempo,,,,,96,1,0,1199029,,,,,,
5280,note_on,,,,,9,0,2,,,,0,79,58,
5295,note_off,,,,,15,0,2,,,,0,81,64,
5295,note_off,,,,,15,0,1,,,,0,93,64,
5304,note_on,,,,,9,0,2,,,,0,81,64,
5304,note_on,,,,,9,0,1,,,,0,93,64,
5319,note_off,,,,,15,0,2,,,,0,79,64,
5319,note_off,,,,,15,0,1,,,,0,91,64,
5328,note_on,,,,,9,0,2,,,,0,79,56,
5328,note_on,,,,,9,0,1,,,,0,91,56,
5343,note_off,,,,,15,0,2,,,,0,81,64,
5343,note_off,,,,,15,0,1,,,,0,93,64,
5352,note_on,,,,,9,0,2,,,,0,81,62,
5352,note_on,,,,,9,0,1,,,,0,93,62,
5367,note_off,,,,,15,0,1,,,,0,91,64,
5367,note_off,,,,,15,0,2,,,,0,79,64,
5376,set_tempo,,,,,96,1,0,1212120,,,,,,
5376,note_on,,,,,9,0,1,,,,0,91,48,
5376,note_on,,,,,9,0,2,,,,0,79,48,
5391,note_off,,,,,15,0,2,,,,0,81,64,
5391,note_off,,,,,15,0,1,,,,0,93,64,
5400,note_on,,,,,9,0,2,,,,0,81,54,
5400,note_on,,,,,9,0,1,,,,0,93,54,
5415,note_off,,,,,15,0,1,,,,0,91,64,
5415,note_off,,,,,15,0,2,,,,0,79,64,
5424,note_on,,,,,9,0,1,,,,0,91,46,
5424,note_on,,,,,9,0,2,,,,0,79,46,
5439,note_off,,,,,15,0,2,,,,0,81,64,
5439,note_off,,,,,15,0,1,,,,0,93,64,
5448,note_on,,,,,9,0,2,,,,0,81,52,
5448,note_on,,,,,9,0,1,,,,0,93,52,
5463,note_off,,,,,15,0,1,,,,0,91,64,
5463,note_off,,,,,15,0,2,,,,0,79,64,
5472,note_on,,,,,9,0,1,,,,0,91,44,
5472,note_on,,,,,9,0,2,,,,0,79,44,
5472,set_tempo,,,,,96,1,0,1225728,,,,,,
5487,note_off,,,,,15,0,2,,,,0,81,64,
5487,note_off,,,,,15,0,1,,,,0,93,64,
5496,note_on,,,,,9,0,1,,,,0,93,50,
5496,note_on,,,,,9,0,2,,,,0,81,50,
5511,note_off,,,,,15,0,1,,,,0,91,64,
5511,note_off,,,,,15,0,2,,,,0,79,64,
5520,note_on,,,,,9,0,1,,,,0,91,42,
5520,note_on,,,,,9,0,2,,,,0,79,42,
5535,note_off,,,,,15,0,1,,,,0,93,64,
5535,note_off,,,,,15,0,2,,,,0,81,64,
5544,note_on,,,,,9,0,1,,,,0,93,48,
5544,note_on,,,,,9,0,2,,,,0,81,48,
5559,note_off,,,,,15,0,1,,,,0,91,64,
5559,note_off,,,,,15,0,2,,,,0,79,64,
5568,set_tempo,,,,,96,1,0,1239398,,,,,,
5568,note_on,,,,,9,0,2,,,,0,79,40,
5568,note_on,,,,,9,0,1,,,,0,91,40,
5583,note_off,,,,,15,0,1,,,,0,93,64,
5583,note_off,,,,,15,0,2,,,,0,81,64,
5592,note_on,,,,,9,0,2,,,,0,81,46,
5592,note_on,,,,,9,0,1,,,,0,93,46,
5607,note_off,,,,,15,0,2,,,,0,79,64,
5607,note_off,,,,,15,0,1,,,,0,91,64,
5616,note_on,,,,,9,0,1,,,,0,91,38,
5616,note_on,,,,,9,0,2,,,,0,79,38,
5631,note_off,,,,,15,0,2,,,,0,81,64,
5631,note_off,,,,,15,0,1,,,,0,93,64,
5640,note_on,,,,,9,0,2,,,,0,81,44,
5640,note_on,,,,,9,0,1,,,,0,93,44,
5655,note_off,,,,,15,0,2,,,,0,79,64,
5655,note_off,,,,,15,0,1,,,,0,91,64,
5664,set_tempo,,,,,96,1,0,1253613,,,,,,
5664,note_on,,,,,9,0,1,,,,0,91,36,
5664,note_on,,,,,9,0,2,,,,0,79,36,
5679,note_off,,,,,15,0,1,,,,0,93,64,
5679,note_off,,,,,15,0,2,,,,0,81,64,
5688,note_on,,,,,9,0,2,,,,0,81,42,
5688,note_on,,,,,9,0,1,,,,0,93,42,
5703,note_off,,,,,15,0,2,,,,0,79,64,
5703,note_off,,,,,15,0,1,,,,0,91,64,
5712,note_on,,,,,9,0,2,,,,0,79,34,
5712,note_on,,,,,9,0,1,,,,0,91,34,
5727,note_off,,,,,15,0,2,,,,0,81,64,
5727,note_off,,,,,15,0,1,,,,0,93,64,
5736,note_on,,,,,9,0,1,,,,0,93,40,
5736,note_on,,,,,9,0,2,,,,0,81,40,
5751,note_off,,,,,15,0,1,,,,0,91,64,
5751,note_off,,,,,15,0,2,,,,0,79,64,
5760,note_on,,,,,9,0,1,,,,0,90,38,
5760,set_tempo,,,,,96,1,0,1267948,,,,,,
5760,note_on,,,,,9,0,2,,,,0,87,38,
5775,note_off,,,,,15,0,2,,,,0,81,64,
5775,note_off,,,,,15,0,1,,,,0,93,64,
5808,note_on,,,,,33,0,2,,,,0,86,38,
5808,note_on,,,,,33,0,1,,,,0,89,35,
5843,note_off,,,,,35,0,2,,,,0,87,64,
5843,note_off,,,,,35,0,1,,,,0,90,64,
5856,set_tempo,,,,,96,1,0,1282578,,,,,,
5856,note_on,,,,,13,0,1,,,,0,88,35,
5856,note_on,,,,,13,0,2,,,,0,85,38,
5891,note_off,,,,,35,0,1,,,,0,89,64,
5891,note_off,,,,,35,0,2,,,,0,86,64,
5904,note_on,,,,,13,0,1,,,,0,87,35,
5904,note_on,,,,,13,0,2,,,,0,84,38,
5939,note_off,,,,,35,0,2,,,,0,85,64,
5939,note_off,,,,,35,0,1,,,,0,88,64,
5952,note_on,,,,,13,0,2,,,,0,83,38,
5952,note_on,,,,,13,0,1,,,,0,86,35,
5987,note_off,,,,,35,0,2,,,,0,84,64,
5987,note_off,,,,,35,0,1,,,,0,87,64,
6000,note_on,,,,,13,0,2,,,,0,82,38,
6000,note_on,,,,,13,0,1,,,,0,85,35,
6035,note_off,,,,,35,0,2,,,,0,83,64,
6035,note_off,,,,,35,0,1,,,,0,86,64,
6048,note_on,,,,,13,0,2,,,,0,81,38,
6048,note_on,,,,,13,0,1,,,,0,84,35,
6083,note_off,,,,,35,0,2,,,,0,82,64,
6083,note_off,,,,,35,0,1,,,,0,85,64,
6096,note_on,,,,,13,0,1,,,,0,83,35,
6096,note_on,,,,,13,0,2,,,,0,80,38,
6131,note_off,,,,,35,0,1,,,,0,84,64,
6131,note_off,,,,,35,0,2,,,,0,81,64,
6144,note_on,,,,,13,0,2,,,,0,79,38,
6144,note_on,,,,,13,0,1,,,,0,82,38,
6179,note_off,,,,,35,0,1,,,,0,83,64,
6179,note_off,,,,,35,0,2,,,,0,80,64,
6192,note_on,,,,,13,0,2,,,,0,78,40,
6192,note_on,,,,,13,0,1,,,,0,81,40,
6227,note_off,,,,,35,0,1,,,,0,82,64,
6227,note_off,,,,,35,0,2,,,,0,79,64,
6240,note_on,,,,,13,0,1,,,,0,80,43,
6240,note_on,,,,,13,0,2,,,,0,77,40,
6275,note_off,,,,,35,0,1,,,,0,81,64,
6275,note_off,,,,,35,0,2,,,,0,78,64,
6288,note_on,,,,,13,0,1,,,,0,79,51,
6288,note_on,,,,,13,0,2,,,,0,76,43,
6308,note_off,,,,,20,0,2,,,,0,77,64,
6308,note_off,,,,,20,0,1,,,,0,80,64,
6480,note_on,,,,,172,0,1,,,,0,80,49,
6480,note_off,,,,,172,0,2,,,,0,76,64,
6480,note_on,,,,,0,0,2,,,,0,76,49,
6524,note_off,,,,,44,0,1,,,,0,79,64,
6528,time_signature,4,4,24,8,672,1,0,,,,,,,
6672,note_on,,,,,148,0,1,,,,0,81,46,
6672,note_on,,,,,192,0,2,,,,0,77,43,
6716,note_off,,,,,44,0,1,,,,0,80,64,
6716,note_off,,,,,44,0,2,,,,0,76,64,
6864,note_on,,,,,148,0,2,,,,0,73,46,
6864,note_on,,,,,148,0,1,,,,0,76,46,
6908,note_off,,,,,44,0,2,,,,0,77,64,
6908,note_off,,,,,44,0,1,,,,0,81,64,
7056,note_on,,,,,0,0,1,,,,0,79,49,
7056,note_off,,,,,148,0,1,,,,0,76,64,
7056,note_on,,,,,148,0,2,,,,0,76,46,
7100,note_off,,,,,44,0,2,,,,0,73,64,
7248,note_on,,,,,192,0,1,,,,0,78,46,
7248,note_on,,,,,148,0,2,,,,0,75,53,
7292,note_off,,,,,44,0,1,,,,0,79,64,
7292,note_off,,,,,44,0,2,,,,0,76,64,
7296,set_tempo,,,,,768,1,0,1977561,,,,,,
7392,set_tempo,,,,,96,1,0,1977561,,,,,,
7440,note_on,,,,,148,0,2,,,,0,74,53,
7440,note_on,,,,,148,0,1,,,,0,77,43,
7484,note_off,,,,,44,0,2,,,,0,75,64,
7484,note_off,,,,,44,0,1,,,,0,78,64,
7680,set_tempo,,,,,288,1,0,912531,,,,,,
7824,note_off,,,,,340,0,2,,,,0,74,64,
7824,note_off,,,,,340,0,1,,,,0,77,64,
8064,control_change,,,,,240,0,2,,10,18,0,,,
8064,program_change,,,,,0,0,2,,,,0,,,0
8064,control_change,,,,,0,0,2,,10,18,0,,,
8064,control_change,,,,,0,0,2,,64,127,0,,,
8064,note_on,,,,,240,0,1,,,,0,77,68,
8112,note_off,,,,,48,0,1,,,,0,77,64,
8112,note_on,,,,,0,0,1,,,,0,74,56,
8160,note_on,,,,,0,0,1,,,,0,71,48,
8160,note_off,,,,,48,0,1,,,,0,74,64,
8208,note_on,,,,,0,0,1,,,,0,67,57,
