tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,text,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,text,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,text,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,text,,,,,0,1,2,,,,,,
0,text,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,text,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,
235,note_on,,,,,235,0,1,,51,34,0,,
286,note_off,,,,,51,0,1,,51,64,0,,
288,note_on,,,,,2,0,1,,55,32,0,,
338,note_on,,,,,0,0,1,,46,36,0,,
338,note_off,,,,,50,0,1,,55,64,0,,
389,note_off,,,,,51,0,1,,46,64,0,,
391,note_on,,,,,2,0,1,,51,29,0,,
441,note_off,,,,,50,0,1,,51,64,0,,
442,note_on,,,,,1,0,1,,55,28,0,,
492,note_on,,,,,0,0,1,,50,43,0,,
492,note_off,,,,,50,0,1,,55,64,0,,
545,note_on,,,,,0,0,1,,51,31,0,,
545,note_off,,,,,53,0,1,,50,64,0,,
595,note_off,,,,,50,0,1,,51,64,0,,
595,note_on,,,,,0,0,1,,55,31,0,,
646,note_off,,,,,51,0,1,,55,64,0,,
648,note_on,,,,,2,0,1,,46,32,0,,
698,note_off,,,,,50,0,1,,46,64,0,,
699,note_on,,,,,1,0,1,,51,32,0,,
749,note_off,,,,,50,0,1,,51,64,0,,
751,note_on,,,,,2,0,1,,55,26,0,,
802,note_on,,,,,0,0,1,,50,37,0,,
802,note_off,,,,,51,0,1,,55,64,0,,
852,note_on,,,,,0,0,1,,51,35,0,,
852,note_off,,,,,50,0,1,,50,64,0,,
905,note_on,,,,,0,0,1,,82,39,0,,
905,note_off,,,,,53,0,1,,51,64,0,,
906,note_on,,,,,1,0,1,,55,31,0,,
956,note_off,,,,,50,0,1,,55,64,0,,
956,note_off,,,,,0,0,1,,82,64,0,,
956,note_on,,,,,0,0,1,,82,59,0,,
957,note_on,,,,,1,0,1,,46,28,0,,
1006,note_off,,,,,49,0,1,,46,64,0,,
1008,note_on,,,,,2,0,1,,53,35,0,,
