tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,240000,,,,,,
0,program_change,,,,,0,0,0,,0,2,,,,
0,control_change,,,,,0,0,0,,,2,7,127,,
0,note_on,,,,,0,0,0,,,2,,,36,100
0,note_on,,,,,0,0,0,,,2,,,48,100
144,note_off,,,,,144,0,0,,,2,,,48,64
144,note_off,,,,,0,0,0,,,2,,,36,64
144,note_on,,,,,0,0,0,,,2,,,39,100
144,note_on,,,,,0,0,0,,,2,,,51,100
288,note_off,,,,,144,0,0,,,2,,,51,64
288,note_off,,,,,0,0,0,,,2,,,39,64
288,note_on,,,,,0,0,0,,,2,,,43,100
288,note_on,,,,,0,0,0,,,2,,,55,100
432,note_off,,,,,144,0,0,,,2,,,55,64
432,note_off,,,,,0,0,0,,,2,,,43,64
432,note_on,,,,,0,0,0,,,2,,,60,100
432,note_on,,,,,0,0,0,,,2,,,48,100
576,note_off,,,,,144,0,0,,,2,,,48,64
576,note_off,,,,,0,0,0,,,2,,,60,64
576,note_on,,,,,0,0,0,,,2,,,63,100
576,note_on,,,,,0,0,0,,,2,,,51,100
720,note_off,,,,,144,0,0,,,2,,,51,64
720,note_off,,,,,0,0,0,,,2,,,63,64
720,note_on,,,,,0,0,0,,,2,,,55,100
720,note_on,,,,,0,0,0,,,2,,,67,100
864,note_off,,,,,144,0,0,,,2,,,67,64
864,note_off,,,,,0,0,0,,,2,,,55,64
864,note_on,,,,,0,0,0,,,2,,,60,100
864,note_on,,,,,0,0,0,,,2,,,79,100
1008,note_off,,,,,144,0,0,,,2,,,79,64
1008,note_off,,,,,0,0,0,,,2,,,60,64
1008,note_on,,,,,0,0,0,,,2,,,63,100
1008,note_on,,,,,0,0,0,,,2,,,75,100
1152,note_off,,,,,144,0,0,,,2,,,75,64
1152,note_off,,,,,0,0,0,,,2,,,63,64
1152,note_on,,,,,0,0,0,,,2,,,67,100
1152,note_on,,,,,0,0,0,,,2,,,72,100
1296,note_off,,,,,144,0,0,,,2,,,72,64
1296,note_off,,,,,0,0,0,,,2,,,67,64
1296,note_on,,,,,0,0,0,,,2,,,79,100
1296,note_on,,,,,0,0,0,,,2,,,59,100
1440,note_off,,,,,144,0,0,,,2,,,59,64
1440,note_off,,,,,0,0,0,,,2,,,79,64
1440,note_on,,,,,0,0,0,,,2,,,62,100
1440,note_on,,,,,0,0,0,,,2,,,74,100
1584,note_off,,,,,144,0,0,,,2,,,74,64
1584,note_off,,,,,0,0,0,,,2,,,62,64
1584,note_on,,,,,0,0,0,,,2,,,67,100
1584,note_on,,,,,0,0,0,,,2,,,71,100
1728,note_off,,,,,144,0,0,,,2,,,71,64
1728,note_off,,,,,0,0,0,,,2,,,67,64
1728,note_on,,,,,0,0,0,,,2,,,47,100
1728,note_on,,,,,0,0,0,,,2,,,67,100
1872,note_off,,,,,144,0,0,,,2,,,67,64
1872,note_off,,,,,0,0,0,,,2,,,47,64
1872,note_on,,,,,0,0,0,,,2,,,50,100
1872,note_on,,,,,0,0,0,,,2,,,62,100
2016,note_off,,,,,144,0,0,,,2,,,62,64
2016,note_off,,,,,0,0,0,,,2,,,50,64
2016,note_on,,,,,0,0,0,,,2,,,59,100
2016,note_on,,,,,0,0,0,,,2,,,55,100
2160,note_off,,,,,144,0,0,,,2,,,55,64
2160,note_off,,,,,0,0,0,,,2,,,59,64
2160,note_on,,,,,0,0,0,,,2,,,46,100
2160,note_on,,,,,0,0,0,,,2,,,67,100
2304,note_off,,,,,144,0,0,,,2,,,67,64
2304,note_off,,,,,0,0,0,,,2,,,46,64
2304,note_on,,,,,0,0,0,,,2,,,50,100
2304,note_on,,,,,0,0,0,,,2,,,62,100
2448,note_off,,,,,144,0,0,,,2,,,62,64
2448,note_off,,,,,0,0,0,,,2,,,50,64
2448,note_on,,,,,0,0,0,,,2,,,55,100
2448,note_on,,,,,0,0,0,,,2,,,58,100
2592,note_off,,,,,144,0,0,,,2,,,58,64
2592,note_off,,,,,0,0,0,,,2,,,55,64
2592,note_on,,,,,0,0,0,,,2,,,58,100
