tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,
0,text,,,,,0,1,3,,,,
0,note_on,,,,,0,0,2,,70,64,0
0,note_on,,,,,0,0,3,,58,64,0
0,text,,,,,0,1,2,,,,
0,set_tempo,,,,,0,1,0,625000,,,
0,text,,,,,0,1,1,,,,
0,end_of_track,,,,,0,1,0,,,,
120,note_on,,,,,0,0,3,,62,64,0
120,note_off,,,,,120,0,3,,58,64,0
240,note_off,,,,,120,0,3,,62,64,0
240,note_on,,,,,0,0,3,,60,64,0
290,note_off,,,,,290,0,2,,70,64,0
300,note_on,,,,,10,0,2,,70,64,0
360,note_off,,,,,120,0,3,,60,64,0
360,note_on,,,,,0,0,3,,58,64,0
360,note_off,,,,,60,0,2,,70,64,0
360,note_on,,,,,0,0,2,,69,64,0
420,note_off,,,,,60,0,2,,69,64,0
420,note_on,,,,,0,0,2,,67,64,0
480,note_off,,,,,60,0,2,,67,64,0
480,note_on,,,,,0,0,2,,65,64,0
480,note_off,,,,,120,0,3,,58,64,0
480,note_on,,,,,0,0,3,,57,64,0
600,note_on,,,,,0,0,2,,67,64,0
600,note_off,,,,,120,0,2,,65,64,0
600,note_off,,,,,120,0,3,,57,64,0
600,note_on,,,,,0,0,3,,55,64,0
720,note_on,,,,,0,0,3,,53,64,0
720,note_on,,,,,0,0,2,,62,64,0
720,note_off,,,,,120,0,2,,67,64,0
720,note_off,,,,,120,0,3,,55,64,0
780,note_on,,,,,0,0,2,,63,64,0
780,note_off,,,,,60,0,2,,62,64,0
840,note_off,,,,,120,0,3,,53,64,0
840,note_on,,,,,0,0,3,,51,64,0
840,note_on,,,,,0,0,2,,65,64,0
840,note_off,,,,,60,0,2,,63,64,0
960,note_off,,,,,120,0,3,,51,64,0
960,note_on,,,,,0,0,3,,50,64,0
960,note_off,,,,,120,0,2,,65,64,0
960,note_on,,,,,0,0,2,,58,64,0
1020,note_on,,,,,0,0,2,,53,64,0
1020,note_off,,,,,60,0,2,,58,64,0
1080,note_off,,,,,60,0,2,,53,64,0
1080,note_on,,,,,0,0,2,,58,64,0
1080,note_on,,,,,1080,0,1,,77,64,0
1140,note_on,,,,,0,0,2,,62,64,0
1140,note_off,,,,,60,0,2,,58,64,0
1200,note_on,,,,,0,0,3,,53,64,0
1200,note_off,,,,,240,0,3,,50,64,0
1200,note_on,,,,,0,0,2,,60,64,0
1200,note_off,,,,,60,0,2,,62,64,0
1260,note_on,,,,,0,0,1,,75,64,0
1260,note_off,,,,,180,0,1,,77,64,0
1320,note_on,,,,,0,0,1,,74,64,0
1320,note_off,,,,,60,0,1,,75,64,0
1320,note_on,,,,,0,0,2,,63,64,0
1320,note_off,,,,,120,0,2,,60,64,0
1380,note_off,,,,,60,0,1,,74,64,0
1380,note_on,,,,,0,0,1,,72,64,0
1440,note_off,,,,,60,0,1,,72,64,0
1440,note_off,,,,,240,0,3,,53,64,0
1440,note_on,,,,,0,0,1,,70,64,0
1440,note_on,,,,,0,0,3,,55,64,0
1560,note_on,,,,,0,0,2,,62,64,0
1560,note_on,,,,,0,0,1,,74,64,0
1560,note_off,,,,,120,0,1,,70,64,0
1560,note_off,,,,,240,0,2,,63,64,0
1620,note_off,,,,,60,0,2,,62,64,0
1620,note_on,,,,,0,0,2,,64,64,0
1670,note_off,,,,,50,0,2,,64,64,0
1680,note_off,,,,,240,0,3,,55,64,0
1680,note_on,,,,,0,0,3,,60,64,0
1680,note_on,,,,,10,0,2,,65,64,0
1680,note_on,,,,,0,0,1,,69,64,0
1680,note_off,,,,,120,0,1,,74,64,0
1710,note_off,,,,,30,0,2,,65,64,0
1710,note_on,,,,,0,0,2,,64,50,0
1740,note_on,,,,,0,0,1,,70,64,0
1740,note_on,,,,,0,0,2,,65,56,0
1740,note_off,,,,,30,0,2,,64,64,0
1740,note_off,,,,,60,0,1,,69,64,0
1755,note_on,,,,,15,0,2,,64,59,0
1770,note_off,,,,,15,0,2,,65,64,0
1800,note_on,,,,,0,0,1,,72,64,0
1800,note_off,,,,,60,0,1,,70,64,0
1860,note_on,,,,,0,0,2,,62,64,0
1860,note_off,,,,,90,0,2,,64,64,0
1890,note_off,,,,,30,0,2,,62,64,0
1890,note_on,,,,,0,0,2,,64,64,0
1920,note_off,,,,,30,0,2,,64,64,0
1920,note_off,,,,,240,0,3,,60,64,0
1920,note_on,,,,,0,0,2,,65,64,0
1920,note_on,,,,,0,0,3,,62,64,0
1920,note_off,,,,,120,0,1,,72,64,0
1980,note_on,,,,,60,0,1,,77,64,0
2040,note_on,,,,,0,0,1,,74,64,0
2040,note_off,,,,,60,0,1,,77,64,0
2100,note_off,,,,,60,0,1,,74,64,0
2100,note_on,,,,,0,0,1,,70,64,0
2160,note_off,,,,,240,0,2,,65,64,0
2160,note_on,,,,,0,0,1,,75,64,0
2160,note_on,,,,,0,0,2,,67,64,0
2160,note_off,,,,,60,0,1,,70,64,0
2210,note_off,,,,,290,0,3,,62,64,0
2220,note_on,,,,,10,0,3,,62,64,0
2280,note_off,,,,,120,0,1,,75,64,0
2280,note_off,,,,,120,0,2,,67,64,0
2280,note_on,,,,,0,0,2,,70,64,0
2280,note_on,,,,,0,0,1,,79,64,0
2280,note_on,,,,,0,0,3,,58,64,0
2280,note_off,,,,,60,0,3,,62,64,0
2340,note_off,,,,,60,0,3,,58,64,0
2340,note_on,,,,,0,0,3,,55,64,0
2400,note_on,,,,,0,0,3,,60,64,0
2400,note_off,,,,,60,0,3,,55,64,0
2400,note_off,,,,,120,0,2,,70,64,0
2400,note_on,,,,,0,0,2,,63,64,0
2460,note_off,,,,,180,0,1,,79,64,0
2460,note_on,,,,,0,0,1,,75,64,0
2520,note_on,,,,,0,0,3,,63,64,0
2520,note_off,,,,,120,0,3,,60,64,0
2520,note_on,,,,,0,0,2,,67,64,0
2520,note_off,,,,,120,0,2,,63,64,0
2520,note_on,,,,,0,0,1,,72,64,0
2520,note_off,,,,,60,0,1,,75,64,0
2580,note_on,,,,,0,0,1,,69,64,0
2580,note_off,,,,,60,0,1,,72,64,0
2640,note_off,,,,,60,0,1,,69,64,0
2640,note_off,,,,,120,0,2,,67,64,0
2640,note_on,,,,,0,0,2,,69,64,0
2640,note_on,,,,,0,0,1,,72,64,0
2700,note_off,,,,,180,0,3,,63,64,0
2700,note_on,,,,,0,0,3,,60,64,0
2760,note_off,,,,,120,0,2,,69,64,0
