tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
3365,note_on,,,,,0,0,1,,,,,0,66,64
3365,note_on,,,,,8,0,1,,,,,0,70,64
3417,note_on,,,,,52,0,1,,,,,0,70,0
3425,note_on,,,,,8,0,1,,,,,0,72,64
3470,note_on,,,,,45,0,1,,,,,0,66,0
3477,note_on,,,,,7,0,1,,,,,0,72,0
3485,note_on,,,,,0,0,1,,,,,0,58,64
3485,note_on,,,,,8,0,1,,,,,0,73,64
3537,note_on,,,,,52,0,1,,,,,0,73,0
3545,note_on,,,,,8,0,1,,,,,0,70,64
3590,note_on,,,,,45,0,1,,,,,0,58,0
3597,note_on,,,,,7,0,1,,,,,0,70,0
3605,note_on,,,,,0,0,1,,,,,0,75,64
3605,note_on,,,,,8,0,1,,,,,0,61,64
3635,note_on,,,,,30,0,1,,,,,0,60,64
3644,note_on,,,,,9,0,1,,,,,0,61,0
3655,note_on,,,,,11,0,1,,,,,0,61,64
3664,note_on,,,,,9,0,1,,,,,0,60,0
3670,note_on,,,,,6,0,1,,,,,0,60,64
3679,note_on,,,,,9,0,1,,,,,0,61,0
3685,note_on,,,,,6,0,1,,,,,0,61,64
3694,note_on,,,,,9,0,1,,,,,0,60,0
3700,note_on,,,,,6,0,1,,,,,0,60,64
3709,note_on,,,,,9,0,1,,,,,0,61,0
3710,note_on,,,,,1,0,1,,,,,0,75,0
3715,note_on,,,,,5,0,1,,,,,0,61,64
3724,note_on,,,,,9,0,1,,,,,0,60,0
3725,note_on,,,,,1,0,1,,,,,0,66,64
3730,note_on,,,,,5,0,1,,,,,0,60,64
3739,note_on,,,,,9,0,1,,,,,0,61,0
3745,note_on,,,,,6,0,1,,,,,0,61,64
3754,note_on,,,,,9,0,1,,,,,0,60,0
3760,note_on,,,,,6,0,1,,,,,0,60,64
3769,note_on,,,,,9,0,1,,,,,0,61,0
3775,note_on,,,,,6,0,1,,,,,0,61,64
3784,note_on,,,,,9,0,1,,,,,0,60,0
3795,note_on,,,,,11,0,1,,,,,0,58,64
3799,note_on,,,,,4,0,1,,,,,0,61,0
3815,note_on,,,,,16,0,1,,,,,0,60,64
3824,note_on,,,,,9,0,1,,,,,0,58,0
3830,note_on,,,,,6,0,1,,,,,0,66,0
3844,note_on,,,,,14,0,1,,,,,0,60,0
3845,note_on,,,,,0,0,1,,,,,0,61,64
3845,note_on,,,,,1,0,1,,,,,0,66,64
3950,note_on,,,,,0,0,1,,,,,0,66,0
3950,note_on,,,,,105,0,1,,,,,0,61,0
3965,note_on,,,,,0,0,1,,,,,0,56,64
3965,note_on,,,,,15,0,1,,,,,0,65,64
4017,note_on,,,,,52,0,1,,,,,0,65,0
4025,note_on,,,,,8,0,1,,,,,0,63,64
4070,note_on,,,,,45,0,1,,,,,0,56,0
4077,note_on,,,,,7,0,1,,,,,0,63,0
4085,note_on,,,,,0,0,1,,,,,0,53,64
4085,note_on,,,,,8,0,1,,,,,0,61,64
4145,note_on,,,,,0,0,1,,,,,0,54,64
4145,note_on,,,,,60,0,1,,,,,0,53,0
4175,note_on,,,,,30,0,1,,,,,0,54,0
4175,note_on,,,,,0,0,1,,,,,0,53,64
4205,note_on,,,,,30,0,1,,,,,0,53,0
4205,note_on,,,,,0,0,1,,,,,0,54,64
4205,note_on,,,,,0,0,1,,,,,0,71,64
4235,note_on,,,,,0,0,1,,,,,0,53,64
4235,note_on,,,,,30,0,1,,,,,0,54,0
4265,note_on,,,,,30,0,1,,,,,0,53,0
4265,note_on,,,,,0,0,1,,,,,0,51,64
4291,note_on,,,,,26,0,1,,,,,0,51,0
4295,note_on,,,,,4,0,1,,,,,0,53,64
4310,note_on,,,,,15,0,1,,,,,0,71,0
4321,note_on,,,,,11,0,1,,,,,0,53,0
4325,note_on,,,,,0,0,1,,,,,0,54,64
4325,note_on,,,,,4,0,1,,,,,0,71,64
4430,note_on,,,,,0,0,1,,,,,0,71,0
4430,note_on,,,,,105,0,1,,,,,0,54,0
4445,note_on,,,,,15,0,1,,,,,0,70,64
4505,note_on,,,,,0,0,1,,,,,0,63,64
4505,note_on,,,,,60,0,1,,,,,0,61,0
4550,note_on,,,,,45,0,1,,,,,0,70,0
4557,note_on,,,,,7,0,1,,,,,0,63,0
4565,note_on,,,,,8,0,1,,,,,0,64,64
4565,note_on,,,,,0,0,1,,,,,0,49,64
4670,note_on,,,,,105,0,1,,,,,0,49,0
4670,note_on,,,,,0,0,1,,,,,0,64,0
4685,note_on,,,,,0,0,1,,,,,0,66,64
4685,note_on,,,,,0,0,1,,,,,0,51,64
4685,note_on,,,,,15,0,1,,,,,0,69,64
4790,note_on,,,,,105,0,1,,,,,0,51,0
