tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
1632,note_on,192,0,8,,,,,,,,,,,6,,77,0,,,,,,
1632,note_on,432,0,9,,,,,,,,,,,7,,74,0,,,,,,
1632,note_on,432,0,4,,,,,,,,,,,3,,74,0,,,,,,
1656,note_on,216,0,3,,,,,,,,,,,2,,67,0,,,,,,
1680,note_on,48,0,8,,,,,,,,,,,6,,76,100,,,,,,
1680,note_on,24,0,3,,,,,,,,,,,2,,76,100,,,,,,
1680,note_on,48,0,9,,,,,,,,,,,7,,72,100,,,,,,
1680,note_on,48,0,4,,,,,,,,,,,3,,72,100,,,,,,
1872,note_on,432,0,5,,,,,,,,,,,4,,59,0,,,,,,
1872,note_on,432,0,11,,,,,,,,,,,10,,59,0,,,,,,
1872,note_on,192,0,8,,,,,,,,,,,6,,67,0,,,,,,
1896,note_on,216,0,3,,,,,,,,,,,2,,76,0,,,,,,
1920,note_on,48,0,8,,,,,,,,,,,6,,65,100,,,,,,
1920,note_on,48,0,5,,,,,,,,,,,4,,57,100,,,,,,
1920,note_on,24,0,3,,,,,,,,,,,2,,65,100,,,,,,
1920,note_on,48,0,11,,,,,,,,,,,10,,57,100,,,,,,
2136,note_on,456,0,4,,,,,,,,,,,3,,72,0,,,,,,
2136,note_on,216,0,3,,,,,,,,,,,2,,65,0,,,,,,
2136,note_on,456,0,9,,,,,,,,,,,7,,72,0,,,,,,
2136,note_on,216,0,8,,,,,,,,,,,6,,76,0,,,,,,
2160,note_on,24,0,4,,,,,,,,,,,3,,71,100,,,,,,
2160,note_on,24,0,3,,,,,,,,,,,2,,74,100,,,,,,
2160,note_on,24,0,9,,,,,,,,,,,7,,71,100,,,,,,
2160,note_on,24,0,8,,,,,,,,,,,6,,74,100,,,,,,
2268,note_on,108,0,9,,,,,,,,,,,7,,71,0,,,,,,
2268,note_on,108,0,4,,,,,,,,,,,3,,71,0,,,,,,
2280,note_on,12,0,9,,,,,,,,,,,7,,69,100,,,,,,
2280,note_on,12,0,4,,,,,,,,,,,3,,69,100,,,,,,
2352,note_on,432,0,5,,,,,,,,,,,4,,57,0,,,,,,
2352,note_on,192,0,8,,,,,,,,,,,6,,65,0,,,,,,
2352,note_on,432,0,11,,,,,,,,,,,10,,57,0,,,,,,
2376,note_on,216,0,3,,,,,,,,,,,2,,74,0,,,,,,
2388,note_on,108,0,9,,,,,,,,,,,7,,69,0,,,,,,
2388,note_on,108,0,4,,,,,,,,,,,3,,69,0,,,,,,
2400,note_on,48,0,8,,,,,,,,,,,6,,64,100,,,,,,
2400,note_on,12,0,4,,,,,,,,,,,3,,71,100,,,,,,
2400,note_on,48,0,5,,,,,,,,,,,4,,56,100,,,,,,
2400,note_on,48,0,11,,,,,,,,,,,10,,56,100,,,,,,
2400,note_on,12,0,9,,,,,,,,,,,7,,71,100,,,,,,
2400,note_on,24,0,3,,,,,,,,,,,2,,64,100,,,,,,
2592,note_on,192,0,8,,,,,,,,,,,6,,74,0,,,,,,
2616,note_on,216,0,3,,,,,,,,,,,2,,64,0,,,,,,
2640,note_on,48,0,8,,,,,,,,,,,6,,74,100,,,,,,
2640,note_on,24,0,3,,,,,,,,,,,2,,74,100,,,,,,
2832,note_on,432,0,5,,,,,,,,,,,4,,56,0,,,,,,
2832,note_on,432,0,11,,,,,,,,,,,10,,56,0,,,,,,
2856,note_on,216,0,8,,,,,,,,,,,6,,74,0,,,,,,
2856,note_on,216,0,3,,,,,,,,,,,2,,74,0,,,,,,
2880,note_on,24,0,8,,,,,,,,,,,6,,72,100,,,,,,
2880,note_on,48,0,5,,,,,,,,,,,4,,57,100,,,,,,
2880,note_on,24,0,3,,,,,,,,,,,2,,72,100,,,,,,
2880,note_on,48,0,11,,,,,,,,,,,10,,57,100,,,,,,
3096,note_on,216,0,3,,,,,,,,,,,2,,72,0,,,,,,
3096,note_on,696,0,4,,,,,,,,,,,3,,71,0,,,,,,
3096,note_on,696,0,9,,,,,,,,,,,7,,71,0,,,,,,
3120,note_on,24,0,9,,,,,,,,,,,7,,69,100,,,,,,
3120,note_on,24,0,4,,,,,,,,,,,3,,69,100,,,,,,
3120,note_on,24,0,3,,,,,,,,,,,2,,64,100,,,,,,
3228,note_on,108,0,4,,,,,,,,,,,3,,69,0,,,,,,
3228,note_on,108,0,9,,,,,,,,,,,7,,69,0,,,,,,
3240,note_on,12,0,9,,,,,,,,,,,7,,67,100,,,,,,
3240,note_on,12,0,4,,,,,,,,,,,3,,67,100,,,,,,
3312,note_on,432,0,11,,,,,,,,,,,10,,57,0,,,,,,
3312,note_on,432,0,5,,,,,,,,,,,4,,57,0,,,,,,
3348,note_on,108,0,9,,,,,,,,,,,7,,67,0,,,,,,
3348,note_on,108,0,4,,,,,,,,,,,3,,67,0,,,,,,
3360,note_on,12,0,4,,,,,,,,,,,3,,66,100,,,,,,
3360,note_on,12,0,9,,,,,,,,,,,7,,66,100,,,,,,
3360,note_on,48,0,5,,,,,,,,,,,4,,59,100,,,,,,
3360,note_on,48,0,11,,,,,,,,,,,10,,59,100,,,,,,
3468,note_on,108,0,4,,,,,,,,,,,3,,66,0,,,,,,
3480,note_on,12,0,4,,,,,,,,,,,3,,72,100,,,,,,
3528,note_on,648,0,8,,,,,,,,,,,6,,64,0,,,,,,
3552,note_on,432,0,3,,,,,,,,,,,2,,64,0,,,,,,
3576,note_on,48,0,8,,,,,,,,,,,6,,72,0,,,,,,
3588,note_on,108,0,4,,,,,,,,,,,3,,72,0,,,,,,
3600,note_on,0,0,8,,,,,,,,,,,6,,63,100,,,,,,
3600,note_on,24,0,8,,,,,,,,,,,6,,71,100,,,,,,
3600,note_on,12,0,4,,,,,,,,,,,3,,71,100,,,,,,
3600,note_on,48,0,3,,,,,,,,,,,2,,63,100,,,,,,
3708,note_on,108,0,4,,,,,,,,,,,3,,71,0,,,,,,
