tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
2820,note_on,60,0,1,,,,,,,,0,80,0
2820,note_on,0,0,1,,,,,,,,0,78,64
2880,note_on,60,0,1,,,,,,,,0,78,0
2880,note_on,0,0,1,,,,,,,,0,80,64
2880,note_on,120,0,2,,,,,,,,1,50,64
2940,note_on,0,0,1,,,,,,,,0,76,64
2940,note_on,60,0,1,,,,,,,,0,80,0
3000,note_on,60,0,1,,,,,,,,0,76,0
3000,note_on,0,0,1,,,,,,,,0,78,64
3000,note_on,120,0,2,,,,,,,,1,50,0
3060,note_on,0,0,1,,,,,,,,0,80,64
3060,note_on,60,0,1,,,,,,,,0,78,0
3120,note_on,60,0,1,,,,,,,,0,80,0
3120,note_on,0,0,1,,,,,,,,0,71,64
3120,note_on,120,0,2,,,,,,,,1,56,64
3180,note_on,0,0,1,,,,,,,,0,74,64
3180,note_on,60,0,1,,,,,,,,0,71,0
3240,note_on,60,0,1,,,,,,,,0,74,0
3240,note_on,120,0,2,,,,,,,,1,56,0
3240,note_on,0,0,1,,,,,,,,0,73,64
3300,note_on,60,0,1,,,,,,,,0,73,0
3300,note_on,0,0,1,,,,,,,,0,71,64
3360,note_on,60,0,1,,,,,,,,0,71,0
3360,note_on,0,0,1,,,,,,,,0,69,64
3360,note_on,120,0,2,,,,,,,,1,49,64
3420,note_on,60,0,1,,,,,,,,0,69,0
3420,note_on,0,0,1,,,,,,,,0,73,64
3480,note_on,120,0,2,,,,,,,,1,49,0
3480,note_on,60,0,1,,,,,,,,0,73,0
3480,note_on,0,0,1,,,,,,,,0,74,64
3540,note_on,60,0,1,,,,,,,,0,74,0
3540,note_on,0,0,1,,,,,,,,0,76,64
3600,note_on,60,0,1,,,,,,,,0,76,0
3600,note_on,0,0,1,,,,,,,,0,66,64
3600,note_on,120,0,2,,,,,,,,1,57,64
3660,note_on,0,0,1,,,,,,,,0,76,64
3660,note_on,60,0,1,,,,,,,,0,66,0
3720,note_on,120,0,2,,,,,,,,1,57,0
3720,note_on,60,0,1,,,,,,,,0,76,0
3720,note_on,0,0,1,,,,,,,,0,74,64
3780,note_on,0,0,1,,,,,,,,0,73,64
3780,note_on,60,0,1,,,,,,,,0,74,0
3840,note_on,120,0,2,,,,,,,,1,47,64
3840,note_on,0,0,1,,,,,,,,0,74,64
3840,note_on,60,0,1,,,,,,,,0,73,0
3900,note_on,0,0,1,,,,,,,,0,71,64
3900,note_on,60,0,1,,,,,,,,0,74,0
3960,note_on,60,0,1,,,,,,,,0,71,0
3960,note_on,0,0,1,,,,,,,,0,73,64
3960,note_on,120,0,2,,,,,,,,1,47,0
4020,note_on,0,0,1,,,,,,,,0,74,64
4020,note_on,60,0,1,,,,,,,,0,73,0
4080,note_on,60,0,1,,,,,,,,0,74,0
4080,note_on,0,0,1,,,,,,,,0,66,64
4080,note_on,120,0,2,,,,,,,,1,57,64
4140,note_on,60,0,1,,,,,,,,0,66,0
4140,note_on,0,0,1,,,,,,,,0,69,64
4200,note_on,60,0,1,,,,,,,,0,69,0
