tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
3264,note_on,,96,0,4,,,,,,59,0,0
3264,note_on,,0,0,4,,,,,,60,72,0
3360,note_on,,96,0,4,,,,,,60,0,0
3360,note_on,,0,0,4,,,,,,62,72,0
3456,note_on,,0,0,3,,,,,,56,88,0
3456,note_on,,384,0,3,,,,,,57,0,0
3456,note_on,,96,0,4,,,,,,62,0,0
3456,note_on,,0,0,4,,,,,,64,72,0
3552,note_on,,0,0,4,,,,,,62,72,0
3552,note_on,,96,0,4,,,,,,64,0,0
3648,note_on,,96,0,4,,,,,,62,0,0
3648,note_on,,0,0,4,,,,,,60,72,0
3648,note_on,,0,0,3,,,,,,57,88,0
3648,note_on,,192,0,3,,,,,,56,0,0
3744,note_on,,0,0,4,,,,,,59,72,0
3744,note_on,,96,0,4,,,,,,60,0,0
3840,note_on,,192,0,3,,,,,,57,0,0
3840,note_on,,0,0,3,,,,,,59,88,0
3840,note_on,,0,0,4,,,,,,57,72,0
3840,note_on,,96,0,4,,,,,,59,0,0
3936,note_on,,0,0,4,,,,,,56,72,0
3936,note_on,,96,0,4,,,,,,57,0,0
4032,note_on,,192,0,3,,,,,,59,0,0
4032,note_on,,0,0,3,,,,,,60,88,0
4032,note_on,,0,0,4,,,,,,57,72,0
4032,note_on,,96,0,4,,,,,,56,0,0
4128,note_on,,0,0,4,,,,,,55,72,0
4128,note_on,,96,0,4,,,,,,57,0,0
4176,note_on,,0,0,4,,,,,,53,72,0
4176,note_on,,48,0,4,,,,,,55,0,0
4224,note_on,,0,0,4,,,,,,53,72,0
4224,note_on,,48,0,4,,,,,,53,0,0
4248,note_on,,0,0,4,,,,,,52,72,0
4248,note_on,,24,0,4,,,,,,53,0,0
4272,note_on,,24,0,4,,,,,,52,0,0
4272,note_on,,0,0,4,,,,,,53,72,0
4296,note_on,,24,0,4,,,,,,53,0,0
4296,note_on,,0,0,4,,,,,,52,72,0
4320,note_on,,288,0,3,,,,,,60,0,0
4320,note_on,,0,0,3,,,,,,62,88,0
4320,note_on,,24,0,4,,,,,,52,0,0
4320,note_on,,0,0,4,,,,,,53,72,0
4344,note_on,,0,0,4,,,,,,52,72,0
4344,note_on,,24,0,4,,,,,,53,0,0
4368,note_on,,24,0,4,,,,,,52,0,0
4368,note_on,,0,0,4,,,,,,53,72,0
4392,note_on,,24,0,4,,,,,,53,0,0
4392,note_on,,0,0,4,,,,,,52,72,0
4416,note_on,,24,0,4,,,,,,52,0,0
4416,note_on,,0,0,4,,,,,,53,72,0
4416,note_on,,0,0,3,,,,,,60,88,0
4416,note_on,,96,0,3,,,,,,62,0,0
4440,note_on,,0,0,4,,,,,,52,72,0
4440,note_on,,24,0,4,,,,,,53,0,0
4464,note_on,,24,0,4,,,,,,52,0,0
4464,note_on,,0,0,4,,,,,,53,72,0
4488,note_on,,24,0,4,,,,,,53,0,0
4488,note_on,,0,0,4,,,,,,52,72,0
4512,note_on,,24,0,4,,,,,,52,0,0
4512,note_on,,0,0,3,,,,,,59,88,0
4512,note_on,,96,0,3,,,,,,60,0,0
4512,note_on,,0,0,4,,,,,,50,72,0
4560,note_on,,48,0,4,,,,,,50,0,0
4560,note_on,,0,0,4,,,,,,52,72,0
4608,note_on,,96,0,3,,,,,,59,0,0
4608,note_on,,0,0,4,,,,,,53,72,0
4608,note_on,,48,0,4,,,,,,52,0,0
4608,note_on,,0,0,3,,,,,,57,88,0
4704,note_on,,0,0,4,,,,,,52,72,0
4704,note_on,,96,0,4,,,,,,53,0,0
4752,note_on,,0,0,4,,,,,,50,72,0
4752,note_on,,48,0,4,,,,,,52,0,0
4800,note_on,,48,0,4,,,,,,50,0,0
4800,note_on,,0,0,4,,,,,,50,72,0
4824,note_on,,0,0,4,,,,,,49,72,0
4824,note_on,,24,0,4,,,,,,50,0,0
4848,note_on,,24,0,4,,,,,,49,0,0
4848,note_on,,0,0,4,,,,,,50,72,0
4872,note_on,,24,0,4,,,,,,50,0,0
4872,note_on,,0,0,4,,,,,,49,72,0
4896,note_on,,24,0,4,,,,,,49,0,0
4896,note_on,,0,0,4,,,,,,50,72,0
4896,note_on,,0,0,3,,,,,,58,72,0
4896,note_on,,288,0,3,,,,,,57,0,0
4920,note_on,,24,0,4,,,,,,50,0,0
4920,note_on,,0,0,4,,,,,,49,72,0
4944,note_on,,0,0,4,,,,,,50,72,0
4944,note_on,,24,0,4,,,,,,49,0,0
4968,note_on,,24,0,4,,,,,,50,0,0
4968,note_on,,0,0,4,,,,,,49,72,0
4992,note_on,,0,0,3,,,,,,57,72,0
4992,note_on,,96,0,3,,,,,,58,0,0
4992,note_on,,0,0,4,,,,,,50,72,0
4992,note_on,,24,0,4,,,,,,49,0,0
5016,note_on,,0,0,4,,,,,,49,72,0
5016,note_on,,24,0,4,,,,,,50,0,0
5040,note_on,,24,0,4,,,,,,49,0,0
5040,note_on,,0,0,4,,,,,,50,72,0
5064,note_on,,24,0,4,,,,,,50,0,0
5064,note_on,,0,0,4,,,,,,49,72,0
5088,note_on,,0,0,3,,,,,,55,72,0
5088,note_on,,96,0,3,,,,,,57,0,0
5088,note_on,,24,0,4,,,,,,49,0,0
5088,note_on,,0,0,4,,,,,,47,72,0
5136,note_on,,48,0,4,,,,,,47,0,0
5136,note_on,,0,0,4,,,,,,49,72,0
5184,note_on,,48,0,4,,,,,,49,0,0
5184,note_on,,0,0,4,,,,,,50,72,0
5184,note_on,,96,0,3,,,,,,55,0,0
5184,note_on,,5184,0,2,,,,,,62,88,0
5184,note_on,,0,0,3,,,,,,53,72,0
5232,note_on,,0,0,3,,,,,,55,72,0
5232,note_on,,48,0,3,,,,,,53,0,0
5280,note_on,,48,0,3,,,,,,55,0,0
5280,note_on,,0,0,3,,,,,,53,72,0
5328,note_on,,48,0,3,,,,,,53,0,0
5328,note_on,,0,0,3,,,,,,52,72,0
5376,note_on,,192,0,4,,,,,,50,0,0
5376,note_on,,48,0,3,,,,,,52,0,0
5376,note_on,,0,0,3,,,,,,50,72,0
5376,note_on,,192,0,2,,,,,,62,0,0
5376,note_on,,0,0,2,,,,,,69,88,0
5472,note_on,,96,0,4,,,,,,41,72,0
5472,note_on,,96,0,3,,,,,,50,0,0
5472,note_on,,0,0,3,,,,,,57,72,0
5568,note_on,,0,0,4,,,,,,43,72,0
5568,note_on,,96,0,4,,,,,,41,0,0
5568,note_on,,96,0,3,,,,,,57,0,0
5568,note_on,,0,0,3,,,,,,59,72,0
5664,note_on,,96,0,3,,,,,,59,0,0
5664,note_on,,0,0,4,,,,,,45,72,0
5664,note_on,,96,0,4,,,,,,43,0,0
5664,note_on,,0,0,3,,,,,,61,72,0
5760,note_on,,384,0,2,,,,,,69,0,0
5760,note_on,,0,0,2,,,,,,65,88,0
5760,note_on,,0,0,4,,,,,,46,72,0
5760,note_on,,0,0,3,,,,,,62,72,0
5760,note_on,,96,0,4,,,,,,45,0,0
5760,note_on,,96,0,3,,,,,,61,0,0
5856,note_on,,0,0,4,,,,,,45,72,0
5856,note_on,,96,0,4,,,,,,46,0,0
5952,note_on,,96,0,4,,,,,,45,0,0
5952,note_on,,0,0,4,,,,,,48,72,0
5952,note_on,,0,0,2,,,,,,62,88,0
5952,note_on,,192,0,2,,,,,,65,0,0
5952,note_on,,192,0,3,,,,,,62,0,0
5976,note_on,,24,0,4,,,,,,48,0,0
5976,note_on,,0,0,4,,,,,,46,72,0
6000,note_on,,0,0,4,,,,,,48,72,0
6000,note_on,,24,0,4,,,,,,46,0,0
6024,note_on,,24,0,4,,,,,,48,0,0
6024,note_on,,0,0,4,,,,,,46,72,0
6048,note_on,,96,0,3,,,,,,64,72,0
6048,note_on,,0,0,4,,,,,,48,72,0
6048,note_on,,24,0,4,,,,,,46,0,0
6072,note_on,,24,0,4,,,,,,48,0,0
6072,note_on,,0,0,4,,,,,,46,72,0
6096,note_on,,0,0,4,,,,,,48,72,0
6096,note_on,,24,0,4,,,,,,46,0,0
6120,note_on,,24,0,4,,,,,,48,0,0
6120,note_on,,0,0,4,,,,,,46,72,0
6144,note_on,,0,0,4,,,,,,48,72,0
6144,note_on,,96,0,3,,,,,,64,0,0
6144,note_on,,0,0,3,,,,,,65,72,0
6144,note_on,,24,0,4,,,,,,46,0,0
6168,note_on,,24,0,4,,,,,,48,0,0
6168,note_on,,0,0,4,,,,,,46,72,0
6192,note_on,,24,0,4,,,,,,46,0,0
6192,note_on,,0,0,4,,,,,,48,72,0
6216,note_on,,24,0,4,,,,,,48,0,0
6216,note_on,,0,0,4,,,,,,46,72,0
6240,note_on,,24,0,4,,,,,,46,0,0
6240,note_on,,96,0,3,,,,,,65,0,0
6240,note_on,,0,0,3,,,,,,67,72,0
6240,note_on,,0,0,4,,,,,,48,72,0
6264,note_on,,24,0,4,,,,,,48,0,0
6264,note_on,,0,0,4,,,,,,46,72,0
6288,note_on,,0,0,4,,,,,,48,72,0
6288,note_on,,24,0,4,,,,,,46,0,0
6312,note_on,,24,0,4,,,,,,48,0,0
6312,note_on,,0,0,4,,,,,,46,72,0
6336,note_on,,96,0,3,,,,,,67,0,0
6336,note_on,,0,0,3,,,,,,69,72,0
6336,note_on,,384,0,2,,,,,,62,0,0
6336,note_on,,0,0,2,,,,,,61,88,0
6336,note_on,,0,0,4,,,,,,45,72,0
6336,note_on,,24,0,4,,,,,,46,0,0
6432,note_on,,0,0,3,,,,,,67,72,0
6432,note_on,,96,0,3,,,,,,69,0,0
6528,note_on,,0,0,3,,,,,,65,72,0
6528,note_on,,96,0,3,,,,,,67,0,0
6528,note_on,,0,0,2,,,,,,62,88,0
6528,note_on,,192,0,2,,,,,,61,0,0
6624,note_on,,0,0,3,,,,,,64,72,0
6624,note_on,,96,0,3,,,,,,65,0,0
6720,note_on,,0,0,3,,,,,,62,72,0
6720,note_on,,0,0,2,,,,,,64,88,0
6720,note_on,,96,0,3,,,,,,64,0,0
6720,note_on,,192,0,2,,,,,,62,0,0
6816,note_on,,96,0,3,,,,,,62,0,0
6816,note_on,,0,0,3,,,,,,61,72,0
6912,note_on,,96,0,3,,,,,,61,0,0
6912,note_on,,0,0,2,,,,,,65,88,0
6912,note_on,,192,0,2,,,,,,64,0,0
6912,note_on,,0,0,3,,,,,,62,72,0
6912,note_on,,576,0,4,,,,,,45,0,0
6912,note_on,,0,0,4,,,,,,45,72,0
6960,note_on,,0,0,4,,,,,,43,72,0
6960,note_on,,48,0,4,,,,,,45,0,0
7008,note_on,,48,0,4,,,,,,43,0,0
7008,note_on,,0,0,4,,,,,,41,72,0
7056,note_on,,0,0,4,,,,,,43,72,0
7056,note_on,,48,0,4,,,,,,41,0,0
7104,note_on,,48,0,4,,,,,,43,0,0
7104,note_on,,0,0,4,,,,,,45,72,0
7200,note_on,,96,0,4,,,,,,45,0,0
7200,note_on,,0,0,2,,,,,,67,88,0
7200,note_on,,0,0,3,,,,,,61,72,0
7200,note_on,,288,0,2,,,,,,65,0,0
7200,note_on,,0,0,4,,,,,,46,72,0
7200,note_on,,288,0,3,,,,,,62,0,0
7296,note_on,,96,0,3,,,,,,61,0,0
7296,note_on,,0,0,3,,,,,,62,72,0
7296,note_on,,96,0,4,,,,,,46,0,0
7296,note_on,,0,0,2,,,,,,65,88,0
7296,note_on,,0,0,4,,,,,,45,72,0
7296,note_on,,96,0,2,,,,,,67,0,0
7392,note_on,,96,0,4,,,,,,45,0,0
7392,note_on,,0,0,4,,,,,,43,72,0
7392,note_on,,0,0,2,,,,,,64,88,0
7392,note_on,,96,0,2,,,,,,65,0,0
7392,note_on,,96,0,3,,,,,,62,0,0
7392,note_on,,0,0,3,,,,,,64,72,0
7488,note_on,,7488,0,1,,,,,,69,88,0
7488,note_on,,0,0,2,,,,,,62,88,0
7488,note_on,,0,0,3,,,,,,57,72,0
7488,note_on,,0,0,4,,,,,,41,72,0
7488,note_on,,96,0,4,,,,,,43,0,0
7488,note_on,,96,0,2,,,,,,64,0,0
7488,note_on,,96,0,3,,,,,,64,0,0
7584,note_on,,96,0,3,,,,,,57,0,0
7584,note_on,,0,0,4,,,,,,40,72,0
7584,note_on,,96,0,4,,,,,,41,0,0
7584,note_on,,0,0,3,,,,,,55,72,0
7680,note_on,,192,0,2,,,,,,62,0,0
7680,note_on,,0,0,3,,,,,,53,72,0
7680,note_on,,96,0,3,,,,,,55,0,0
7680,note_on,,192,0,1,,,,,,69,0,0
7680,note_on,,0,0,1,,,,,,74,88,0
7680,note_on,,0,0,4,,,,,,38,72,0
7680,note_on,,96,0,4,,,,,,40,0,0
7776,note_on,,0,0,3,,,,,,52,72,0
7776,note_on,,96,0,3,,,,,,53,0,0
7776,note_on,,96,0,2,,,,,,64,72,0
7872,note_on,,192,0,4,,,,,,38,0,0
7872,note_on,,96,0,2,,,,,,64,0,0
7872,note_on,,0,0,3,,,,,,50,72,0
7872,note_on,,0,0,2,,,,,,65,72,0
7872,note_on,,96,0,3,,,,,,52,0,0
7968,note_on,,96,0,2,,,,,,65,0,0
7968,note_on,,96,0,4,,,,,,46,72,0
7968,note_on,,0,0,2,,,,,,67,72,0
7968,note_on,,96,0,3,,,,,,50,0,0
7968,note_on,,0,0,3,,,,,,52,72,0
8064,note_on,,384,0,1,,,,,,74,0,0
8064,note_on,,0,0,1,,,,,,72,88,0
