tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,note,velocity,channel,control,value
40806,note_off,,,,,,,300,0,0,,,,,,,54,64,0,,
40816,note_on,,,,,,,10,0,0,,,,,,,60,78,0,,
40838,note_on,,,,,,,22,0,0,,,,,,,51,37,0,,
40938,control_change,,,,,,,100,0,0,,,,,,,,,0,64,0
40990,note_off,,,,,,,52,0,0,,,,,,,70,64,0,,
41154,note_on,,,,,,,164,0,0,,,,,,,54,43,0,,
41168,control_change,,,,,,,14,0,0,,,,,,,,,0,64,127
41240,note_off,,,,,,,72,0,0,,,,,,,44,64,0,,
41380,note_off,,,,,,,140,0,0,,,,,,,51,64,0,,
41436,note_off,,,,,,,56,0,0,,,,,,,54,64,0,,
41552,control_change,,,,,,,116,0,0,,,,,,,,,0,64,0
41554,note_on,,,,,,,2,0,0,,,,,,,61,58,0,,
41590,note_on,,,,,,,36,0,0,,,,,,,44,36,0,,
41678,note_off,,,,,,,88,0,0,,,,,,,60,64,0,,
41912,note_on,,,,,,,234,0,0,,,,,,,53,37,0,,
42030,control_change,,,,,,,118,0,0,,,,,,,,,0,64,127
42130,note_off,,,,,,,100,0,0,,,,,,,53,64,0,,
42190,note_on,,,,,,,60,0,0,,,,,,,49,37,0,,
42250,note_off,,,,,,,60,0,0,,,,,,,44,64,0,,
42426,note_off,,,,,,,176,0,0,,,,,,,49,64,0,,
42508,note_on,,,,,,,82,0,0,,,,,,,53,28,0,,
42640,note_off,,,,,,,132,0,0,,,,,,,53,64,0,,
42792,note_on,,,,,,,152,0,0,,,,,,,44,29,0,,
43090,note_on,,,,,,,298,0,0,,,,,,,53,33,0,,
43100,note_off,,,,,,,10,0,0,,,,,,,44,64,0,,
43364,note_off,,,,,,,264,0,0,,,,,,,53,64,0,,
43424,note_on,,,,,,,60,0,0,,,,,,,64,61,0,,
43440,note_on,,,,,,,16,0,0,,,,,,,49,25,0,,
43572,note_off,,,,,,,132,0,0,,,,,,,61,64,0,,
43734,note_on,,,,,,,162,0,0,,,,,,,53,36,0,,
43828,note_off,,,,,,,94,0,0,,,,,,,49,64,0,,
43894,note_off,,,,,,,66,0,0,,,,,,,53,64,0,,
44030,note_on,,,,,,,136,0,0,,,,,,,65,79,0,,
44042,note_on,,,,,,,12,0,0,,,,,,,44,33,0,,
44074,note_off,,,,,,,32,0,0,,,,,,,64,64,0,,
44336,note_on,,,,,,,262,0,0,,,,,,,53,41,0,,
44364,control_change,,,,,,,28,0,0,,,,,,,,,0,64,0
44564,control_change,,,,,,,200,0,0,,,,,,,,,0,64,127
44616,note_on,,,,,,,52,0,0,,,,,,,68,78,0,,
44622,note_off,,,,,,,6,0,0,,,,,,,53,64,0,,
44644,note_on,,,,,,,22,0,0,,,,,,,49,41,0,,
44684,note_off,,,,,,,40,0,0,,,,,,,65,64,0,,
44748,control_change,,,,,,,64,0,0,,,,,,,,,0,64,0
44948,control_change,,,,,,,200,0,0,,,,,,,,,0,64,127
44978,note_off,,,,,,,30,0,0,,,,,,,44,64,0,,
44986,note_on,,,,,,,8,0,0,,,,,,,53,32,0,,
45136,note_off,,,,,,,150,0,0,,,,,,,53,64,0,,
45246,note_off,,,,,,,110,0,0,,,,,,,49,64,0,,
45258,note_on,,,,,,,12,0,0,,,,,,,73,64,0,,
45258,note_on,,,,,,,0,0,0,,,,,,,44,33,0,,
45346,note_off,,,,,,,88,0,0,,,,,,,68,64,0,,
45508,control_change,,,,,,,162,0,0,,,,,,,,,0,64,0
45582,note_on,,,,,,,74,0,0,,,,,,,53,44,0,,
45670,control_change,,,,,,,88,0,0,,,,,,,,,0,64,127
45840,note_off,,,,,,,170,0,0,,,,,,,53,64,0,,
45850,note_on,,,,,,,10,0,0,,,,,,,61,74,0,,
45874,note_on,,,,,,,24,0,0,,,,,,,49,39,0,,
45900,note_off,,,,,,,26,0,0,,,,,,,73,64,0,,
46106,note_off,,,,,,,206,0,0,,,,,,,44,64,0,,
46170,note_off,,,,,,,64,0,0,,,,,,,49,64,0,,
46210,note_on,,,,,,,40,0,0,,,,,,,53,37,0,,
46260,note_off,,,,,,,50,0,0,,,,,,,61,64,0,,
46330,note_off,,,,,,,70,0,0,,,,,,,53,64,0,,
46580,note_on,,,,,,,250,0,0,,,,,,,60,80,0,,
46590,note_on,,,,,,,10,0,0,,,,,,,45,72,0,,
46946,control_change,,,,,,,356,0,0,,,,,,,,,0,64,0
46954,note_on,,,,,,,8,0,0,,,,,,,54,46,0,,
47208,control_change,,,,,,,254,0,0,,,,,,,,,0,64,127
47238,note_off,,,,,,,30,0,0,,,,,,,54,64,0,,
47258,note_on,,,,,,,20,0,0,,,,,,,51,47,0,,
47400,note_off,,,,,,,142,0,0,,,,,,,45,64,0,,
47462,note_off,,,,,,,62,0,0,,,,,,,51,64,0,,
47542,note_on,,,,,,,80,0,0,,,,,,,54,47,0,,
47766,note_off,,,,,,,224,0,0,,,,,,,54,64,0,,
47894,note_on,,,,,,,128,0,0,,,,,,,45,33,0,,
47916,note_off,,,,,,,22,0,0,,,,,,,60,64,0,,
48182,note_on,,,,,,,266,0,0,,,,,,,54,36,0,,
48458,note_off,,,,,,,276,0,0,,,,,,,54,64,0,,
48526,note_on,,,,,,,68,0,0,,,,,,,75,59,0,,
48534,note_off,,,,,,,8,0,0,,,,,,,45,64,0,,
48570,note_on,,,,,,,36,0,0,,,,,,,51,21,0,,
48784,note_off,,,,,,,214,0,0,,,,,,,51,64,0,,
48832,note_on,,,,,,,48,0,0,,,,,,,54,36,0,,
49086,note_off,,,,,,,254,0,0,,,,,,,54,64,0,,
49152,note_on,,,,,,,66,0,0,,,,,,,72,75,0,,
49188,note_on,,,,,,,36,0,0,,,,,,,45,38,0,,
49328,control_change,,,,,,,140,0,0,,,,,,,,,0,64,0
49344,note_off,,,,,,,16,0,0,,,,,,,75,64,0,,
49458,note_on,,,,,,,114,0,0,,,,,,,54,44,0,,
49542,control_change,,,,,,,84,0,0,,,,,,,,,0,64,127
49702,note_off,,,,,,,160,0,0,,,,,,,54,64,0,,
49756,note_on,,,,,,,54,0,0,,,,,,,69,78,0,,
49776,note_on,,,,,,,20,0,0,,,,,,,51,37,0,,
49792,note_off,,,,,,,16,0,0,,,,,,,45,64,0,,
49866,note_off,,,,,,,74,0,0,,,,,,,72,64,0,,
50034,note_off,,,,,,,168,0,0,,,,,,,51,64,0,,
50056,note_on,,,,,,,22,0,0,,,,,,,54,46,0,,
50328,note_off,,,,,,,272,0,0,,,,,,,54,64,0,,
50332,note_on,,,,,,,4,0,0,,,,,,,66,79,0,,
50352,note_on,,,,,,,20,0,0,,,,,,,45,57,0,,
50448,note_off,,,,,,,96,0,0,,,,,,,69,64,0,,
50496,control_change,,,,,,,48,0,0,,,,,,,,,0,64,0
50646,note_on,,,,,,,150,0,0,,,,,,,54,52,0,,
50710,control_change,,,,,,,64,0,0,,,,,,,,,0,64,127
50868,note_off,,,,,,,158,0,0,,,,,,,54,64,0,,
50910,note_on,,,,,,,42,0,0,,,,,,,63,80,0,,
50944,note_on,,,,,,,34,0,0,,,,,,,51,48,0,,
50990,note_off,,,,,,,46,0,0,,,,,,,66,64,0,,
51080,note_off,,,,,,,90,0,0,,,,,,,45,64,0,,
51194,note_off,,,,,,,114,0,0,,,,,,,51,64,0,,
51218,note_off,,,,,,,24,0,0,,,,,,,63,64,0,,
51224,note_on,,,,,,,6,0,0,,,,,,,54,42,0,,
51396,note_off,,,,,,,172,0,0,,,,,,,54,64,0,,
51562,note_on,,,,,,,166,0,0,,,,,,,58,103,0,,
51578,note_on,,,,,,,16,0,0,,,,,,,46,96,0,,
51910,note_on,,,,,,,332,0,0,,,,,,,54,62,0,,
52032,control_change,,,,,,,122,0,0,,,,,,,,,0,64,0
52208,note_on,,,,,,,176,0,0,,,,,,,51,56,0,,
52220,note_off,,,,,,,12,0,0,,,,,,,54,64,0,,
52246,control_change,,,,,,,26,0,0,,,,,,,,,0,64,127
52440,note_off,,,,,,,194,0,0,,,,,,,51,64,0,,
52488,note_off,,,,,,,48,0,0,,,,,,,46,64,0,,
52504,note_on,,,,,,,16,0,0,,,,,,,54,50,0,,
52760,note_off,,,,,,,256,0,0,,,,,,,54,64,0,,
52814,note_off,,,,,,,54,0,0,,,,,,,58,64,0,,
52817,note_on,,,,,,,3,0,0,,,,,,,46,65,0,,
53122,note_on,,,,,,,305,0,0,,,,,,,54,52,0,,
53422,note_off,,,,,,,300,0,0,,,,,,,54,64,0,,
53446,note_off,,,,,,,24,0,0,,,,,,,46,64,0,,
53466,note_on,,,,,,,20,0,0,,,,,,,78,76,0,,
53474,note_on,,,,,,,8,0,0,,,,,,,51,42,0,,
53750,note_off,,,,,,,276,0,0,,,,,,,51,64,0,,
53788,note_on,,,,,,,38,0,0,,,,,,,54,35,0,,
54046,note_off,,,,,,,258,0,0,,,,,,,54,64,0,,
54128,note_on,,,,,,,82,0,0,,,,,,,75,68,0,,
54140,note_on,,,,,,,12,0,0,,,,,,,46,42,0,,
54234,note_off,,,,,,,94,0,0,,,,,,,78,64,0,,
54430,note_on,,,,,,,196,0,0,,,,,,,54,34,0,,
54474,control_change,,,,,,,44,0,0,,,,,,,,,0,64,0
54674,control_change,,,,,,,200,0,0,,,,,,,,,0,64,127
