tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,control,value,channel,note,velocity,program
3360,note_on,,0,0,1,,,,,,,,3,57,80,
3743,note_off,,383,0,1,,,,,,,,3,50,64,
3815,note_off,,0,0,1,,,,,,,,3,64,64,
3815,note_off,,72,0,1,,,,,,,,3,57,64,
3815,note_off,,0,0,1,,,,,,,,3,67,64,
3840,note_on,,25,0,1,,,,,,,,3,69,80,
3840,note_on,,0,0,1,,,,,,,,3,66,80,
3840,note_on,,0,0,1,,,,,,,,3,57,80,
3840,note_on,,0,0,1,,,,,,,,3,50,80,
4295,note_off,,455,0,1,,,,,,,,3,69,64,
4320,note_on,,25,0,1,,,,,,,,3,66,80,
4751,note_off,,0,0,1,,,,,,,,3,50,64,
4751,note_off,,431,0,1,,,,,,,,3,57,64,
4775,note_off,,24,0,1,,,,,,,,3,66,64,
4800,note_on,,25,0,1,,,,,,,,3,74,80,
4800,note_on,,0,0,1,,,,,,,,3,50,80,
4800,note_on,,0,0,1,,,,,,,,3,57,80,
5207,note_off,,407,0,1,,,,,,,,3,66,64,
5255,note_off,,48,0,1,,,,,,,,3,74,64,
5280,note_on,,25,0,1,,,,,,,,3,62,80,
5280,note_on,,0,0,1,,,,,,,,3,66,80,
5711,note_off,,431,0,1,,,,,,,,3,57,64,
5711,note_off,,0,0,1,,,,,,,,3,50,64,
5735,note_off,,24,0,1,,,,,,,,3,66,64,
5735,note_off,,0,0,1,,,,,,,,3,62,64,
5760,note_on,,25,0,1,,,,,,,,3,69,80,
5760,note_on,,0,0,1,,,,,,,,3,59,80,
5760,note_on,,0,0,1,,,,,,,,3,64,80,
5760,note_on,,0,0,1,,,,,,,,3,50,80,
6215,note_off,,455,0,1,,,,,,,,3,69,64,
6240,note_on,,25,0,1,,,,,,,,3,68,80,
6671,note_off,,0,0,1,,,,,,,,3,50,64,
6671,note_off,,0,0,1,,,,,,,,3,59,64,
6671,note_off,,431,0,1,,,,,,,,3,64,64,
6695,note_off,,24,0,1,,,,,,,,3,68,64,
6720,note_on,,25,0,1,,,,,,,,3,67,80,
6720,note_on,,0,0,1,,,,,,,,3,64,80,
6720,note_on,,0,0,1,,,,,,,,3,59,80,
6720,note_on,,0,0,1,,,,,,,,3,50,80,
7175,note_off,,455,0,1,,,,,,,,3,67,64,
7200,note_on,,25,0,1,,,,,,,,3,67,80,
7631,note_off,,0,0,1,,,,,,,,3,50,64,
7631,note_off,,0,0,1,,,,,,,,3,59,64,
7631,note_off,,431,0,1,,,,,,,,3,64,64,
7655,note_off,,24,0,1,,,,,,,,3,67,64,
7680,note_on,,0,0,1,,,,,,,,3,67,80,
7680,note_on,,0,0,1,,,,,,,,3,49,80,
7680,note_on,,0,0,1,,,,,,,,3,57,80,
7680,note_on,,25,0,1,,,,,,,,3,64,80,
8135,note_off,,0,0,1,,,,,,,,3,64,64,
8135,note_off,,455,0,1,,,,,,,,3,67,64,
8160,note_on,,25,0,1,,,,,,,,3,67,80,
8160,note_on,,0,0,1,,,,,,,,3,71,80,
8591,note_off,,431,0,1,,,,,,,,3,57,64,
8591,note_off,,0,0,1,,,,,,,,3,49,64,
8615,note_off,,24,0,1,,,,,,,,3,71,64,
8615,note_off,,0,0,1,,,,,,,,3,67,64,
8640,note_on,,0,0,1,,,,,,,,3,57,80,
8640,note_on,,0,0,1,,,,,,,,3,69,80,
8640,note_on,,0,0,1,,,,,,,,3,49,80,
8640,note_on,,25,0,1,,,,,,,,3,66,80,
9095,note_off,,455,0,1,,,,,,,,3,69,64,
9095,note_off,,0,0,1,,,,,,,,3,66,64,
9120,note_on,,25,0,1,,,,,,,,3,64,80,
9120,note_on,,0,0,1,,,,,,,,3,67,80,
9551,note_off,,431,0,1,,,,,,,,3,57,64,
9551,note_off,,0,0,1,,,,,,,,3,49,64,
9575,note_off,,24,0,1,,,,,,,,3,67,64,
9575,note_off,,0,0,1,,,,,,,,3,64,64,
9600,note_on,,0,0,1,,,,,,,,3,57,80,
9600,note_on,,0,0,1,,,,,,,,3,50,80,
9600,note_on,,0,0,1,,,,,,,,3,67,80,
9600,note_on,,25,0,1,,,,,,,,3,64,80,
10055,note_off,,0,0,1,,,,,,,,3,64,64,
10055,note_off,,455,0,1,,,,,,,,3,67,64,
10080,note_on,,0,0,1,,,,,,,,3,66,80,
10080,note_on,,25,0,1,,,,,,,,3,62,80,
10511,note_off,,431,0,1,,,,,,,,3,57,64,
10511,note_off,,0,0,1,,,,,,,,3,50,64,
10535,note_off,,0,0,1,,,,,,,,3,62,64,
10535,note_off,,24,0,1,,,,,,,,3,66,64,
10560,note_on,,25,0,1,,,,,,,,3,66,80,
10560,note_on,,0,0,1,,,,,,,,3,62,80,
10560,note_on,,0,0,1,,,,,,,,3,50,80,
10560,note_on,,0,0,1,,,,,,,,3,57,80,
11015,note_off,,455,0,1,,,,,,,,3,66,64,
11040,note_on,,25,0,1,,,,,,,,3,69,80,
11471,note_off,,0,0,1,,,,,,,,3,57,64,
11471,note_off,,0,0,1,,,,,,,,3,50,64,
11471,note_off,,431,0,1,,,,,,,,3,62,64,
11495,note_off,,24,0,1,,,,,,,,3,69,64,
11520,note_on,,0,0,1,,,,,,,,3,57,80,
11520,note_on,,0,0,1,,,,,,,,3,61,80,
11520,note_on,,25,0,1,,,,,,,,3,69,80,
11520,note_on,,0,0,1,,,,,,,,3,45,80,
11975,note_off,,455,0,1,,,,,,,,3,69,64,
12000,note_on,,25,0,1,,,,,,,,3,64,80,
12431,note_off,,431,0,1,,,,,,,,3,61,64,
12455,note_off,,24,0,1,,,,,,,,3,64,64,
12480,note_on,,25,0,1,,,,,,,,3,64,80,
12887,note_off,,407,0,1,,,,,,,,3,57,64,
12887,note_off,,0,0,1,,,,,,,,3,45,64,
12935,note_off,,48,0,1,,,,,,,,3,64,64,
12960,note_on,,25,0,1,,,,,,,,3,69,80,
12960,note_on,,0,0,1,,,,,,,,3,45,80,
12960,note_on,,0,0,1,,,,,,,,3,61,80,
13415,note_off,,0,0,1,,,,,,,,3,45,64,
13415,note_off,,0,0,1,,,,,,,,3,69,64,
13415,note_off,,455,0,1,,,,,,,,3,61,64,
13440,note_on,,0,0,1,,,,,,,,3,69,80,
13440,note_on,,0,0,1,,,,,,,,3,50,80,
13440,note_on,,0,0,1,,,,,,,,3,62,80,
13440,note_on,,25,0,1,,,,,,,,3,66,80,
13895,note_off,,455,0,1,,,,,,,,3,50,64,
13895,note_off,,0,0,1,,,,,,,,3,69,64,
13895,note_off,,0,0,1,,,,,,,,3,66,64,
13920,note_on,,25,0,1,,,,,,,,3,74,80,
13920,note_on,,0,0,1,,,,,,,,3,78,80,
13920,note_on,,0,0,1,,,,,,,,3,50,80,
14351,note_off,,431,0,1,,,,,,,,3,62,64,
14375,note_off,,24,0,1,,,,,,,,3,50,64,
14375,note_off,,0,0,1,,,,,,,,3,78,64,
14375,note_off,,0,0,1,,,,,,,,3,74,64,
14400,note_on,,25,0,1,,,,,,,,3,76,80,
14400,note_on,,0,0,1,,,,,,,,3,79,80,
14400,note_on,,0,0,1,,,,,,,,3,49,80,
14400,note_on,,0,0,1,,,,,,,,3,57,80,
14855,note_off,,0,0,1,,,,,,,,3,79,64,
14855,note_off,,0,0,1,,,,,,,,3,76,64,
14855,note_off,,455,0,1,,,,,,,,3,49,64,
14880,note_on,,0,0,1,,,,,,,,3,49,80,
14880,note_on,,25,0,1,,,,,,,,3,64,80,
14880,note_on,,0,0,1,,,,,,,,3,67,80,
15311,note_off,,431,0,1,,,,,,,,3,57,64,
15335,note_off,,24,0,1,,,,,,,,3,49,64,
15335,note_off,,0,0,1,,,,,,,,3,67,64,
15335,note_off,,0,0,1,,,,,,,,3,64,64,
15360,note_on,,25,0,1,,,,,,,,3,64,80,
15360,note_on,,0,0,1,,,,,,,,3,67,80,
15360,note_on,,0,0,1,,,,,,,,3,57,80,
15360,note_on,,0,0,1,,,,,,,,3,50,80,
15815,note_off,,455,0,1,,,,,,,,3,50,64,
15840,note_on,,25,0,1,,,,,,,,3,50,80,
16271,note_off,,0,0,1,,,,,,,,3,64,64,
16271,note_off,,431,0,1,,,,,,,,3,67,64,
16295,note_off,,24,0,1,,,,,,,,3,50,64,
16320,note_on,,25,0,1,,,,,,,,3,62,80,
16320,note_on,,0,0,1,,,,,,,,3,66,80,
16320,note_on,,0,0,1,,,,,,,,3,54,80,
16775,note_off,,455,0,1,,,,,,,,3,54,64,
16800,note_on,,25,0,1,,,,,,,,3,50,80,
17183,note_off,,383,0,1,,,,,,,,3,57,64,
17231,note_off,,48,0,1,,,,,,,,3,66,64,
17231,note_off,,0,0,1,,,,,,,,3,62,64,
17255,note_off,,24,0,1,,,,,,,,3,50,64,
17280,note_on,,0,0,1,,,,,,,,3,45,80,
17280,note_on,,0,0,1,,,,,,,,3,64,80,
17280,note_on,,25,0,1,,,,,,,,3,61,80,
17735,note_off,,0,0,1,,,,,,,,3,61,64,
17735,note_off,,0,0,1,,,,,,,,3,64,64,
17735,note_off,,455,0,1,,,,,,,,3,45,64,
17760,note_on,,0,0,1,,,,,,,,3,61,80,
17760,note_on,,0,0,1,,,,,,,,3,57,80,
17760,note_on,,25,0,1,,,,,,,,3,57,80,
18215,note_off,,455,0,1,,,,,,,,3,57,64,
18215,note_off,,0,0,1,,,,,,,,3,61,64,
18215,note_off,,0,0,1,,,,,,,,3,57,64,
18240,note_on,,25,0,1,,,,,,,,3,57,80,
18240,note_on,,0,0,1,,,,,,,,3,61,80,
18240,note_on,,0,0,1,,,,,,,,3,52,80,
18695,note_off,,0,0,1,,,,,,,,3,61,64,
18695,note_off,,455,0,1,,,,,,,,3,52,64,
18695,note_off,,0,0,1,,,,,,,,3,57,64,
18720,note_on,,25,0,1,,,,,,,,3,61,80,
18720,note_on,,0,0,1,,,,,,,,3,64,80,
18720,note_on,,0,0,1,,,,,,,,3,49,80,
19175,note_off,,455,0,1,,,,,,,,3,49,64,
19175,note_off,,0,0,1,,,,,,,,3,64,64,
19175,note_off,,0,0,1,,,,,,,,3,61,64,
19200,note_on,,25,0,1,,,,,,,,3,64,80,
19200,note_on,,0,0,1,,,,,,,,3,45,80,
19200,note_on,,0,0,1,,,,,,,,3,57,80,
19655,note_off,,455,0,1,,,,,,,,3,64,64,
19680,note_on,,25,0,1,,,,,,,,3,76,80,
20111,note_off,,0,0,1,,,,,,,,3,45,64,
20111,note_off,,431,0,1,,,,,,,,3,57,64,
20135,note_off,,24,0,1,,,,,,,,3,76,64,
20160,note_on,,0,0,1,,,,,,,,3,57,80,
20160,note_on,,25,0,1,,,,,,,,3,73,80,
20160,note_on,,0,0,1,,,,,,,,3,64,80,
20615,note_off,,455,0,1,,,,,,,,3,73,64,
20640,note_on,,25,0,1,,,,,,,,3,61,80,
20640,note_on,,0,0,1,,,,,,,,3,69,80,
21071,note_off,,431,0,1,,,,,,,,3,64,64,
21071,note_off,,0,0,1,,,,,,,,3,57,64,
21095,note_off,,24,0,1,,,,,,,,3,69,64,
21095,note_off,,0,0,1,,,,,,,,3,61,64,
21120,note_on,,0,0,1,,,,,,,,3,69,80,
21120,note_on,,25,0,1,,,,,,,,3,61,80,
21120,note_on,,0,0,1,,,,,,,,3,64,80,
21575,note_off,,455,0,1,,,,,,,,3,69,64,
21575,note_off,,0,0,1,,,,,,,,3,61,64,
21600,note_on,,25,0,1,,,,,,,,3,62,80,
21600,note_on,,0,0,1,,,,,,,,3,68,80,
22031,note_off,,431,0,1,,,,,,,,3,64,64,
22055,note_off,,24,0,1,,,,,,,,3,68,64,
22055,note_off,,0,0,1,,,,,,,,3,62,64,
22080,note_on,,0,0,1,,,,,,,,3,64,80,
22080,note_on,,0,0,1,,,,,,,,3,59,80,
22080,note_on,,25,0,1,,,,,,,,3,68,80,
22535,note_off,,455,0,1,,,,,,,,3,68,64,
22560,note_on,,25,0,1,,,,,,,,3,64,80,
22991,note_off,,431,0,1,,,,,,,,3,59,64,
22991,note_off,,0,0,1,,,,,,,,3,64,64,
23015,note_off,,24,0,1,,,,,,,,3,64,64,
23040,note_on,,25,0,1,,,,,,,,3,64,80,
23040,note_on,,0,0,1,,,,,,,,3,56,80,
23040,note_on,,0,0,1,,,,,,,,3,64,80,
23495,note_off,,455,0,1,,,,,,,,3,64,64,
23520,note_on,,25,0,1,,,,,,,,3,76,80,
23951,note_off,,431,0,1,,,,,,,,3,64,64,
23951,note_off,,0,0,1,,,,,,,,3,56,64,
23975,note_off,,24,0,1,,,,,,,,3,76,64,
24000,note_on,,25,0,1,,,,,,,,3,68,80,
24000,note_on,,0,0,1,,,,,,,,3,52,80,
24000,note_on,,0,0,1,,,,,,,,3,71,80,
24455,note_off,,455,0,1,,,,,,,,3,71,64,
24455,note_off,,0,0,1,,,,,,,,3,68,64,
24480,note_on,,25,0,1,,,,,,,,3,68,80,
24480,note_on,,0,0,1,,,,,,,,3,71,80,
24911,note_off,,431,0,1,,,,,,,,3,52,64,
24935,note_off,,24,0,1,,,,,,,,3,71,64,
24935,note_off,,0,0,1,,,,,,,,3,68,64,
24960,note_on,,25,0,1,,,,,,,,3,53,80,
24960,note_on,,0,0,1,,,,,,,,3,62,80,
24960,note_on,,0,0,1,,,,,,,,3,71,80,
24960,note_on,,0,0,1,,,,,,,,3,68,80,
25415,note_off,,455,0,1,,,,,,,,3,71,64,
25415,note_off,,0,0,1,,,,,,,,3,68,64,
25415,note_off,,0,0,1,,,,,,,,3,62,64,
25415,note_off,,0,0,1,,,,,,,,3,53,64,
25440,note_on,,25,0,1,,,,,,,,3,54,80,
25440,note_on,,0,0,1,,,,,,,,3,61,80,
25440,note_on,,0,0,1,,,,,,,,3,69,80,
25895,note_off,,455,0,1,,,,,,,,3,69,64,
25895,note_off,,0,0,1,,,,,,,,3,61,64,
25895,note_off,,0,0,1,,,,,,,,3,54,64,
25920,note_on,,0,0,1,,,,,,,,3,61,80,
25920,note_on,,0,0,1,,,,,,,,3,54,80,
25920,note_on,,25,0,1,,,,,,,,3,69,80,
26375,note_off,,455,0,1,,,,,,,,3,69,64,
26831,note_off,,456,0,1,,,,,,,,3,61,64,
26831,note_off,,0,0,1,,,,,,,,3,54,64,
26880,note_on,,49,0,1,,,,,,,,3,74,80,
27335,note_off,,455,0,1,,,,,,,,3,74,64,
27360,note_on,,25,0,1,,,,,,,,3,57,80,
27360,note_on,,0,0,1,,,,,,,,3,74,80,
27815,note_off,,455,0,1,,,,,,,,3,57,64,
27840,note_on,,0,0,1,,,,,,,,3,47,80,
27840,note_on,,25,0,1,,,,,,,,3,56,80,
28271,note_off,,431,0,1,,,,,,,,3,74,64,
28295,note_off,,24,0,1,,,,,,,,3,56,64,
28320,note_on,,0,0,1,,,,,,,,3,74,80,
28320,note_on,,0,0,1,,,,,,,,3,68,80,
28320,note_on,,25,0,1,,,,,,,,3,59,80,
28751,note_off,,431,0,1,,,,,,,,3,47,64,
28775,note_off,,0,0,1,,,,,,,,3,68,64,
28775,note_off,,0,0,1,,,,,,,,3,59,64,
28775,note_off,,24,0,1,,,,,,,,3,74,64,
28800,note_on,,0,0,1,,,,,,,,3,69,80,
28800,note_on,,0,0,1,,,,,,,,3,64,80,
28800,note_on,,0,0,1,,,,,,,,3,49,80,
28800,note_on,,25,0,1,,,,,,,,3,74,80,
29255,note_off,,455,0,1,,,,,,,,3,74,64,
29280,note_on,,25,0,1,,,,,,,,3,73,80,
29711,note_off,,0,0,1,,,,,,,,3,49,64,
29711,note_off,,431,0,1,,,,,,,,3,69,64,
29711,note_off,,0,0,1,,,,,,,,3,64,64,
29735,note_off,,24,0,1,,,,,,,,3,73,64,
29760,note_on,,25,0,1,,,,,,,,3,71,80,
29760,note_on,,0,0,1,,,,,,,,3,50,80,
29760,note_on,,0,0,1,,,,,,,,3,66,80,
30215,note_off,,455,0,1,,,,,,,,3,71,64,
30240,note_on,,25,0,1,,,,,,,,3,61,80,
30240,note_on,,0,0,1,,,,,,,,3,69,80,
30671,note_off,,431,0,1,,,,,,,,3,66,64,
30671,note_off,,0,0,1,,,,,,,,3,50,64,
30695,note_off,,0,0,1,,,,,,,,3,61,64,
30695,note_off,,24,0,1,,,,,,,,3,69,64,
30720,note_on,,0,0,1,,,,,,,,3,64,80,
30720,note_on,,0,0,1,,,,,,,,3,52,80,
30720,note_on,,25,0,1,,,,,,,,3,59,80,
30720,note_on,,0,0,1,,,,,,,,3,59,80,
31175,note_off,,455,0,1,,,,,,,,3,59,64,
31200,note_on,,25,0,1,,,,,,,,3,69,80,
31631,note_off,,431,0,1,,,,,,,,3,64,64,
31655,note_off,,24,0,1,,,,,,,,3,69,64,
31680,note_on,,25,0,1,,,,,,,,3,59,80,
31680,note_on,,0,0,1,,,,,,,,3,62,30,
32087,note_off,,407,0,1,,,,,,,,3,59,64,
32135,note_off,,48,0,1,,,,,,,,3,59,64,
32160,note_on,,25,0,1,,,,,,,,3,68,80,
32160,note_on,,0,0,1,,,,,,,,3,59,80,
32543,note_off,,383,0,1,,,,,,,,3,52,64,
32591,note_off,,48,0,1,,,,,,,,3,62,64,
32615,note_off,,24,0,1,,,,,,,,3,59,64,
32615,note_off,,0,0,1,,,,,,,,3,68,64,
32640,note_on,,0,0,1,,,,,,,,3,57,80,
32640,note_on,,25,0,1,,,,,,,,3,61,80,
32640,note_on,,0,0,1,,,,,,,,3,45,80,
33120,note_on,,480,0,1,,,,,,,,3,69,80,
33551,note_off,,431,0,1,,,,,,,,3,61,64,
33575,note_off,,24,0,1,,,,,,,,3,69,64,
33600,note_on,,25,0,1,,,,,,,,3,76,80,
34007,note_off,,407,0,1,,,,,,,,3,57,64,
34007,note_off,,0,0,1,,,,,,,,3,45,64,
34080,note_on,,0,0,1,,,,,,,,3,64,80,
34080,note_on,,0,0,1,,,,,,,,3,61,80,
34080,note_on,,73,0,1,,,,,,,,3,49,80,
34511,note_off,,431,0,1,,,,,,,,3,76,64,
34535,note_off,,0,0,1,,,,,,,,3,61,64,
34535,note_off,,24,0,1,,,,,,,,3,64,64,
34535,note_off,,0,0,1,,,,,,,,3,49,64,
34560,note_on,,0,0,1,,,,,,,,3,54,80,
34560,note_on,,25,0,1,,,,,,,,3,61,80,
34560,note_on,,0,0,1,,,,,,,,3,69,80,
34560,note_on,,0,0,1,,,,,,,,3,76,80,
35015,note_off,,455,0,1,,,,,,,,3,76,64,
35015,note_off,,0,0,1,,,,,,,,3,69,64,
35015,note_off,,0,0,1,,,,,,,,3,61,64,
35040,note_on,,25,0,1,,,,,,,,3,62,80,
35040,note_on,,0,0,1,,,,,,,,3,74,80,
35040,note_on,,0,0,1,,,,,,,,3,69,80,
35471,note_off,,431,0,1,,,,,,,,3,54,64,
35495,note_off,,24,0,1,,,,,,,,3,74,64,
35495,note_off,,0,0,1,,,,,,,,3,62,64,
35520,note_on,,25,0,1,,,,,,,,3,52,80,
35520,note_on,,0,0,1,,,,,,,,3,61,80,
35520,note_on,,0,0,1,,,,,,,,3,76,80,
35951,note_off,,431,0,1,,,,,,,,3,69,64,
35975,note_off,,24,0,1,,,,,,,,3,76,64,
35975,note_off,,0,0,1,,,,,,,,3,61,64,
35975,note_off,,0,0,1,,,,,,,,3,52,64,
36000,note_on,,25,0,1,,,,,,,,3,51,80,
36000,note_on,,0,0,1,,,,,,,,3,59,80,
36000,note_on,,0,0,1,,,,,,,,3,69,80,
36000,note_on,,0,0,1,,,,,,,,3,78,80,
36455,note_off,,0,0,1,,,,,,,,3,51,64,
36455,note_off,,455,0,1,,,,,,,,3,78,64,
36455,note_off,,0,0,1,,,,,,,,3,69,64,
36455,note_off,,0,0,1,,,,,,,,3,59,64,
36480,note_on,,0,0,1,,,,,,,,3,52,80,
36480,note_on,,0,0,1,,,,,,,,3,61,80,
36480,note_on,,0,0,1,,,,,,,,3,69,80,
36480,note_on,,25,0,1,,,,,,,,3,61,80,
36935,note_off,,455,0,1,,,,,,,,3,61,64,
36960,note_on,,25,0,1,,,,,,,,3,64,80,
37390,note_on,,430,0,1,,,,,,,,3,73,80,
37391,note_off,,0,0,1,,,,,,,,3,61,64,
37391,note_off,,0,0,1,,,,,,,,3,52,64,
37391,note_off,,1,0,1,,,,,,,,3,69,64,
37415,note_off,,24,0,1,,,,,,,,3,64,64,
37440,note_on,,0,0,1,,,,,,,,3,56,80,
37440,note_on,,25,0,1,,,,,,,,3,62,80,
37440,note_on,,0,0,1,,,,,,,,3,40,80,
37456,note_on,,16,0,1,,,,,,,,3,71,80,
37465,note_off,,9,0,1,,,,,,,,3,73,64,
37895,note_off,,430,0,1,,,,,,,,3,62,64,
37920,note_on,,25,0,1,,,,,,,,3,64,80,
38162,note_off,,242,0,1,,,,,,,,3,71,64,
38178,note_on,,16,0,1,,,,,,,,3,69,80,
38328,note_off,,150,0,1,,,,,,,,3,69,64,
38351,note_off,,23,0,1,,,,,,,,3,56,64,
38351,note_off,,0,0,1,,,,,,,,3,40,64,
38375,note_off,,24,0,1,,,,,,,,3,64,64,
38400,note_on,,25,0,1,,,,,,,,3,69,80,
38400,note_on,,0,0,1,,,,,,,,3,57,80,
38400,note_on,,0,0,1,,,,,,,,3,61,80,
38415,note_on,,15,0,1,,,,,,,,3,69,80,
38855,note_off,,440,0,1,,,,,,,,3,69,64,
38880,note_on,,25,0,1,,,,,,,,3,64,80,
38921,note_off,,41,0,1,,,,,,,,3,57,64,
39311,note_off,,390,0,1,,,,,,,,3,69,64,
39311,note_off,,0,0,1,,,,,,,,3,61,64,
39335,note_off,,24,0,1,,,,,,,,3,64,64,
39360,note_on,,0,0,1,,,,,,,,3,52,80,
39360,note_on,,25,0,1,,,,,,,,3,57,80,
39360,note_on,,0,0,1,,,,,,,,3,61,80,
39815,note_off,,455,0,1,,,,,,,,3,52,64,
39815,note_off,,0,0,1,,,,,,,,3,61,64,
39815,note_off,,0,0,1,,,,,,,,3,57,64,
39840,note_on,,25,0,1,,,,,,,,3,57,80,
39840,note_on,,0,0,1,,,,,,,,3,61,80,
39840,note_on,,0,0,1,,,,,,,,3,64,80,
40295,note_off,,455,0,1,,,,,,,,3,64,64,
40295,note_off,,0,0,1,,,,,,,,3,61,64,
40295,note_off,,0,0,1,,,,,,,,3,57,64,
40320,note_on,,25,0,1,,,,,,,,3,69,80,
40320,note_on,,0,0,1,,,,,,,,3,45,80,
40775,note_off,,455,0,1,,,,,,,,3,69,64,
40800,note_on,,25,0,1,,,,,,,,3,64,80,
41231,note_off,,431,0,1,,,,,,,,3,45,64,
41255,note_off,,24,0,1,,,,,,,,3,64,64,
41280,note_on,,25,0,1,,,,,,,,3,61,80,
41280,note_on,,0,0,1,,,,,,,,3,57,80,
41735,note_off,,455,0,1,,,,,,,,3,61,64,
41760,note_on,,25,0,1,,,,,,,,3,61,80,
41760,note_on,,0,0,1,,,,,,,,3,64,80,
41760,note_on,,0,0,1,,,,,,,,3,69,80,
42191,note_off,,431,0,1,,,,,,,,3,57,64,
42215,note_off,,0,0,1,,,,,,,,3,61,64,
42215,note_off,,24,0,1,,,,,,,,3,69,64,
42215,note_off,,0,0,1,,,,,,,,3,64,64,
42240,note_on,,25,0,1,,,,,,,,3,57,80,
42240,note_on,,0,0,1,,,,,,,,3,69,80,
42240,note_on,,0,0,1,,,,,,,,3,64,80,
42695,note_off,,455,0,1,,,,,,,,3,69,64,
42695,note_off,,0,0,1,,,,,,,,3,57,64,
42720,note_on,,25,0,1,,,,,,,,3,55,80,
42720,note_on,,0,0,1,,,,,,,,3,70,80,
43151,note_off,,431,0,1,,,,,,,,3,64,64,
43175,note_off,,24,0,1,,,,,,,,3,70,64,
43175,note_off,,0,0,1,,,,,,,,3,55,64,
43200,note_on,,0,0,1,,,,,,,,3,70,80,
43200,note_on,,0,0,1,,,,,,,,3,64,80,
43200,note_on,,25,0,1,,,,,,,,3,55,80,
43680,note_on,,480,0,1,,,,,,,,3,60,80,
44111,note_off,,431,0,1,,,,,,,,3,70,64,
44111,note_off,,0,0,1,,,,,,,,3,64,64,
44111,note_off,,0,0,1,,,,,,,,3,55,64,
44135,note_off,,24,0,1,,,,,,,,3,60,64,
44160,note_on,,25,0,1,,,,,,,,3,60,80,
44160,note_on,,0,0,1,,,,,,,,3,70,80,
44160,note_on,,0,0,1,,,,,,,,3,48,80,
44615,note_off,,0,0,1,,,,,,,,3,60,64,
44615,note_off,,455,0,1,,,,,,,,3,70,64,
44640,note_on,,25,0,1,,,,,,,,3,58,80,
44640,note_on,,0,0,1,,,,,,,,3,74,80,
45071,note_off,,431,0,1,,,,,,,,3,48,64,
