tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
206880,control_change,35,0,3,,,,,,,64,127,3,,,,
206880,set_tempo,40,1,0,,,,,,952380,,,,,,,
207120,note_on,240,0,3,,,,,,,,,3,,,62,75
207120,note_on,0,0,1,,,,,,,,,1,,,72,75
207120,note_off,240,0,1,,,,,,,,,1,,,74,0
207120,note_off,240,0,4,,,,,,,,,4,,,57,0
207240,note_off,120,0,1,,,,,,,,,1,,,72,0
207360,note_on,0,0,3,,,,,,,,,3,,,60,73
207360,note_off,240,0,3,,,,,,,,,3,,,62,0
207360,note_on,120,0,1,,,,,,,,,1,,,71,73
207600,note_on,0,0,3,,,,,,,,,3,,,62,72
207600,note_off,240,0,3,,,,,,,,,3,,,60,0
207600,note_off,240,0,1,,,,,,,,,1,,,71,0
207600,note_on,0,0,1,,,,,,,,,1,,,69,72
207720,note_off,120,0,1,,,,,,,,,1,,,69,0
207780,control_change,180,0,3,,,,,,,64,0,3,,,,
207780,control_change,660,0,4,,,,,,,64,0,4,,,,
207840,note_off,0,0,3,,,,,,,,,3,,,62,0
207840,control_change,60,0,3,,,,,,,64,127,3,,,,
207840,note_on,120,0,1,,,,,,,,,1,,,67,71
207840,control_change,60,0,4,,,,,,,64,127,4,,,,
207840,note_on,0,0,4,,,,,,,,,4,,,57,71
208080,note_off,240,0,4,,,,,,,,,4,,,57,0
208080,note_on,240,0,3,,,,,,,,,3,,,62,70
208320,note_on,0,0,1,,,,,,,,,1,,,66,66
208320,note_off,240,0,3,,,,,,,,,3,,,62,0
208320,note_on,0,0,3,,,,,,,,,3,,,60,69
208320,note_off,480,0,1,,,,,,,,,1,,,67,0
208560,note_on,0,0,3,,,,,,,,,3,,,62,68
208560,note_off,240,0,3,,,,,,,,,3,,,60,0
208560,note_off,240,0,1,,,,,,,,,1,,,66,0
208670,set_tempo,1790,1,0,,,,,,967741,,,,,,,
208740,control_change,660,0,4,,,,,,,64,0,4,,,,
208740,control_change,180,0,3,,,,,,,64,0,3,,,,
208765,note_off,25,0,3,,,,,,,,,3,,,62,0
208800,set_tempo,130,1,0,,,,,,952380,,,,,,,
208800,note_on,240,0,1,,,,,,,,,1,,,74,50
208800,control_change,35,0,3,,,,,,,64,127,3,,,,
208800,note_on,0,0,4,,,,,,,,,4,,,55,50
208800,control_change,60,0,4,,,,,,,64,127,4,,,,
209040,note_on,240,0,3,,,,,,,,,3,,,62,51
